placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,error,attributes
"https://www.google.com/maps/place/Parsons,+Gwyn+R+CPA/data=!4m7!3m6!1s0x8850fa41b6fa3c65:0x9a31ecf492fc588b!8m2!3d36.2079553!4d-81.6678972!16s%2Fg%2F1v29cqq3!19sChIJZTz6tkH6UIgRi1j8kvTsMZo","Parsons, Gwyn R CPA",5.0,3,Certified public accountant,"112 Realty Row, Boone, NC 28607, United States","685J+5R Boone, North Carolina, USA",http://www.boonecpa.com/,+1 828-264-0850,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOb15cUcD4Jkp-og1tx9V2A3I1zNUErsYGU65o=w720-h240-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–2 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-10-19T15:15:02.697Z,,,
https://www.google.com/maps/place/Collette+Woodruff+PC/data=!4m7!3m6!1s0x8850fbe3930bc27f:0x321a044cfd86b8bb!8m2!3d36.2186224!4d-81.6851461!16s%2Fg%2F11rxrr65zr!19sChIJf8ILk-P7UIgRu7iG_UwEGjI,Collette Woodruff PC,5.0,14,Accounting firm,"191 Howard St, Boone, NC 28607, United States","6897+CW Boone, North Carolina, USA",http://www.collettewoodruff.com/,+1 828-865-2929,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipNqeFkGSnmekkfHBI95p6RHgdmOezQyDOIkFi3N=w408-h320-k-no,true,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-10-19T15:15:08.309Z,,,
"https://www.google.com/maps/place/Ryan+C.+Blair,+CPA,+PLLC/data=!4m7!3m6!1s0x8850fb222917e27b:0x7217eaf5fefe0a77!8m2!3d36.2036913!4d-81.6562036!16s%2Fg%2F11rn571hd5!19sChIJe-IXKSL7UIgRdwr-_vXqF3I","Ryan C. Blair, CPA, PLLC",5.0,4,Certified public accountant,"895 State Farm Rd #301, Boone, NC 28607, United States","683V+FG Boone, North Carolina, USA",https://ryanblaircpa.com/,+1 828-264-5500,,https://lh3.googleusercontent.com/p/AF1QipNr3F5LQsgRYzQWMy1TsCKvGjihPEIQaKdqIjU6=w408-h408-k-no,true,Closed,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-10-19T15:15:13.821Z,,,
"https://www.google.com/maps/place/Smith+%26+Smith,+CPAs,+PA/@36.2129109,-81.66895,17z/data=!3m1!4b1!4m6!3m5!1s0x8850fa6bc7b1ff49:0x9ea530c8c9a928e9!8m2!3d36.2129109!4d-81.66895!16s%2Fg%2F1tj6vj93","Smith & Smith, CPAs, PA",4.1,8,Tax preparation service,"324 NC-105 Extension # 4, Boone, NC 28607, United States","687J+5C Boone, North Carolina, USA",,+1 828-264-6232,Closed ⋅ Opens 9 am Mon,,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-10-19T15:15:20.908Z,,,
"https://www.google.com/maps/place/Copeland+Luke+CPA+PC/@36.2036522,-81.6561322,17z/data=!3m1!4b1!4m6!3m5!1s0x8850fa3fda5e973d:0x87bf41122d652405!8m2!3d36.2036522!4d-81.6561322!16s%2Fg%2F1pp2t_rrn",Copeland Luke CPA PC,4.7,7,Tax preparation service,"895 State Farm Rd Ste. 503, Boone, NC 28607, United States","683V+FG Boone, North Carolina, USA",,+1 828-264-0883,Closed ⋅ Opens 9 am Mon,,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-10-19T15:15:27.870Z,,,
"https://www.google.com/maps/place/Combs,+Tennant+%26+Carpenter,+P.C./data=!4m7!3m6!1s0x8850f09da08cbaa7:0x305a2f184dbd26ad!8m2!3d36.205092!4d-81.692656!16s%2Fg%2F1tf0355x!19sChIJp7qMoJ3wUIgRrSa9TRgvWjA","Combs, Tennant & Carpenter, P.C.",4.3,8,Accountant,"7802 2348 NC-105 Ste 5, Boone, NC 28607, United States","6844+2W Boone, North Carolina, USA",http://www.ctccpa.com/,+1 828-264-6700,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipM4awV9_8katYErkWEwniEnvx9-nUBDt8jSD1NL=w426-h240-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-10-19T15:15:32.825Z,,,
https://www.google.com/maps/place/Beverly+Guy+Accounting/data=!4m7!3m6!1s0x8850fa4f13866c8d:0xb245887ac4378268!8m2!3d36.2031666!4d-81.656444!16s%2Fg%2F1w112wt2!19sChIJjWyGE0_6UIgRaII3xHqIRbI,Beverly Guy Accounting,5.0,4,Accountant,"895 State Farm Rd SUITE 504, Boone, NC 28607, United States","683V+7C Boone, North Carolina, USA",http://www.statax.com/,+1 828-262-4591,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1I_4cVoUZsSzxEJ6P0a_fw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=58.44653&pitch=0&thumbfov=100,true,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-10-19T15:15:38.449Z,,,
https://www.google.com/maps/place/Misty+Watson/data=!4m7!3m6!1s0x8850fa5d18bb919d:0xa0232eee6551493d!8m2!3d36.198831!4d-81.666918!16s%2Fg%2F11c3t_6d91!19sChIJnZG7GF36UIgRPUlRZe4uI6A,Misty Watson,,,Certified public accountant,"719 Greenway Rd #208, Boone, NC 28607, United States","58XM+G6 Boone, North Carolina, USA",http://www.mistywatsoncpa.com/,+1 828-263-1100,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Jh2x2OA3hW1otIPGE7svYg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=92.14548&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-10-19T15:15:41.094Z,,,
https://www.google.com/maps/place/Virginia+Staton+PC/data=!4m7!3m6!1s0x8850fa3fda5e973d:0xe2aeab31d6ee622d!8m2!3d36.2213982!4d-81.6647676!16s%2Fg%2F1tl1p46p!19sChIJPZde2j_6UIgRLWLu1jGrruI,Virginia Staton PC,5.0,1,Tax preparation service,"379 New Market Blvd, Boone, NC 28607, United States","68CP+H3 Boone, North Carolina, USA",,+1 828-265-0661,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AEMv2s8FZ88YgNHCU6sbCw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=184.10684&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-10-19T15:15:44.098Z,,,
"https://www.google.com/maps/place/Blackburn,+Childers+%26+Steagall,+CPAs/data=!4m7!3m6!1s0x8850fbabaa52a745:0x40b0f3f97e641239!8m2!3d36.2013119!4d-81.6535716!16s%2Fg%2F11fskph1d5!19sChIJRadSqqv7UIgRORJkfvnzsEA","Blackburn, Childers & Steagall, CPAs",1.8,5,Accounting firm,"136 Furman Rd Ste 4, Boone, NC 28607, United States","682W+GH Boone, North Carolina, USA",http://bcscpa.com/,+1 828-264-3595,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=q-CmpC-IkVoaqmPk6eRj9Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=14.4819565&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-10-19T15:15:47.118Z,,,
