placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,isBlackOwned,info,attributes,error
https://www.google.com/maps/place/Dryforce+Water+Damage+%26+Roofing/data=!4m7!3m6!1s0x808507031d209d5d:0xd1a9ce071853bee4!8m2!3d38.3120769!4d-122.3271223!16s%2Fg%2F11y_pshhyw!19sChIJXZ0gHQMHhYAR5L5TGAfOqdE,Dryforce Water Damage & Roofing,4.7,3,Water damage restoration service,"10 Skycrest Way, Napa, CA 94558, United States","8M6F+R5 Napa, California, USA",,+1 707-640-6800,Closed · Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YVbePAoemrB4ValZztX7bw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=62.19673&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2026-03-23T03:46:43.554Z,,,,
https://www.google.com/maps/place/Napa+River+Reclamation+Distribution/data=!4m7!3m6!1s0x808509a08eb75fb5:0x43e66e4536dedd79!8m2!3d38.207102!4d-122.311743!16s%2Fg%2F1v2pqfjk!19sChIJtV-3jqAJhYARed3eNkVu5kM,Napa River Reclamation Distribution,5.0,2,Water damage restoration service,"1501 Milton Rd, Napa, CA 94559, United States","6M4Q+R8 Napa, California, USA",,+1 707-336-4960,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerKUmC15yUIy0m36z3GF07iE-AdqXXZWDSmTyWjRO8reocHqhhhF8xBTbKLUR1p2L5S27cYIiNkql6I9_HsH-YuEK_nXu7J10OJHHm83Y7udBAgPD8izhLmktGcCBT747tnqGnXXg=w408-h725-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2026-03-23T03:46:48.389Z,,,,
https://www.google.com/maps/place/Creative+Construction+Company/data=!4m7!3m6!1s0x80850596b137380f:0xb2443c20604ffbfa!8m2!3d38.2988398!4d-122.2360253!16s%2Fg%2F1tf_hmvg!19sChIJDzg3sZYFhYAR-vtPYCA8RLI,Creative Construction Company,4.5,4,Construction company,"4042 E 3rd Ave, Napa, CA 94558, United States","7QX7+GH Napa, California, USA",https://napavalleycontractor.com/,+1 707-257-7982,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep_BszRMVWR4ssuWgHkqztltNF5pULSUhmhAobDDt8-78cAncZC7B0IhhYQo_DTdC7mkUiIVEU2dmig1uDviJW8-9uU4XuChBVuv60G4wMVCK0vfooOqO4aCktcBgmZSHQByaxq=w408-h306-k-no,true,Closed,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2026-03-23T03:46:53.322Z,,,,
https://www.google.com/maps/place/SERVPRO+of+Sonoma+and+Napa/data=!4m7!3m6!1s0x8084352e29737177:0xf89faece36d9a2e8!8m2!3d38.3794126!4d-122.4131975!16s%2Fg%2F11hz29ym73!19sChIJd3FzKS41hIAR6KLZNs6un_g,SERVPRO of Sonoma and Napa,4.8,19,Water damage restoration service,,,https://www.servpro.com/locations/ca/servpro-of-sonoma-and-napa?utm_medium=organic&utm_source=gbp,+1 707-226-2181,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer99tKRTYBZstAV69YBRcg3rAbpcmBwpa6OT8eSk7_aqtGcV4GuY6Gg88k5Vrdc6qcGjS96Z2qnfWIJHBNy0l99rHbZI10jEVS2GaY1bxjvRWJfp3CfYprzu8OVbUhEDJ4x5a97L1kxQaV1=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2026-03-23T03:46:57.704Z,,,,
https://www.google.com/maps/place/A+%26+S+Plumbing+Inc/data=!4m7!3m6!1s0x80850715fec11411:0x5c355c4f283e8bbb!8m2!3d38.315068!4d-122.3128687!16s%2Fg%2F11r116r585!19sChIJERTB_hUHhYARu4s-KE9cNVw,A & S Plumbing Inc,4.9,388,Plumber,"1477 Carol Dr, Napa, CA 94558, United States","8M8P+2V Napa, California, USA",http://asplumbinginc.square.site/,+1 707-696-9284,Closed · Opens 8:30 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoQslKM4fqZy03iWEdPy_GQMftZ5kR-Z32_4Px5Va7RRWtfOBO-qLAw1GBAKdxh2Dkp0qQxFiIrC1Z9dNR2fVqwWjAg2xlhyHwGdDraHBNZl4bx9xpAVDoV8Kf3QJxURUdvYG8=w408-h306-k-no,true,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2026-03-23T03:47:02.151Z,,,,
https://www.google.com/maps/place/Modern+Method+Roofing/data=!4m7!3m6!1s0x808507d2695121a7:0x2376d897f0be6e26!8m2!3d38.2887077!4d-122.2863602!16s%2Fg%2F11gh9b461h!19sChIJpyFRadIHhYARJm6-8JfYdiM,Modern Method Roofing,3.9,20,Roofing contractor,"180 Coombs St, Napa, CA 94559, United States","7PQ7+FF Napa, California, USA",https://modernmethodroofing.com/,+1 707-255-8090,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAwertSRY9wRRMg42380D9SF1mpWBpGb7NdGccivA4LjC7BMcBjcHbaWFTwBHwmdUDQdyjMKMzPAd7eQoAQ2G550aXPSnuljhmaa0jZ7bmqqG1ftMw0qRxyWr5RLfSv_dxnB2xk1wv=w426-h240-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2026-03-23T03:47:06.644Z,,,,
https://www.google.com/maps/place/uBreakiFix+-+Phone+and+Computer+Repair/data=!4m7!3m6!1s0x80850756e66e14f7:0x97dccbf0084adccd!8m2!3d38.3233397!4d-122.3020673!16s%2Fg%2F11s3ljb72n!19sChIJ9xRu5lYHhYARzdxKCPDL3Jc,uBreakiFix - Phone and Computer Repair,4.8,903,Mobile phone repair shop,"1348 Trancas St, Napa, CA 94558, United States","8MFX+85 Napa, California, USA",https://www.ubreakifix.com/locations/napa?utm_source=google&utm_medium=gmb&utm_campaign=napa,+1 707-403-1111,Closed · Opens 10 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepozgVc5qzmA1lDFf-1KkcL-wrwx0RbZBfFZ0_k1Lsf9eMs-FRRbL6sIb2WlACTRdgnQOHGJ5lZ1EdMqcQK7vGQ4QUFigP_AB2dSb0PG5k_M3W62CelmTXmvk02aVhgKUrkGZClUskETA-O=w426-h240-k-no,true,Closed,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2026-03-23T03:47:11.120Z,,,,
https://www.google.com/maps/place/Greacen+Home+Repair+and+Remodeling/data=!4m7!3m6!1s0xac6780b941e220e7:0x2f9e3b29e3c7280f!8m2!3d38.1627192!4d-122.2478182!16s%2Fg%2F11sp5256hr!19sChIJ5yDiQbmAZ6wRDyjH4yk7ni8,Greacen Home Repair and Remodeling,4.9,18,Painting,,,https://www.greacenpainting.com/,+1 315-706-5591,Closed · Opens 12 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAweozAZBw0ZrIXM0_vxYgq8Z4cxudaO89i2VSmSTud2eFbChf1h_546TqBSYGvezKYaoLaN7Nz8OlLdszVBBkG9bcpv-d3cobLn-D7hyKgwZvsSBc_9qyv1txpikFFuPbphNpAdBxRQ=w408-h408-k-no,true,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2026-03-23T03:47:15.977Z,true,,,
https://www.google.com/maps/place/Vino+Design+Build/data=!4m7!3m6!1s0x808507ca475f49a1:0xdf39f621056ee374!8m2!3d38.2924999!4d-122.3014168!16s%2Fg%2F11gh_mhsrj!19sChIJoUlfR8oHhYARdONuBSH2Od8,Vino Design Build,4.7,48,General contractor,"2405 Laurel St Suite #104, Napa, CA 94558, United States","7MRX+XC Napa, California, USA",https://vinodesignbuild.com/,+1 707-681-5942,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoTrqySmERfYdl2-OkUpmF9jYCh_cEELSkLTJjr8R3xY4ab-jkCxo9WfdVmEMtfLNvAoSsagn4nKq69D8ph-vkoPTkwEo-gSLs-anN1xWkxIDq0GTSIeNnNI0VMqL7TFndfub8=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2026-03-23T03:47:20.475Z,,,,
https://www.google.com/maps/place/Advanced+Services/data=!4m7!3m6!1s0x80850703480c2bb3:0xb2ae6ced6f5507eb!8m2!3d38.2907054!4d-122.3006935!16s%2Fg%2F11sd7lf7mn!19sChIJsysMSAMHhYAR6wdVb-1srrI,Advanced Services,5.0,9,Window cleaning service,"257 Walnut St STE C, Napa, CA 94559, United States","7MRX+7P Napa, California, USA",http://advancedservicesnapa.com/,+1 707-758-5753,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqRnALG1dnler1JubZEo6U3PDUqW67_hvbCTCdTrqCcS4Kytz33QgRjdizjPJnuT5DrwtvAyirZ273FWa_oW77yf9pw3oi4bASxE_AXOJ-26Lgr7yeFezaJ14XeeePSmuC3wjkvqw=w408-h544-k-no,true,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2026-03-23T03:47:24.870Z,,,,
