placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,isBlackOwned,attributes,info
https://www.google.com/maps/place/ClearView+Landscaping+LLC/data=!4m7!3m6!1s0x4a1fed3c968bfe7b:0x69c923c37faa1113!8m2!3d30.1242095!4d-81.4039346!16s%2Fg%2F11vwjz3gv6!19sChIJe_6LljztH0oRExGqf8MjyWk,ClearView Landscaping LLC,5.0,86,Landscaper,"2320 Palm Vly Rd, Ponte Vedra Beach, FL 32081, United States","4HFW+MC Ponte Vedra Beach, Florida, USA",http://clearvlandscaping.com/,+1 860-941-7494,Closes soon · 5 pm · Opens 8 am Thu,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGNF_5l0RCyuCSxWuO6us1SzdA137gsnV83Vg1XSFShPdNXBHgsJ_SmeB7U4jk8X9PjPLUGEWn6VH-648qbo89M1iEV9d0IvjkLeEqruGk_eDbYunpcV-Pw8JxFzTrXh5sG0qFQNvc0i0Cf=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2026-04-29T20:47:51.692Z,,,
"https://www.google.com/maps/place/All+State+Tree,+LLC/data=!4m7!3m6!1s0x88e436c4145360dd:0xce9bab30e931878!8m2!3d30.314487!4d-81.683107!16s%2Fg%2F1tj46qr9!19sChIJ3WBTFMQ25IgReBiTDrO66Qw","All State Tree, LLC",5.0,11,Tree service,,,http://www.allstatetreeandturf.com/,+1 904-280-2555,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGLu_wj1DtRcvAvoCydksIYLevFxa62M1QwqGDA3H6IXh4uRccY9nNrcyXGdmURvT_bd5ZYRcKfssqH8s7ABIvLewrPHwcGwtzmuLw4hKpV-e9SbHZPrqXBnJYcXSqD0bM5CW1v8GvE4k-f=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Closed,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2026-04-29T20:47:56.272Z,,,
https://www.google.com/maps/place/Bent+Oak+Nursery/data=!4m7!3m6!1s0x88e4311169a8f109:0x991081c896b08c0!8m2!3d30.183754!4d-81.388341!16s%2Fg%2F1tpllk46!19sChIJCfGoaREx5IgRwAhriRwIkQk,Bent Oak Nursery,4.8,17,Plant nursery,"5045 Palm Vly Rd, Ponte Vedra Beach, FL 32082, United States","5JM6+GM Ponte Vedra Beach, Florida, USA",https://www.bentoaknursery.com/,+1 904-333-0202,Closed · Opens 10 am Thu,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH_eaHMRGE7rJs5se9719azklLCrwVFpuaBNLYTtN-SNHeK8QycaSJDyk7RPsAZfnr_dGmT-TCkIc7NuyIrJhTRx5iqvBUNljKUBvFeo9TLuc-xj_7w1UR9dF7rsGAyHTu96TNElA=w408-h315-k-no,true,10 am–2 pm,10 am–2 pm,10 am–2 pm,10 am–2 pm,Closed,Closed,10 am–2 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2026-04-29T20:48:01.004Z,,,
https://www.google.com/maps/place/Short+Pine+Nursery+%26+Landscaping/data=!4m7!3m6!1s0x88e436e9f717cf51:0xa5822391f3daf5a5!8m2!3d30.1771465!4d-81.4003651!16s%2Fg%2F1vv2t1c9!19sChIJUc8X9-k25IgRpfXa85EjgqU,Short Pine Nursery & Landscaping,4.7,15,Plant nursery,"106 Canal Blvd, Ponte Vedra Beach, FL 32082, United States","5HGX+VV Ponte Vedra Beach, Florida, USA",,+1 904-285-2440,Closes soon · 5 pm · Opens 9 am Thu,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHI0a9oc27K8Ho6gkSTekGqkOJBCxFmn1AZO6C-Q44W6c9cGWzbQ0ejPI343ZlsS_rgKbxAd-lpRGb92WSsVGy3L12QCSAl3hpwam4EcVOcCB-fhcN2sKWPgWC_zSjM0v3XIv8elA=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–2 pm,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2026-04-29T20:48:05.318Z,,,
https://www.google.com/maps/place/Pure+Pro+Lawn+%26+Landscape/data=!4m7!3m6!1s0xaa28d253dd654729:0x765a6e759f6a1b1d!8m2!3d30.226178!4d-81.600574!16s%2Fg%2F11s5n13s37!19sChIJKUdl3VPSKKoRHRtqn3VuWnY,Pure Pro Lawn & Landscape,4.9,77,Lawn care service,,,https://www.pureprolandscape.com/,+1 904-859-5170,Open · Closes 9 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHwNUe1akfXpv0vlwrv2Le8oQG3sLPGwFFkKsXwQZbBj3Wt4cX7T1i_HSVgmyufdW04lFIQxPwNloSTHFDsi-Hce3O9rIoxYAPjA4trHEuYNu1Q-0X9YhJCqnpciEKMBrsTwpFH=w408-h306-k-no,true,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2026-04-29T20:48:09.569Z,,,
https://www.google.com/maps/place/Advanced+Lawn+%26+Garden+LLC/data=!4m7!3m6!1s0x88e5b55e602ed335:0x5873cbde415c160b!8m2!3d30.1735045!4d-81.6576015!16s%2Fg%2F11j8zfwrzh!19sChIJNdMuYF615YgRCxZcQd7Lc1g,Advanced Lawn & Garden LLC,4.9,84,Landscaper,,,https://www.advancedlawnandgarden.com/,,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEe0FGukPlqe0N9AQx4i907Hk7z2cMq8kxADX-Kxnuga9qnpwiik_EsVdbMoPfEorkknduSr99Fap89dk3YxGkAW60MdKVwz5AlMBQ5fjK8GerLTLT10qX75Y_MshxVpe5aDUvF=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2026-04-29T20:48:13.888Z,true,,
"https://www.google.com/maps/place/Professional+Outdoor,+LLC/data=!4m7!3m6!1s0x88e43770fd02db57:0xb2e9ef4b289d0035!8m2!3d30.1946167!4d-81.3824915!16s%2Fg%2F11h1n_g95h!19sChIJV9sC_XA35IgRNQCdKEvv6bI","Professional Outdoor, LLC",5.0,22,Landscape designer,"#2961, Ponte Vedra Beach, FL 32004, United States","5JV9+R2 Ponte Vedra Beach, Florida, USA",,+1 904-515-5104,Closes soon · 5 pm · Opens 8:30 am Thu,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGXCO02HVpNRzuY9_-_zALXF8CvcqqdsZrufjlvucEfDZSDVbthU5yvXFimPdCk-I_dL0izHWvl4u0HanMZ_UKnQf4z5fklqFNMI7AXo0TUcvQEYshuU3ZZuFaMjvkpvGwFYTVX=w408-h306-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2026-04-29T20:48:18.170Z,,,
https://www.google.com/maps/place/Coconut+Grove+Landscape+%26+Design/data=!4m7!3m6!1s0x88e449f9fa6e2adb:0xd08cace5373781d8!8m2!3d30.2744045!4d-81.3898506!16s%2Fg%2F11mxds8rnp!19sChIJ2ypu-vlJ5IgR2IE3N-WsjNA,Coconut Grove Landscape & Design,5.0,117,Landscape designer,"351 15th Ave S Unit A, Jacksonville Beach, FL 32250, United States","7JF6+Q3 Jacksonville Beach, Florida, USA",https://cglandscapefl.com/?utm_source=Google%20My%20Business&utm_medium=GMB&utm_campaign=GMB,+1 904-868-6835,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFI51DsbPxeIIE26mOxx9UfweNc3lV_XCT9H_0KQRQY-wfQrutpZY9dLSU6gzNS4dFqd5O2QbvzYSxraQRAyuut-gp2V5GVxVGwk6xiJEj2DlO0c5X9Es_6uGIS-Hppkg8ZpmlAHj2SZVkT=w408-h305-k-no,true,6 am–6 pm,6 am–6 pm,6 am–6 pm,6 am–6 pm,Closed,6 am–6 pm,6 am–6 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2026-04-29T20:48:22.526Z,,,
https://www.google.com/maps/place/Kathy%27s+Creative+Gardens/data=!4m7!3m6!1s0x88e5b77955555555:0x6be4f2c9b22de7!8m2!3d30.1982628!4d-81.4049387!16s%2Fg%2F1tnmsjyq!19sChIJVVVVVXm35YgR5y2yyfLkawA,Kathy's Creative Gardens,4.5,45,Landscaper,"196 Roscoe Blvd N, Ponte Vedra Beach, FL 32082, United States","5HXW+82 Ponte Vedra Beach, Florida, USA",http://www.kathyscreativegardens.com/,+1 904-655-7373,Closed · Opens 8 am Thu,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF9IHLfhrsY9s8QqfPK66tqb8ZJcdsMiH1eATOD5n6aAlCHjOne5YJOY395O8luKYIlzd7bT3LI4NNvWLfAaG3ZW489oaa-kYrUTnKpZPPVTaMjVNkvYUEyIcxex2UGohNmDfhq=w640-h240-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–3 pm,Closed,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2026-04-29T20:48:26.890Z,,,
https://www.google.com/maps/place/Double+J%27s+Landscape+Supply/data=!4m7!3m6!1s0x88e436c44805e689:0x22b3013492aca0b!8m2!3d30.1764451!4d-81.399052!16s%2Fg%2F1tx16503!19sChIJieYFSMQ25IgRC8oqSRMwKwI,Double J's Landscape Supply,4.4,41,Landscaping supply store,"123 Canal Blvd, Ponte Vedra Beach, FL 32082, United States","5JG2+H9 Ponte Vedra Beach, Florida, USA",https://www.pvmulch.com/,+1 904-285-4573,Closed · Opens 8 am Thu,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFm647_2nIzQw5Hk8btuOfhf8dc6YBiptStj5cDQZ1Lt-JS1XiOcETn1XYyiUN6FttbEigwGH_LMeMfeMXlG38DOjKXgnB0tGsLwWPLnV3cKNFqCymvIs4JLLd8buoxh7UabjBV=w408-h306-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8:30 am–12 pm,Closed,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2026-04-29T20:48:31.166Z,,· In-store shopping · Kerbside pickup · Delivery,
