placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,attributes,error,isBlackOwned
https://www.google.com/maps/place/UAMS+Parking+1/data=!4m7!3m6!1s0x87d2a50017d2d4b5:0xb9372aad163ccaec!8m2!3d34.7490821!4d-92.3216675!16s%2Fg%2F11vk7b2lf5!19sChIJtdTSFwCl0ocR7Mo8Fq0qN7k,UAMS Parking 1,4.0,25,Parking garage,"Hooper Dr, Little Rock, AR 72205, United States","PMXH+J8 Little Rock, Arkansas, USA",,,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cd30Y7I6XHgWcgzk0W9S3w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=322.90195&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2025-10-28T19:09:20.853Z,,,,
https://www.google.com/maps/place/UAMS+Parking+3/data=!4m7!3m6!1s0x87d2a4a14837b03d:0xc2b0a1863e5b33f1!8m2!3d34.7477994!4d-92.317911!16s%2Fg%2F11hbn20fyh!19sChIJPbA3SKGk0ocR8TNbPoahsMI,UAMS Parking 3,4.7,21,Parking garage,"4030 W Capitol Ave, Little Rock, AR 72205, United States","PMXJ+4R Little Rock, Arkansas, USA",,,,https://lh3.googleusercontent.com/p/AF1QipP8U3Ibat4gcX-CUNqa7Gz8GxP2Dmtn0o7luvYZ=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2025-10-28T19:09:23.674Z,,,,
"https://www.google.com/maps/place/Valet+Resource+Group/@34.7507912,-92.3643188,17z/data=!3m1!4b1!4m6!3m5!1s0x87d2a40a7c400001:0x746a8735f708c893!8m2!3d34.7507912!4d-92.3643188!16s%2Fg%2F11g0k0zqr1",Valet Resource Group,5.0,5,Transportation service,"300 S Rodney Parham Rd, Little Rock, AR 72205, United States",,,+1 501-203-9004,,,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2025-10-28T19:09:28.135Z,,,,
https://www.google.com/maps/place/Ambassadors+Plus/data=!4m7!3m6!1s0x87d2a40a78ea3989:0x5a88b1f86509f4bb!8m2!3d34.768906!4d-92.33634!16s%2Fg%2F1tc_9654!19sChIJiTnqeAqk0ocRu_QJZfixiFo,Ambassadors Plus,4.6,13,Valet parking service,"1818 N Taylor St #118, Little Rock, AR 72207, United States","QM97+HF Little Rock, Arkansas, USA",http://www.ambassadorsplus.net/,+1 844-263-7275,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mPCyOKVxDB273MrHQV4AUQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=74.11899&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,12 am–11:59 pm,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2025-10-28T19:09:33.072Z,Identifies as women-owned,,,
https://www.google.com/maps/place/VA+Patient+Parking/data=!4m7!3m6!1s0x87d2a55bdb77c951:0xb06b236ca68fd246!8m2!3d34.7464455!4d-92.3224396!16s%2Fg%2F11ghq8qn_k!19sChIJUcl321ul0ocRRtKPpmwja7A,VA Patient Parking,4.0,2,Hospital,"Parking lot, Little Rock, AR 72205, United States","PMWH+H2 Little Rock, Arkansas, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sG05pA64D1eIo97ponjl9g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=77.08464&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2025-10-28T19:09:35.586Z,,,,
https://www.google.com/maps/place/Statehouse+Convention+Center+Parking/data=!4m7!3m6!1s0x87d2bb7b78c06cf7:0xe7759725211c4ddf!8m2!3d34.746489!4d-92.270372!16s%2Fg%2F1thd2bf6!19sChIJ92zAeHu70ocR300cISWXdec,Statehouse Convention Center Parking,4.3,72,Parking garage,"201 Main St, Little Rock, AR 72201, United States","PPWH+HV Little Rock, Arkansas, USA",http://www.littlerockmeetings.com/convention-center/parking/,+1 501-374-4081,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzIlNNiVM2I8wR2ngLJqqLjXuBnYkNTpxDG7UR1hYcQT38ZsLiKkKI0Sh1SwVuDau5Dsi9TK5DoJoCfLWtAqolaLbJPs3vHbpNo03nVDgCJ3ZGH-rCCkHat38CxDAwwgutBZ6sOUg=w408-h306-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2025-10-28T19:09:40.016Z,,,,
https://www.google.com/maps/place/Newcomb+Towing/data=!4m7!3m6!1s0x87cd5231eeec81dd:0xe93dc561780105a6!8m2!3d34.5548521!4d-92.5899784!16s%2Fg%2F11bbt693vx!19sChIJ3YHs7jFSzYcRpgUBeGHFPek,Newcomb Towing,4.1,169,Towing service,"300 W Hazel St, Benton, AR 72015, United States","HC36+W2 Benton, Arkansas, USA",http://newcombtowing.com/,+1 501-860-4252,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwpV_qNDtdSQXHCJ8zLq5eL8mUJcZJ9qOegMsMCnhLHNypnosBfYhrRO8Vw2PqCUlVW_9h7OYbF3bXDbcPEckYv44y2KyZoJjj7fkMWauUBdkO8PCsNsPoWYi1SSQS7z6ebOVyx=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Benton+Little+Rock+AR/@34.5693083,-92.585378,14z",2025-10-28T19:09:52.891Z,,,,
https://www.google.com/maps/place/Everett+Ford/data=!4m7!3m6!1s0x87c99f5ebdc59afd:0xa5ac07a12d227c94!8m2!3d34.5993853!4d-92.5490921!16s%2Fg%2F1tdpgqzw!19sChIJ_ZrFvV6fyYcRlHwiLaEHrKU,Everett Ford,4.7,1712,Ford dealer,"19723 I-30, Benton, AR 72015, United States","HFX2+Q9 Benton, Arkansas, USA",https://www.everettford.com/,+1 501-315-4700,,https://lh3.googleusercontent.com/p/AF1QipP13QrP0sEjCjkrWPK6Sc6ChnLD8gw80grjsP1U=w408-h437-k-no,true,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,8 am–1 pm,Closed,7:30 am–5:30 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Benton+Little+Rock+AR/@34.5693083,-92.585378,14z",2025-10-28T19:09:57.600Z,,· In-store shopping · Delivery,,
https://www.google.com/maps/place/Walmart+Supercenter/data=!4m7!3m6!1s0x87cd51778f2d3003:0x72a003ec1ef6a5de!8m2!3d34.577236!4d-92.5801778!16s%2Fm%2F03nzjyz!19sChIJAzAtj3dRzYcR3qX2HuwDoHI,Walmart Supercenter,3.9,3936,Department store,"17309 I-30, Benton, AR 72015, United States","HCG9+VW Benton, Arkansas, USA",https://www.walmart.com/store/85-benton-ar/?veh=seo_loc,+1 501-860-6135,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyoSR2Tby87XMMS6AUtf4ogeAbIYa2U_4JSs-gJkfS52rCE3tidBkjs9cPTaa_umJX_OxRGRo9CH8_mfr-xvEZ9Wb8hBc3MZV_rZX-60YQ_qy3RO7CuoGPYHUULjqoQ6us6Fylb16pzd4Eo=w408-h306-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Benton+Little+Rock+AR/@34.5693083,-92.585378,14z",2025-10-28T19:10:02.327Z,,· In-store shopping · Kerbside pickup · Delivery,,
https://www.google.com/maps/place/parkingmgt.com/data=!4m7!3m6!1s0x87d2bd16ac4f089f:0x7655bb55bda30470!8m2!3d34.7554991!4d-92.2709701!16s%2Fg%2F11xg3rd3q_!19sChIJnwhPrBa90ocRcASjvVW7VXY,parkingmgt.com,5.0,1,Parking lot,"301 W 2nd St, North Little Rock, AR 72114, United States","QP4H+5J North Little Rock, Arkansas, USA",https://parkingmgt.com/lot/parking-at-301-w-2nd-street-north-little-near-downtown-rock-attractions/,+1 855-244-8947,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=czpdPQnbGAQBVZwUrkG4Gw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=339.9942&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Benton+Little+Rock+AR/@34.5693083,-92.585378,14z",2025-10-28T19:10:10.968Z,,,,
