placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,attributes
https://www.google.com/maps/place/DM+Plumbing+Services/data=!4m7!3m6!1s0x487930d4bfb2c8ef:0x974514d00a800be6!8m2!3d53.9445318!4d-1.1379124!16s%2Fg%2F1tdfmsm3!19sChIJ78iyv9QweUgR5guACtAURZc,DM Plumbing Services,4.8,71,Plumber,"22 Waterman Ct, Acomb, York YO24 3FB, United Kingdom","WVV6+RR York, UK",https://www.plumberyork247.co.uk/,+44 7719 999769,"Closed ⋅ Opens 9 am

Updated by this business 7 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMEox49gahBIbz4elQ_tI1kiJitRWE1gIixlV9-=w408-h272-k-no,true,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,"https://www.google.com/maps/search/plumbing++services+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-11-11T03:37:25.947Z,,
https://www.google.com/maps/place/York+plumbing+%26+boilers/data=!4m7!3m6!1s0x487931f7cfe504cd:0x30c3a21a71867650!8m2!3d53.940863!4d-1.1288522!16s%2Fg%2F11mn7tg0zf!19sChIJzQTlz_cxeUgRUHaGcRqiwzA,York plumbing & boilers,5.0,373,Plumber,"3 Raynard Ct, York YO24 3GA, United Kingdom","WVRC+8F York, UK",http://www.yorkplumbingandboilers.co.uk/,+44 7964 747307,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNZjfPqKmI7fxuhZsVnGdnaIQ_j2BK4rREkVy1c=w425-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-11-11T03:37:32.137Z,,
https://www.google.com/maps/place/Alwyn+Glover+%28York%29+Ltd/data=!4m7!3m6!1s0x487931b9c1d062e1:0xe7a56e77b2aa69aa!8m2!3d53.9614583!4d-1.0665496!16s%2Fg%2F1tj7333h!19sChIJ4WLQwbkxeUgRqmmqsndupec,Alwyn Glover (York) Ltd,3.9,59,Plumber,"Units 3-4, The Brand Bldg, Little Hallfield Rd, Tang Hall, York YO31 7XP, United Kingdom","XW6M+H9 York, UK",http://alwynglover.co.uk/,+44 1904 431555,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ea4RYxCk1Yki9ylEBEPD0A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=232.04886&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-11-11T03:37:37.873Z,,
https://www.google.com/maps/place/JLM+Plumbing+Services+Limited/data=!4m7!3m6!1s0x487937b86dca249f:0x8c9c608d3b9aa422!8m2!3d53.9463675!4d-1.1396626!16s%2Fg%2F11fjs949dt!19sChIJnyTKbbg3eUgRIqSaO41gnIw,JLM Plumbing Services Limited,4.8,19,Plumber,"29 Westfield Pl, Acomb, York YO24 3HL, United Kingdom","WVW6+G4 York, UK",https://jlmplumbing.co.uk/areas-covered/york/,+44 7391 650491,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPUaPgCJY9iKvOFoUD4-BeAOYvkXLMXgng_BJ1T=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-11-11T03:37:43.160Z,,
https://www.google.com/maps/place/RPH+York+-+Reynolds+Plumbing+%26+Heating+Ltd/data=!4m7!3m6!1s0x4879372ac22d6e13:0x25243beb391f9d75!8m2!3d53.9739614!4d-1.1248497!16s%2Fg%2F1pv01wk3m!19sChIJE24twio3eUgRdZ0fOes7JCU,RPH York - Reynolds Plumbing & Heating Ltd,5.0,193,Heating contractor,"Rose Centre, RPH, York YO26 6RX, United Kingdom","XVFG+H3 York, UK",https://www.rphyork.com/,+44 1904 345939,"Closed ⋅ Opens 8 am

Confirmed by this business 10 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPLHTVIkm3tpNlhrFegyVzlLUD-9EjKLbX3N9gX=w408-h307-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–12:30 pm,Closed,Closed,8 am–4:30 pm,"https://www.google.com/maps/search/plumbing++services+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-11-11T03:37:48.878Z,LGBTQ+ friendly,
https://www.google.com/maps/place/YPH+-+York+Plumbing+%26+Heating+Ltd/data=!4m7!3m6!1s0x487931f28019fedf:0x92f2099b27d42315!8m2!3d53.9861708!4d-1.1001776!16s%2Fg%2F1tv23ny1!19sChIJ3_4ZgPIxeUgRFSPUJ5sJ8pI,YPH - York Plumbing & Heating Ltd,4.5,232,Plumber,"Clifton Moor Business Village, 2, James Nicolson Link, York YO30 4XG, United Kingdom","XVPX+FW Rawcliffe, York, UK",http://yorkplumbingandheating.co.uk/,+44 1904 501541,Closed ⋅ Opens 9 am,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzgnmF5e_VsnyLlxp3Q1ATeVFeimXEA9CN24C-nqUG3n866MQfwPa-an45cpfBIRfyLCdfKo-x2ipVDO8lM6Rzx67gD0RmsjSVKUyPrpLvlpHVAa1IFN4QbCYlilayTo964BEV7=w408-h544-k-no,true,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,Closed,9 am–7 pm,"https://www.google.com/maps/search/plumbing++services+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-11-11T03:37:54.214Z,,
"https://www.google.com/maps/place/MindHeat+plumbing+and+heating/@53.7596881,-1.2408215,8z/data=!3m1!4b1!4m6!3m5!1s0x454cf688cda520a5:0xca387232058d20c9!8m2!3d53.759688!4d-1.2408215!16s%2Fg%2F11zkkdncvj",MindHeat plumbing and heating,5.0,1,Plumber,,,,+44 7927 100277,Open 24 hours,,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-11-11T03:38:01.360Z,LGBTQ+ friendly,
https://www.google.com/maps/place/GW-Plumbing/data=!4m7!3m6!1s0x48792d7f05e8120d:0x83ec8b2add4e5414!8m2!3d53.9902305!4d-1.1004534!16s%2Fg%2F1tngpt82!19sChIJDRLoBX8teUgRFFRO3SqL7IM,GW-Plumbing,4.1,34,Plumber,"The York Eco Business Centre, 7 Clifton Moor Gate, York YO30 4AG, United Kingdom","XVRX+3R Rawcliffe, York, UK",http://www.gw-plumbing.com/,+44 7525 858008,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOV6FBFCf5dBq1bh4KXqpU-KxcxKp6GHkvg3fv_=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,8 am–8 pm,Closed,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-11-11T03:38:06.831Z,,
https://www.google.com/maps/place/Pura+Plumbing+and+Heating+Company+Limited/data=!4m7!3m6!1s0x48793101f5bc904f:0xf53de68343117db8!8m2!3d53.9507277!4d-1.0934324!16s%2Fg%2F11c6cqnhtm!19sChIJT5C89QExeUgRuH0RQ4PmPfU,Pura Plumbing and Heating Company Limited,5.0,19,Plumber,"26 Scarcroft Hill, York YO24 1DE, United Kingdom","XW24+7J York, UK",http://www.puraplumbingandheating.co.uk/,+44 1904 640522,Closed ⋅ Opens 8 am,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SIazzzCbj1WnF6twCGgdSA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=327.86417&pitch=0&thumbfov=100,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,8 am–6 pm,"https://www.google.com/maps/search/plumbing++services+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-11-11T03:38:12.556Z,,
https://www.google.com/maps/place/Total+Plumbing+and+Heating/data=!4m7!3m6!1s0x487930db43d58351:0xdd015fb3ac2e99ca!8m2!3d54.0657177!4d-1.2080181!16s%2Fg%2F11f15k_tdh!19sChIJUYPVQ9sweUgRypkurLNfAd0,Total Plumbing and Heating,5.0,44,Heating contractor,,,http://www.totalplumbingandheatingyork.co.uk/,+44 7778 138681,Closed ⋅ Opens 7:30 am,https://lh3.googleusercontent.com/p/AF1QipMHISxcQdxGa32Xp4Cln_aiozcj2uHl6A9nD0sP=w426-h240-k-no,true,7:30 am–6:30 pm,7:30 am–6:30 pm,7:30 am–6:30 pm,7:30 am–6:30 pm,7:30 am–6:30 pm,Closed,7:30 am–6:30 pm,"https://www.google.com/maps/search/plumbing++services+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-11-11T03:38:17.514Z,,
