placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,info,isBlackOwned,monday,tuesday,wednesday,thursday,friday,saturday,sunday,attributes
https://www.google.com/maps/place/Koi+Wellness+Solutions/data=!4m7!3m6!1s0x88d901aaf4e5e29d:0x224b3b8b233a0166!8m2!3d26.1228232!4d-80.1350518!16s%2Fg%2F11tgd4tgc0!19sChIJneLl9KoB2YgRZgE6I4s7SyI,Koi Wellness Solutions,4.9,53,Holistic medicine practitioner,"805 E Broward Blvd, Fort Lauderdale, FL 33301, United States","4VF7+4X Fort Lauderdale, Florida, USA",http://www.koiwellnesssolutions.com/,+1 954-637-2990,,https://lh3.googleusercontent.com/p/AF1QipPiSSoz-GnauXVMRaXVGEnWqAR_YCaJt2UMljbw=w408-h270-k-no,true,https://www.google.com/maps/search/functional+medicine+in+Central+Beach+Fort+Lauderdale+FL/,2026-02-23T16:59:10.385Z,,,,,,,,,,
https://www.google.com/maps/place/Longville+Wellness/data=!4m7!3m6!1s0x88d905dc79dfdbb5:0x6526eaa920d8c8bb!8m2!3d26.1668848!4d-80.1108245!16s%2Fg%2F11h_sxpcwh!19sChIJtdvfedwF2YgRu8jYIKnqJmU,Longville Wellness,5.0,70,Holistic medicine practitioner,"2720 E Oakland Park Blvd #109, Fort Lauderdale, FL 33306, United States","5V8Q+QM Fort Lauderdale, Florida, USA",http://www.longvillewellness.info/,+1 954-228-3329,"Closed · Opens 11 am Wed

Updated by this business 6 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DCcKDrY8wrf-ApPesyZ8rg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=148.19968&pitch=0&thumbfov=100,true,https://www.google.com/maps/search/functional+medicine+in+Central+Beach+Fort+Lauderdale+FL/,2026-02-23T16:59:15.956Z,LGBTQ+ friendly,true,Closed,Closed,11 am–8 pm,11 am–4 pm,10 am–6 pm,11 am–3 pm,11 am–3 pm,
"https://www.google.com/maps/place/Dr.+Faride+Ramos,+MD+-+Functional+Medicine+Specialist/data=!4m7!3m6!1s0x88d903af48be2073:0xa63ccd78ca117448!8m2!3d26.1594237!4d-80.1252805!16s%2Fg%2F11f9xnq4vh!19sChIJcyC-SK8D2YgRSHQRynjNPKY","Dr. Faride Ramos, MD - Functional Medicine Specialist",,,Internist,"1650 NE 26th St Unit 200, Wilton Manors, FL 33305, United States","5V5F+QV Wilton Manors, Florida, USA",https://www.integrativemedicineofsouthfl.com/,+1 754-732-4300,Open · Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipO_RJ94QDld4nRUZDzDVoJH-9urkdkVp8oT5xnr=w408-h610-k-no,true,https://www.google.com/maps/search/functional+medicine+in+Central+Beach+Fort+Lauderdale+FL/,2026-02-23T16:59:21.370Z,LGBTQ+ friendly,,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–3:30 pm,Closed,Closed,
https://www.google.com/maps/place/Alliance+IV+Therapy+MD+Functional+Medicine/data=!4m7!3m6!1s0x88d90148ba89353d:0xf6539d55ee484f68!8m2!3d26.1204505!4d-80.1425997!16s%2Fg%2F11s3cpsk2m!19sChIJPTWJukgB2YgRaE9I7lWdU_Y,Alliance IV Therapy MD Functional Medicine,5.0,233,Medical office,"200 S Andrews Ave STE 102, Fort Lauderdale, FL 33301, United States","4VC4+5X Fort Lauderdale, Florida, USA",http://www.allianceivtherapymd.com/,+1 954-466-2022,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipPbxo8KxfBdKUAb4xpnMVRtFr6dPOBsrFpXJZrg=w408-h437-k-no,true,https://www.google.com/maps/search/functional+medicine+in+Central+Beach+Fort+Lauderdale+FL/,2026-02-23T16:59:26.123Z,,,9 am–6 pm,Closed,9 am–6 pm,Closed,Closed,10 am–4 pm,Closed,
https://www.google.com/maps/place/Advanced+Wellness+Center/data=!4m7!3m6!1s0x88d902494bb7c331:0x91e63eb0db3131c5!8m2!3d26.2030847!4d-80.136054!16s%2Fg%2F1tj46q1j!19sChIJMcO3S0kC2YgRxTEx27A-5pE,Advanced Wellness Center,4.9,157,Chiropractor,"800 E Cypress Creek Rd #100, Fort Lauderdale, FL 33334, United States","6V37+6H Fort Lauderdale, Florida, USA",http://www.awellness.com/,+1 954-565-4440,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipOBmJppgPou9Xr_ctQgvyq8pzQv2PMPIUmTWeVf=w581-h240-k-no,true,https://www.google.com/maps/search/functional+medicine+in+Central+Beach+Fort+Lauderdale+FL/,2026-02-23T16:59:30.904Z,,,9 am–6 pm,Closed,8:15 am–5 pm,9 am–6 pm,8:15 am–12 pm,Closed,Closed,
https://www.google.com/maps/place/Holistic+Family+Wellness/data=!4m7!3m6!1s0x88d8fd8a44a1a071:0x653f5db935da558d!8m2!3d26.1987418!4d-80.0962687!16s%2Fg%2F11cs4gxv_j!19sChIJcaChRIr92IgRjVXaNbldP2U,Holistic Family Wellness,5.0,5,Acupuncturist,"4747 N Ocean Dr APT 255, Fort Lauderdale, FL 33308, United States","5WX3+FF Fort Lauderdale, Florida, USA",http://www.yourholisticfamily.com/location/,+1 954-343-8025,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=a6oJd_Nm9HN88HWf0M6OYQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=24.902943&pitch=0&thumbfov=100,false,https://www.google.com/maps/search/functional+medicine+in+Central+Beach+Fort+Lauderdale+FL/,2026-02-23T16:59:33.660Z,,,,,,,,,,
https://www.google.com/maps/place/Eden+for+Health+LLC/data=!4m7!3m6!1s0x88d9a9359b41efa7:0x3f4ccf93d5c442ee!8m2!3d26.166064!4d-80.101453!16s%2Fg%2F11j54l4m7t!19sChIJp-9BmzWp2YgR7kLE1ZPPTD8,Eden for Health LLC,3.0,4,Naturopathic practitioner,"3015 N Ocean Blvd STE C126, Fort Lauderdale, FL 33308, United States","5V8X+CC Fort Lauderdale, Florida, USA",http://www.edenforhealth.com/,+1 954-744-3623,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=X8PsfWbA4ixmlrHnMyBqQg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=45.126446&pitch=0&thumbfov=100,true,https://www.google.com/maps/search/functional+medicine+in+Central+Beach+Fort+Lauderdale+FL/,2026-02-23T16:59:38.424Z,,,9 am–5 pm,10 am–6 pm,9 am–5 pm,10 am–6 pm,9 am–5 pm,Closed,Closed,
"https://www.google.com/maps/place/Acupuncture+Fort+Lauderdale+Functional+Medicine+-+Ilyas+Hamid/@26.2730515,-80.249544,10z/data=!3m1!4b1!4m6!3m5!1s0x2ad964d39089722b:0x3e491148ca18853a!8m2!3d26.2730515!4d-80.249544!16s%2Fg%2F11vk7wsglv",Acupuncture Fort Lauderdale Functional Medicine - Ilyas Hamid,,,Acupuncture clinic,,,https://www.acuhollywood.com/,+1 954-258-7643,,,true,https://www.google.com/maps/search/functional+medicine+in+Central+Beach+Fort+Lauderdale+FL/,2026-02-23T16:59:42.875Z,,,,,,,,,,
https://www.google.com/maps/place/TEVA+WELLNESS+INTEGRATIVE+MEDICINE+CENTER/data=!4m7!3m6!1s0x88d9aa1fbedaaaab:0x7916c85bae525b31!8m2!3d26.0645531!4d-80.2345275!16s%2Fg%2F11ggv_36d0!19sChIJq6ravh-q2YgRMVtSrlvIFnk,TEVA WELLNESS INTEGRATIVE MEDICINE CENTER,5.0,20,Acupuncture clinic,"6570 Griffin Rd Ste 103-104, Fort Lauderdale, FL 33314, United States","3Q78+R5 Fort Lauderdale, Florida, USA",https://www.tevawellness.com/,+1 954-488-3388,Open · Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipNM1I_7GZP4qyFld2nXbaaIWAhNll2wTHJDJuOe=w408-h726-k-no,true,https://www.google.com/maps/search/functional+medicine+in+Central+Beach+Fort+Lauderdale+FL/,2026-02-23T16:59:47.733Z,,,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–4 pm,Closed,
https://www.google.com/maps/place/Infinity+Clinics/data=!4m7!3m6!1s0x88d901d2c946bbe3:0xa7750ab73f57f353!8m2!3d26.1365361!4d-80.117861!16s%2Fg%2F11v04pp9td!19sChIJ47tGydIB2YgRU_NXP7cKdac,Infinity Clinics,5.0,36,Alternative medicine practitioner,"915 Middle River Dr Suite 513, Fort Lauderdale, FL 33304, United States","4VPJ+JV Fort Lauderdale, Florida, USA",http://icdemp.com/,+1 954-498-1320,Open · Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipM2x3VohXV15bohGPfACbNQB9-6ZwlDyWeqtNbZ=w408-h272-k-no,true,https://www.google.com/maps/search/functional+medicine+in+Central+Beach+Fort+Lauderdale+FL/,2026-02-23T16:59:52.405Z,,,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,9 am–2 pm,Closed,
