placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,isBlackOwned
https://www.google.com/maps/place/Rocky+Mountain+Generator+Supply+Co/data=!4m7!3m6!1s0x876c7fb1a061c85f:0x7abef923798ab4ae!8m2!3d39.6945185!4d-104.9971659!16s%2Fg%2F11j64v50r4!19sChIJX8hhoLF_bIcRrrSKeSP5vno,Rocky Mountain Generator Supply Co,4.9,41,Electric generator shop,· In-store shopping · In-store pick-up,"1225 S Huron St, Denver, CO 80223, United States","M2V3+R4 Denver, Colorado, USA",http://www.rockymountaingeneratorsupply.com/,+1 303-777-6778,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ldd3jsjkLJ5iJd1r8TaRqg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=263.17032&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cherry+Creek+Denver+CO/@39.7177954,-104.950215,14z",2026-01-28T18:37:42.657Z,,
https://www.google.com/maps/place/JM+Electric+Inc./data=!4m7!3m6!1s0x83615426487ae9c7:0x55da5f496a3e696e!8m2!3d39.7764315!4d-104.846779!16s%2Fg%2F11rqgh6p3j!19sChIJx-l6SCZUYYMRbmk-aklf2lU,JM Electric Inc.,5.0,154,Electrician,,,,https://jmelectricinc.com/denver-electrician/?utm_campaign=gmb&utm_id=gbp&utm_source=denver,+1 303-732-8086,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOA-ykw_3jIeMIwnBY1M_hcLZ2Oz1yUtQ68SIdJ=w408-h538-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Cherry+Creek+Denver+CO/@39.7177954,-104.950215,14z",2026-01-28T18:37:48.352Z,,
https://www.google.com/maps/place/Salzano+Electric+Denver/data=!4m7!3m6!1s0x876b859f3421cd27:0xa1df2824503b684!8m2!3d39.7455473!4d-104.9919827!16s%2Fg%2F11jgq2ry1_!19sChIJJ80hNJ-Fa4cRhLYDRYLyHQo,Salzano Electric Denver,5.0,368,Electrician,,"1615 California St Suite 402, Denver, CO 80202, United States","P2W5+66 Denver, Colorado, USA",https://salzanoelectric.com/denver-electrician/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+1 303-276-1495,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPFf444SSvsvz0Q_QeDu9TYZChThf-5yBRCxWtr=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Cherry+Creek+Denver+CO/@39.7177954,-104.950215,14z",2026-01-28T18:37:53.600Z,,
https://www.google.com/maps/place/Red+Fox+Electric+Inc/data=!4m7!3m6!1s0x876b81765f63f903:0xd4394d402808c382!8m2!3d39.7305526!4d-105.0143259!16s%2Fg%2F11jgsv6n44!19sChIJA_ljX3aBa4cRgsMIKEBNOdQ,Red Fox Electric Inc,4.9,309,Electrician,,"877 Wyandot St, Denver, CO 80204, United States","PXJP+67 Denver, Colorado, USA",https://www.redfoxelectric.com/?utm_source=gbp&utm_medium=organic,+1 720-520-0812,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipN5d7ju2nDjszvekdqE215FjsGxQtdSZYPc6IFm=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cherry+Creek+Denver+CO/@39.7177954,-104.950215,14z",2026-01-28T18:37:58.703Z,,
https://www.google.com/maps/place/Sphere+Electric+LLC/data=!4m7!3m6!1s0x89de39ecce9bdead:0x7b216e70a6c2a606!8m2!3d39.7421328!4d-105.040861!16s%2Fg%2F11h2ng1zt_!19sChIJrd6bzuw53okRBqbCpnBuIXs,Sphere Electric LLC,5.0,112,Electrician,,"1550 N Raleigh St #229, Denver, CO 80204, United States","PXR5+VM Denver, Colorado, USA",http://www.sphereelectric.net/,+1 720-705-8991,Open · Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipP9aKZREuuo05n52Ba4RGKiJ0zVACa-Zrer6Qs5=w426-h240-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,Closed,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cherry+Creek+Denver+CO/@39.7177954,-104.950215,14z",2026-01-28T18:38:03.995Z,,
"https://www.google.com/maps/place/Absolute+Plumbing,+Electrical,+Heating+%26+Air/data=!4m7!3m6!1s0x876c7fd19fe1526d:0x6a84e9b25fe45837!8m2!3d39.7114395!4d-105.0224646!16s%2Fg%2F11xsbhdlhq!19sChIJbVLhn9F_bIcRN1jkX7LphGo","Absolute Plumbing, Electrical, Heating & Air",4.9,164,HVAC contractor,,"2789 W Alameda Ave Suite B, Denver, CO 80219, United States","PX6H+H2 Denver, Colorado, USA",https://www.absolutefix.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*490*absolute-denver,+1 720-617-0677,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOU8C-aqxsup7SLaT9ATDbI2jDG2tF7xBcLT0-R=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Cherry+Creek+Denver+CO/@39.7177954,-104.950215,14z",2026-01-28T18:38:08.854Z,,
"https://www.google.com/maps/place/Tipping+Hat+Plumbing,+Heating+%26+Electric/data=!4m7!3m6!1s0x876b86ca52279321:0xbd4479fb38bfeba9!8m2!3d39.69215!4d-104.9962986!16s%2Fg%2F11btwsprt9!19sChIJIZMnUsqGa4cRqeu_OPt5RL0","Tipping Hat Plumbing, Heating & Electric",4.7,6742,HVAC contractor,,"1395 S Platte River Dr, Denver, CO 80223, United States","M2R3+VF Denver, Colorado, USA",https://www.tippinghat.com/?utm_campaign=gmb,+1 303-222-4289,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipPb5yiNnif2dNvyilYDdFi9qGi87VjRDaP7FIUp=w408-h272-k-no,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,9 am–5 pm,9 am–4 pm,7 am–6 pm,7 am–6 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cherry+Creek+Denver+CO/@39.7177954,-104.950215,14z",2026-01-28T18:38:13.979Z,,
https://www.google.com/maps/place/Custom+Electrical+Contractors+Inc./data=!4m7!3m6!1s0x876c7f44f23363e5:0xa036585ebe44868e!8m2!3d39.7204608!4d-105.0183837!16s%2Fg%2F1vnnjx03!19sChIJ5WMz8kR_bIcRjoZEvl5YNqA,Custom Electrical Contractors Inc.,2.9,12,Electrician,,"210 Bryant St, Denver, CO 80219, United States","PXCJ+5J Denver, Colorado, USA",http://www.customelectricalcontractors.com/,+1 303-806-0464,Open · Closes 4 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LsPFOgCbVV83qEFCTxRqCg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=319.39612&pitch=0&thumbfov=100,true,7 am–4 pm,7 am–4 pm,7 am–4 pm,Closed,Closed,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cherry+Creek+Denver+CO/@39.7177954,-104.950215,14z",2026-01-28T18:38:19.134Z,,
https://www.google.com/maps/place/Mr.+Electric/data=!4m7!3m6!1s0x876c7de69e03abff:0x9c65b1dafa40f949!8m2!3d39.6990467!4d-104.9097663!16s%2Fg%2F11y4ljjcrr!19sChIJ_6sDnuZ9bIcRSflA-tqxZZw,Mr. Electric,5.0,51,Electrician,,"6795 E Tennessee Ave #401, Denver, CO 80224, United States","M3XR+J3 Denver, Colorado, USA",https://www.mrelectriclittleton.com/electrician-denver-co-electrical-repair-services,+1 720-797-9982,Open · Closes 12 am,https://lh3.googleusercontent.com/p/AF1QipORPIQFN0vc0R3RNeHARqd4tifItlG2QvEyFJhV=w466-h240-k-no,true,Open 24 hours,6 am–11:30 pm,6 am–11:30 pm,6 am–11:30 pm,6 am–11:30 pm,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Cherry+Creek+Denver+CO/@39.7177954,-104.950215,14z",2026-01-28T18:38:24.170Z,,
https://www.google.com/maps/place/Colorado+Outdoor+Power+Equipment+Inc/data=!4m7!3m6!1s0x876c7f1446669d77:0xadd1c3614317fcd1!8m2!3d39.7124122!4d-105.0049223!16s%2Fg%2F1tgq7467!19sChIJd51mRhR_bIcR0fwXQ2HD0a0,Colorado Outdoor Power Equipment Inc,4.3,153,Lawn mower repair service,"Warehouse for sales & repairs of motorized landscaping equipment such as mowers, blowers & saws.","1339 W Byers Pl, Denver, CO 80223, United States","PX6W+X2 Denver, Colorado, USA",http://coloradopowerequipment.com/,+1 303-733-4651,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPyrHBTIIEdoGU7KXePfGmkgEdci6_nTfOVt0Jr=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cherry+Creek+Denver+CO/@39.7177954,-104.950215,14z",2026-01-28T18:38:29.191Z,,
