placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,error,attributes
https://www.google.com/maps/place/SYNERGY+HomeCare/data=!4m7!3m6!1s0x88db47c81505ab2f:0x66b29aadafce6f21!8m2!3d26.602253!4d-81.974863!16s%2Fg%2F11x5n5pwlv!19sChIJL6sFFchH24gRIW_Or62asmY,SYNERGY HomeCare,,,Home health care service,"2708 Santa Barbara Blvd Unit 120, Cape Coral, FL 33914, United States","J22G+W3 Cape Coral, Florida, USA",https://www.synergyhomecare.com/fl-cape-coral-33914/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=1040,+1 239-770-4195,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipO0vI_95TZeC9l93EM-e23Tz8TUSECjCduUUBqi=w546-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2025-09-17T23:29:55.700Z,,,
https://www.google.com/maps/place/Hope+Hospice/data=!4m7!3m6!1s0x88db43c80b25bcfd:0x9b0b6c9685925ac6!8m2!3d26.682776!4d-81.920864!16s%2Fg%2F1thct43p!19sChIJ_bwlC8hD24gRxlqShZZsC5s,Hope Hospice,4.3,60,Hospice,"2430 Diplomat Pkwy E, Cape Coral, FL 33909, United States","M3MH+4M Cape Coral, Florida, USA",https://hopehospice.org/,+1 239-482-4673,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqL-nKqsOM4f44zWnDCc2EAMsrOekTOvOro6yCz17pcoP_NPFLOeozyLbyWwzb7VXtZXlLX6mroC6TpHzailoHmrTmLsHnQ28CKBKhrOYzEt9D1u50dNnk_g77otxnw885Xxofv-w=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2025-09-17T23:30:01.503Z,,,
https://www.google.com/maps/place/Hope+Hospice/data=!4m7!3m6!1s0x88db3ef97fbb299d:0xedb5d3ee9c424a5b!8m2!3d26.5116075!4d-81.9149528!16s%2Fg%2F1tk8pdbc!19sChIJnSm7f_k-24gRW0pCnO7Tte0,Hope Hospice,4.0,28,Hospice,"9470 Healthpark Cir, Fort Myers, FL 33908, United States","G36P+J2 Fort Myers, Florida, USA",https://hopehospice.org/,+1 239-482-4673,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMsRmHecl0Z2uVyoxBZdy7QCY6b9hoaM1vadoXe=w474-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2025-09-17T23:30:07.256Z,,,
https://www.google.com/maps/place/VITAS+Healthcare/data=!4m7!3m6!1s0x88db6ba70964be55:0xdb0e7e262715d290!8m2!3d26.556766!4d-81.7549477!16s%2Fg%2F11tjl7zs1k!19sChIJVb5kCadr24gRkNIVJyZ-Dts,VITAS Healthcare,2.7,15,Hospice,"12751 Westlinks Dr, Fort Myers, FL 33913, United States","H64W+P2 Fort Myers, Florida, USA",https://www.vitas.com/locations-search/lee-glades-and-hendry-counties/fort-myers-hospice-office?utm_source=google&utm_medium=locallisting&utm_content=SAT7401&y_source=1_NjEzOTc1OTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 239-744-2300,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipN-AxL1qlJcegIdvzwgLMYs0z00IdTkVQ8HUmEj=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2025-09-17T23:30:12.266Z,,,
https://www.google.com/maps/place/Enhabit+Home+Health/data=!4m7!3m6!1s0x88db6b93c6b617cd:0xc472b076b2d6beed!8m2!3d26.599238!4d-81.8320496!16s%2Fg%2F11scrptqkn!19sChIJzRe2xpNr24gR7b7WsnawcsQ,Enhabit Home Health,3.0,2,Home health care service,"3860 Colonial Blvd #200, Fort Myers, FL 33966, United States","H5X9+M5 Fort Myers, Florida, USA",https://www.ehab.com/?utm_source=gmb&utm_medium=chatmeter,+1 239-275-5233,"Open 24 hours

Confirmed by this business 5 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0j2OUAcTQBGXVP4DYBvHLQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=213.39906&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2025-09-17T23:30:17.168Z,,,
https://www.google.com/maps/place/Aviata+at+Evans/data=!4m7!3m6!1s0x88db6a8703d88f57:0xa55ea0e21338ae75!8m2!3d26.607925!4d-81.85818!16s%2Fg%2F1td77czz!19sChIJV4_YA4dq24gRda44E-KgXqU,Aviata at Evans,2.5,82,Rehabilitation center,"3735 Evans Ave, Fort Myers, FL 33901, United States","J45R+5P Fort Myers, Florida, USA",http://www.aviatahg.com/,+1 239-277-3977,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wrP9gi1DbnHyiCI7RRjoMQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=31.44958&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2025-09-17T23:30:21.987Z,,,
"https://www.google.com/maps/place/Heart,+Body+%26+Mind+Home+Care/data=!4m7!3m6!1s0x88db3ff0cad97601:0x4209553b45aabdf9!8m2!3d26.5594308!4d-81.8787949!16s%2Fg%2F11cnzwgc8m!19sChIJAXbZyvA_24gR-b2qRTtVCUI","Heart, Body & Mind Home Care",4.9,61,Home health care service,"12670 World Plaza Ln Bldg. 62, Suite 2, Fort Myers, FL 33907, United States","H45C+QF Fort Myers, Florida, USA",http://hbmhomecare.com/,+1 239-603-6455,"Open 24 hours

Updated by this business 11 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FHLmj1nDhhgBHpGwREiLAw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=259.5537&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2025-09-17T23:30:27.002Z,,,
https://www.google.com/maps/place/Hope+PACE/data=!4m7!3m6!1s0x88db46ddb0edac67:0xb2a559efab043c5a!8m2!3d26.6244147!4d-81.9722989!16s%2Fg%2F11f145qm77!19sChIJZ6ztsN1G24gRWjwEq-9ZpbI,Hope PACE,4.2,11,Senior citizen center,"1435 Santa Barbara Blvd, Cape Coral, FL 33991, United States","J2FH+Q3 Cape Coral, Florida, USA",http://hopepace.org/,+1 239-985-6400,Closed ⋅ Opens 8 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dZx_UfgnxvyUMMjXxo89Qg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=23.172232&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2025-09-17T23:30:31.972Z,,,
https://www.google.com/maps/place/VITAS+Healthcare+Inpatient+Hospice+Care/data=!4m7!3m6!1s0x88db41d0ebfac891:0xa58b4c5ab0ba6959!8m2!3d26.6284093!4d-81.8740805!16s%2Fg%2F11wmzh96zw!19sChIJkcj669BB24gRWWm6sFpMi6U,VITAS Healthcare Inpatient Hospice Care,5.0,2,Hospice,"2776 Cleveland Ave 2 West, Fort Myers, FL 33901, United States","J4HG+99 Fort Myers, Florida, USA",https://www.vitas.com/locations-search/lee-glades-and-hendry-counties/vitas-inpatient-hospice-unit-at-lee-memorial-hospital?utm_source=google&utm_medium=locallisting&utm_content=IPU7401&y_source=1_MTA4MTU3ODI5MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 863-301-5450,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipO3c0R8FtQ7nkiAo3BM77mKuUa7CCyA6O1oQEuD=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2025-09-17T23:30:36.943Z,,,
https://www.google.com/maps/place/Calusa+Harbour/data=!4m7!3m6!1s0x88db6a07962c2621:0x34687d86b3814c56!8m2!3d26.6486414!4d-81.8649436!16s%2Fg%2F1tfzy93r!19sChIJISYslgdq24gRVkyBs4Z9aDQ,Calusa Harbour,4.3,99,Assisted living facility,"2525 First St, Fort Myers, FL 33901, United States","J4XP+F2 Fort Myers, Florida, USA",https://www.fivestarseniorliving.com/communities/fl/fort-myers/calusa-harbour/?utm_source=local_google&utm_medium=organic&utm_campaign=FL_Calusa%20Harbour_55059,+1 239-332-3333,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNXT6CPCo7hLiXAtI1ETZYtrYoKOJciVl2yDJMp=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2025-09-17T23:30:41.878Z,,,
https://www.google.com/maps/place/Lee+Memorial+Hospital/data=!4m7!3m6!1s0x88db41dbf21e2623:0x5504338f72f337e3!8m2!3d26.6284093!4d-81.8740805!16s%2Fm%2F04g3mfg!19sChIJIyYe8ttB24gR4zfzco8zBFU,Lee Memorial Hospital,2.8,655,General hospital,"2776 Cleveland Ave, Fort Myers, FL 33901, United States","J4HG+99 Fort Myers, Florida, USA",https://www.leehealth.org/find-a-location/lee-memorial-hospital?utm_source=local-listing&utm_medium=organic&utm_campaign=website-link,+1 239-343-2000,,https://lh3.googleusercontent.com/p/AF1QipPxTY-KwxR1gWOB0m3Aqp8-TFazTr9ajhMgnRQT=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2025-09-17T23:30:47.036Z,,,
https://www.google.com/maps/place/Granny+Nannies+of+Lee+%26+Collier+Counties/data=!4m7!3m6!1s0x88db402e989a7ef7:0x306d0f96836fe021!8m2!3d26.5998791!4d-81.8468516!16s%2Fg%2F11_y16c10!19sChIJ936amC5A24gRIeBvg5YPbTA,Granny Nannies of Lee & Collier Counties,4.7,15,Home health care service,"4300 Ford St #106, Fort Myers, FL 33916, United States","H5X3+X7 Fort Myers, Florida, USA",https://grannynannies.com/Fort-Myers,+1 239-277-7188,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOR8zR2DJ3EEzBahMzbo9SVPi3wtelDVLs1saGa=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2025-09-17T23:30:52.180Z,Identifies as women-owned,,
https://www.google.com/maps/place/Aviata+at+North+Fort+Myers/data=!4m7!3m6!1s0x88db43d9fe7240e1:0xcab2447d7a6ddc3c!8m2!3d26.666992!4d-81.92082!16s%2Fg%2F1td4kydl!19sChIJ4UBy_tlD24gRPNxten1Esso,Aviata at North Fort Myers,2.5,71,Rehabilitation center,"991 Pondella Rd, North Fort Myers, FL 33903, United States","M38H+QM North Fort Myers, Florida, USA",http://www.aviatahg.com/,+1 239-995-8809,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nof6fgfj7HgcrbL4mwxB32zSh6wO4zD484TWD9xqjjtSCsUNEy3lTjDpQeh7ev06hIbgo0iZHZmM9UcOgQv7Vw-Bb1Dv6weIZFGRgOIAWz4klDL62w1g1moFhqE3Rhl0MhIijs=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2025-09-17T23:30:57.283Z,,,
