placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,error
https://www.google.com/maps/place/Buffalo+Psychiatric+Center/data=!4m7!3m6!1s0x89d31325dfe22963:0x6c0b7b8e9704d27c!8m2!3d42.9293549!4d-78.8814323!16zL20vMGI1Mzdt!19sChIJYyni3yUT04kRfNIEl457C2w,Buffalo Psychiatric Center,4.3,86,Psychiatric hospital,Sizable psychiatric complex designed in 1870 by a well-known architect & landscape architect.,"400 Forest Ave, Buffalo, NY 14213, United States","W4H9+PC Buffalo, New York, USA",https://www.omh.ny.gov/omhweb/facilities/bupc/,+1 716-885-2261,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyaHybojxsohxWdPDQJDWnfTfDsSrtiRw58xh7cU6yg8nCZ0VQwna18VChhvtnP6LIjcTwnJ1bYBbyTxX42BwBVz_leuyYfxgUjksPil2X3h3OE7SmkuFQ7dLsCTaiWP_d1iQaYNA=w408-h544-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-12-16T00:40:01.878Z,,
https://www.google.com/maps/place/Erie+County+Medical+Center+Psychiatry/data=!4m7!3m6!1s0x89d30d5a1c1a6c0d:0xc3f674b3ca7cca3b!8m2!3d42.9242255!4d-78.8311809!16s%2Fg%2F1jmd0f87z!19sChIJDWwaHFoN04kRO8p8yrN09sM,Erie County Medical Center Psychiatry,1.6,40,Psychiatrist,,"462 Grider St, Buffalo, NY 14215, United States","W5F9+MG Buffalo, New York, USA",http://www.ecmc.edu/medicalservices/behavioral/psychiatry.asp,+1 716-898-3169,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ad2uyiVJ8aba7mMGAiijwQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=293.19104&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-12-16T00:40:05.476Z,,
https://www.google.com/maps/place/BryLin+Hospital/data=!4m7!3m6!1s0x89d312e97ae25c63:0x254c55d31acac67c!8m2!3d42.9183778!4d-78.8677498!16s%2Fg%2F1tf6c0hs!19sChIJY1zieukS04kRfMbKGtNVTCU,BryLin Hospital,2.8,149,Psychiatric hospital,,"1263 Delaware Ave, Buffalo, NY 14209, United States","W49J+9W Buffalo, New York, USA",https://www.brylin.com/,+1 716-886-8200,Open · Closes 11 pm,https://lh3.googleusercontent.com/p/AF1QipPSTuN3iriMSHlqQHlLqOJpBBL8nMpYWBuLX8G9=w408-h306-k-no,true,7 am–11 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-12-16T00:40:10.399Z,LGBTQ+ friendly,
https://www.google.com/maps/place/ECMC+Behavioral+Health+Walk+in+Clinic/data=!4m7!3m6!1s0x89d30d82f702ceef:0xf13d78bf95c19ed9!8m2!3d42.9243441!4d-78.8311328!16s%2Fg%2F11txdk7q8l!19sChIJ784C94IN04kR2Z7Blb94PfE,ECMC Behavioral Health Walk in Clinic,2.1,10,Mental health clinic,,"462 Grider St, Buffalo, NY 14215, United States","W5F9+PG Buffalo, New York, USA",https://www.ecmc.edu/health-services-and-doctors/behavioral-health/outpatient-behavioral-health-services/help-center/,+1 716-898-1594,Open · Closes 10:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YQt_q_vz75aQN5h7xNlZXQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=259.8386&pitch=0&thumbfov=100,false,8 am–10:30 pm,8 am–10:30 pm,8 am–10:30 pm,8 am–10:30 pm,8 am–10:30 pm,8 am–10:30 pm,8 am–10:30 pm,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-12-16T00:40:15.307Z,,
https://www.google.com/maps/place/Monsignor+Carr+Institute/data=!4m7!3m6!1s0x89d312b09841de51:0xbb52358dcee564d2!8m2!3d42.9301241!4d-78.8537616!16s%2Fg%2F1thz2n4y!19sChIJUd5BmLAS04kR0mTlzo01Urs,Monsignor Carr Institute,4.2,14,Mental health clinic,,"76 Humboldt Pkwy, Buffalo, NY 14214, United States","W4JW+2F Buffalo, New York, USA",https://www.ccwny.org/services/monsignor-carr-clinics,+1 716-835-9745,Closes soon · 8 pm · Opens 9 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5it3yw0EEnh62NRPyG6otw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=39.031303&pitch=0&thumbfov=100,false,9 am–8 pm,9 am–8 pm,8:45 am–8 pm,9 am–8 pm,9 am–8 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-12-16T00:40:20.229Z,,
https://www.google.com/maps/place/Buffalo+Psychology+Group/data=!4m7!3m6!1s0x89d312b281f8ff51:0xf5179bf38a5b43f0!8m2!3d42.9367539!4d-78.8494273!16s%2Fg%2F1td2c9qy!19sChIJUf_4gbIS04kR8ENbivObF_U,Buffalo Psychology Group,5.0,1,Psychiatric hospital,,"290 Woodward Ave, Buffalo, NY 14214, United States","W5P2+P6 Buffalo, New York, USA",http://www.drunger.com/,+1 716-833-6084,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9fwJYddjd02jhxbXWnZxBA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=282.08096&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-12-16T00:40:22.992Z,,
"https://www.google.com/maps/place/Resilient+Psychiatry,+Buffalo+%28Gates+Circle%29/data=!4m7!3m6!1s0x89d3136306f7b249:0x639da5014eb0746c!8m2!3d42.9211477!4d-78.8669579!16s%2Fg%2F11w2k6fpzh!19sChIJSbL3BmMT04kRbHSwTgGlnWM","Resilient Psychiatry, Buffalo (Gates Circle)",5.0,1,Nurse practitioner,,"50 Gates Cir, Buffalo, NY 14209, United States","W4CM+F6 Buffalo, New York, USA",https://www.resilientpsychiatryny.com/?utm_source=gmb_auth,+1 716-573-1991,Closed · Opens 10 am Wed,https://lh3.googleusercontent.com/p/AF1QipNT1u8cdYTo2i1NMqD6BQqzsCYMDxYbYGrgXElx=w408-h353-k-no,true,Closed,Closed,10 am–7 pm,10 am–7 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-12-16T00:40:27.940Z,,
"https://www.google.com/maps/place/Buffalo+Psychiatric+Center/@42.9475307,-78.8507363,17z/data=!3m1!4b1!4m6!3m5!1s0x89d36d4fc1f42fbd:0xe0386ecdd2ed0782!8m2!3d42.9475307!4d-78.8507363!16s%2Fg%2F1hl3hn300",Buffalo Psychiatric Center,,,Mental health service,,"1547 Hertel Ave, Buffalo, NY 14216, United States","W4XX+2P Buffalo, New York, USA",https://omh.ny.gov/omhweb/facilities/bupc/,,,,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-12-16T00:40:32.606Z,,
https://www.google.com/maps/place/Mogerman+Michael+S+MD/data=!4m7!3m6!1s0x89d3729e1cb341e3:0x17e9e7566c6e9f19!8m2!3d42.961534!4d-78.8379918!16s%2Fg%2F1thxx61_!19sChIJ40GzHJ5y04kRGZ9ubFbn6Rc,Mogerman Michael S MD,4.6,11,Psychiatrist,,"479 Englewood Ave, Buffalo, NY 14223, United States","X566+JR Buffalo, New York, USA",,+1 716-831-9030,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=g9tca0msy-pULMAsdpOiEQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=51.41104&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-12-16T00:40:35.429Z,,
https://www.google.com/maps/place/Envision+Wellness/data=!4m7!3m6!1s0x89d36ce97b855555:0xcdd6c6823319481e!8m2!3d42.9658537!4d-78.9001311!16s%2Fg%2F11kp8cylm7!19sChIJVVWFe-ls04kRHkgZM4LG1s0,Envision Wellness,3.7,3,Mental health clinic,,"406 Vulcan St, Buffalo, NY 14207, United States","X38X+8W Buffalo, New York, USA",http://envisionwellnesswny.com/,+1 716-877-6763,Closed · Opens 9 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=J4YCuHMRcSGKG7iccbcOLw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=317.16135&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-12-16T00:40:40.256Z,,
https://www.google.com/maps/place/University+Psychiatry+Practice/data=!4m7!3m6!1s0x89d30d5a82e96341:0x177ffffc2df3706b!8m2!3d42.9254225!4d-78.8313324!16s%2Fg%2F1tf16w16!19sChIJQWPpgloN04kRa3DzLfz_fxc,University Psychiatry Practice,,,Psychiatrist,,"462 Grider St, Buffalo, NY 14215, United States","W5G9+5F Buffalo, New York, USA",https://www.ubmd.com/practice-locations/practices/psychiatry.html,+1 716-898-4857,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LN032fhnhZU8H70uJORrog&cb_client=search.gws-prod.gps&w=408&h=240&yaw=269.68976&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-12-16T00:40:42.893Z,,
https://www.google.com/maps/place/Western+New+York+Children%27s+Psychiatric+Center/data=!4m7!3m6!1s0x89d37269ddadd807:0x11bfbd4def21868b!8m2!3d42.986792!4d-78.8154003!16s%2Fg%2F11bx5r34jm!19sChIJB9it3Wly04kRi4Yh7029vxE,Western New York Children's Psychiatric Center,3.5,31,Mental health clinic,,"575 Alberta Dr Suite 2, Amherst, NY 14226, United States","X5PM+PR Tonawanda Town, New York, USA",http://www.omh.ny.gov/,+1 716-832-0720,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PUkK6Dx9_jFczoeBds63uw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=254.18321&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-12-16T00:40:45.703Z,,
https://www.google.com/maps/place/Horizon+Health+Services:+Hertel+Elmwood+Recovery+Center/data=!4m7!3m6!1s0x89d36d29fbcb2f7b:0x21196811b30da642!8m2!3d42.9465111!4d-78.8827921!16s%2Fg%2F1tr9pdcp!19sChIJey_L-ylt04kRQqYNsxFoGSE,Horizon Health Services: Hertel Elmwood Recovery Center,3.1,53,Mental health service,,"699 Hertel Ave # 350, Buffalo, NY 14207, United States","W4W8+JV Buffalo, New York, USA",http://www.horizon-health.org/,+1 716-831-1977,Closed · Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipN8KdwhLIKoYE0M6OIMDZnOksggAJ1Ab1ZGLuNQ=w408-h272-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–6 pm,8 am–1 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-12-16T00:40:50.717Z,,
https://www.google.com/maps/place/Dr.+Biswarup+Ghosh/data=!4m7!3m6!1s0x89d30d50bcd02471:0x6d456d4018abad82!8m2!3d42.9280788!4d-78.8314052!16s%2Fg%2F11rwxg1jsm!19sChIJcSTQvFAN04kRgq2rGEBtRW0,Dr. Biswarup Ghosh,5.0,1,Psychiatrist,,"462 Grider St, Buffalo, NY 14215, United States","W5H9+6C Buffalo, New York, USA",,+1 716-898-3000,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=q8lenMINVUWykXXXICC8cw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=143.96677&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-12-16T00:40:53.356Z,,
"https://www.google.com/maps/place/Buffalo+Psychiatry,+P.C./data=!4m7!3m6!1s0x89d373c9f9f27a47:0x5cf27bac3afd1513!8m2!3d42.9908797!4d-78.7869615!16s%2Fg%2F11cnrdq8b_!19sChIJR3ry-clz04kRExX9Oqx78lw","Buffalo Psychiatry, P.C.",3.5,15,Psychiatrist,,"37 Maple Rd, Buffalo, NY 14221, United States","X6R7+96 Buffalo, New York, USA",http://buffalo-psychiatry.com/,+1 716-633-8080,,https://lh3.googleusercontent.com/p/AF1QipOMY8oTmypT36gKgUBT3XH2yMBRZVXrMgz4t0BU=w631-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-12-16T00:40:56.061Z,,
