placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,info,attributes
https://www.google.com/maps/place/The+Door+Man+-+Garage+Doors+%26+Openers/data=!4m7!3m6!1s0x8099685555555555:0x34d29560a79b38dd!8m2!3d39.527553!4d-119.799458!16s%2Fg%2F11b75f1nn8!19sChIJVVVVVVVomYAR3Tibp2CV0jQ,The Door Man - Garage Doors & Openers,5.0,111,Garage door supplier,"845 E 2nd St, Reno, NV 89502, United States","G6H2+26 Reno, Nevada, USA",https://www.thedoorman.com/,+1 775-830-4444,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipN-nHeKx92aG-rq559FY28g7Y6r35FHL5vV1W_x=w408-h306-k-no,true,7 am–7 pm,8 am–3 pm,10 am–2 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/garage+door+services+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-11-07T23:09:58.758Z,,
https://www.google.com/maps/place/A1+Garage+Door+Service/data=!4m7!3m6!1s0x80993f184bec91b3:0x21c9b53000f4f131!8m2!3d39.5260064!4d-119.7448661!16s%2Fg%2F11j4dq9kl4!19sChIJs5HsSxg_mYARMfH0ADC1ySE,A1 Garage Door Service,4.8,1360,Garage door supplier,"1250 E Greg St Suite 1, Sparks, NV 89431, United States","G7G4+C3 Sparks, Nevada, USA",https://a1garage.com/locations/nevada/sparks/garage-door-repair-and-installation-89431-p.html?utm_source=google&utm_medium=organic&utm_campaign=gbpwebsite[sparks],+1 775-490-2713,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNvwErVhb3sDXWcb07fVhlLckqs02-m_KIeQ4-m=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-11-07T23:10:04.489Z,,
https://www.google.com/maps/place/Thompson+Garage+Doors/data=!4m7!3m6!1s0x80993f49b317d55b:0x53d4011c21186ab7!8m2!3d39.5324558!4d-119.7678812!16s%2Fg%2F1tjmdxfh!19sChIJW9UXs0k_mYARt2oYIRwB1FM,Thompson Garage Doors,4.6,132,Garage door supplier,"171 S 18th St, Sparks, NV 89431, United States","G6JJ+XR Sparks, Nevada, USA",http://www.thompsongaragedoors.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,+1 775-356-6601,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPWXqXAiz7qXWeGvua1L10oUiB2TWTO0G1vQl5X=w408-h337-k-no,true,8 am–5 pm,9 am–1 pm,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-11-07T23:10:09.878Z,,
https://www.google.com/maps/place/Toni%27s+Garage+Doors/data=!4m7!3m6!1s0x80993f22f579d7f9:0x83a3e72009037c70!8m2!3d39.5290464!4d-119.7430404!16s%2Fg%2F11v9v4ztny!19sChIJ-dd59SI_mYARcHwDCSDno4M,Toni's Garage Doors,4.9,259,Garage door supplier,"15 Glen Carran Cir, Sparks, NV 89431, United States","G7H4+JQ Sparks, Nevada, USA",http://tonisgaragedoors.com/,+1 775-857-9757,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMPJQjuKjScuIc0U9KYi_09YzbZ5f9EgSiQsujf=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-11-07T23:10:14.966Z,,
https://www.google.com/maps/place/Elite+Garage+Door+Service/data=!4m7!3m6!1s0x80994bc000000001:0xb070cdcfef7400b0!8m2!3d39.5908128!4d-119.8175876!16s%2Fg%2F11b6hsmpmy!19sChIJAQAAAMBLmYARsAB078_NcLA,Elite Garage Door Service,4.9,838,General contractor,"425 Western Rd, Reno, NV 89506, United States","H5RJ+8X Reno, Nevada, USA",https://www.elitegaragedoorsreno.com/,+1 775-323-3667,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOni3npgGuy64YRBCc9cD1yVLPDEbd9M4BUCnIo=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-11-07T23:10:20.176Z,,
https://www.google.com/maps/place/A1+Garage+Door+Service/data=!4m7!3m6!1s0x809941fc9c53bdd7:0xa457d77ffbba8803!8m2!3d39.4931172!4d-119.8058124!16s%2Fg%2F11sjtyhl_9!19sChIJ171TnPxBmYARA4i6-3_XV6Q,A1 Garage Door Service,4.9,526,Garage door supplier,"3500 Lakeside Ct # 150, Reno, NV 89509, United States","F5VV+6M Reno, Nevada, USA",https://a1garage.com/locations/nevada/reno/garage-door-repair-and-installation-89509-s.html?utm_source=google&utm_medium=organic&utm_campaign=gbpwebsite[reno],+1 775-210-0239,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPl9muRqTnxutqjE8KtPgfBD9eTUKdE3eLI2iOi=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-11-07T23:10:30.480Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Summit+Overhead+Door/data=!4m7!3m6!1s0x80993f0a06e79baf:0xcdea785812fb796d!8m2!3d39.5297126!4d-119.7404981!16s%2Fg%2F11wnsr8bqy!19sChIJr5vnBgo_mYARbXn7Elh46s0,Summit Overhead Door,5.0,31,Repair service,"96 Glen Carran Cir #103, Sparks, NV 89431, United States","G7H5+VR Sparks, Nevada, USA",https://summitoverheaddoor.com/,+1 775-516-1911,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipNBjck1RSkaOsjcXlT-5ZXBfLqAyvw_1srG6vEQ=w408-h306-k-no,true,7 am–3 pm,Closed,Closed,7 am–3 pm,7 am–3 pm,7 am–3 pm,7 am–3 pm,"https://www.google.com/maps/search/garage+door+services+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-11-07T23:10:35.831Z,,
https://www.google.com/maps/place/Precision+Garage+Door+of+Reno/data=!4m7!3m6!1s0x809947c55a08b5a9:0x827822754f9a52af!8m2!3d39.5221493!4d-119.8375404!16s%2Fg%2F11w7mjygnh!19sChIJqbUIWsVHmYARr1KaT3UieII,Precision Garage Door of Reno,4.9,172,Garage door supplier,"2134 Dickerson Rd, Reno, NV 89503, United States","G5C6+VX Reno, Nevada, USA",https://www.garagedoorreno.com//?utm_source=gmb&utm_medium=location_reno&utm_campaign=website,+1 775-984-6175,Open ⋅ Closes 11 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz6XaZ9x5ZXOR_kxJmtRvhBFL70S_zYkahQw_DFkTIIfV5Xa5BWWSqGfdvRgbzVIGt-Lb0dOplHvbcTrKZ9MMJDKboLjIAIDGVswNINvF9JCYVQpwnAEksY-Me1Pzv8E0qICtfNhX4b15eb=w408-h306-k-no,true,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,"https://www.google.com/maps/search/garage+door+services+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-11-07T23:10:40.847Z,,
https://www.google.com/maps/place/Overhead+Door+Co.+of+Sierra+Nevada-Reno+Inc./data=!4m7!3m6!1s0x809940bc2224416f:0xc33792db253e8284!8m2!3d39.5130576!4d-119.8057842!16s%2Fg%2F1tcyl8qb!19sChIJb0EkIrxAmYARhII-JduSN8M,Overhead Door Co. of Sierra Nevada-Reno Inc.,4.5,51,Garage door supplier,"1290 Holcomb Ave, Reno, NV 89502, United States","G57V+6M Reno, Nevada, USA",http://overheaddoorreno.com/,+1 775-322-4621,Closes soon ⋅ 3:45 pm ⋅ Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipOsWNUOJfKvFrXQKkJ1KkW8ysNAXQGCLTCx8A3s=w408-h408-k-no,true,7:30 am–3:45 pm,Closed,Closed,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,"https://www.google.com/maps/search/garage+door+services+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-11-07T23:10:46.091Z,,
https://www.google.com/maps/place/Hanson+Overhead+Garage+Door+Service/data=!4m7!3m6!1s0x80993fa8da1f2edf:0x840ce5c41064b98c!8m2!3d39.5274089!4d-119.7403826!16s%2Fg%2F11j37lvcvq!19sChIJ3y4f2qg_mYARjLlkEMTlDIQ,Hanson Overhead Garage Door Service,2.6,8,Garage door supplier,"155 E Glendale Ave STE 18B, Sparks, NV 89431, United States","G7G5+XR Sparks, Nevada, USA",http://renosparksgaragedoors.com/,+1 775-885-8686,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOg9MIrOgw2ETL97gUosMk8Xbmbxv9LfrFd6CjJ=w426-h240-k-no,true,7 am–5 pm,7 am–5 pm,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-11-07T23:10:51.576Z,,
