placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,attributes,isBlackOwned
https://www.google.com/maps/place/Athletico+Physical+Therapy+-+Flower+Mound/data=!4m7!3m6!1s0x864c2dada28a807b:0xaddd0b5dbfa5406a!8m2!3d33.036613!4d-97.070748!16s%2Fg%2F11q8tnd_43!19sChIJe4CKoq0tTIYRakClv10L3a0,Athletico Physical Therapy - Flower Mound,4.9,160,Physical therapy clinic,"2704 Cross Timbers Rd #90, Flower Mound, TX 75028, United States","2WPH+JP Flower Mound, Texas, USA",https://www.athletico.com/locations/flower-mound-tx/?utm_source=google-flowermoundTX&utm_medium=web&utm_campaign=google-listings,+1 469-830-9400,"Closed ⋅ Opens 7 am Mon

Confirmed by this business 11 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPcwy--xGwotNFT0xmWLhTAyPNu2uqlwXzZle2V=w408-h306-k-no,true,Closed,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–6 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-28T23:02:51.548Z,,,
https://www.google.com/maps/place/Vivo+Infusion+Flower+Mound/data=!4m7!3m6!1s0x864c2da6c0026547:0x119048418bedde8f!8m2!3d33.0442225!4d-97.0688778!16s%2Fg%2F11jn6cm0fp!19sChIJR2UCwKYtTIYRj97ti0FIkBE,Vivo Infusion Flower Mound,5.0,41,Medical clinic,"2560 Central Park Ave Suite 295, Flower Mound, TX 75028, United States","2WVJ+MC Flower Mound, Texas, USA",https://vivoinfusion.com/locations/flower-mound/,+1 972-598-0010,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipM53-sGnht-W_cNjgvomwYCQ8JQ31rhLokaXHsD=w408-h306-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-28T23:02:57.316Z,,,
https://www.google.com/maps/place/Vita+10+IV+Therapy/data=!4m7!3m6!1s0x864c2dcc7b63e999:0x321ba3d13561cb19!8m2!3d33.0448666!4d-97.0706356!16s%2Fg%2F11rz7nwh1b!19sChIJmelje8wtTIYRGcthNdGjGzI,Vita 10 IV Therapy,4.9,118,IV therapy service,"4320 Windsor Centre Trail #100, Flower Mound, TX 75028, United States","2WVH+WP Flower Mound, Texas, USA",https://vita10therapy.com/flower-mound/?utm_source=gbp&utm_medium=button&utm_campaign=gbp-website&utm_content=website,+1 214-513-8482,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipMTJy9oBWVw5H1qHw5_vlJIZX9k-whBVMuPA-gK=w426-h240-k-no,true,Closed,9 am–6:30 pm,9 am–6:30 pm,9 am–6:30 pm,9 am–6:30 pm,9 am–6:30 pm,10 am–4 pm,"https://www.google.com/maps/search/Infusion+centers+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-28T23:03:03.289Z,,,
https://www.google.com/maps/place/4Ever+Young+Med+Spa+%26+Wellness+Center+-+Flower+Mound/data=!4m7!3m6!1s0x864dd3f2588048bd:0x51602b784e1abf9c!8m2!3d33.0400605!4d-97.0963673!16s%2Fg%2F11sqpwy7rg!19sChIJvUiAWPLTTYYRnL8aTngrYFE,4Ever Young Med Spa & Wellness Center - Flower Mound,5.0,306,Medical spa,"4251 Cross Timbers Rd #160, Flower Mound, TX 75022, United States","2WR3+2F Flower Mound, Texas, USA",https://4everyoungantiaging.com/flower-mound/?utm_source=google&utm_medium=organic&utm_campaign=gbp-flower-mound,+1 469-658-4800,Closed ⋅ Opens 10 am Tue,https://lh3.googleusercontent.com/p/AF1QipO0rJlhm83Y-jE7OEvAEw-6IqlRj06XJJQ1ab8l=w408-h272-k-no,true,Closed,Closed,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–4 pm,"https://www.google.com/maps/search/Infusion+centers+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-28T23:03:08.252Z,,,
"https://www.google.com/maps/place/NeuroGlow+Ketamine+Infusion+Therapy+for+Depression,+Anxiety,+%26+PTSD/data=!4m7!3m6!1s0x864c2d4db95cd475:0xb91e21eb534c62e4!8m2!3d33.052435!4d-97.0752655!16s%2Fg%2F11qnjp_nbh!19sChIJddRcuU0tTIYR5GJMU-shHrk","NeuroGlow Ketamine Infusion Therapy for Depression, Anxiety, & PTSD",5.0,58,Mental health service,"4961 Long Prairie Rd Suite 110, Flower Mound, TX 75028, United States","3W2F+XV Flower Mound, Texas, USA",https://www.neuroglow.com/?utm_source=google,+1 800-975-3859,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipMBTCDGdPPS7s2a31nLXs4_OEnUheAKNimEouM=w426-h240-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–2 pm,"https://www.google.com/maps/search/Infusion+centers+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-28T23:03:13.477Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Texas+Oncology-Flower+Mound/data=!4m7!3m6!1s0x864c2d682e0fa30b:0xfcdcc96fbfa91f34!8m2!3d33.0454728!4d-97.0675375!16s%2Fg%2F1261lq379!19sChIJC6MPLmgtTIYRNB-pv2_J3Pw,Texas Oncology-Flower Mound,3.3,51,Cancer treatment center,"4370 Medical Arts Dr Suite 100, Flower Mound, TX 75028, United States","2WWJ+5X Flower Mound, Texas, USA",https://www.texasoncology.com/cancer-centers/flower-mound/flower-mound/medical-oncology,+1 972-537-4100,Closed ⋅ Opens 8:30 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np4Pz9Y5rqstaSsWmFzHi96I5mbNvO3oDAH7MEWCOxLvuNP4Mp0CNNd7TzCIYoDvQT2qWcPeLbO3-bhH9RuDhq89eeHfHW0p1Ygk4vvBtw7GBiRgWgU97I_Ygy5kwbSLSoxmSpG7w=w408-h306-k-no,true,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-28T23:03:18.606Z,,,
https://www.google.com/maps/place/VIO+Med+Spa/data=!4m7!3m6!1s0x864c2d526bef87cf:0xbe31a318cf5aa2e5!8m2!3d33.0345413!4d-97.0712653!16s%2Fg%2F11y766z16k!19sChIJz4fva1ItTIYR5aJazxijMb4,VIO Med Spa,5.0,143,Medical spa,"2701 Cross Timbers Rd #224, Flower Mound, TX 75028, United States","2WMH+RF Flower Mound, Texas, USA",https://www.viomedspa.com/locations/flowermound,+1 214-222-5823,Closed ⋅ Opens 10 am Mon,https://lh3.googleusercontent.com/p/AF1QipNRweBL6VroacDNoRya7CdKLk_N87ckdX6pHuEr=w426-h240-k-no,true,Closed,10 am–5 pm,10 am–7 pm,10 am–5 pm,10 am–7 pm,10 am–5 pm,9 am–3 pm,"https://www.google.com/maps/search/Infusion+centers+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-28T23:03:23.847Z,Identifies as women-owned,,
https://www.google.com/maps/place/Ketamine+Care/data=!4m7!3m6!1s0x864c2d1b1a43d493:0x860dc2e9710a17da!8m2!3d33.0357005!4d-97.0641419!16s%2Fg%2F11sh4j1lgl!19sChIJk9RDGhstTIYR2hcKcenCDYY,Ketamine Care,5.0,1,Psychiatrist,"2321 Olympia Dr # 100, Flower Mound, TX 75028, United States","2WPP+78 Flower Mound, Texas, USA",https://www.ketaminecare.net/,+1 214-935-5688,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=A49p3DOqNz0U4Ox-svlDbw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=273.98752&pitch=0&thumbfov=100,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-28T23:03:28.803Z,,,
https://www.google.com/maps/place/The+Vein+Clinic+of+Dallas/data=!4m7!3m6!1s0x864c2de4873630bb:0xee70ebb5f4c6f7b3!8m2!3d33.0344322!4d-97.0760162!16s%2Fg%2F11rhr08bz3!19sChIJuzA2h-QtTIYRs_fG9LXrcO4,The Vein Clinic of Dallas,5.0,306,Medical clinic,"3051 Churchill Dr #116, Flower Mound, TX 75022, United States","2WMF+QH Flower Mound, Texas, USA",https://veinclinicofdallas.com/,+1 469-846-8346,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMvRMByAefXlKVz9yJKPYffVnJXqKIoopMrqTDd=w408-h291-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–3 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-28T23:03:33.926Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/IVX+Health+Infusion+Center/data=!4m7!3m6!1s0x864c33943982e10d:0x5bb6004228e49859!8m2!3d33.0656074!4d-97.0794053!16s%2Fg%2F11xcv491kh!19sChIJDeGCOZQzTIYRWZjkKEIAtls,IVX Health Infusion Center,,,Medical clinic,"5810 Long Prairie Rd #600, Flower Mound, TX 75028, United States","3W8C+66 Flower Mound, Texas, USA",http://www.ivxhealth.com/locations/texas/dallas/flower-mound,+1 469-788-7273,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipMqc8NjtYSNktkT662JujhQkKmf1YjtGeUoc46A=w426-h240-k-no,true,Closed,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,10 am–3 pm,"https://www.google.com/maps/search/Infusion+centers+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-28T23:03:38.796Z,,,
