placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,attributes,error
https://www.google.com/maps/place/Dryfix+Preservation+Ltd/data=!4m7!3m6!1s0x4879312c6fb3b7a7:0xf58d6e317059821!8m2!3d53.9671795!4d-1.1202383!16s%2Fg%2F1td5l69k!19sChIJp7ezbywxeUgRIZgFF-PWWA8,Dryfix Preservation Ltd,5.0,118,Water damage restoration service,"Unit 4, Dryfix Preservation Ltd, Isis Court, Rosetta Way, Acomb, York YO26 5NA, United Kingdom","XV8H+VW York, UK",http://www.dryfix.net/,+44 1904 791388,Closed · Opens 9 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq6TaYk0c8LW7KpdDv9inSTainyHzlMDhLd5Dk43LnIKVnsRXTx24-i33sL-o24xNSqSxxw8u80vJVVTnlkx70XSrfUZ5UVj3yhEfIC778oFUOwZl4pk7Ct5gIzYwcuOyvb6u8t=w408-h271-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-03-23T03:55:23.685Z,,,
https://www.google.com/maps/place/Allerton+Damp+Proofing+York/data=!4m7!3m6!1s0x487931a8ceafffff:0xf44b65db7098c067!8m2!3d53.9584354!4d-1.0815565!16s%2Fg%2F11f_c_dsyg!19sChIJ__-vzqgxeUgRZ8CYcNtlS_Q,Allerton Damp Proofing York,4.7,94,Water damage restoration service,"York Hub Popes Head Court Offices, Peter Ln, York YO1 8SU, United Kingdom","XW59+99 York, UK",https://www.alldamp.co.uk/damp-proofing-york?utm_source=googlemybusinessyork&utm_medium=organic&utm_campaign=Google+My+Business+York,+44 1904 295337,Closed · Opens 8 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqPR3Fjeay6o2NvttpJyFhoVNcUfM8x5xQaxP9yn_HoARoB_0tYiRaQWIWaq_2R-kZmEMVYU9WTNelKzgBjK6dLXT_stlfuN7TukAhgaR-UyUOXgGIee8G2P-zx-H-9zJ3BR5bd=w408-h271-k-no,true,8 am–7:30 pm,8 am–7:30 pm,8 am–7:30 pm,8 am–7:30 pm,8 am–7:30 pm,8 am–7:30 pm,8 am–7:30 pm,"https://www.google.com/maps/search/water+damage+restoration+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-03-23T03:55:29.153Z,Identifies as women-owned,,
https://www.google.com/maps/place/Scott+Gomersall/data=!4m7!3m6!1s0x4879312c4b01efb7:0x39bc51b41b2b3913!8m2!3d53.9671633!4d-1.0701902!16s%2Fg%2F11g4hlsp11!19sChIJt-8BSywxeUgREzkrG7RRvDk,Scott Gomersall,5.0,21,Water damage restoration service,"Musgrave House, 15 St John's Walk, Heworth, York YO31 7SF, United Kingdom","XW8H+VW York, UK",http://www.scottgomersall.com/,+44 7917 890488,Closed · Opens 9 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer07cKLPFkxxNOAmwHS8O4XVzDRez66JMng8J_W_LvNfCRfs7mF_fAYPtV9DHbUrctTRxzIuKs4G-QiwWTdRYNVrqAhKwfPl6ShXxHxr5Lqq765gNsuVGBlWi0Qdt23zj2FRiXb=w408-h340-k-no,true,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–12 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-03-23T03:55:34.383Z,,,
https://www.google.com/maps/place/Damps+Damp+Proofing/data=!4m7!3m6!1s0x4879312efa302b65:0xde981da7aaa0678b!8m2!3d53.9510754!4d-1.0860278!16s%2Fg%2F11yhfbzy7d!19sChIJZSsw-i4xeUgRi2egqqcdmN4,Damps Damp Proofing,5.0,6,Water damage restoration service,"10 Scarcroft Rd, York YO23 1NB, United Kingdom","XW27+CH York, UK",https://damps.co.uk/damp-proofing-york/,+44 1904 530782,Closed · Opens 8 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkmS3iO79e--l6n3v_2PsxE3zWksOM80vsuATnlVPmezLOMAKfi3Mbe1D-qb8PbzEhetuQYLTvP39-GDLdVkycg5wGudhTwORm--5Kq4ZEjRoZ8R03BNekHSXZVVSBoiokZcTCnPF2Bhxl=w408-h272-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-03-23T03:55:39.104Z,,,
https://www.google.com/maps/place/Rainbow+Restoration+-+York+%26+Yorkshire+Coast/data=!4m7!3m6!1s0x48792f6c8741b4b5:0xcf406f94215b2ffa!8m2!3d53.9748468!4d-1.1344493!16s%2Fg%2F1tjv30bz!19sChIJtbRBh2wveUgR-i9bIZRvQM8,Rainbow Restoration - York & Yorkshire Coast,5.0,9,Water damage restoration service,"Unit 8, London Ebor Business Park, Millfield Ln, Nether Poppleton, York YO26 6QY, United Kingdom","XVF8+W6 Nether Poppleton, York, UK",https://york.rainbow-int.co.uk/,+44 1904 607777,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoOwTPmpEFez8cfCG1xnERc5NQA0g0RTjBfW5mD3NErmMEzFIvrfsg8wFzTSZfNKN3YIMpMO0SRKcOtxr31WnHdbL1ACEVomvnciR_nWOk2Mkmlxsmq591i-_tDH8xpwDVl6daa=w408-h276-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-03-23T03:55:43.862Z,,,
https://www.google.com/maps/place/Mr+Xpert+Damp+Proofing+York+Ltd/data=!4m7!3m6!1s0x486e17a4ab59fcfb:0x270e94153d9bd29c!8m2!3d53.9592081!4d-1.0795052!16s%2Fg%2F11qg97f4ph!19sChIJ-_xZq6QXbkgRnNKbPRWUDic,Mr Xpert Damp Proofing York Ltd,5.0,1,Contractor,"3 Whip-Ma-Whop-Ma Gate, York YO1 8BL, United Kingdom","XW5C+M5 York, UK",,+44 1904 935455,Closed · Opens 8 am,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cwV3APEQDytTIczW7i4T9w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=267.34354&pitch=0&thumbfov=100,false,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-03-23T03:55:48.648Z,,,
https://www.google.com/maps/place/HPS+Damp+Proofing+-+York/data=!4m7!3m6!1s0x487931bb94ee450f:0xfa9a6211820042c9!8m2!3d53.9676408!4d-1.0782192!16s%2Fg%2F11zkby093w!19sChIJD0XulLsxeUgRyUIAghFimvo,HPS Damp Proofing - York,5.0,6,Waterproofing service,"47 Eldon St, York YO31 7NE, United Kingdom","XW9C+3P York, UK",https://hpsdampproofingyork.co.uk/,+44 7535 984049,Closed · Opens 9 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepDPdS2xYtn5yo-pQ2xleVgRPz-Ow-2u7davHXwy2UPHp3R96Whs__9AMno8KA_K7yH8zMUzkSREHoN1RCJmA8GgETozy2pgD9Pu3wGlIPJUdYrKxXhgnFdJ_SHbOq6GZ1PRctfO2GlbFfR=w426-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-03-23T03:55:53.424Z,,,
https://www.google.com/maps/place/Fresh+Air+Floorcare/data=!4m7!3m6!1s0x4879313c8492ce35:0xfc3db0306d8ed93b!8m2!3d53.967434!4d-1.0677786!16s%2Fg%2F11j7gy29cv!19sChIJNc6ShDwxeUgRO9mObTCwPfw,Fresh Air Floorcare,5.0,317,Flooring contractor,"Apartment 6, Milan House, Eboracum Wy, Heworth, York YO31 7SS, United Kingdom","XW8J+XV York, UK",http://www.freshaircleaners.co.uk/,+44 1904 900208,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo2k6EtW0xCIFQAKYL9jctVZR8wx2FaYM3HdXp1FwxYsDznYxwqTfk0QP_C9_61xQpj4nnFLdnAG-HIrfai0rJi2lprhQgBI5wQAq9vwN2poTv7tR9pkSy3vI9V-K28NUB1q36k=w408-h725-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-03-23T03:55:58.503Z,,,
https://www.google.com/maps/place/SDM+Interiors+York/data=!4m7!3m6!1s0x487e827b8d63c9d5:0x42d9196ed9c2abf9!8m2!3d53.9870133!4d-1.1191245!16s%2Fg%2F1q5blm8hh!19sChIJ1cljjXuCfkgR-avC2W4Z2UI,SDM Interiors York,5.0,25,Flooring contractor,"20 Manor Ln, Rawcliffe, York YO30 5TX, United Kingdom","XVPJ+R9 Rawcliffe, York, UK",https://sdminteriors.co.uk/,+44 7796 622393,Closed · Opens 9 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAweovbz_qBUI4CVvMnBilj3jMphUmS3qTLFMRhd6AQPX5Fu8QWvMY-Nia0SLKMFx9Ouo2H13feHSQQvWkZozGuW7aYjYWCCmOvE58iFKTHZF1mUNXqG_fuDFlOaRYLX1y-HCQWbNWXxTX-dy_=w408-h336-k-no,true,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-03-23T03:56:03.423Z,,,
https://www.google.com/maps/place/UK+Leak+Detection/data=!4m7!3m6!1s0x48793117a79c7a3b:0x508fca5e2ba4a575!8m2!3d51.5567287!4d-1.603574!16s%2Fg%2F11g1dt0xr1!19sChIJO3qcpxcxeUgRdaWkK17Kj1A,UK Leak Detection,5.0,15,Plumber,,,http://www.ukleakdetection.co.uk/,+44 800 228 9070,Closed · Opens 8:30 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAweps-3BGUv91O7VF5wTYL0AJC07Ml29CKD8kmpfawAfUsPyKmE2HRBIZxKKU66J_K_JK3x4kjwVDCwXdcB-gQO-ZG-U5WrZnxjPz-q6Ld3IX-2juPPbxN46-0LMQ_0eubr9nJVa7=w410-h240-k-no,true,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,9 am–12 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-03-23T03:56:08.051Z,,,
