placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,error,attributes
https://www.google.com/maps/place/Sojourn+Hospice+and+Palliative+Care/data=!4m7!3m6!1s0x54d2edea55344963:0x834a7bd210958b46!8m2!3d40.5768277!4d-122.3538221!16s%2Fg%2F11h38h6s2q!19sChIJY0k0Vert0lQRRouVENJ7SoM,Sojourn Hospice and Palliative Care,5.0,2,Hospice,"2150 Churn Crk Rd #150, Redding, CA 96002, United States","HJGW+PF Redding, California, USA",http://www.sojournhospice.com/,+1 855-472-3892,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YVWtZw-fZlx-m7XMoL9XbA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=239.45313&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-09-17T23:57:49.557Z,,,
https://www.google.com/maps/place/Bristol+Hospice+-+Redding/data=!4m7!3m6!1s0x54d2ed6dd6e01a55:0xc34620b5aa4f59c7!8m2!3d40.5725108!4d-122.3645753!16s%2Fg%2F11n045y8fl!19sChIJVRrg1m3t0lQRx1lPqrUgRsM,Bristol Hospice - Redding,4.6,36,Hospice,"415 Knollcrest Dr #140b, Redding, CA 96002, United States","HJFP+25 Redding, California, USA",https://bristolhospice-redding.com/,+1 855-472-3892,"Open 24 hours

Confirmed by this business 7 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=y_heet0RQLIr2QVKpXpXWQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=227.51674&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-09-17T23:57:54.432Z,,,
https://www.google.com/maps/place/Dignity+Health+Mercy+Hospice/data=!4m7!3m6!1s0x54d2ece19209cba1:0x381e56157f13192d!8m2!3d40.5835747!4d-122.390975!16s%2Fg%2F11d_w_pfbr!19sChIJocsJkuHs0lQRLRkTfxVWHjg,Dignity Health Mercy Hospice,4.3,6,Medical clinic,"1544 Market St, Redding, CA 96001, United States","HJM5+CJ Redding, California, USA",https://locations.dignityhealth.org/dignity-health-home-and-hospice-redding-ca,+1 530-245-4070,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lxhGGKIfL_Eb9EVCfF4AGg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=69.682625&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-09-17T23:57:58.822Z,,,
https://www.google.com/maps/place/Interim+HealthCare+of+Redding/data=!4m7!3m6!1s0x54d2ecb64d8abb7b:0x23b0fc4d6aa1444b!8m2!3d40.5781304!4d-122.3547731!16s%2Fg%2F1tf5dgrl!19sChIJe7uKTbbs0lQRS0Shak38sCM,Interim HealthCare of Redding,3.4,17,Home health care service,"905 Mistletoe Ln, Redding, CA 96002, United States","HJHW+73 Redding, California, USA",https://www.interimhealthcare.com/location/redding-ca,+1 530-221-1212,"Open 24 hours

Confirmed by this business 12 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNMGZiVUmBEXsrY3uiQ8BEG3cYxmZHdA3MUctKK=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-09-17T23:58:03.604Z,,,
https://www.google.com/maps/place/Visiting+Angels+Senior+Home+Care+Redding/data=!4m7!3m6!1s0x54d2eb5793e346a3:0x9eb5d9720531bf8d!8m2!3d40.5629311!4d-122.3401848!16s%2Fg%2F1tnbkw71!19sChIJo0bjk1fr0lQRjb8xBXLZtZ4,Visiting Angels Senior Home Care Redding,4.8,46,Home health care service,"3050 Victor Ave #B, Redding, CA 96002, United States","HM75+5W Redding, California, USA",https://www.visitingangels.com/redding/home?utm_source=gmb&utm_medium=organic&utm_campaign=local,+1 530-223-2400,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPzTdGrOF6YLlfjssn5sPmb2DSHpIKouso61s-0=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-09-17T23:58:08.258Z,,,
https://www.google.com/maps/place/Shasta+Family+Health+Care+Services/data=!4m7!3m6!1s0x54d2c18ae147169d:0xf3bd62ac70ad7fb2!8m2!3d40.4511112!4d-122.2925324!16s%2Fg%2F11sv2nfxhs!19sChIJnRZH4YrB0lQRsn-tcKxivfM,Shasta Family Health Care Services,5.0,1,Home health care service,"Suite A, 2350 Balls Ferry Rd, Anderson, CA 96007, United States","FP24+CX Anderson, California, USA",http://www.shastafamily.com/,+1 530-378-5283,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipPOFaLMRCkr1BKBLSyVUuyDM5t5bhoe2DktogFk=w426-h240-k-no,true,10 am–6 pm,10 am–6 pm,11 am–4 pm,Closed,Closed,10 am–6 pm,10 am–6 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-09-17T23:58:12.702Z,,,
https://www.google.com/maps/place/Anderson+Walk-In+Medical+Clinic/data=!4m7!3m6!1s0x54d2c11319d31387:0x8915d8faee3d52fc!8m2!3d40.4550145!4d-122.2931541!16s%2Fg%2F1tfdyk_6!19sChIJhxPTGRPB0lQR_FI97vrYFYk,Anderson Walk-In Medical Clinic,2.6,206,Walk-in clinic,"3082 McMurry Dr, Anderson, CA 96007, United States","FP44+2P Anderson, California, USA",https://www.andersonwalkinmedicalclinic.com/,+1 530-365-4412,"Closes soon ⋅ 5 pm ⋅ Opens 8 am Thu

Confirmed by this business 9 weeks ago",https://lh3.googleusercontent.com/p/AF1QipN0BxQJuN3tGdxUr01oycolJpHYNoIyzzAvhymy=w408-h271-k-no,true,8 am–5 pm,8 am–5 pm,Closed,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-09-17T23:58:17.222Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/BrightStar+Care/data=!4m7!3m6!1s0x54d2c14baade1041:0xbc7ff32fb82b1353!8m2!3d40.4457852!4d-122.3013423!16s%2Fg%2F11l2x9sk_c!19sChIJQRDeqkvB0lQRUxMruC_zf7w,BrightStar Care,3.7,3,Home health care service,"1750 South St, Anderson, CA 96007, United States","CMWX+8F Anderson, California, USA",https://www.brightstarcare.com/locations/redding,+1 530-332-9699,Closes soon ⋅ 5 pm ⋅ Opens 8:30 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CoJS2uP9mmfEJz53QD_m2g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=273.13245&pitch=0&thumbfov=100,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-09-17T23:58:21.677Z,,,
https://www.google.com/maps/place/Shasta+Community+Health+Center:+Telemedicine/data=!4m7!3m6!1s0x54d2ed3d3cb16269:0x8f39f5b8c60a6e2f!8m2!3d40.5831386!4d-122.3850403!16s%2Fg%2F11qpymygzy!19sChIJaWKxPD3t0lQRL24Kxrj1OY8,Shasta Community Health Center: Telemedicine,4.7,163,Community health center,"1035 Placer St, Redding, CA 96001, United States","HJM7+7X Redding, California, USA",https://www.shastahealth.org/telemedicine,+1 530-246-5710,Closes soon ⋅ 5 pm ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipM_Es9-xA1tIm4j8whA-_fXo_Fu5UMB9HqI2e7B=w408-h271-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Shasta+Lake+Redding+CA/@40.5754129,-122.3836121,14z",2025-09-17T23:58:34.067Z,LGBTQ+ friendly,,
"https://www.google.com/maps/place/Hospice+-+St.+Elizabeth+Community+Hospital+-+Red+Bluff,+CA/data=!4m7!3m6!1s0x808283f46ce677f3:0x711bbc43aeee9385!8m2!3d40.1533134!4d-122.2469555!16s%2Fg%2F1tc_8x08!19sChIJ83fmbPSDgoARhZPurkO8G3E","Hospice - St. Elizabeth Community Hospital - Red Bluff, CA",5.0,2,Hospice,"1425 Vista Way, Red Bluff, CA 96080, United States","5Q33+86 Red Bluff, California, USA",https://locations.dignityhealth.org/hospice-st-elizabeth-community-hospital-red-bluff-ca,+1 530-528-4207,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tjO0QM55ytavOZNpwhzWZg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=252.35095&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Red+Bluff+Redding+CA/@40.5754129,-122.3836121,14z",2025-09-17T23:58:45.851Z,,,
