placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,attributes,isBlackOwned
https://www.google.com/maps/place/HPM+Parking/data=!4m7!3m6!1s0x8085808f0b5ba33b:0xaf3d6f3779c32bb8!8m2!3d37.7811867!4d-122.404925!16s%2Fg%2F1tf0qvlz!19sChIJO6NbC4-AhYARuCvDeTdvPa8,HPM Parking,3.9,13,Parking lot,"206 5th St, San Francisco, CA 94103, United States","QHJW+F2 SoMa, San Francisco, CA, USA",http://hpmofamerica.com/index.html,+1 415-342-7554,Open 24 hours,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipOg-LIAxtLBMq3g4Q1IgVUzb3JJf8x61Uz6-Msf=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+San+Francisco+San+Francisco+CA/@37.7749295,-122.4194155,14z",2025-10-28T19:12:57.668Z,,
https://www.google.com/maps/place/EZ+Public+Parking/data=!4m7!3m6!1s0x808580901c93b2ef:0xd2f07f12bb2c6e9a!8m2!3d37.7843286!4d-122.4128376!16s%2Fg%2F1tdkxxj5!19sChIJ77KTHJCAhYARmm4suxJ_8NI,EZ Public Parking,3.8,118,Parking garage,"333 Jones St, San Francisco, CA 94102, United States","QHMP+PV Tenderloin, San Francisco, CA, USA",http://www.ezpublicparking.com/,+1 415-508-7275,Open ⋅ Closes 12 am,,https://lh3.googleusercontent.com/p/AF1QipPVYo0-9BVCP8gUf-qXtDVS3EIfOs7Y-CDHpRcQ=w408-h275-k-no,true,6 am–12 am,6 am–12 am,6 am–12 am,6 am–2 am,6 am–2 am,6 am–12 am,6 am–12 am,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+San+Francisco+San+Francisco+CA/@37.7749295,-122.4194155,14z",2025-10-28T19:13:03.376Z,,
https://www.google.com/maps/place/Tower+Valet+Parking+Inc./data=!4m7!3m6!1s0x80858087e30f1a37:0xa63eb5ea6fa2647!8m2!3d37.7867262!4d-122.4019945!16s%2Fg%2F1tnpl6vr!19sChIJNxoP44eAhYARRyb6pl7rYwo,Tower Valet Parking Inc.,3.8,21,Parking lot,"The Paramount, 680 Mission St, San Francisco, CA 94105, United States","QHPX+M6 Yerba Buena, San Francisco, CA, USA",,+1 415-341-1592,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz1f7iEFDiqZkCyoDFGUVfNR8Rn7tgXhdhhILWa2ZV0VHLFazpETqyBenTbKSx6UZB7_Cd8Q3OK-q0tXKPZ8Rou5WgqV2HTtUhodn3IRzC2TKfp7RvQUgz9SEontc28obNYgcY9=w408-h306-k-no,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+San+Francisco+San+Francisco+CA/@37.7749295,-122.4194155,14z",2025-10-28T19:13:06.400Z,,
https://www.google.com/maps/place/SFMTA+-+Moscone+Center+Garage/data=!4m7!3m6!1s0x8085807dba8ee7ef:0x13f294e77b51eb61!8m2!3d37.7847368!4d-122.3993836!16s%2Fg%2F1td5rhl_!19sChIJ7-eOun2AhYARYetRe-eU8hM,SFMTA - Moscone Center Garage,3.8,328,Parking garage,"255 3rd St, San Francisco, CA 94103, United States","QJM2+V6 Yerba Buena, San Francisco, CA, USA",https://www.sfmta.com/garages-lots/moscone-center-garage,+1 415-777-2782,Open ⋅ Closes 10 pm,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwhK34OPbDcuBSUUhP9XacUutwKvh-gADK5okn92YXATb9_2N-YHULM74qGhKKJVQctCkbEEv5MpeMfZg3a8FyIzICI5wRkKSAYCsgJSqMBwN1dbdCRz9JQiuKWqZqOFbvR7YYkUg=w408-h306-k-no,true,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+San+Francisco+San+Francisco+CA/@37.7749295,-122.4194155,14z",2025-10-28T19:13:11.396Z,,
https://www.google.com/maps/place/201+California+St.+%E2%80%93+Valet+Garage+%E2%80%93+ParkABM/data=!4m7!3m6!1s0x80858061843f9f61:0xe240bb5a59d4a570!8m2!3d37.7928907!4d-122.3988283!16s%2Fg%2F11f_p305_t!19sChIJYZ8_hGGAhYARcKXUWVq7QOI,201 California St. – Valet Garage – ParkABM,1.0,1,Parking garage,"201 California St, San Francisco, CA 94111, United States","QJV2+5F Financial District, San Francisco, CA, USA",https://parkabm.com/facilities/201-california-st-valet-garage/,+1 415-392-6618,Open ⋅ Closes 5:30 pm,,https://lh3.googleusercontent.com/p/AF1QipOwbyHYwU35fc5GRdoZloYVwkuHl1kSVrHfX_Ht=w408-h408-k-no,true,7:30 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,Closed,Closed,7:30 am–5:30 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+San+Francisco+San+Francisco+CA/@37.7749295,-122.4194155,14z",2025-10-28T19:13:16.387Z,,
https://www.google.com/maps/place/Prestige+Park/data=!4m7!3m6!1s0x8085808e63d4db15:0xde135d66e2763e18!8m2!3d37.7883476!4d-122.4099753!16s%2Fg%2F1vf9clmb!19sChIJFdvUY46AhYARGD524mZdE94,Prestige Park,3.0,95,Parking garage,"520 Mason St, San Francisco, CA 94102, United States","QHQR+82 Union Square, San Francisco, CA, USA",http://www.sfcitypark.com/,+1 415-658-7609,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipN8pM7KL3FNkw4EUDfAJNaRRPXN4G8BCtArUiCR=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+San+Francisco+San+Francisco+CA/@37.7749295,-122.4194155,14z",2025-10-28T19:13:21.690Z,,
https://www.google.com/maps/place/Metropolis/data=!4m7!3m6!1s0x8085805f1898ff01:0x647581e728c5fdcf!8m2!3d37.8007967!4d-122.4002236!16s%2Fg%2F11b7015p8v!19sChIJAf-YGF-AhYARz_3FKOeBdWQ,Metropolis,3.2,48,Parking garage,"1050 Front St, San Francisco, CA 94111, United States","RH2X+8W Northern Waterfront, San Francisco, CA, USA",https://parking.com/san-francisco/lot/seawall-lot-321?utm_source=Soci&utm_medium=Soci&utm_campaign=Soci-CA,+1 628-280-7983,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxF4ExefenPYL5ZlOy1ckJd3_ZSXAFN_wKlmYyP9301mBcjoxhps3Xi5ZSR8kKWtir-26hJbpwsIrXkTxdtPMYo47HCV2w4ztpWydCQtuFiyfj9d7f3Lap26txvip9CqRIhHTc=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+San+Francisco+San+Francisco+CA/@37.7749295,-122.4194155,14z",2025-10-28T19:13:26.676Z,,
https://www.google.com/maps/place/101+California+Parking+Garage+-+ParkABM/data=!4m7!3m6!1s0x80858063d77d534f:0x505734b1eb202ce9!8m2!3d37.7932104!4d-122.3986233!16s%2Fg%2F11c12mq58w!19sChIJT1N912OAhYAR6Swg67E0V1A,101 California Parking Garage - ParkABM,4.2,5,Parking garage,"101 California St, San Francisco, CA 94111, United States","QJV2+7H Financial District, San Francisco, CA, USA",https://parkabm.com/facilities/101-california-garage/,+1 415-956-1060,Open ⋅ Closes 8 pm,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzOEImaOYfWJ82F8Ypn1Ekrx1WwUNYfcohDm91AtSuBWmTbKb1OuwxOvWgP-DYs9VLm16gKSDRoSwIA55_yil9b_BeLyIEo3XjID3HD9k9bQa5XpWwTcpRQWzotfcgRW0133g500A-je6s=w408-h906-k-no,true,5 am–8 pm,5 am–8 pm,5 am–8 pm,5 am–8 pm,Closed,Closed,5 am–8 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+San+Francisco+San+Francisco+CA/@37.7749295,-122.4194155,14z",2025-10-28T19:13:31.713Z,,
https://www.google.com/maps/place/California+Parking/data=!4m7!3m6!1s0x80858085485e0e8b:0x26cea0d093b5a9fb!8m2!3d37.7829494!4d-122.4120386!16s%2Fg%2F11b7010tvp!19sChIJiw5eSIWAhYAR-6m1k9CgziY,California Parking,2.8,43,Parking lot,"199 Turk St, San Francisco, CA 94102, United States","QHMQ+55 Tenderloin, San Francisco, CA, USA",https://californiaparking.com/,+1 415-468-4860,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyncbsZtBOGChv5Tks_1d32mS2qNTXDueZBrbQPX8gauDKW4ffAD54NsYcCCHOrSnDTklTFYE91dLkZqhIgzPxgR4_zQpIkym192mBsPswykhfO3VzPwthgBjvQW06UBdPnSnmqmg=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+San+Francisco+San+Francisco+CA/@37.7749295,-122.4194155,14z",2025-10-28T19:13:36.725Z,,
https://www.google.com/maps/place/Chinatown+Parking+Garage/data=!4m7!3m6!1s0x808580f378d10925:0xb99875bee73c63f!8m2!3d37.7969295!4d-122.4073602!16s%2Fg%2F1vk6zg25!19sChIJJQnRePOAhYARP8Zz7luHmQs,Chinatown Parking Garage,3.7,285,Parking garage,"728 Pacific Ave, San Francisco, CA 94133, United States","QHWV+Q3 Chinatown, San Francisco, CA, USA",http://www.chinatownparkingsf.com/,+1 415-606-1668,Open ⋅ Closes 8 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx9R2yJLkfcvqTcDBaT8FWPgjEtmQQD1Jp7F5hJNy0zGEEB97oOjSYgqkkG-5Du09F4EoAl7yUvmsK2Vos5zBis_O1EIhX0lRhN0-qK1U9bZfyi6t8FZzzOC-TMuXKkcEy2Y7ixMw=w408-h272-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+San+Francisco+San+Francisco+CA/@37.7749295,-122.4194155,14z",2025-10-28T19:13:42.046Z,,
