placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,isBlackOwned,error
https://www.google.com/maps/place/Kidder+%26+Schultz+CPAs/data=!4m7!3m6!1s0x8626a1df037c5593:0x1c1a6eb07f858036!8m2!3d30.3689289!4d-91.1019834!16s%2Fg%2F11h3c4nt1t!19sChIJk1V8A9-hJoYRNoCFf7BuGhw,Kidder & Schultz CPAs,5.0,12,Accountant,"10630 N Oak Hills Pkwy Suite A, Baton Rouge, LA 70810, United States","9V9X+H6 Baton Rouge, Louisiana, USA",https://www.kidderschultz.com/,+1 225-341-4136,"Closed ⋅ Opens 9 am Mon

Confirmed by this business 5 weeks ago",LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMu9DxJGkgeHFXE0ujZRkR1h1jreC47Eg7WW6E=w408-h306-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Central+Baton+Rouge+Baton+Rouge+LA/@30.5417533,-91.0189769,14z",2025-10-19T15:14:53.365Z,,
https://www.google.com/maps/place/Eagle+Eye+Tax+Solutions/data=!4m7!3m6!1s0x8626bd30cf426875:0x898e651a6276e3e2!8m2!3d30.4941499!4d-91.0505391!16s%2Fg%2F1pp2xbhyn!19sChIJdWhCzzC9JoYR4uN2Yhpljok,Eagle Eye Tax Solutions,4.8,48,Tax preparation service,"4756 Monticello Blvd, Baton Rouge, LA 70814, United States","FWVX+MQ Baton Rouge, Louisiana, USA",http://eagleeyetax.com/,+1 225-925-8298,Closed ⋅ Opens 9 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npPJHZmMapvm6e11eVmbTXW7z_Ul7FaH9ZWqB-U7U6jU7KSZFnSH526kdldoyfPw27i6boxFFM-gYZvpHI7EExUylIG8q7togPGBylSgMBoNdgTMqhmA6a1m7v88MVBeLgEa991=w408-h839-k-no,true,Closed,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Central+Baton+Rouge+Baton+Rouge+LA/@30.5417533,-91.0189769,14z",2025-10-19T15:14:59.765Z,,
https://www.google.com/maps/place/Suzonne+V+Cowart+CPA+LLC/data=!4m7!3m6!1s0x8626979600575f8b:0xebf3e93f85085dfe!8m2!3d30.5526976!4d-91.0395987!16s%2Fg%2F11cs1shk76!19sChIJi19XAJaXJoYR_l0IhT_p8-s,Suzonne V Cowart CPA LLC,5.0,1,Accountant,"13366 Hooper Rd, Baton Rouge, LA 70818, United States","HX36+35 Baton Rouge, Louisiana, USA",http://svc-cpa.com/about-us.html,+1 225-261-7484,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=i8r97Rjv6viqDCPa_-omVQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=258.02417&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Central+Baton+Rouge+Baton+Rouge+LA/@30.5417533,-91.0189769,14z",2025-10-19T15:15:02.542Z,,
https://www.google.com/maps/place/D+B+Associates/data=!4m7!3m6!1s0x862697b903ffe193:0x47a29442dab74e2d!8m2!3d30.5206686!4d-91.0385126!16s%2Fg%2F1tgc9wgh!19sChIJk-H_A7mXJoYRLU632kKUokc,D B Associates,4.2,5,Tax preparation service,"13440-A Magnolia Square Dr, Baton Rouge, LA 70818, United States","GXC6+7H Baton Rouge, Louisiana, USA",,+1 225-261-9711,Closed ⋅ Opens 8:30 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npAh9vbiKNdGeGy_qOT-7YMu5uaaaMfoirIpNlJqtkjR28MX16hxrM66-jXqjcCjqQ4nfwnu9AHACoWUQ2ZKYNPnY1qx9zhAow2dcbYuoqeACyQ6NLZWbSUeRNk1hMi9xQYMJs-kPjlA_M=w408-h544-k-no,true,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Central+Baton+Rouge+Baton+Rouge+LA/@30.5417533,-91.0189769,14z",2025-10-19T15:15:07.968Z,,
"https://www.google.com/maps/place/Greg+A.+Kennedy,+CPA+%28APAC%29/data=!4m7!3m6!1s0x8626a3898ff9f2d5:0x8d9112000ff5b5a9!8m2!3d30.4114153!4d-91.0796735!16s%2Fg%2F1wj_tmt4!19sChIJ1fL5j4mjJoYRqbX1DwASkY0","Greg A. Kennedy, CPA (APAC)",4.7,24,Certified public accountant,"9456 Jefferson Hwy, Baton Rouge, LA 70809, United States","CW6C+H4 Baton Rouge, Louisiana, USA",http://www.gakcpafirm.com/,+1 225-292-5112,Closed ⋅ Opens 8 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Tye2gg7xAhCBH3s1Basbkg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=215.97833&pitch=0&thumbfov=100,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Central+Baton+Rouge+Baton+Rouge+LA/@30.5417533,-91.0189769,14z",2025-10-19T15:15:12.862Z,,
https://www.google.com/maps/place/Assurance+Tax+%26+Accounting+Group/data=!4m7!3m6!1s0x8626a379d0f79d29:0x3154618b5f3a3819!8m2!3d30.4290743!4d-91.0796567!16s%2Fg%2F11cmb7_7sj!19sChIJKZ330HmjJoYRGTg6X4thVDE,Assurance Tax & Accounting Group,4.8,16,Tax preparation service,"9800 Airline Hwy Suite 420, Baton Rouge, LA 70815, United States","CWHC+J4 Baton Rouge, Louisiana, USA",http://www.assurancetaxbr.com/,+1 225-757-5518,Closed ⋅ Opens 10 am Mon,,https://lh3.googleusercontent.com/p/AF1QipMixGLXpFB7xwnevhuybnfeXn2m_43sQ8cKVEnY=w426-h240-k-no,true,Closed,10 am–8 pm,10 am–8 pm,10 am–8 pm,10 am–8 pm,10 am–8 pm,10 am–4 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Central+Baton+Rouge+Baton+Rouge+LA/@30.5417533,-91.0189769,14z",2025-10-19T15:15:17.899Z,,
"https://www.google.com/maps/place/Garrety+and+Associates,+Certified+Public+Accountants/data=!4m7!3m6!1s0x8626bb50b9e1d475:0xa401a54c7ffebfe9!8m2!3d30.4248538!4d-91.0499706!16s%2Fg%2F1tg7sctq!19sChIJddThuVC7JoYR6b_-f0ylAaQ","Garrety and Associates, Certified Public Accountants",4.2,5,Accountant,"11816 Sunray Ave, Baton Rouge, LA 70816, United States","CXF2+W2 Baton Rouge, Louisiana, USA",http://www.garretycpa.com/,+1 225-291-7011,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipONFTGcxSIbdbMCfEv4jvqzMG-eC1DXCnoKoX1G=w408-h280-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Central+Baton+Rouge+Baton+Rouge+LA/@30.5417533,-91.0189769,14z",2025-10-19T15:15:23.175Z,,
https://www.google.com/maps/place/Meaux+Tax+%26+Consulting/data=!4m7!3m6!1s0x8626a505715f37cf:0xf7d179164440b492!8m2!3d30.4116425!4d-91.0968978!16s%2Fg%2F11fzzcv0r7!19sChIJzzdfcQWlJoYRkrRARBZ50fc,Meaux Tax & Consulting,5.0,40,Accounting firm,"8550 United Plaza Blvd #702, Baton Rouge, LA 70809, United States","CW63+M6 Baton Rouge, Louisiana, USA",http://www.meauxcpas.com/,,Closed ⋅ Opens 8 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sIFMAYK1DWVmJKaSXXPGoA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=213.64189&pitch=0&thumbfov=100,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12:30 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Central+Baton+Rouge+Baton+Rouge+LA/@30.5417533,-91.0189769,14z",2025-10-19T15:15:28.146Z,,
https://www.google.com/maps/place/Rowe%27s+Accounting+Services/data=!4m7!3m6!1s0x8626a3ba75c795df:0xad5389752142079b!8m2!3d30.4654827!4d-91.1094665!16s%2Fg%2F1thq11x1!19sChIJ35XHdbqjJoYRmwdCIXWJU60,Rowe's Accounting Services,4.8,29,Tax preparation service,"1724 Dallas Dr # 8, Baton Rouge, LA 70806, United States","FV8R+56 Baton Rouge, Louisiana, USA",,+1 225-926-6456,Closed ⋅ Opens 9 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=G6roHEAcyOn5vM0yk3nRfA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=59.175617&pitch=0&thumbfov=100,false,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–2 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Central+Baton+Rouge+Baton+Rouge+LA/@30.5417533,-91.0189769,14z",2025-10-19T15:15:33.095Z,,
"https://www.google.com/maps/place/All+Pro+Accounting,+Tax,+%26+Notary+Service/@30.447665,-91.1014753,17z/data=!3m1!4b1!4m6!3m5!1s0x8626a39ca981b03f:0x8bc92b82237eeab6!8m2!3d30.447665!4d-91.1014753!16s%2Fg%2F11cmhgr7v0","All Pro Accounting, Tax, & Notary Service",5.0,3,Certified public accountant,"429 E Airport Ave STE 1, Baton Rouge, LA 70806, United States","CVXX+3C Baton Rouge, Louisiana, USA",,+1 225-960-7117,Closed ⋅ Opens 9 am Mon,,,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Central+Baton+Rouge+Baton+Rouge+LA/@30.5417533,-91.0189769,14z",2025-10-19T15:15:40.325Z,,
