placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,isBlackOwned,info,error
https://www.google.com/maps/place/Ready+Power/data=!4m7!3m6!1s0x8620a60a983e996d:0x6d3efec073b71a8b!8m2!3d29.9602297!4d-90.106394!16s%2Fg%2F1thr7jks!19sChIJbZk-mAqmIIYRixq3c8D-Pm0,Ready Power,4.9,849,Electric generator shop,· Delivery,"4900 Calliope St, New Orleans, LA 70125, United States","XV6V+3C New Orleans, Louisiana, USA",https://readypowerusa.com/,+1 504-327-2143,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNq2PTkk-ah3fDp13CZN9ZjjrXZQr-n6crBMyrl=w408-h306-k-no,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+French+Quarter+New+Orleans+LA/@29.9584426,-90.0644107,14z",2026-01-10T22:57:41.263Z,,,
"https://www.google.com/maps/place/B+Powered+Electric,+LLC/data=!4m7!3m6!1s0x8620a8bbf1d23f87:0x41a617d2fac95efb!8m2!3d29.9905084!4d-90.0615267!16s%2Fg%2F1hc897bsy!19sChIJhz_S8buoIIYR-17J-tIXpkE","B Powered Electric, LLC",4.7,15,Electrician,,"2060 Benefit St, New Orleans, LA 70122, United States","XWRQ+69 New Orleans, Louisiana, USA",http://www.bpoweredelectric.com/,+1 504-226-5801,Closes soon · 5 pm · Opens 9 am Sun,https://lh3.googleusercontent.com/p/AF1QipNzUF2ZYjCZxxqzIhiKO8VxwPWbzCJmJAt_vd49=w408-h440-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+French+Quarter+New+Orleans+LA/@29.9584426,-90.0644107,14z",2026-01-10T22:57:47.247Z,true,,
https://www.google.com/maps/place/Wiring+Resource+LLC/data=!4m7!3m6!1s0x8620a437d6907623:0x7abcb9fc8d8b8c2c!8m2!3d29.9435209!4d-90.0706438!16s%2Fg%2F11c5h07cr5!19sChIJI3aQ1jekIIYRLIyLjfy5vHo,Wiring Resource LLC,4.9,174,Electrician,,"900 Camp St 3rd fl 1099, New Orleans, LA 70130, United States","WWVH+CP New Orleans, Louisiana, USA",http://www.wiringresource.com/,+1 504-782-5775,Closed · Opens 8 am Sun,https://lh3.googleusercontent.com/p/AF1QipNeKySOfnWhTU_zaZcFq5vDJ124fdha_wmlq3Ao=w426-h240-k-no,true,Closed,8 am–3 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,6 am–6 pm,"https://www.google.com/maps/search/generator+installation+services+in+French+Quarter+New+Orleans+LA/@29.9584426,-90.0644107,14z",2026-01-10T22:57:52.241Z,,,
https://www.google.com/maps/place/Stuart+Services/data=!4m7!3m6!1s0x8620a5b844d35b89:0x85ca78ed5c772759!8m2!3d29.9544836!4d-90.1034027!16s%2Fg%2F11vwqz1dlv!19sChIJiVvTRLilIIYRWSd3XO14yoU,Stuart Services,4.9,320,Electrician,,"1500 S Lopez St, New Orleans, LA 70125, United States","XV3W+QJ New Orleans, Louisiana, USA",https://www.stuartservices.com/?utm_source=google&utm_medium=gbp-neworleans,+1 504-294-8721,"Closed · Opens 8 am Mon

Updated by this business 7 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOUyf9QdwyveaJpUey4yTPAEPBzzg4geH03cXF3=w426-h240-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+French+Quarter+New+Orleans+LA/@29.9584426,-90.0644107,14z",2026-01-10T22:57:57.335Z,,,
https://www.google.com/maps/place/Professional+Electric/data=!4m7!3m6!1s0x8620a62476f73df9:0x8c6028f7e63ef1bd!8m2!3d29.8186066!4d-89.7529388!16s%2Fg%2F1ptyk72hb!19sChIJ-T33diSmIIYRvfE-5vcoYIw,Professional Electric,4.8,103,Electrician,,,,https://www.theprofessionalelectrician.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-website-link,+1 504-858-0270,Closed · Opens 6 am Mon,https://lh3.googleusercontent.com/p/AF1QipNo67RmKDxLT33Ivr_bh9YlNBF64Hbgw9SGBiRP=w408-h544-k-no,true,6 am–2 pm,Closed,6 am–7 pm,6 am–7 pm,6 am–7 pm,6 am–7 pm,6 am–7 pm,"https://www.google.com/maps/search/generator+installation+services+in+French+Quarter+New+Orleans+LA/@29.9584426,-90.0644107,14z",2026-01-10T22:58:02.193Z,,,
"https://www.google.com/maps/place/Natal%27s+Air+Conditioning,+Plumbing+%26+Electrical/data=!4m7!3m6!1s0x8620af767b11b683:0x5d90dc38e97dbf7!8m2!3d29.9622415!4d-90.0891717!16s%2Fg%2F1261m4rtn!19sChIJg7YRe3avIIYR99uXjsMN2QU","Natal's Air Conditioning, Plumbing & Electrical",4.9,1998,HVAC contractor,,"2630 Banks St, New Orleans, LA 70119, United States","XW66+V8 New Orleans, Louisiana, USA",https://www.natalsairconditioning.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-new-orleans-la,+1 504-688-7556,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPzHzg1rxZssLL_FqpWwoPOiHzU2AiJSgIWQKD5=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+French+Quarter+New+Orleans+LA/@29.9584426,-90.0644107,14z",2026-01-10T22:58:07.171Z,,,
https://www.google.com/maps/place/Craig%27s+Electrical+and+Generator+Service/data=!4m7!3m6!1s0x8620c7c5f469b57f:0xc3beb28b9c008b2c!8m2!3d30.0001006!4d-90.2506364!16s%2Fg%2F11jlzftv9p!19sChIJf7Vp9MXHIIYRLIsAnIuyvsM,Craig's Electrical and Generator Service,4.9,1129,Electric generator shop,· Delivery,"1322 24th St A, Kenner, LA 70062, United States","2P2X+2P Kenner, Louisiana, USA",https://craigselectrical.com/,+1 504-677-1023,,https://lh3.googleusercontent.com/p/AF1QipNMP6PU1qahfZBBpAbSDaw70QMhr5sKN8Tj1dTL=w408-h407-k-no,true,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+French+Quarter+New+Orleans+LA/@29.9584426,-90.0644107,14z",2026-01-10T22:58:12.220Z,,,
https://www.google.com/maps/place/Timmy+%26+Sons+Electric/data=!4m7!3m6!1s0x3ccd4378255d0e9:0xa27634f21d831aa5!8m2!3d29.9223653!4d-90.0897355!16s%2Fg%2F11tsn95vsr!19sChIJ6dBVgjfUzAMRpRqDHfI0dqI,Timmy & Sons Electric,4.9,54,Electrician,,"3436 Magazine St, New Orleans, LA 70115, United States","WWC6+W4 New Orleans, Louisiana, USA",http://timmysonselectric.com/,+1 504-788-5357,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMgtLic9HKOZmOuClnGd7_8pm_2I0mPpq7ntLX0=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+French+Quarter+New+Orleans+LA/@29.9584426,-90.0644107,14z",2026-01-10T22:58:17.157Z,,,
https://www.google.com/maps/place/Frischhertz+Electric/data=!4m7!3m6!1s0x8620af63f4dc0dd9:0xf6c26f5b330054f0!8m2!3d29.9794794!4d-90.099174!16s%2Fg%2F1tdc5l41!19sChIJ2Q3c9GOvIIYR8FQAM1tvwvY,Frischhertz Electric,4.2,23,Electrician,,"4240 Toulouse St, New Orleans, LA 70119, United States","XWH2+Q8 New Orleans, Louisiana, USA",http://www.frischhertz.com/,+1 504-482-1146,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMjptToYrqbeWY1ZCqG_YBhPl3Fs3ynOMuwtwVs=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+French+Quarter+New+Orleans+LA/@29.9584426,-90.0644107,14z",2026-01-10T22:58:22.005Z,,,
https://www.google.com/maps/place/MK+Electric+Man/data=!4m7!3m6!1s0x8620a67233db48c9:0x39f8356c4253eb9c!8m2!3d29.9461492!4d-90.0675716!16s%2Fg%2F1trvlsz9!19sChIJyUjbM3KmIIYRnOtTQmw1-Dk,MK Electric Man,4.8,70,Electrician,,"715 Tchoupitoulas St, New Orleans, LA 70130, United States","WWWJ+FX New Orleans, Louisiana, USA",https://www.mkelectricman.com/,+1 504-899-5483,Closed · Opens 6 am Mon,https://lh3.googleusercontent.com/p/AF1QipO_e4Qs4ZPzuSR3Kbk8Y1ANuiRLHGjHFcsa78-f=w408-h271-k-no,true,6 am–1 pm,Closed,6 am–6 pm,6 am–6 pm,6 am–6 pm,6 am–6 pm,6 am–6 pm,"https://www.google.com/maps/search/generator+installation+services+in+French+Quarter+New+Orleans+LA/@29.9584426,-90.0644107,14z",2026-01-10T22:58:27.076Z,,,
