placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes,info,isBlackOwned
"https://www.google.com/maps/place/R+%26+T+Yoder+Electric,+Inc+-+Dublin/data=!4m7!3m6!1s0x883893f8c47de1b1:0x8748a72bece179c7!8m2!3d40.1007772!4d-83.1134682!16s%2Fg%2F11tdn14bxk!19sChIJseF9xPiTOIgRx3nh7CunSIc","R & T Yoder Electric, Inc - Dublin",4.9,169,Electrician,"25 North St STE 117, Dublin, OH 43017, United States","4V2P+8J Dublin, Ohio, USA",https://www.yoderelectric.com/electrician-dublin-ohio/,+1 614-412-4409,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipMCzk-C_zettBrJuGOO-9Ryqr7y6I5DcFD9u7IX=w408-h544-k-no,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Dublin+Columbus+OH/@40.1024767,-83.1406167,14z",2026-01-10T21:24:12.487Z,,,
"https://www.google.com/maps/place/Scioto+Power+Systems+LLC/@40.0929621,-83.1326494,17z/data=!3m1!4b1!4m6!3m5!1s0x8838f32aea2ba295:0x440e37905cfd2e49!8m2!3d40.0929621!4d-83.1326494!16s%2Fg%2F11jsh2f7fb",Scioto Power Systems LLC,,,Electric generator shop,"545 Metro Pl S, Dublin, OH 43017, United States","3VV8+5W Dublin, Ohio, USA",http://sciotopowersystems.com/,+1 614-707-7825,Closed · Opens 8 am Mon,,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Dublin+Columbus+OH/@40.1024767,-83.1406167,14z",2026-01-10T21:24:19.425Z,· Delivery,Identifies as veteran-owned,
"https://www.google.com/maps/place/Apex+Pros+Plumbing,+Electrical,+Heating+and+Air/data=!4m7!3m6!1s0x88389398bcfc4b11:0xa7dd71680a49df94!8m2!3d40.1085095!4d-83.1046768!16s%2Fg%2F11rqx_t7wn!19sChIJEUv8vJiTOIgRlN9JCmhx3ac","Apex Pros Plumbing, Electrical, Heating and Air",4.8,1108,Plumber,"4300 Tuller Rd, Dublin, OH 43017, United States","4V5W+C4 Dublin, Ohio, USA",https://apexpros.com/dublin-oh/,+1 614-350-3923,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNtkLUiQLP46vqLTS_EE1uGjCqEV9Og2CRpQZgS=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Dublin+Columbus+OH/@40.1024767,-83.1406167,14z",2026-01-10T21:24:24.925Z,,,
https://www.google.com/maps/place/My+Electric+Works/data=!4m7!3m6!1s0x8838eb2645141863:0x25ab81ae94479d69!8m2!3d40.1280184!4d-83.1923522!16s%2Fg%2F11xcj9xrrf!19sChIJYxgURSbrOIgRaZ1HlK6BqyU,My Electric Works,4.7,57,Electrician,"7890 Corporate Blvd Suite C, Plain City, OH 43064, United States","4RH5+63 Plain City, Ohio, USA",https://www.myelectricworks.com/?utm_source=google&utm_medium=gbp&utm_campaign=local_seo&utm_content=gbp_website_click,+1 614-965-6168,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxRSm8egT49XTREmFsRTMcCFN5BOZQi0EhpvTSwBz0ZbIVoP1Be5WOzG9QvjkOq1UAZlrExBLqwGk2E22mjAQ6ctQxgSQPsl_E5hGSmBdjSrgeI6lfpxKB0KemHz8erKd5HxLrHpUXqH0g=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Dublin+Columbus+OH/@40.1024767,-83.1406167,14z",2026-01-10T21:24:29.827Z,,,
https://www.google.com/maps/place/Care+Electric+LLC/data=!4m7!3m6!1s0x8838ed41d6d96ebf:0x7b6a25eb567f51e2!8m2!3d40.1133203!4d-83.0874173!16s%2Fg%2F11j47zb14x!19sChIJv27Z1kHtOIgR4lF_Vuslans,Care Electric LLC,4.8,127,Electrician,"2681 Sawbury Blvd, Columbus, OH 43235, United States","4W77+82 Columbus, Ohio, USA",http://www.careelectric.org/,+1 614-369-8737,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipO__iaXlVLYI8WxsH4YkSuV17ofD-n8D-BkSnrp=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Dublin+Columbus+OH/@40.1024767,-83.1406167,14z",2026-01-10T21:24:34.669Z,,,
"https://www.google.com/maps/place/R+%26+T+Yoder+Electric,+Inc+-+Plain+City/data=!4m7!3m6!1s0x8838b9897babc599:0x2f88ccee51f59535!8m2!3d40.1133918!4d-83.1882874!16s%2Fg%2F11bbrh_4xk!19sChIJmcWre4m5OIgRNZX1Ue7MiC8","R & T Yoder Electric, Inc - Plain City",4.8,337,Electrician,"7927 Memorial Dr, Plain City, OH 43064, United States","4R76+9M Plain City, Ohio, USA",https://www.yoderelectric.com/,+1 614-412-0650,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipNiMxeVuL2W4HAqxEi1gMqdtVkaLk7RicfOlZD9=w408-h408-k-no,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Dublin+Columbus+OH/@40.1024767,-83.1406167,14z",2026-01-10T21:24:39.666Z,,,
https://www.google.com/maps/place/Mid-Ohio+Generators/data=!4m7!3m6!1s0x883851d6586c0001:0x723187855a8ecc18!8m2!3d40.2609952!4d-82.7851862!16s%2Fg%2F11h75rfpw_!19sChIJAQBsWNZROIgRGMyOWoWHMXI,Mid-Ohio Generators,4.9,214,Electric generator shop,"3900 OH-3, Sunbury, OH 43074, United States","7667+9W Sunbury, Ohio, USA",http://mid-ohiogenerators.com/,+1 740-936-5030,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOrqMHGa5MrWeZprdyBnrzk0Zykebl4SJa2iK5j=w408-h305-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Dublin+Columbus+OH/@40.1024767,-83.1406167,14z",2026-01-10T21:24:44.603Z,,,
"https://www.google.com/maps/place/Electric+Wizard+LLC/@40.0929996,-83.1323315,17z/data=!3m1!4b1!4m6!3m5!1s0x88389325291dcb4d:0xee36ba81c50f10b3!8m2!3d40.0929996!4d-83.1323315!16s%2Fg%2F11_qsm5q9",Electric Wizard LLC,1.0,2,Electrician,"545 Metro Pl S, Dublin, OH 43017, United States","3VV9+53 Dublin, Ohio, USA",http://www.electricwizardllc.com/,+1 740-891-4189,,,false,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Dublin+Columbus+OH/@40.1024767,-83.1406167,14z",2026-01-10T21:24:49.531Z,,,
"https://www.google.com/maps/place/R+%26+T+Yoder+Electric,+Inc+-+Westerville/data=!4m7!3m6!1s0x8838f5efe2ac8d43:0xce250cdbb9b1938!8m2!3d40.1457341!4d-82.9780476!16s%2Fg%2F11kbltt5np!19sChIJQ42s4u_1OIgROBmbu81Q4gw","R & T Yoder Electric, Inc - Westerville",4.8,28,Electrician,"1554 Polaris Pkwy #325, Columbus, OH 43240, United States","42WC+7Q Columbus, Ohio, USA",https://www.yoderelectric.com/electrician-westerville-ohio/,+1 614-363-2821,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipNycPpRPp7_-0ilfs3m7En-OnlMnr2Y0agIab-R=w408-h581-k-no,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Westerville+Columbus+OH/@40.1266689,-82.9318807,14z",2026-01-10T21:25:11.046Z,,,
https://www.google.com/maps/place/Safe+Electric+and+Plumbing/data=!4m7!3m6!1s0x88388bb804822e1d:0x9923048a9ab2c05!8m2!3d40.100749!4d-82.9917098!16s%2Fg%2F11g8vctx8_!19sChIJHS6CBLiLOIgRBSyrqUgwkgk,Safe Electric and Plumbing,4.9,2676,Electrician,"6635 Singletree Dr, Columbus, OH 43229, United States","4225+78 Columbus, Ohio, USA",https://www.callsafe.com/?utm_source=GBP&utm_medium=organic,+1 614-267-4111,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwp6ycxXqL97_CBU2lrEBaz2KZyUbHeY9Udkbiu_vwY0kfPe75yxH9YMlf4Wh1EIe-yis3pltO2DgyTWOPWLHURugNIPWqG6AiOSiXkFADAdhm6ggqzQJK16dpfqSu8jAs-o_IlgBPfmQw=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Westerville+Columbus+OH/@40.1266689,-82.9318807,14z",2026-01-10T21:25:15.948Z,,,
