placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,query,timestamp,sunday,monday,tuesday,wednesday,thursday,friday,saturday,attributes,error,isBlackOwned
https://www.google.com/maps/place/Dartmouth+Cancer+Center+Manchester/data=!4m7!3m6!1s0x89e24f2a4e5527f9:0xe56fdcd716a9c8a1!8m2!3d43.0102505!4d-71.4228176!16s%2Fg%2F1tghf48s!19sChIJ-SdVTipP4okRocipFtfcb-U,Dartmouth Cancer Center Manchester,4.1,11,Women's health clinic,"100 Hitchcock Way, Manchester, NH 03104, United States","2H6G+4V Manchester, New Hampshire, USA",https://cancer.dartmouth.edu/locations-directions/dartmouth-cancer-center-manchester,+1 603-629-1828,,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqTKNy3lcl5cGh0msuFTm9_N8Zm0NBzGVd1aVDDqBVuPtJcu6ptlxnvLpewaREjNSvJu7xrQ7OBs36KIjACYU5tJSeM9NNz5JpVesPHiOVL2DbN-ZPEUZW6kVKyhQwT8PPM-FuHdQ=w408-h725-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-09-28T23:41:02.935Z,,,,,,,,,,
https://www.google.com/maps/place/New+Hampshire+Regenerative+Center/data=!4m7!3m6!1s0x89e249565090b231:0xe82c700755679108!8m2!3d42.9667842!4d-71.4825067!16s%2Fg%2F11gpnd029g!19sChIJMbKQUFZJ4okRCJFnVQdwLOg,New Hampshire Regenerative Center,4.9,176,Doctor,"765 S Main St STE 103, Manchester, NH 03102, United States","XG88+PX Manchester, New Hampshire, USA",https://nhregenerativecenter.com/,+1 603-945-1945,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipMP09bps3todGrCQCFT6YCqmngw8uRnI4u7HkbE=w408-h477-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-09-28T23:41:07.738Z,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–2 pm,Closed,,,
https://www.google.com/maps/place/Local+Infusion/data=!4m7!3m6!1s0x89e24928f3a4118d:0x4250b9f0e0d0d5e2!8m2!3d42.9629693!4d-71.4774304!16s%2Fg%2F11kb5k_dxg!19sChIJjRGk8yhJ4okR4tXQ4PC5UEI,Local Infusion,5.0,84,Medical clinic,"301 Riverway Pl Suite #30, Bedford, NH 03110, United States","XG7F+52 Bedford, New Hampshire, USA",https://mylocalinfusion.com/,+1 603-519-9801,Closes soon ⋅ 8 pm ⋅ Opens 9 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPStOaBnpo4PAWlx4pxeS4RkHxLYrBM3Urjx3Qh=w408-h544-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-09-28T23:41:12.043Z,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,,,
https://www.google.com/maps/place/CMC+Infusion+Center/data=!4m7!3m6!1s0x89e24fc1b151947d:0x73247ef629dbf19e!8m2!3d42.9909105!4d-71.473399!16s%2Fg%2F11w_n0m2tw!19sChIJfZRRscFP4okRnvHbKfZ-JHM,CMC Infusion Center,,,Hospital,"87 McGregor Street Notre Dame Pavilion, 4th Floor, Manchester, NH 03102, United States","XGRG+9J Manchester, New Hampshire, USA",https://catholicmc.com/locations/cmc-infusion-center/?utm_campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,+1 603-665-4900,Closed ⋅ Opens 8 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LNzCyi0uebXtOqESMOajpA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=185.09431&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Infusion+centers+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-09-28T23:41:16.194Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,,,
https://www.google.com/maps/place/HYDROPEUTICS/data=!4m7!3m6!1s0x89e2495b6f7cd2c1:0xc7c491044fc26621!8m2!3d42.9730896!4d-71.4565755!16s%2Fg%2F11nt341nhw!19sChIJwdJ8b1tJ4okRIWbCTwSRxMc,HYDROPEUTICS,5.0,124,Medical spa,"50 S Willow St Unit 7, Manchester, NH 03103, United States","XGFV+69 Manchester, New Hampshire, USA",https://www.hydropeutics.com/,+1 603-361-2932,Closed ⋅ Opens 10 am Mon,,https://lh3.googleusercontent.com/p/AF1QipM8VhOYJ394WLVIvyM9Sx6czP7zvfY9lo08JcwK=w408-h544-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-09-28T23:41:21.023Z,Closed,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,,,
https://www.google.com/maps/place/NCCC/data=!4m7!3m6!1s0x89e24f2a418eba61:0x18eb1a1b5037d682!8m2!3d42.9909039!4d-71.4733215!16s%2Fg%2F11btwvxjwp!19sChIJYbqOQSpP4okRgtY3UBsa6xg,NCCC,,,Cancer treatment center,"87 McGregor St, Manchester, NH 03102, United States","XGRG+9M Manchester, New Hampshire, USA",,+1 603-629-1828,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7Hg9fCWRkFtRiSGVkPZ3_Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=108.63159&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Infusion+centers+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-09-28T23:41:23.145Z,,,,,,,,,,
https://www.google.com/maps/place/Solinsky+Center+for+Cancer+Care+at+The+Elliot/data=!4m7!3m6!1s0x89e24fcbc4199037:0xaec7aff6fea69c1e!8m2!3d42.9846349!4d-71.4374989!16s%2Fg%2F11jp_z8w83!19sChIJN5AZxMtP4okRHpym_vavx64,Solinsky Center for Cancer Care at The Elliot,2.8,11,Cancer treatment center,"1 Elliot Way, Manchester, NH 03103, United States","XHM7+V2 Manchester, New Hampshire, USA",https://www.elliothospital.org/website/solinsky-center-for-cancer-care.php,+1 603-663-2828,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqQ1YckxSBcrDBZ8cv0k4nMlwXWMEC-RQpz6Bs-R6gcqpkdhPywAWHcMpBsCua1T4wYhyMjScVyPwC3LPElzBzbOJkCl4taQJ07bJ57awiP6-5R3h6yepP1rKBLJJDI-iTpAAOP=w408-h306-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-09-28T23:41:27.408Z,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,,,
https://www.google.com/maps/place/Manchester+Comprehensive+Treatment+Center/data=!4m7!3m6!1s0x89e24f27b4fc7b17:0xbf9de8d15b33dd02!8m2!3d42.9902343!4d-71.4637899!16s%2Fg%2F11bytn1vh9!19sChIJF3v8tCdP4okRAt0zW9Honb8,Manchester Comprehensive Treatment Center,3.5,36,Addiction treatment center,"20 Market St, Manchester, NH 03101, United States","XGRP+3F Manchester, New Hampshire, USA",https://www.ctcprograms.com/location/manchester-comprehensive-treatment-center/?utm_source=GMB&utm_medium=organic&utm_campaign=listing&utm_term=brand&y_source=1_NTUzMzYzOS03MTUtbG9jYXRpb24ud2Vic2l0ZQ==,+1 978-674-7575,Closed ⋅ Opens 5:30 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPg2yfHBCaJE6low9YjdP1Nk10Krs15aYMwJF_s=w408-h306-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-09-28T23:41:31.901Z,6:30–10:30 am,5:30–11 am,5:30–11 am,5:30–11 am,5:30–11 am,5:30–11 am,6:30–10:30 am,,,
https://www.google.com/maps/place/Manchester+Metro+Treatment+Center/data=!4m7!3m6!1s0x89e24e9410a66361:0xd4585e3ac2d2b6f4!8m2!3d42.9811364!4d-71.4533707!16s%2Fg%2F1tdkhnk3!19sChIJYWOmEJRO4okR9LbSwjpeWNQ,Manchester Metro Treatment Center,3.7,42,Addiction treatment center,"228 Maple St, Manchester, NH 03103, United States","XGJW+FM Manchester, New Hampshire, USA",https://www.newseason.com/clinics/manchester-metro-treatment-center/,+1 603-622-5005,Closed ⋅ Opens 5 am Mon,,https://lh3.googleusercontent.com/p/AF1QipNCbn34_EkR_j-KZXnyv5CNrkTjxZ5pGGOkJVra=w408-h306-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-09-28T23:41:36.363Z,5–9 am,5 am–1:30 pm,5 am–1:30 pm,5 am–1:30 pm,5 am–1:30 pm,5 am–1:30 pm,5–9 am,,,
https://www.google.com/maps/place/St.+Joseph+Hospital+Cancer+Center/data=!4m7!3m6!1s0x89e3b7346f40a3d3:0xe9537c3b728bf4c9!8m2!3d42.7494301!4d-71.4803684!16s%2Fg%2F1jkxgbl4x!19sChIJ06NAbzS344kRyfSLcjt8U-k,St. Joseph Hospital Cancer Center,4.9,77,Cancer treatment center,"172 Kinsley St, Nashua, NH 03060, United States","PGX9+QV Nashua, New Hampshire, USA",https://stjosephhospital.com/locations/st-joseph-hospital-cancer-center/?utm_source=GMBSocialClimb&utm_medium=St.JosephHospitalCancerCenter,+1 603-880-3408,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipNxpBor6nUWvPpTPTxAXEjotPz4Nwzc4W6vNcnY=w426-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Nashua+NH/@42.7557494,-71.4764421,14z",2025-09-28T23:41:49.498Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,,,
