placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,monday,tuesday,wednesday,thursday,friday,saturday,sunday,info,attributes
https://www.google.com/maps/place/Clearwater+Pools/data=!4m7!3m6!1s0x88647b2293b70959:0x4025dc778d062700!8m2!3d36.0249824!4d-86.7902944!16s%2Fg%2F1tdb0f9g!19sChIJWQm3kyJ7ZIgRACcGjXfcJUA,Clearwater Pools,4.1,29,Swimming pool contractor,"330 Franklin Rd #242, Brentwood, TN 37027, United States","26F5+XV Brentwood, Tennessee, USA",http://www.clearwaterpoolstn.com/,+1 615-370-9811,,https://lh3.googleusercontent.com/p/AF1QipOWKdUg427NrngoU5aKrKTiLwRC9AYmDQjwxnap=w427-h240-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-10-27T18:05:26.821Z,,,,,,,,,
https://www.google.com/maps/place/Cumberland+Pool+Service/data=!4m7!3m6!1s0x8863f0d64f6fffff:0xe6d9f716fe4969ac!8m2!3d36.0359478!4d-86.7849142!16s%2Fg%2F11ggr6t1m8!19sChIJ__9vT9bwY4gRrGlJ_hb32eY,Cumberland Pool Service,5.0,13,Pool cleaning service,"8011 Brooks Chapel Rd #1114, Brentwood, TN 37024, United States","26P8+92 Brentwood, Tennessee, USA",http://cumberlandpoolservice.com/,+1 615-519-9145,Open ⋅ Closes 4 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XCF6meh1N68kVCKvp2dAwg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=288.5182&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/pool+services+businesses+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-10-27T18:05:32.125Z,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,Closed,,
https://www.google.com/maps/place/Optimal+Pool+Solutions/data=!4m7!3m6!1s0x886467240721ea1d:0x31bcf638f0eae764!8m2!3d35.9919067!4d-86.7247797!16s%2Fg%2F11jcqm8k9j!19sChIJHeohByRnZIgRZOfq8Dj2vDE,Optimal Pool Solutions,5.0,537,Swimming pool repair service,"9650 Magnolia Ridge Way, Brentwood, TN 37027, United States","X7RG+Q3 Brentwood, Tennessee, USA",http://optimalpoolsolutions.com/,+1 615-987-1750,"Open ⋅ Closes 5 pm

Confirmed by this business 12 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNQLvmfIoMTNe7FlIJhicjFkFNMca33NfOmh-WU=w408-h272-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-10-27T18:05:36.532Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,,
https://www.google.com/maps/place/Blue+Haven+Pools+%26+Spas/data=!4m7!3m6!1s0x88fb89712228a4eb:0x990b551a9815eb16!8m2!3d36.01708!4d-86.7870338!16s%2Fg%2F11vrj0jhzb!19sChIJ66QoInGJ-4gRFusVmBpVC5k,Blue Haven Pools & Spas,4.9,8,Swimming pool contractor,"500 Wilson Pike Cir #310, Brentwood, TN 37027, United States","2687+R5 Brentwood, Tennessee, USA",https://www.bluehaven.com/nashville-swimming-pool-builder/,+1 615-914-2000,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipNZjpztVtRbpaKtDWfdg87BHtsnCLnpUtp5iqTJ=w426-h240-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-10-27T18:05:41.092Z,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,Closed,,
https://www.google.com/maps/place/McMillion+Pool+Company/data=!4m7!3m6!1s0x88647a39e46ca6af:0xb59eb49c9e17f15f!8m2!3d35.9764525!4d-86.7712276!16s%2Fg%2F12hkrxm1h!19sChIJr6Zs5Dl6ZIgRX_EXnpy0nrU,McMillion Pool Company,5.0,7,Swimming pool contractor,"9100 Demery Ct, Brentwood, TN 37027, United States","X6GH+HG Brentwood, Tennessee, USA",https://mcmillion-pools.com/,+1 615-568-3826,Open ⋅ Closes 3:30 pm,https://lh3.googleusercontent.com/p/AF1QipNoz7nPEuue7R2vHrBsOQOBKo1nIJ8jQS5qYo0B=w408-h306-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-10-27T18:05:45.743Z,6:30 am–3:30 pm,6:30 am–3:30 pm,6:30 am–3:30 pm,6:30 am–3:30 pm,6:30 am–3:30 pm,8 am–12 pm,Closed,,
https://www.google.com/maps/place/ASP+-+America%27s+Swimming+Pool+Company+of+Nashville/data=!4m7!3m6!1s0x886464766c7acc0d:0xd0c8b6a328808642!8m2!3d36.089313!4d-86.7004027!16s%2Fg%2F1ptw2x_vm!19sChIJDcx6bHZkZIgRQoaAKKO2yNA,ASP - America's Swimming Pool Company of Nashville,4.8,202,Swimming pool contractor,"475 Metroplex Dr, Nashville, TN 37211, United States","37QX+PR Nashville, Tennessee, USA",https://www.asppoolco.com/nashville/?utm_source=GMB&utm_medium=organic&utm_campaign=nashville,+1 615-412-5485,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipNa-wEu5Y0TMiMZzYtvK9IF_JXT1FgT6iewrHKo=w408-h306-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-10-27T18:05:50.443Z,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,LGBTQ+ friendly,
https://www.google.com/maps/place/Poseidon+Pool+Service/data=!4m7!3m6!1s0xa0bd6c840e0ab903:0xb49bcf4f42bfb88b!8m2!3d36.0412655!4d-86.8237302!16s%2Fg%2F11vzgvkxzm!19sChIJA7kKDoRsvaARi7i_Qk_Pm7Q,Poseidon Pool Service,5.0,2,Pool cleaning service,"1289 Old Hickory Blvd, Brentwood, TN 37027, United States","25RG+GG Brentwood, Tennessee, USA",http://poseidonpools.co/,+1 615-618-1008,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipM8P9T6ZCqDeR-yuYGIJ53S7mPpRH-FYQp1M7Sx=w408-h510-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-10-27T18:05:55.042Z,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,,
https://www.google.com/maps/place/D2+Pools/data=!4m7!3m6!1s0x88647b3b816621e1:0x855dab968e11617!8m2!3d36.0271484!4d-86.7908412!16s%2Fg%2F11wvkvnlgf!19sChIJ4SFmgTt7ZIgRFxbhaLnaVQg,D2 Pools,5.0,26,Swimming pool contractor,"330 Franklin Rd SUIT 135A-201, Brentwood, TN 37027, United States","26G5+VM Brentwood, Tennessee, USA",https://d2pools.com/,+1 615-833-1333,"Open 24 hours

Updated by this business 11 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNqAxrWL17gLuMKiZMjZu67tF9qG9Z8VQrjnrcf=w408-h426-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-10-27T18:05:59.752Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,,
https://www.google.com/maps/place/McMillion+Pool+Company/data=!4m7!3m6!1s0x88646563e3e54905:0xafe266f1ca0cfebd!8m2!3d36.0725948!4d-86.7458721!16s%2Fg%2F1tdxwrnt!19sChIJBUnl42NlZIgRvf4MyvFm4q8,McMillion Pool Company,4.8,30,Swimming pool contractor,"4915 Danby Dr, Nashville, TN 37211, United States","37F3+2M Nashville, Tennessee, USA",https://mcmillion-pools.com/,+1 615-568-3826,Open ⋅ Closes 3 pm,https://lh3.googleusercontent.com/p/AF1QipNbisxXnYT3ONuQxOCLzO-DPZa7VLXVMBY4VWLS=w408-h306-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-10-27T18:06:04.434Z,7 am–3 pm,7 am–3 pm,7 am–3 pm,7 am–3 pm,7 am–3 pm,9 am–12 pm,Closed,,
https://www.google.com/maps/place/A.M.+Pools+of+Nashville/data=!4m7!3m6!1s0x886465415f3b6db7:0xe3d0842d52f7e492!8m2!3d36.0994869!4d-86.8213632!16s%2Fg%2F11hytnjqbk!19sChIJt207X0FlZIgRkuT3Ui2E0OM,A.M. Pools of Nashville,5.0,7,Swimming pool contractor,"4235 Hillsboro Pike #300, Nashville, TN 37215, United States","35XH+QF Nashville, Tennessee, USA",http://ampoolsofnashville.com/,+1 615-474-8066,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipMdyrm6YSfiMmU998bLmHolbAUlkuXkLdbsq-Q=w408-h306-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-10-27T18:06:09.093Z,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,,
