placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,wednesday,thursday,friday,saturday,sunday,monday,tuesday,info,isBlackOwned
https://www.google.com/maps/place/Mays+Housecall+Home+Health/data=!4m7!3m6!1s0x87b207d7b76b9ee3:0x5b651ef08cd0bd2a!8m2!3d35.4929944!4d-97.7505855!16s%2Fg%2F1vzv450n!19sChIJ455rt9cHsocRKr3QjPAeZVs,Mays Housecall Home Health,5.0,1,Hospice,"508 W Vandament Ave # 115, Yukon, OK 73099, United States","F6VX+5Q Yukon, Oklahoma, USA",https://mayshomecare.com/,+1 405-354-2958,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oJ6L_fxFj6NuL5-4eUbafQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=175.14937&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Hospice+clinics+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-09-17T23:50:57.023Z,,,,,,,,,
https://www.google.com/maps/place/Mercy+Home+Health+-+Yukon/data=!4m7!3m6!1s0x87b209e452477bd5:0xe240dc7d635d4501!8m2!3d35.46004!4d-97.723449!16s%2Fg%2F11h714p_sf!19sChIJ1XtHUuQJsocRAUVdY33cQOI,Mercy Home Health - Yukon,,,Hospice,"520 S Mustang Rd, Yukon, OK 73099, United States","F76G+2J Yukon, Oklahoma, USA",https://www.mercy.net/practice/mercy-home-health-yukon?utm_source=google&utm_medium=organic_search&utm_campaign=yext&utm_term=West&utm_content=website&y_source=1_MTI5OTU3NjAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 405-262-6877,Closed ⋅ Opens 8 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Hz51bdmmU_sJnDFZP6ZARw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=85.44223&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-09-17T23:51:03.624Z,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,,
https://www.google.com/maps/place/Legacy+Family+Hospice/data=!4m7!3m6!1s0x87b21bec924fa8ed:0x5ead7fa65d6b1d18!8m2!3d35.6022653!4d-97.6198245!16s%2Fg%2F11tmwd7glk!19sChIJ7ahPkuwbsocRGB1rXaZ_rV4,Legacy Family Hospice,5.0,39,Hospice,"13104 N MacArthur Blvd STE A, Oklahoma City, OK 73142, United States","J92J+W3 Northwest Oklahoma City, Oklahoma City, OK, USA",https://www.legacyfamilyhospice.com/,+1 405-832-0150,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMoAQLnAVASYp-pcqpeP7chYq-UEc4kTfUk1Zp_=w408-h544-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-09-17T23:51:09.675Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Oklahoma+Palliative+%26+Hospice+Care/data=!4m7!3m6!1s0x87b21a05f1d85ded:0xc3e01a6f9b3bf019!8m2!3d35.3650182!4d-97.5451305!16s%2Fg%2F124ybvydp!19sChIJ7V3Y8QUasocRGfA7m28a4MM,Oklahoma Palliative & Hospice Care,4.5,35,Hospice,"10317 Greenbriar Pkwy, Oklahoma City, OK 73159, United States","9F83+2W South Oklahoma City, Oklahoma City, OK, USA",http://www.oklahomahc.com/,+1 405-418-2659,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZTj7RiLuoulFAH2yT--lfw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=4.1093645&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-09-17T23:51:15.050Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Suncrest+Hospice+-+Oklahoma/data=!4m7!3m6!1s0x87b21b00c7186b0d:0x8c96ea73752513a6!8m2!3d35.5228574!4d-97.567478!16s%2Fg%2F11jgt_zqmk!19sChIJDWsYxwAbsocRphMldXPqlow,Suncrest Hospice - Oklahoma,5.0,60,Hospice,"5100 B, 5100 B N Brookline Ave Suite 150, Oklahoma City, OK 73112, United States","GCFM+42 Central Oklahoma City, Oklahoma City, OK, USA",https://suncrestcare.com/,+1 405-578-9710,,https://lh3.googleusercontent.com/p/AF1QipOhK43exrV3oNWaEkxMN5g7c212Tqq4Pg_7ISX0=w408-h272-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-09-17T23:51:18.729Z,,,,,,,,,
https://www.google.com/maps/place/Choice+Hospice/data=!4m7!3m6!1s0x87b269dfd50e280d:0x1e762ef7c22e263a!8m2!3d35.5388632!4d-97.5918302!16s%2Fg%2F11b5wnpfxg!19sChIJDSgO1d9psocROiYuwvcudh4,Choice Hospice,4.5,15,Hospice,"4045 NW 64th St Ste 205, Oklahoma City, OK 73116, United States","GCQ5+G7 Central Oklahoma City, Oklahoma City, OK, USA",https://choicehealthathome.com/locations/ok/oklahoma-city/oklahoma-city-choice-hospice-nw-64th-st,+1 405-360-2400,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPXqrPpfz0jqnGVno0HKhNHe3pvuaEPU6NyT7z4=w408-h263-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-09-17T23:51:24.366Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/INTEGRIS+Health+Hospice+House/data=!4m7!3m6!1s0x87b21cc7c1678593:0x1e5c4dceac6b7dcc!8m2!3d35.6118179!4d-97.599383!16s%2Fg%2F1tdy0dbq!19sChIJk4VnwcccsocRzH1rrM5NXB4,INTEGRIS Health Hospice House,4.7,98,Hospice,"13920 Quailbrook Dr, Oklahoma City, OK 73134, United States","JC62+P6 Northwest Oklahoma City, Oklahoma City, OK, USA",https://integrishealth.org/locations/hospice-and-home-care/hospice-house,+1 405-848-8884,"Closed ⋅ Opens 9 am Thu

Confirmed by this business 5 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMe4HFeJdfM8Li9k_GQC8OgbmAupCU-jao-cfqZ=w408-h271-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-09-17T23:51:29.629Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,,
https://www.google.com/maps/place/Affinity+Care+of+Oklahoma/data=!4m7!3m6!1s0x87b21b721b13d377:0xd7b3a19737513115!8m2!3d35.5286258!4d-97.5363241!16s%2Fg%2F11thqb6xh8!19sChIJd9MTG3IbsocRFTFRN5ehs9c,Affinity Care of Oklahoma,4.3,11,Hospice,"5627 N Classen Blvd STE 100, Oklahoma City, OK 73118, United States","GFH7+FF Central Oklahoma City, Oklahoma City, OK, USA",https://affinityhealthmanagement.com/oklahoma/,+1 405-900-7770,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=w8EVcoGxPRGky-jEm0SKYA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=168.163&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-09-17T23:51:35.131Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Bristol+Hospice+-+Oklahoma+City/data=!4m7!3m6!1s0x87b21b7d1a115bff:0x6c507dfcad6d3745!8m2!3d35.5382463!4d-97.590187!16s%2Fg%2F11k4_fy267!19sChIJ_1sRGn0bsocRRTdtrfx9UGw,Bristol Hospice - Oklahoma City,4.7,45,Hospice,"4005 Northwest Expy Suite 140, Oklahoma City, OK 73116, United States","GCQ5+7W Central Oklahoma City, Oklahoma City, OK, USA",https://bristolhospice.com/,+1 405-839-7100,"Open 24 hours

Confirmed by this business 7 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=isuAsO599sd_BVfKfYKF7g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=279.1226&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-09-17T23:51:40.411Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Enhabit+Hospice/data=!4m7!3m6!1s0x87b213eaac66fd9b:0x2c97c8f4026023b!8m2!3d35.5382463!4d-97.590187!16s%2Fg%2F11ghf2t08m!19sChIJm_1mrOoTsocROwImQI98yQI,Enhabit Hospice,3.5,15,Hospice,"4005 Northwest Expy #600, Oklahoma City, OK 73116, United States","GCQ5+7W Central Oklahoma City, Oklahoma City, OK, USA",https://www.ehab.com/?utm_source=gmb&utm_medium=chatmeter,+1 405-735-5121,"Open 24 hours

Confirmed by this business 5 weeks ago",https://lh3.googleusercontent.com/p/AF1QipP33nglhj1bAUMVSwWzjMeK51s-UlGoJXZZzqzx=w408-h306-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-09-17T23:51:45.965Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Identifies as women-owned,
