placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,error,info,attributes
https://www.google.com/maps/place/Traditions+Health+Hospice/data=!4m7!3m6!1s0x54bfff58568cc6f1:0x27bdfeebf269b613!8m2!3d44.9197239!4d-123.0443031!16s%2Fg%2F1261gfz_w!19sChIJ8caMVlj_v1QRE7Zp8uv-vSc,Traditions Health Hospice,4.4,10,Hospice,"2290 Commercial St SE #108, Salem, OR 97302, United States","WX94+V7 Salem, Oregon, USA",https://www.traditionshealth.com/locations/salem-or/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_content=salem-or,+1 877-263-7776,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipO9IKz6I-1E6TTqD6w3ntcKFQU4p4Tlegisin5Y=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-09-18T00:02:44.186Z,,,
https://www.google.com/maps/place/Salem+Health+Specialty+Clinic+-+Palliative+Care/data=!4m7!3m6!1s0x54bfff2e83738c5b:0x8d0a10e38f4019ab!8m2!3d44.9338244!4d-123.0343258!16s%2Fg%2F11fm6fj9gq!19sChIJW4xzgy7_v1QRqxlAj-MQCo0,Salem Health Specialty Clinic - Palliative Care,1.0,1,Hospice,"875 Oak St SE, Salem, OR 97301, United States","WXM8+G7 Salem, Oregon, USA",http://salemhealth.org/services/palliative-care,+1 503-814-2483,Closed ⋅ Opens 8 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Oen4jQrjWfYwAQUBK2quTw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=99.36662&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-09-18T00:02:49.904Z,,,
https://www.google.com/maps/place/Willamette+Vital+Health/data=!4m7!3m6!1s0x54bfff763cd041d7:0x3b6017f67df24c2!8m2!3d44.9441349!4d-123.0555457!16s%2Fg%2F1tlwfcg8!19sChIJ10HQPHb_v1QRwiTfZ38BtgM,Willamette Vital Health,3.5,31,Hospice,"1015 3rd St NW, Salem, OR 97304, United States","WWVV+MQ Salem, Oregon, USA",http://www.wvh.org/,+1 503-588-3600,Closed ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npUtGsqEWb1z2OG3YaAI2qlGcTRAwCEJ4KfIiWOy3FrTYCd8Ns4kQ4ofuVIgbmA2Y-Yygo0dei0dAj7tLoPDDsmVzmqwBBJLWH-SY8g7zjdNx7gLN9HzARSyhDxwXh6iYjqRxT_RQ=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-09-18T00:02:55.249Z,,,
https://www.google.com/maps/place/Salem+Signature:+Home+Health+%26+Hospice/data=!4m7!3m6!1s0x54bfff47ffafb7d1:0x40d250c7eaae0dd7!8m2!3d44.9253921!4d-123.0194549!16s%2Fg%2F11csc7hx7j!19sChIJ0bev_0f_v1QR1w2u6sdQ0kA,Salem Signature: Home Health & Hospice,4.4,24,Home health care service,"1220 20th St SE, Salem, OR 97302, United States","WXGJ+56 Salem, Oregon, USA",http://www.4signatureservice.com/salem,+1 503-364-0347,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNv2ovkpZTvbF6tZVoL9k0M0YmoKDF4b0BNGeE4=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-09-18T00:03:00.197Z,,,
https://www.google.com/maps/place/Serenity+Palliative+Care/data=!4m7!3m6!1s0x54950cd35a6b616f:0x6c939907cc22291d!8m2!3d44.9420013!4d-123.0384661!16s%2Fg%2F1tdq5qls!19sChIJb2FrWtMMlVQRHSkizAeZk2w,Serenity Palliative Care,5.0,1,Hospice,"285 Liberty St NE #320, Salem, OR 97301, United States","WXR6+RJ Salem, Oregon, USA",,+1 503-639-0600,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=v1dgsc9tjh6kOL-PF_bXeg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=261.05847&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-09-18T00:03:02.816Z,,,
https://www.google.com/maps/place/Solterra+Hospice/data=!4m7!3m6!1s0x54bfff88b5088edd:0x158ee127690d3666!8m2!3d44.9500158!4d-122.9970419!16s%2Fg%2F11wmjx7n48!19sChIJ3Y4ItYj_v1QRZjYNaSfhjhU,Solterra Hospice,,,Hospice,"3000 Market St NE #268, Salem, OR 97301, United States","X223+25 Salem, Oregon, USA",https://www.solterrahospice.com/,+1 971-443-5037,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqAXddimPPWaSglzI99T3jnsoOysZL0TZ-_sOBX70TKxn7iV_uQ8GmdJfcznEDTfnh8kEmyEyYGdcVNAjIGFi1qstapc3q95bEaD8XaQnKKA58JQE20OPkD99NVDsr3m2rY3Zo=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-09-18T00:03:07.453Z,,,
,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+West+Salem+Salem+OR/@44.9503569,-123.0700609,14z",2025-09-18T00:03:16.879Z,No new results found,,
https://www.google.com/maps/place/Serenity+Hospice/data=!4m7!3m6!1s0x54950cd350e09311:0x462b2ce11c58a02b!8m2!3d44.9050868!4d-123.017766!16s%2Fg%2F1ptvxn2dc!19sChIJEZPgUNMMlVQRK6BYHOEsK0Y,Serenity Hospice,4.7,141,Home health care service,"3501 Fairview Industrial Dr SE Ste 140, Salem, OR 97302, United States","WX4J+2V Salem, Oregon, USA",https://serenityhospice.org/?y_source=1_MTYxMTMyNDctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 503-991-5228,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Qbt1uBZgRpqdIDG5gQUMjQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=232.45409&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+South+Salem+Salem+OR/@44.9099943,-123.0580952,14z",2025-09-18T00:03:30.061Z,,,
"https://www.google.com/maps/place/Mission+Home+Health+of+Salem/@44.9152639,-123.0113068,17z/data=!3m1!4b1!4m6!3m5!1s0x54bff960afb9d795:0x61b002443b4da52d!8m2!3d44.9152639!4d-123.0113068!16s%2Fg%2F11ld_scp5r",Mission Home Health of Salem,3.0,2,Home health care service,"2601 25th St SE Suite 340, Salem, OR 97302, United States","WX8Q+4F Salem, Oregon, USA",https://www.homewithmission.com/locations/salem-home-health/,+1 503-766-3124,Open 24 hours,,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+South+Salem+Salem+OR/@44.9099943,-123.0580952,14z",2025-09-18T00:03:37.037Z,,,
https://www.google.com/maps/place/The+Edward+F.+Tokarski+Home/data=!4m7!3m6!1s0x54bfff7a2958ed3b:0xc72402f046c4798d!8m2!3d44.944427!4d-123.0559611!16s%2Fg%2F11shx_cr0k!19sChIJO-1YKXr_v1QRjXnERvACJMc,The Edward F. Tokarski Home,5.0,6,Hospice,"1020 Elm St NW, Salem, OR 97304, United States","WWVV+QJ Salem, Oregon, USA",https://www.wvh.org/tokarski-home,+1 503-588-3600,Closed ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqpeCvwJm-BBlccmrzDl5-KfMWznQVna6F9OUHIzBVItCqQ0pM2r4BOB_UWP3poUxHFEqSK3OTqv5yk3_SjM6akVjcV7V47jXAKoZx_T2txa1uf4AkxHNvPfZsOhAGwWOY1ejw=w408-h340-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+South+Salem+Salem+OR/@44.9099943,-123.0580952,14z",2025-09-18T00:03:42.140Z,,,
