placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,error,info
https://www.google.com/maps/place/Mayo+Clinic+Valet+Services+-+Gonda+Building/data=!4m7!3m6!1s0x87f75ff24c8f98d3:0xbe6dca4354f83ee4!8m2!3d44.0225909!4d-92.4670411!16s%2Fg%2F11tx701zzt!19sChIJ05iPTPJf94cR5D74VEPKbb4,Mayo Clinic Valet Services - Gonda Building,4.7,23,Valet parking service,"100 3rd Ave SW, Rochester, MN 55902, United States","2GFM+25 Rochester, Minnesota, USA",https://www.mayoclinic.org/patient-visitor-guide/minnesota/,+1 507-284-2511,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwGeAbGnMQT7bN233wWm9e2KMtjDAHpSFNPMTDmiUz6KXKIj1jp0s1OxKXmaLp2fDF89HgcmGbEpHZWKqxsIB1ZPkwtmVC09coBNPvmXsiryEwDrqImrc6onksmLJsIEnKim30XZg=w408-h544-k-no,true,6 am–6 pm,6 am–6 pm,6 am–6 pm,6 am–6 pm,Closed,Closed,6 am–6 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-28T18:38:32.277Z,,
https://www.google.com/maps/place/Rochester+Parking+Ramp+6/data=!4m7!3m6!1s0x87f75f7d3c3a3847:0x7151c55291c7e6d5!8m2!3d44.0224383!4d-92.4620181!16s%2Fg%2F11gf0xf6dr!19sChIJRzg6PH1f94cR1ebHkVLFUXE,Rochester Parking Ramp 6,3.6,9,Parking garage,"59 1st St SE, Rochester, MN 55904, United States","2GCQ+X5 Rochester, Minnesota, USA",https://parking.com/rochester/lot/ramp-6,+1 507-282-4545,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPZPysOdL5iK8I4kU9xPFOhROD1RmHqxUk_73GA=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-28T18:38:37.405Z,,
https://www.google.com/maps/place/Parking+at+The+Berkman/data=!4m7!3m6!1s0x87f75fe2b627b5bb:0xaf95caaaad691480!8m2!3d44.0211786!4d-92.484296!16s%2Fg%2F11pf84l97n!19sChIJu7UntuJf94cRgBRprarKla8,Parking at The Berkman,2.7,9,Parking garage,"217 14th Ave SW, Rochester, MN 55902, United States","2GC8+F7 Rochester, Minnesota, USA",https://denisonparking.com/berkman/,+1 612-816-5049,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPkfvCWaX1kQMOV0ty4vN2XPQeX34sF179SR6Js=w408-h308-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-28T18:38:42.304Z,,
https://www.google.com/maps/place/SP%2B+Parking/data=!4m7!3m6!1s0x87f75f2b6b46bbf1:0xbdf15b8d088465bd!8m2!3d44.0226344!4d-92.4813188!16s%2Fg%2F11rqll2kt8!19sChIJ8btGaytf94cRvWWECI1b8b0,SP+ Parking,,,Parking garage,"100 1st St SW, Rochester, MN 55904, United States","2GF9+3F Rochester, Minnesota, USA",https://parking.com/rochester/lot/3rd-street-ramp?utm_source=Yext&utm_medium=Yext&utm_campaign=Yext-MN,+1 507-282-4545,"Open 24 hours

Confirmed by this business 2 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5H71XRnaCIlCb9vM5ohFfw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=351.51495&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-28T18:38:47.637Z,,
https://www.google.com/maps/place/Denison+Parking/data=!4m7!3m6!1s0x87f75f120eeaaaab:0x3e6dcc5cd0ee0950!8m2!3d44.0211786!4d-92.484296!16s%2Fg%2F11xgrmtvnv!19sChIJq6rqDhJf94cRUAnu0FzMbT4,Denison Parking,,,Parking garage,"217 14th Ave SW, Rochester, MN 55902, United States","2GC8+F7 Rochester, Minnesota, USA",https://denisonparking.com/berkman/,+1 612-816-5049,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=b_xk5ZRC1fMHK0bMWqREKQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=228.00203&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-28T18:38:49.939Z,,
https://www.google.com/maps/place/Superior+Parking+Management+Solutions/data=!4m7!3m6!1s0x88605f98d0ca3b07:0x5774d9a8418e3876!8m2!3d35.0637303!4d-85.3083608!16s%2Fg%2F11v_4z_72m!19sChIJBzvK0JhfYIgRdjiOQajZdFc,Superior Parking Management Solutions,3.5,19,Valet parking service,"134 N Market St unit 4435, Chattanooga, TN 37405, United States","3M7R+FM Chattanooga, Tennessee, USA",https://www.parkingsuperior.com/,+1 423-405-0899,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMAwJVdyNRaP6BdEkuqJtu7Y0fH1hKYATO1fFzq=w408-h366-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-28T18:38:54.382Z,,
https://www.google.com/maps/place/Premier+Parking+Services/data=!4m7!3m6!1s0x89d6b55f5fee5a77:0xc6611dcd0c1cf37c!8m2!3d43.1267343!4d-77.5662922!16s%2Fg%2F1th1dqc4!19sChIJd1ruX1-11okRfPMcDM0dYcY,Premier Parking Services,5.0,4,Valet parking service,"2604 Elmwood Ave # 221, Rochester, NY 14618, United States","4CGM+MF Rochester, New York, USA",http://premierparkingservices.com/,+1 585-381-5887,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ACmLbGltMh9-xNUtsO2OBQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=33.010185&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-28T18:38:56.805Z,,
"https://www.google.com/maps/place/Mayo+Clinic+Valet+Services+-+Gonda+Building/@44.0274641,-92.8551933,14z/data=!4m6!3m5!1s0x87f75ff24c8f98d3:0xbe6dca4354f83ee4!8m2!3d44.0225909!4d-92.4670411!16s%2Fg%2F11tx701zzt",Mayo Clinic Valet Services - Gonda Building,4.7,23,Valet parking service,"100 3rd Ave SW, Rochester, MN 55902, United States","2GFM+25 Rochester, Minnesota, USA",https://www.mayoclinic.org/patient-visitor-guide/minnesota/,+1 507-284-2511,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwGeAbGnMQT7bN233wWm9e2KMtjDAHpSFNPMTDmiUz6KXKIj1jp0s1OxKXmaLp2fDF89HgcmGbEpHZWKqxsIB1ZPkwtmVC09coBNPvmXsiryEwDrqImrc6onksmLJsIEnKim30XZg=w408-h544-k-no,true,6 am–6 pm,6 am–6 pm,6 am–6 pm,6 am–6 pm,Closed,Closed,6 am–6 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Dodge+Center+Rochester+MN/@44.0274641,-92.8551933,14z",2025-10-28T18:39:05.676Z,Already found,
"https://www.google.com/maps/place/Parking+lot+for+Chosen+Valley+Care+Center/@43.8416451,-92.1892439,14z/data=!4m6!3m5!1s0x87f9f530dc430bf5:0x46116c8e09c8d80f!8m2!3d43.8402963!4d-92.1769358!16s%2Fg%2F11pdz2h6rc",Parking lot for Chosen Valley Care Center,5.0,1,Parking lot,"1260 Winona St SE, Chatfield, MN 55923, United States","RRRF+46 Chatfield, Minnesota, USA",,,,,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Chatfield+Rochester+MN/@43.8416451,-92.1892439,14z",2025-10-28T18:39:12.173Z,,
https://www.google.com/maps/place/MAYO+CLINIC+PARKING+LOT/data=!4m7!3m6!1s0x87f75fb270a28145:0x14d3635bf43806ad!8m2!3d44.0664232!4d-92.5042461!16s%2Fg%2F11sjt5x386!19sChIJRYGicLJf94cRrQY49Ftj0xQ,MAYO CLINIC PARKING LOT,4.0,1,Parking lot,"3055 41st St NW, Rochester, MN 55901, United States","3F8W+H8 Rochester, Minnesota, USA",https://www.mayoclinic.org/patient-visitor-guide/minnesota/parking,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s2IaLb4hd-7ezifKu0Jspw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=284.9572&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Mantorville+Township+Rochester+MN/@44.0691307,-92.7557456,14z",2025-10-28T18:39:23.706Z,,
