placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,isBlackOwned
https://www.google.com/maps/place/Firestone+Complete+Auto+Care/data=!4m7!3m6!1s0x887f9bbaeed450a3:0xe0f9e75bc56f4f7c!8m2!3d35.0914277!4d-89.8032669!16s%2Fg%2F1v8j15yl!19sChIJo1DU7rqbf4gRfE9vxVvn-eA,Firestone Complete Auto Care,4.4,494,Tire shop,· In-store shopping · Kerbside pickup,"2115 Exeter Rd, Germantown, TN 38138, United States","35RW+HM Germantown, Tennessee, USA",https://www.firestonecompleteautocare.com/tennessee/germantown/2115-exeter-rd/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,+1 901-646-4334,"Open · Closes 7 pm

Confirmed by this business 7 weeks ago",LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoKxEmeNFW0b49OTSWbc1__UUwCbPUNoFI2tAxTlJkuczL_otGQg91P5bkLDeb4XjVD04B5DuAH9NSj6E9dt_jgaolz9mueP_lv9wKSMwsbY0RIb1XfJ2t1bW1kVfyj9mBBenlJ5A=w426-h240-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–6 pm,8 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2026-03-23T16:25:57.875Z,
https://www.google.com/maps/place/Jones+Auto+Repair/data=!4m7!3m6!1s0x887f9ba8905fab95:0x858a970477622f8e!8m2!3d35.0929007!4d-89.8098674!16s%2Fg%2F11bw_9z6ml!19sChIJlatfkKibf4gRji9idwSXioU,Jones Auto Repair,4.6,113,Auto repair shop,,"7595 Poplar Ave, Germantown, TN 38138, United States","35VR+53 Germantown, Tennessee, USA",,+1 901-754-2240,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweomZkoyP32iMCpET-yCVsyMWBXy5rsamrTFy3X_vSuk5M_SGNnxGp-Kvoja2rj6gcuR_XPKIGfmy8p_nSSvdru0Mo8JjfwJodus-c4w2DoKfsnDmctgWXmTha9HRKEhO35aFIMT=w408-h306-k-no,false,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2026-03-23T16:26:02.994Z,
https://www.google.com/maps/place/Firestone+Complete+Auto+Care/data=!4m7!3m6!1s0x887f99b78d36b371:0x551f48a82047b45a!8m2!3d35.0618528!4d-89.7476162!16s%2Fg%2F11b75j6ycb!19sChIJcbM2jbeZf4gRWrRHIKhIH1U,Firestone Complete Auto Care,4.3,394,Tire shop,· In-store shopping · Kerbside pickup,"9461 Poplar Ave, Germantown, TN 38138, United States","3762+PX Germantown, Tennessee, USA",https://www.firestonecompleteautocare.com/tennessee/germantown/9461-poplar-ave/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,+1 901-443-4576,"Open · Closes 7 pm

Confirmed by this business 7 weeks ago",LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQbE9niKDxpkwIHRSeR_CKvc_bHrs0OpjfiDY6jdDflrnUkIoRRssKYVMi1jIcjuBuC8ZC6ilcEaKks9KpFmDZLSA6Dd24RW6_XCaGV8f6b36Mb8ks9cKPgJ3phNsUrVpfy0qJ=w408-h306-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–6 pm,8 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2026-03-23T16:26:07.423Z,
https://www.google.com/maps/place/Express+Oil+Change+%26+Tire+Engineers/data=!4m7!3m6!1s0x887f9a62c4914705:0x69b11bd6c24171ed!8m2!3d35.0506289!4d-89.8113983!16s%2Fg%2F1tjz43tv!19sChIJBUeRxGKaf4gR7XFBwtYbsWk,Express Oil Change & Tire Engineers,4.9,2145,Oil change service,,"7540 Winchester Rd, Memphis, TN 38125, United States","352Q+7C Memphis, Tennessee, USA",https://www.expressoil.com/stores/memphis/tn/0902/?utm_source=yext&utm_medium=organic&utm_campaign=gmb&storenum=0902,+1 901-756-3585,"Open · Closes 6 pm

Confirmed by this business 7 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerePtHQtUGRQldWYOwkvaA6qqzwXeu6sMtpXW7k0G0TUjx9CHhr1dWhCOrD01qrXA4b0MVHCcbgUjuydQ130Xt5Y8v-kil1QiGjFj4HqaQ9lK6BkGe5TRvmbN_WIXXOwKTmHY2eqVsyidhl=w426-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2026-03-23T16:26:11.770Z,
https://www.google.com/maps/place/Christian+Brothers+Automotive+Germantown/data=!4m7!3m6!1s0x887f9a88575450a3:0x159a9696b8bfed36!8m2!3d35.0517033!4d-89.8150471!16s%2Fg%2F1thfg62m!19sChIJo1BUV4iaf4gRNu2_uJaWmhU,Christian Brothers Automotive Germantown,4.0,281,Auto repair shop,,"7446 Sonic Dr, Memphis, TN 38125, United States","352M+MX Memphis, Tennessee, USA",https://www.cbac.com/germantown/?utm_source=GMB&utm_medium=organic&utm_campaign=germantown&utm_content=website-cta,+1 901-883-7358,"Open · Closes 6 pm

Confirmed by this business 8 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDQoJML8bscfcQYTzOjjHpguIoVvQNtGLOykl-TROMPBvsdQ7QNbMJQyrhZcoaGTAcRlGu4EYl_7V_FnD36FGBCVQkegdbA65nq-sN9muFQqXap-IMMMWEXubh9GHCsQ2ZQFMO=w408-h272-k-no,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2026-03-23T16:26:16.235Z,
https://www.google.com/maps/place/901+Discount+Tire+%26+Auto+tech/data=!4m7!3m6!1s0x887f9b5b509afe25:0xee8e41a7d0bdf8dd!8m2!3d35.0515137!4d-89.8290438!16s%2Fg%2F11wnzgnr3n!19sChIJJf6aUFubf4gR3fi90KdBju4,901 Discount Tire & Auto tech,5.0,136,Tire shop,,"7060 Winchester Rd, Memphis, TN 38125, United States","352C+J9 Memphis, Tennessee, USA",,+1 901-438-5327,Open · Closes 5:30 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerEyX4cvY9JSr_GjapYCVTc8jBs9vhodzAdhCRO7MoHKIYxPcO0lwFQxoI15aESoOc7zhMUQIUYQisAYWetbSmXsp8mPfJitBOC85mJm--Gzd2YqNZNpfuWvzPtxVNaw6gAtW1z=w408-h306-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2026-03-23T16:26:20.743Z,
https://www.google.com/maps/place/Take+5+Oil+Change/data=!4m7!3m6!1s0x887f9b6e75e5ec77:0x8ac0391e74f73c31!8m2!3d35.0989889!4d-89.845235!16s%2Fg%2F11gj4hd1rg!19sChIJd-zldW6bf4gRMTz3dB45wIo,Take 5 Oil Change,4.6,1550,Oil change service,,"6525 Poplar Ave, Memphis, TN 38119, United States","35X3+HW Memphis, Tennessee, USA",https://www.take5.com/locations/oil-change/tennessee/memphis/30292/?utm_source=google&utm_medium=organic&utm_campaign=gbp_website,+1 901-612-3054,Open · Closes 8 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepKR-eDubqN9i1DK6I7AdkiBnmcYruzOn_yiDDjoj_4lZlxztP2kfjcjW5DdrGfUGWAyf8UztnAIo_TdCWTSj0NRRO2yOcGJ8aySOkX-cH7ybF_iEFfvvxXAJ48dwK6p6aV25g8=w426-h240-k-no,true,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2026-03-23T16:26:25.218Z,
https://www.google.com/maps/place/Germantown+Hardware/data=!4m7!3m6!1s0x887f9ba8c6451b65:0xc34a0e19b674bd02!8m2!3d35.0922412!4d-89.8101397!16s%2Fg%2F1tfjrgh3!19sChIJZRtFxqibf4gRAr10thkOSsM,Germantown Hardware,4.5,373,Hardware store,"Hardware store with tools, paint & other home improvement supplies, plus lawn & garden essentials. · In-store shopping · Kerbside pickup · Delivery","2083 S Germantown Rd, Germantown, TN 38138, United States","35RQ+VW Germantown, Tennessee, USA",http://germantownhardware.com/?utm_source=GMB&utm_medium=Organic&utm_campaign=GMB&utm_content=Germantown,+1 901-756-9522,Open · Closes 7 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqjLwtv4L6RyXp_OY3E8JoDHsXWkEhoI0hpLXKPD7kzHuieTtXd4fe08rdTU96vqq1EN1RlrO0Us-KWxzWtpD0rTyC4o1r34eZeniQA1UjALTxpieF5fl0yXTUBwbkgky-Z1NGdb5E4LeA=w408-h306-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,10 am–6 pm,"https://www.google.com/maps/search/tire+service+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2026-03-23T16:26:29.689Z,
https://www.google.com/maps/place/Valvoline+Instant+Oil+Change/data=!4m7!3m6!1s0x887f9ba89546eab9:0xbde8c3ab9760d1c1!8m2!3d35.09282!4d-89.80971!16s%2Fg%2F1tg9j9pr!19sChIJuepGlaibf4gRwdFgl6vD6L0,Valvoline Instant Oil Change,4.4,319,Oil change service,,"7607 Poplar Ave, Germantown, TN 38138, United States","35VR+44 Germantown, Tennessee, USA",https://store.vioc.com/tn/germantown/7607-poplar-avenue?utm_source=google&utm_medium=local&utm_campaign=localsearch,+1 901-753-5061,Open · Closes 7 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo_gLAuqefc5eqfxRAfB3OwoZN4XnxjLRbdfzDCVjLzOILomqAFtzVChHo7CVZQeMledTcCoSVtNqGfkppUNFOb_zqGLtgXdJB0LVfEsUPJvvpsRFqCpaTbW_BhDV5orPQtSR0KRWgCj46N=w426-h240-k-no,true,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7 am–5:30 pm,8:30 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2026-03-23T16:26:34.048Z,
https://www.google.com/maps/place/901+DISCOUNT+TIRE+%26+AUTO+TECH/data=!4m7!3m6!1s0x887f8567e2bf9997:0x2dc1a5cd61c87d7f!8m2!3d35.0498867!4d-89.8699283!16s%2Fg%2F1td6ywlm!19sChIJl5m_4meFf4gRf33IYc2lwS0,901 DISCOUNT TIRE & AUTO TECH,4.5,125,Used tire shop,· In-store shopping · In-store pick-up,"5805 Winchester Rd, Memphis, TN 38115, United States","24XJ+X2 Memphis, Tennessee, USA",https://901tire.com/,+1 901-366-1134,"Open · Closes 5 pm

Updated by this business 6 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqMkPE9RPDmsR8uLcqaFTz-3mnUn9fJsFxzAEodvs898GL61dgZ7x1CejH4w1WI6zwFCa3bfhXNbkYh3h7EKthdnVzIvk3Yz_49ECTutDWNXIKXry6rV8Jl5GziVKOvPFIkurd2APZKvBgG=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2026-03-23T16:26:38.369Z,
