placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,info,attributes
https://www.google.com/maps/place/Our+Electrician/data=!4m7!3m6!1s0x74dd7c9abf620a3:0x461bd7bf03873006!8m2!3d40.1770801!4d-111.5359124!16s%2Fg%2F11pdvymthw!19sChIJoyD2q8nXTQcRBjCHA7_XG0Y,Our Electrician,5.0,90,Electrician,,,https://www.our-electrician.com/,+1 385-910-2902,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipPL_n4X4Wqrh590op2RF6Z_zz8djAM6GwjfQdCP=w408-h272-k-no,true,7 am–12 pm,Closed,7 am–5 pm,7 am–5 pm,10:30 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Orem+Provo+UT/@40.2968979,-111.6946475,14z",2026-01-10T22:51:18.016Z,,
"https://www.google.com/maps/place/Any+Hour+Services+-+Electric,+Plumbing,+Heating+%26+Air/data=!4m7!3m6!1s0x874d9b323acbf439:0x287ca1323e00b7a4!8m2!3d40.2959477!4d-111.7279088!16s%2Fg%2F1yg579sy5!19sChIJOfTLOjKbTYcRpLcAPjKhfCg","Any Hour Services - Electric, Plumbing, Heating & Air",4.8,26411,HVAC contractor,"1374 130 S, Orem, UT 84058, United States","77WC+9R Orem, Utah, USA",https://anyhourservices.com/,+1 385-832-6519,,https://lh3.googleusercontent.com/p/AF1QipOJhP7LMnkTcgi-mT_EhEFwuRGCmSx4g13kFdN8=w408-h306-k-no,true,Open 24 hours,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Orem+Provo+UT/@40.2968979,-111.6946475,14z",2026-01-10T22:51:23.946Z,,
https://www.google.com/maps/place/Provo+Electrician+Pros/data=!4m7!3m6!1s0x86d66946e9d0f375:0x1e331a0cfb017472!8m2!3d40.269163!4d-111.6565858!16s%2Fg%2F11kk8t4lb2!19sChIJdfPQ6UZp1oYRcnQB-wwaMx4,Provo Electrician Pros,5.0,28,Electrician,"2696 N University Ave #115, Provo, UT 84604, United States","789V+M9 Provo, Utah, USA",http://www.provoelectricianpros.com/,+1 801-290-8194,Open · Closes 9 pm,https://lh3.googleusercontent.com/p/AF1QipNIJOfQ64TA39F2Ptt9FzJwV2YR001CuyUy7nob=w408-h272-k-no,true,8 am–9 pm,11 am–6 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,"https://www.google.com/maps/search/generator+installation+services+in+Orem+Provo+UT/@40.2968979,-111.6946475,14z",2026-01-10T22:51:28.854Z,,
https://www.google.com/maps/place/Birdies+Power+Equipment/data=!4m7!3m6!1s0x874dbce28fdd46e7:0x95331b649e636c2c!8m2!3d40.1684439!4d-111.647744!16s%2Fg%2F1tdks8jq!19sChIJ50bdj-K8TYcRLGxjnmQbM5U,Birdies Power Equipment,4.5,110,Electric generator shop,"147 N 2000 W, Springville, UT 84663, United States","5992+9W Springville, Utah, USA",https://birdiespowerequipment.com/,+1 801-491-6095,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwgZ_GKIuSjelGThSWnPWdn5yue-G_bUtP3qYKcUsAhpUCgUPIj6Gvwz4z7bgxrNwqXpf7yrjpGSs4H7sWqJMuuFVckV9MpOy2XYj_aEtIpuX4cQzxKWBlBn0-7hHdxbrZUCDmA1Q=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Orem+Provo+UT/@40.2968979,-111.6946475,14z",2026-01-10T22:51:33.863Z,,
https://www.google.com/maps/place/Homestead+Electric/data=!4m7!3m6!1s0x671e7446f22d1e1f:0xe149af024508ffd7!8m2!3d40.352763!4d-111.741837!16s%2Fg%2F11js7vd7x8!19sChIJHx4t8kZ0HmcR1_8IRQKvSeE,Homestead Electric,4.9,65,Electrician,"974 S Main St, Pleasant Grove, UT 84062, United States","9735+47 Pleasant Grove, Utah, USA",https://www.homesteadelectric.net/?utm_source=google&utm_medium=business_profile&utm_campaign=website,+1 801-992-1588,"Closed · Opens 8 am Mon

Confirmed by this business 4 weeks ago",https://lh3.googleusercontent.com/p/AF1QipN5BVqhrOV7rDrmGNTlYNxTQ-K0dB5MxQvC7vks=w408-h272-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Orem+Provo+UT/@40.2968979,-111.6946475,14z",2026-01-10T22:51:38.914Z,,
"https://www.google.com/maps/place/Parley%27s+Plumbing,+Heating+%26+Air+Conditioning/data=!4m7!3m6!1s0x874d84c44343beaf:0x68eca8da405423e7!8m2!3d40.3129805!4d-111.7295798!16s%2Fg%2F119wh3xjh!19sChIJr75DQ8SETYcR5yNUQNqo7Gg","Parley's Plumbing, Heating & Air Conditioning",4.8,765,Plumber,"864 N 1430 W, Orem, UT 84057, United States","877C+55 Orem, Utah, USA",https://www.ppmplumbing.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,+1 801-226-3033,Open · Closes 12 am,https://lh3.googleusercontent.com/p/AF1QipPp5XM77A8n-tK7wbAZahGFJo99ky8s18nD3BnS=w426-h240-k-no,true,Open 24 hours,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Orem+Provo+UT/@40.2968979,-111.6946475,14z",2026-01-10T22:51:44.162Z,LGBTQ+ friendly,
"https://www.google.com/maps/place/YES!+Air+Conditioning,+Heating,+Plumbing+and+Electric/data=!4m7!3m6!1s0x875281663d452487:0x44ec2233f002cb10!8m2!3d40.2238204!4d-111.6565704!16s%2Fg%2F11h01xg_h8!19sChIJhyRFPWaBUocREMsC8DMi7EQ","YES! Air Conditioning, Heating, Plumbing and Electric",4.8,1090,Air conditioning contractor,"765 S 100 E, Provo, UT 84606, United States","68FV+G9 Provo, Utah, USA",https://theyesmancan.com/,+1 801-477-8464,,https://lh3.googleusercontent.com/p/AF1QipNivrBdJYAq7Hgvbr1i-dabTXDVHx_zugaznKsM=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Orem+Provo+UT/@40.2968979,-111.6946475,14z",2026-01-10T22:51:49.198Z,,
https://www.google.com/maps/place/Natural+Power+Electric/data=!4m7!3m6!1s0x874d813f8a2b4bf3:0x808802bbe28e23ed!8m2!3d40.2996115!4d-111.728136!16s%2Fg%2F11ckcj9__l!19sChIJ80srij-BTYcR7SOO4rsCiIA,Natural Power Electric,4.9,12,Electrician,"165 1330 W Suite A-3, Orem, UT 84057, United States","77XC+RP Orem, Utah, USA",https://naturalpowerllc.com/,+1 801-372-9480,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipPnbgeHwvDll12kiUlanOQfkJt2qlPAazBr2Qnx=w408-h725-k-no,true,Closed,Closed,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,"https://www.google.com/maps/search/generator+installation+services+in+Orem+Provo+UT/@40.2968979,-111.6946475,14z",2026-01-10T22:51:54.077Z,,
https://www.google.com/maps/place/Ok+And+Sons+Electric+Co/data=!4m7!3m6!1s0x874d9b9a2794b403:0x87f4077740b66f36!8m2!3d40.2624542!4d-111.6753152!16s%2Fg%2F11g072kk85!19sChIJA7SUJ5qbTYcRNm-2QHcH9Ic,Ok And Sons Electric Co,5.0,2,Electrical installation service,"980 W 2100 N #1248, Provo, UT 84604, United States","786F+XV Provo, Utah, USA",,+1 801-787-3741,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOgi6kEeOrw1uqmQRxDUg_VW3tDhqI1W4T_R-Tl=w408-h252-k-no,true,Closed,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/generator+installation+services+in+Orem+Provo+UT/@40.2968979,-111.6946475,14z",2026-01-10T22:51:58.818Z,,
https://www.google.com/maps/place/Cutler%27s/data=!4m7!3m6!1s0x874d9acc3baf0d45:0x9b1093a5dc133c7e!8m2!3d40.301929!4d-111.697756!16s%2Fg%2F1tdpb2gg!19sChIJRQ2vO8yaTYcRfjwT3KWTEJs,Cutler's,4.3,436,Lawn mower store,"271 N State St, Orem, UT 84057, United States","8822+QV Orem, Utah, USA",http://www.cutlers.com/,+1 801-224-5005,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwnw3bfxkws-WsGfFErEevlblDTW69n3R7B6PWpAzLU4RibKvCdrhQJ80nuQJMzb4TbnTggHn0o_qAm3EsjXk0kEfvS8wyc3dbzYtTntnPSl9L_Z0iZCyS2HZUNG-nRNTDnaBSf_Q=w426-h240-k-no,true,Closed,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/generator+installation+services+in+Orem+Provo+UT/@40.2968979,-111.6946475,14z",2026-01-10T22:52:03.813Z,,· In-store shopping · Kerbside pickup · Delivery
