placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,error,attributes
https://www.google.com/maps/place/Stonegate+Medical+Clinic/data=!4m7!3m6!1s0x487931a61616b029:0x4b11c4d6d8c3e8d9!8m2!3d53.9609394!4d-1.0831902!16s%2Fg%2F11cly42nz8!19sChIJKbAWFqYxeUgR2ejD2NbEEUs,Stonegate Medical Clinic,4.9,130,Doctor,"23 Stonegate, York YO1 8AW, United Kingdom","XW68+9P York, UK",http://www.stonegatemedical.co.uk/,+44 1904 631815,Closed · Opens 8:30 am Wed,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOmdONT5RDFFiMNd-bCoyvDBHYzNPTdhcrwjUpf=w408-h272-k-no,true,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,Closed,Closed,8:30 am–5:30 pm,"https://www.google.com/maps/search/pediatrician+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-02-10T22:41:05.499Z,,
https://www.google.com/maps/place/Children%27s+Centre+at+York+Hospital/data=!4m7!3m6!1s0x487931a1eb8ef591:0xc6a9b9b7a74b9787!8m2!3d53.969914!4d-1.0828124!16s%2Fg%2F11r1s8vrgr!19sChIJkfWO66ExeUgRh5dLp7e5qcY,Children's Centre at York Hospital,3.0,1,Child health care center,"Wigginton Rd, Clifton, York YO31 8HE, United Kingdom","XW98+XV York, UK",https://www.yorkhospitals.nhs.uk/childrens-centre/york-hospital1/,+44 1904 726539,Closed · Opens 8:30 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer8vFvTtJ1tFHsft4vSCkcI758kph2v1h4X0AasDudcSZhRV0YattlBZJ1wVkrOmnhH5kSLhMek7nsAtbZFcR0mIgvXYWE2Cg8O3_gXgNZtlPVEXOqD4-AnNplojh-W0pnWZig9Zw=w408-h306-k-no,false,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,Closed,8:30 am–4:30 pm,"https://www.google.com/maps/search/pediatrician+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-02-10T22:41:10.219Z,,
https://www.google.com/maps/place/York+Hospital/data=!4m7!3m6!1s0x487931a1db7f2029:0xbb7ef99dc5f7ebc4!8m2!3d53.9699817!4d-1.083555!16s%2Fm%2F0gvrhzd!19sChIJKSB_26ExeUgRxOv3xZ35frs,York Hospital,3.9,707,General hospital,"Wigginton Rd, Clifton, York YO31 8HE, United Kingdom","XW98+XH York, UK",https://www.yorkhospitals.nhs.uk/,+44 1904 631313,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerp0YXYnIcHKIxT554825LzrHjl1SaC4hms1lyJeohr4V3ABxdcgLH6mbHeBYsmCD0vvw0tyw7cofW4JpNNzDLbR6UgllhDIRFNhBLS1vl0QvV-iWqvTNIKKkqchk41LpSxEjMl=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pediatrician+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-02-10T22:41:14.612Z,,
https://www.google.com/maps/place/Nuffield+Health+York+Hospital/data=!4m7!3m6!1s0x48793199da888f91:0x4457bee18a7ee787!8m2!3d53.9741463!4d-1.0761393!16s%2Fg%2F1tq8j1q8!19sChIJkY-I2pkxeUgRh-d-iuG-V0Q,Nuffield Health York Hospital,4.4,171,Private hospital,"Haxby Rd, Clifton, York YO31 8TA, United Kingdom","XWFF+MG York, UK",https://www.nuffieldhealth.com/hospitals/york?utm_source=google&utm_medium=local&utm_campaign=GoogleLocal-York,+44 1904 233225,Closed · Opens 8 am Wed,,https://lh3.googleusercontent.com/p/AF1QipOV0T6ht8mPrWnz8-m4aMrx9c-wX-fFPe7YXvLc=w408-h306-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–7 pm,8 am–2 pm,Closed,8 am–8 pm,"https://www.google.com/maps/search/pediatrician+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-02-10T22:41:19.238Z,,
https://www.google.com/maps/place/York+Podiatry+Ltd/data=!4m7!3m6!1s0x4879313db22b8d43:0xc7943586b0ff17ad!8m2!3d53.9888175!4d-1.048913!16s%2Fg%2F1tk8n336!19sChIJQ40rsj0xeUgRrRf_sIY1lMc,York Podiatry Ltd,4.8,77,Podiatrist,"Arabesque House, Monks Cross Dr, Huntington, York YO32 9GW, United Kingdom","XXQ2+GC Huntington, York, UK",https://www.yorkpodiatry.co.uk/,+44 1904 789763,Closed · Opens 9 am Wed,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipNP5yijWxFbVMR5mwS5m4pMJoL9sWV61WoQY8Wj=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-02-10T22:41:23.540Z,,
https://www.google.com/maps/place/Systems+House/data=!4m7!3m6!1s0x48793163526737c7:0x19a796183309cec0!8m2!3d53.9877885!4d-1.1021207!16s%2Fg%2F11fd3qnwjm!19sChIJxzdnUmMxeUgRwM4JMxiWpxk,Systems House,4.3,15,Association / Organization,"Concord Way, Amy Johnson Way, York YO30 4XT, United Kingdom","XVQX+45 Rawcliffe, York, UK",,+44 1904 528300,Closed · Opens 9 am Wed,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xq7UZhYMS20Ney-BFcJ8zQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=213.29582&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Scarborough+York+UK/@53.969253,-1.0861551,14z",2026-02-10T22:41:35.228Z,,
https://www.google.com/maps/place/Blossom+Family+Dental+Care/data=!4m7!3m6!1s0x48793106b4e1a87d:0xd8d62d057ca55bc2!8m2!3d53.9549782!4d-1.0917725!16s%2Fg%2F1ptym40ch!19sChIJfajhtAYxeUgRwlulfAUt1tg,Blossom Family Dental Care,4.6,558,Dental clinic,"25 Blossom St, York YO24 1AQ, United Kingdom","XW35+X7 York, UK",https://www.blossomdentalcare.co.uk/?utm_source=Google&utm_medium=Google&utm_campaign=GMB-Link,+44 1904 654889,Closed · Opens 8:15 am Wed,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipNWRSYx0a8HNpv-OigBtW5XVCFf4fGUT6iqaq88=w408-h298-k-no,true,8:15 am–5 pm,8:15 am–5 pm,8:15 am–5 pm,8:15 am–5 pm,Closed,Closed,8:15 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Scarborough+York+UK/@53.969253,-1.0861551,14z",2026-02-10T22:41:39.627Z,,
https://www.google.com/maps/place/Acorn+Dental+Practice/data=!4m7!3m6!1s0x487931244f0c7107:0xcb0af29e1e537d87!8m2!3d53.9562306!4d-1.1229718!16s%2Fg%2F1tj578_g!19sChIJB3EMTyQxeUgRh31THp7yCss,Acorn Dental Practice,4.7,26,Dentist,"44 York Rd, Holgate, York YO24 4LZ, United Kingdom","XV4G+FR York, UK",https://www.acorndentalpractice-york.co.uk/,+44 1904 789876,"Closed · Opens 8:30 am Wed

Confirmed by this business 7 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep02x2kXAMTwGXI6dyrgzPM3cmV3-sYZxc8NgZIIU9pr0Ea30jbHrW2l80eiqzlWu2V0-dt68cI0kpEb5cKdVfCRlmYzP4K0-qA4p82JZVng9JLwqlsBMCrJwQeqdI4MP7MFuxYYA=w408-h725-k-no,true,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,9 am–12 pm,Closed,8:30 am–5:30 pm,"https://www.google.com/maps/search/pediatrician+in+Scarborough+York+UK/@53.969253,-1.0861551,14z",2026-02-10T22:41:43.910Z,,
https://www.google.com/maps/place/Harrogate+District+Hospital/data=!4m7!3m6!1s0x487953d6b31e02d7:0xc34ce344bdbc8c07!8m2!3d53.9937105!4d-1.5175624!16s%2Fg%2F1vxcvyg4!19sChIJ1wIes9ZTeUgRB4y8vUTjTMM,Harrogate District Hospital,4.0,336,General hospital,"Lancaster Park Rd, Harrogate HG2 7SX, United Kingdom","XFVJ+FX Harrogate, United Kingdom",http://www.hdft.nhs.uk/,+44 1423 885959,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq3vFWou209BjhXelroSvM-s0iPiT46zRtmbKIwYmmq-zL1ml4UUkVQqp9vf26noD5I90gpa-tpG5J6DTEBcYZHl0Wq1O7wSkNNPNlo81RsaQNAiW0Q4evcT1Fz4kNSFc_EJniMxA=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pediatrician+in+Harrogate+York+UK/@53.99212,-1.541812,14z",2026-02-10T22:41:55.464Z,,
https://www.google.com/maps/place/The+Duchy+Hospital/data=!4m7!3m6!1s0x487951580a2652a5:0x2bf73f1c16b5643e!8m2!3d53.987492!4d-1.5478096!16s%2Fg%2F11y30775v!19sChIJpVImClhReUgRPmS1Fhw_9ys,The Duchy Hospital,4.9,962,Private hospital,"Queen's Road, Harrogate HG2 0HF, United Kingdom","XFP2+XV Harrogate, United Kingdom",https://www.circlehealthgroup.co.uk/hospitals/the-duchy-hospital?utm_source=google&utm_medium=googlelocal&utm_campaign=bmiduchy,+44 1423 567136,"Closed · Opens 8 am Wed

Confirmed by this business 9 weeks ago",LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOPzVlCFOfBeVlq1rIvkd6LrJMcxo2khxcYTrDN=w426-h240-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,Closed,Closed,8 am–8 pm,"https://www.google.com/maps/search/pediatrician+in+Harrogate+York+UK/@53.99212,-1.541812,14z",2026-02-10T22:41:59.938Z,,
