placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,info,attributes,error
https://www.google.com/maps/place/American+Electrical+Contracting+Inc./data=!4m7!3m6!1s0x88e5b62fe6a8c149:0x9bf79c045ce0474a!8m2!3d30.2032823!4d-81.5756005!16s%2Fg%2F1tjfhnzv!19sChIJScGo5i-25YgRSkfgXASc95s,American Electrical Contracting Inc.,4.9,2549,Electrician,"9016 Philips Hwy, Jacksonville, FL 32256, United States","6C3F+8Q Baymeadows Center, Jacksonville, FL, USA",http://www.american-electrical.com/,+1 904-737-7770,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipO8sbD-9sNR9107DFCCVd2hxD8WHMJgsRI3-b3m=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2026-01-10T21:52:12.706Z,,,
https://www.google.com/maps/place/Double+A+-+Home+of+the+AC+Bee%27s/data=!4m7!3m6!1s0x88e5cd9234450f4d:0xe0595ea0c7a8da0c!8m2!3d30.1623008!4d-81.5460117!16s%2Fg%2F11fwdllsmh!19sChIJTQ9FNJLN5YgRDNqox6BeWeA,Double A - Home of the AC Bee's,4.9,621,HVAC contractor,"6353 Greenland Rd, Jacksonville, FL 32258, United States","5F63+WH Southside, Jacksonville, FL, USA",https://www.ineedacnow.com/?utm_source=google&utm_medium=gbp-acb&se_campaign=GBP-ACB,+1 904-689-7786,"Open 24 hours

Confirmed by this business 7 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOoMWwLgA-B10Olq0nqGjCre3Jc_dSH52zLUpqF=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2026-01-10T21:52:17.991Z,Identifies as women-owned,,
https://www.google.com/maps/place/Generator+Supercenter+of+Jacksonville/data=!4m7!3m6!1s0x88e5cb49668f6453:0x5e7a6463a9dec420!8m2!3d30.2232332!4d-81.5860682!16s%2Fg%2F11j2bt91ym!19sChIJU2SPZknL5YgRIMTeqWNkel4,Generator Supercenter of Jacksonville,4.8,142,Electric generator shop,"8081 Philips Hwy Ste 3, Jacksonville, FL 32256, United States","6CF7+7H Deerwood Center, Jacksonville, FL, USA",https://www.generatorsupercenter.com/jacksonville,+1 904-379-4189,Closed · Opens 10 am Mon,https://lh3.googleusercontent.com/p/AF1QipNYyUvsfyY3OzhWjHYr5mhrpYPy4LS_aX6eEPiM=w408-h544-k-no,true,Closed,Closed,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2026-01-10T21:52:22.873Z,,· In-store shopping · In-store pick-up · Delivery,
"https://www.google.com/maps/place/1St+Coast+Generators,+Llc/data=!4m7!3m6!1s0x88e5cbf75becc2bd:0xef90dae52bebaf19!8m2!3d30.2252313!4d-81.5871889!16s%2Fg%2F11j6tv649x!19sChIJvcLsW_fL5YgRGa_rK-XakO8","1St Coast Generators, Llc",3.6,21,Electrician,"7999 Philips Hwy Suite 207, Jacksonville, FL 32256, United States","6CG7+34 Deerwood Center, Jacksonville, FL, USA",https://usmapid.org/details/1st-coast-generators-llc-ChIJvcL,+1 904-333-5288,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipPZXMY6bnE9dB073l6Ci5zJ5BIWjg48oG3EA3nQ=w433-h240-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2026-01-10T21:52:27.788Z,,,
"https://www.google.com/maps/place/Premier+Power+Systems,+Inc./data=!4m7!3m6!1s0x88e5b89635b1be1f:0x39c14cee206a60f!8m2!3d30.2826889!4d-81.7555846!16s%2Fg%2F1tkf1t2n!19sChIJH76xNZa45YgRD6YG4s4UnAM","Premier Power Systems, Inc.",3.9,37,Electric generator shop,"1966 Lane Ave S, Jacksonville, FL 32210, United States","76MV+3Q Southwest, Jacksonville, FL, USA",http://www.premierpowersystems.com/,+1 904-389-1115,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipPK5rznUVLJ8Lh0XPnWtT3gs1PlSoMA41LOnnxV=w508-h240-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2026-01-10T21:52:32.724Z,,,
https://www.google.com/maps/place/My+Emergency+Power/data=!4m7!3m6!1s0x88e5c1ded185c7a3:0xcfa5daac8c3f4385!8m2!3d30.0074734!4d-81.6999238!16s%2Fg%2F11rwrnj54n!19sChIJo8eF0d7B5YgRhUM_jKzapc8,My Emergency Power,5.0,121,Electric generator shop,"1525 Virgils Way, Green Cove Springs, FL 32043, United States","2842+X2 Green Cove Springs, Florida, USA",https://myemergencypower.com/,+1 904-230-0300,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyF3L1OUxWVdM0c0cD0mqJrr7czdtXFRrjToxRm8zW6g8PgShdD3TGYqjaIJcwlDGORjf2X-PK2VWkTxOB6mHLFLOMyeaO_donyYKVOD9-qektJ3CvH0_oZsgktyGoByr3B5xCXeCi9ubE=w408-h306-k-no,true,Closed,Closed,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2026-01-10T21:52:37.715Z,,,
https://www.google.com/maps/place/Double+A+Power+Team/data=!4m7!3m6!1s0xd84c2e56448f673:0x6387d29e159e5981!8m2!3d29.9738315!4d-81.5457125!16s%2Fg%2F11rhgls_hs!19sChIJc_ZIZOXChA0RgVmeFZ7Sh2M,Double A Power Team,5.0,1,Electric generator shop,,,https://www.ineedacnow.com/?utm_source=google&utm_medium=gbp-doublea&se_campaign=GBP-Double%20A,+1 904-478-8829,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipNrjylGSTqdNQAfD62MZmDUzHGwLWT8zkbnv8UF=w408-h306-k-no,true,Closed,Closed,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/generator+installation+services+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2026-01-10T21:52:42.657Z,,,
https://www.google.com/maps/place/ACF+Industrial+Energy/data=!4m7!3m6!1s0x88e5cb978820827f:0x69bc73c87b2ee28a!8m2!3d30.1857768!4d-81.5695449!16s%2Fg%2F1tgz6926!19sChIJf4IgiJfL5YgRiuIue8hzvGk,ACF Industrial Energy,4.7,27,Industrial equipment supplier,"5570 Florida Mining Blvd S Suite 209, Jacksonville, FL 32256, United States","5CPJ+85 Mandarin Station, Jacksonville, FL, USA",https://acfindustrialenergy.com/,+1 904-448-0045,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipO-H9JrF-wFqY89_t-sgyoXjFs4pO3IYh1jK_Lg=w408-h257-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2026-01-10T21:52:47.626Z,,,
"https://www.google.com/maps/place/Lickety+Split+AC,+Plumbing+%26+Electric/data=!4m7!3m6!1s0x88e437a65d1fa803:0x4198ffb230c890fc!8m2!3d30.1991804!4d-81.3806946!16s%2Fg%2F11xcfqn_m8!19sChIJA6gfXaY35IgR_JDIMLL_mEE","Lickety Split AC, Plumbing & Electric",4.9,961,Plumber,"822 A1A N Suite 205, Ponte Vedra Beach, FL 32082, United States","5JX9+MP Ponte Vedra Beach, Florida, USA",https://licketysplitfl.com/ponte-vedra-beach/?utm_source=google&utm_medium=gbp-pontevedra&se_campaign=GBP-Ponte%20Vedra%20Beach,+1 904-746-1802,Open · Closes 9 pm,https://lh3.googleusercontent.com/p/AF1QipNGPKpjgaLJT37dqI-q-HfsRw2_FmNr5UZnA-Gt=w408-h306-k-no,true,7 am–9 pm,7 am–5 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,"https://www.google.com/maps/search/generator+installation+services+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2026-01-10T21:52:52.670Z,Identifies as women-owned,,
https://www.google.com/maps/place/Tenax+Electrical+Company/data=!4m7!3m6!1s0x88e44bdd153584fb:0xe34338a2ec7bcf25!8m2!3d30.2840121!4d-81.5139383!16s%2Fg%2F11xlf77v6x!19sChIJ-4Q1Fd1L5IgRJc977KI4Q-M,Tenax Electrical Company,5.0,21,Electrician,"11762 Marco Beach Dr #6, Jacksonville, FL 32224, United States","7FMP+JC Sans Pareil, Jacksonville, FL, USA",https://tenaxelectrical.com/,+1 904-604-6100,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMZ4CLSGnG0hKM5k74nqM4uIJJTi02ZzlJlNc9X=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2026-01-10T21:52:57.675Z,,,
