placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,attributes,info,error,isBlackOwned
https://www.google.com/maps/place/Metro+Valet+Parking/data=!4m7!3m6!1s0x883b2d2546d1bfc3:0x434fd943107acdba!8m2!3d42.329423!4d-83.04694!16s%2Fg%2F1pt_ff1_4!19sChIJw7_RRiUtO4gRus16EEPZT0M,Metro Valet Parking,4.9,551,Valet parking service,"535 Griswold St Suite 900, Detroit, MI 48226, United States","8XH3+Q6 Detroit, Michigan, USA",http://www.metrovaletparking.com/,+1 855-442-6500,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxWoTXigjNhKGJdk2Zo80uWV8YInvX1SWsGaqTFaVtqTeIWbtTWVEOrE9POfig98gHzWiRIjCkqvKK3H_S7DVXvjC2aIsl-GN7gxfednzCOLuqGPd4kWstwiFHfApZkhLTbEfcO=w408-h306-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-28T18:32:39.857Z,,,,
https://www.google.com/maps/place/Detroit+Municipal+Parking+Department/data=!4m7!3m6!1s0x883b2d43c6467fd9:0xd1f1d6226476c497!8m2!3d42.3249563!4d-83.0643759!16s%2Fg%2F1tvm3fgk!19sChIJ2X9GxkMtO4gRl8R2ZCLW8dE,Detroit Municipal Parking Department,1.4,87,City government office,"1600 W Lafayette Blvd, Detroit, MI 48216, United States","8WFP+X6 Detroit, Michigan, USA",https://detroitmi.gov/departments/municipal-parking-department,+1 313-221-2500,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyN7hPqIVTbhWt8A0H5Ssrv9cHroYPiYrjTXxdVkt_mfkpK4DEYCbUoMXJI2dWXtOXBofxShmiMP-8ouFAijhMM6g_IP1Eb4pgE8dDDEp1wo5P0YjjLH0StqlGd7tBoZKke4XI3=w408-h306-k-no,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-28T18:32:46.789Z,,,,
https://www.google.com/maps/place/Downtown+Garage/data=!4m7!3m6!1s0x883b2d3a50d7bb33:0x363ec807a53d2291!8m2!3d42.3287458!4d-83.0499315!16s%2Fg%2F1tn06g9m!19sChIJM7vXUDotO4gRkSI9pQfIPjY,Downtown Garage,2.7,41,Parking garage,"328 W Congress St, Detroit, MI 48226, United States","8XH2+F2 Detroit, Michigan, USA",http://www.metrovaletparking.com/,+1 855-442-6500,Open ⋅ Closes 9 pm,https://lh3.googleusercontent.com/p/AF1QipPuiWX1Tpi_tamn_V9erRpDuA9jhXWLAtpVDTeM=w408-h272-k-no,true,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,Closed,Closed,6 am–9 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-28T18:32:52.292Z,,,,
https://www.google.com/maps/place/One+Detroit+Garage/data=!4m7!3m6!1s0x883b2d2580f603e9:0xe4545de48ae2a6c7!8m2!3d42.3304912!4d-83.0443269!16s%2Fg%2F11bwyyr1tt!19sChIJ6QP2gCUtO4gRx6biiuRdVOQ,One Detroit Garage,3.9,96,Parking garage,"201 Larned St, Detroit, MI 48226, United States","8XJ4+57 Detroit, Michigan, USA",,+1 855-487-6727,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwMO6HzdtKXi2O3jf23msWs6jGI5H7OClLDH78H5RQ-VgsrjTSSEs0A5Yu6MSNoOHzrz3uSlG6qEvEBHCpPCvtEjJ1QB-wUjfDGfsXHzpA-X3r6GvFqSpDxW9aQXABXHxBvnR7P=w408-h541-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-28T18:32:57.692Z,,,,
https://www.google.com/maps/place/Tigers+Parking+Garage/data=!4m7!3m6!1s0x8824d2cd31ebe86d:0x48c1bed000a85707!8m2!3d42.3407918!4d-83.0488095!16s%2Fg%2F11gd682439!19sChIJbejrMc3SJIgRB1eoANC-wUg,Tigers Parking Garage,4.3,126,Parking garage,"250 Fisher Rd, Detroit, MI 48226, United States","8XR2+8F Detroit, Michigan, USA",https://www.mlb.com/tigers/ballpark/transportation/parking,+1 313-471-2641,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwYky8wPZN22TpJ34PM_OVazIs-eZTM0uc6IhpfVncm79dihD1XiEhmP29xCbmdUO4rtOXhVaxHSnOjD6J2ghpfLQ8VqPRsjEVy0h5mYDAYnAs-P4ntrqRWE8uhfXUaP1zixOA=w408-h544-k-no,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-28T18:33:01.727Z,,,,
https://www.google.com/maps/place/Premier+Parking+Detroit+Office/data=!4m7!3m6!1s0x883b2d30232c3945:0x85eff08def98f0eb!8m2!3d42.3321325!4d-83.0476112!16s%2Fg%2F1yg4dj2nc!19sChIJRTksIzAtO4gR6_CY743w74U,Premier Parking Detroit Office,3.2,17,Parking lot,"1001 Woodward Building, 1001 Woodward Ave #1150, Detroit, MI 48226, United States","8XJ2+VX Detroit, Michigan, USA",http://www.premierparking.com/,+1 855-487-6727,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOsHrpUi7SKJk0Obwo6kyQiirI7qvgMR-3WDtGp=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-28T18:33:07.568Z,,,,
https://www.google.com/maps/place/Park+Rite+Parking/data=!4m7!3m6!1s0x883b2da612c94cc7:0x95a2747ba6e301e4!8m2!3d42.335774!4d-83.0389736!16s%2Fg%2F11rxmnmh_f!19sChIJx0zJEqYtO4gR5AHjpnt0opU,Park Rite Parking,4.8,10,Parking garage,"707 E Lafayette St, Detroit, MI 48226, United States","8XP6+8C Detroit, Michigan, USA",https://www.parkwhiz.com/p/detroit-parking/707-e-lafayette-st?utm_source=google-maps&utm_medium=website-button-via-maps-profile,+1 313-965-7275,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyn8a4wlF5nw-Kqpi0WJVt9FVf9dHapIYNgT39MdiaW5rXo8xgFCq3czrHTfD7jvlneu2zGbBY-hGj3Nsq6YwaJahcLWoUU-6a9jC4LA453rQJbPq9jZwk0yb23GIkawb0BdQo=w408-h306-k-no,true,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-28T18:33:10.758Z,,,,
https://www.google.com/maps/place/Opera+House+Parking+Center/data=!4m7!3m6!1s0x883b2d3200833f15:0x31202f7c04db6dea!8m2!3d42.3363071!4d-83.0466275!16s%2Fg%2F11bw3fs507!19sChIJFT-DADItO4gR6m3bBHwvIDE,Opera House Parking Center,4.4,37,Parking garage,"The Ashley, 311 E Grand River Ave, Detroit, MI 48226, United States","8XP3+G8 Detroit, Michigan, USA",,,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzhWZA68Aj67FFu76ocSAfoOyWIHYV21Jk2f1Y9Cogg1-30oyBb5n1lzs_bswmMPeJMnSiu47vx_oLSSGMPo_MEVHK6tuty612sI6INlXNiduoYcszmu0T9VdyrXiZrCho1NCPINA=w408-h544-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-28T18:33:16.070Z,,,,
https://www.google.com/maps/place/Valet+Parking/data=!4m7!3m6!1s0x883b2da32f233105:0x4502c92198c72ad1!8m2!3d42.3324777!4d-83.0492713!16s%2Fg%2F11h71jsclw!19sChIJBTEjL6MtO4gR0SrHmCHJAkU,Valet Parking,5.0,1,Valet parking service,"111 State St, Detroit, MI 48226, United States","8XJ2+X7 Detroit, Michigan, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=S-hGdmb9mCZTex2pA0nkCA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=162.80203&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-28T18:33:19.131Z,,,,
https://www.google.com/maps/place/SP%2B+Parking/data=!4m7!3m6!1s0x883b2df242514b07:0x62583a17906048b0!8m2!3d42.3279293!4d-83.0414848!16s%2Fg%2F11f7p1kcp9!19sChIJB0tRQvItO4gRsEhgkBc6WGI,SP+ Parking,3.3,32,Parking garage,"414 Renaissance Dr W, Detroit, MI 48243, United States","8XH5+5C Detroit, Michigan, USA",,+1 844-472-7577,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOevGVHySbZSIkdMnirxoHAUUYVKg-lJGjUglQt=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-28T18:33:24.343Z,,,,
