placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/Mister+Sparky/data=!4m7!3m6!1s0x89e5ab147127c15b:0x90067e5f0add017d!8m2!3d41.7039187!4d-71.268046!16s%2Fg%2F11cmchwfc8!19sChIJW8EncRSr5YkRfQHdCl9-BpA,Mister Sparky,4.9,336,Electrician,"121 Broadcommon Rd, Bristol, RI 02809, United States","PP3J+HQ Bristol, Rhode Island, USA",http://www.mistersparkyri.com/?utm_source=GBP&utm_medium=organic&utm_campaign=RhodeIsland_website,+1 401-307-3551,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPgSb5ayfxeyIGe1uYKJOtFbCIOnZmUTHmLAAuM=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Bristol+Providence+RI/@41.6771101,-71.2662025,14z",2026-01-10T23:26:50.992Z,,,,
https://www.google.com/maps/place/NEC+Electric+%26+Solar/data=!4m7!3m6!1s0x89e5ab147127c15b:0x5f37cba11ed3638b!8m2!3d41.7041553!4d-71.2681642!16s%2Fg%2F11cm4ftfxv!19sChIJW8EncRSr5YkRi2PTHqHLN18,NEC Electric & Solar,4.9,251,Electrician,"121 Broadcommon Rd, Bristol, RI 02809, United States","PP3J+MP Bristol, Rhode Island, USA",http://www.callnec.com/,+1 401-293-0527,Closed · Opens 12 am Mon,https://lh3.googleusercontent.com/p/AF1QipPM5jOdU_wuRke5DINQ4sq6nW-l9HlEgNmfu2Me=w427-h240-k-no,true,Closed,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Bristol+Providence+RI/@41.6771101,-71.2662025,14z",2026-01-10T23:26:55.473Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/F+%26+S+Electric+Inc/data=!4m7!3m6!1s0x89e456a12422685d:0xc3c2d0a31b29f219!8m2!3d41.7021124!4d-71.2685354!16s%2Fg%2F1tdvw9z3!19sChIJXWgiJKFW5IkRGfIpG6PQwsM,F & S Electric Inc,5.0,23,Electrician,"1 Shannon Ct unit 107, Bristol, RI 02809, United States","PP2J+RH Bristol, Rhode Island, USA",https://fselectricri.com/,+1 401-253-0396,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNK3aRfYT55eTl7nXCjT7AiKtO96RvlEfm8gTYE=w408-h271-k-no,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Bristol+Providence+RI/@41.6771101,-71.2662025,14z",2026-01-10T23:27:00.219Z,,,,
https://www.google.com/maps/place/Superior+Comfort+Incorporated/data=!4m7!3m6!1s0x89e4546a5b667ced:0x2af788bb2176b8f1!8m2!3d41.694109!4d-71.271086!16s%2Fg%2F1thqbwm0!19sChIJ7XxmW2pU5IkR8bh2IbuI9yo,Superior Comfort Incorporated,4.9,1699,HVAC contractor,"11 Broadcommon Rd, Bristol, RI 02809, United States","MPVH+JH Bristol, Rhode Island, USA",https://superiorcomfortinc.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*296*superior-comfort-bristol,+1 401-284-9958,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPXDa_zBOpUjHiYlOHBNsHjlZ4UVa_9yTlxKpD_=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Bristol+Providence+RI/@41.6771101,-71.2662025,14z",2026-01-10T23:27:04.554Z,,,,
https://www.google.com/maps/place/Zufelt+Marine+Power/data=!4m7!3m6!1s0xa6b3c47d58cf81a7:0x558f05692555842e!8m2!3d41.7037894!4d-71.2744698!16s%2Fg%2F11sn_2dqj9!19sChIJp4HPWH3Es6YRLoRVJWkFj1U,Zufelt Marine Power,5.0,8,Diesel engine repair service,"86 Tupelo St Unit 3, Bristol, RI 02809, United States","PP3G+G6 Bristol, Rhode Island, USA",,+1 401-286-5330,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNMuT6mdAkZdYg25orv_6MeFa-Rsdxjwc0KRcb3=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Bristol+Providence+RI/@41.6771101,-71.2662025,14z",2026-01-10T23:27:09.139Z,,,,
https://www.google.com/maps/place/Premier+Electrical+Services+and+Generators/data=!4m7!3m6!1s0x7d0ecdba1b4b9c3:0x117625463d6d3545!8m2!3d41.8603614!4d-71.4868229!16s%2Fg%2F11sp7gnl1b!19sChIJw7m0odvs0AcRRTVtPUYldhE,Premier Electrical Services and Generators,4.8,51,Electrician,"58 Waterman Ave Unit 7, North Providence, RI 02911, United States","VG67+47 North Providence, Rhode Island, USA",http://premierelectricalservicesllc.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+1 401-269-5823,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNH7x401F6Y5Xf4Y7ajuQWu_smQdGozpsq-5162=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Bristol+Providence+RI/@41.6771101,-71.2662025,14z",2026-01-10T23:27:13.626Z,,,,
https://www.google.com/maps/place/Romano+Electric/data=!4m7!3m6!1s0x4657812038370f8b:0x306f434f9ccf2807!8m2!3d41.7192544!4d-71.2755654!16s%2Fg%2F11khbzh4v5!19sChIJiw83OCCBV0YRByjPnE9DbzA,Romano Electric,5.0,114,Electrician,"100 Coomer Ave, Warren, RI 02885, United States","PP9F+PQ Warren, Rhode Island, USA",http://www.romanoelectric.net/,+1 401-343-7090,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipMKqjbFQX3AhHuGEarGwNX-YICF61EhvqWdc4Br=w426-h240-k-no,true,8 am–4 pm,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Bristol+Providence+RI/@41.6771101,-71.2662025,14z",2026-01-10T23:27:17.897Z,,,,
"https://www.google.com/maps/place/Coastline+Electric+-+Commercial%2FResidential+Local+Electrician,+Generac+Standby+Generators,+Emergency+-+Smithfield,+RI/data=!4m7!3m6!1s0x89e46779f56e2135:0x2e4efc10accac8b5!8m2!3d41.8783043!4d-71.4733932!16s%2Fg%2F11j4yy60ph!19sChIJNSFu9Xln5IkRtcjKrBD8Ti4","Coastline Electric - Commercial/Residential Local Electrician, Generac Standby Generators, Emergency - Smithfield, RI",4.5,19,Electrician,"90 Douglas Pike, Smithfield, RI 02917, United States","VGHG+8J Smithfield, Rhode Island, USA",https://coastlineelectricri.com/,+1 508-316-8877,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMufhT6nYZo0i6oj1_K9rVhpf6DLUVLSNsxmoqg=w408-h494-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Bristol+Providence+RI/@41.6771101,-71.2662025,14z",2026-01-10T23:27:22.404Z,,,,
https://www.google.com/maps/place/Sunshine+Fuels+%26+Energy+Services/data=!4m7!3m6!1s0x89e45440e876b171:0x24a9e3c3b191438!8m2!3d41.6762231!4d-71.2626597!16s%2Fg%2F1tslkr8w!19sChIJcbF26EBU5IkROBQZOzyeSgI,Sunshine Fuels & Energy Services,4.3,46,Heating oil supplier,"280 Franklin St, Bristol, RI 02809, United States","MPGP+FW Bristol, Rhode Island, USA",https://sunshineoilco.com/,+1 401-253-7781,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipNCg-TLGp81d-pI02ONyRBE3KziGbUIyOVZvxwl=w408-h264-k-no,true,Closed,Closed,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Bristol+Providence+RI/@41.6771101,-71.2662025,14z",2026-01-10T23:27:26.864Z,,,,
https://www.google.com/maps/place/COX+ELECTRIC+and+KOOL+CO/data=!4m7!3m6!1s0x89e5becaa7955507:0xa2012358e8b23ec2!8m2!3d41.6668257!4d-71.5689056!16s%2Fg%2F1tcvvws5!19sChIJB1WVp8q-5YkRwj6y6FgjAaI,COX ELECTRIC and KOOL CO,4.8,343,Electrical installation service,"350 Hopkins Hill Rd, Coventry, RI 02816, United States","MC8J+PC Coventry, Rhode Island, USA",http://www.coxne.com/,+1 401-470-0000,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMMYuMORZiTXU1qCqYhcCvCttiESZa_tPl919Yy=w426-h240-k-no,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Bristol+Providence+RI/@41.6771101,-71.2662025,14z",2026-01-10T23:27:31.264Z,,,,
