placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,sunday,monday,tuesday,wednesday,thursday,friday,saturday,info,isBlackOwned,attributes
https://www.google.com/maps/place/A+%26+R+Associates/data=!4m7!3m6!1s0x89e456a01354ce45:0xc5afdb91b662be3a!8m2!3d41.699687!4d-71.265146!16s%2Fg%2F1tf6c1n1!19sChIJRc5UE6BW5IkROr5itpHbr8U,A & R Associates,4.3,7,Tax preparation service,"643 Metacom Ave, Bristol, RI 02809, United States","MPXM+VW Bristol, Rhode Island, USA",,+1 401-253-1986,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_fBKhUsexMKshSi2K3_aiQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=255.32382&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/certified+public+accountant+in+Bristol+Providence+RI/@41.6771101,-71.2662025,14z",2025-10-19T16:20:44.697Z,,,,,,,,,,
"https://www.google.com/maps/place/DeVine+%26+Associates,+LLC/data=!4m7!3m6!1s0x89e45421eecc7c09:0xd191885a106b43f!8m2!3d41.6961653!4d-71.272294!16s%2Fg%2F1tk8d3y7!19sChIJCXzM7iFU5IkRP7QGoYUYGQ0","DeVine & Associates, LLC",3.8,6,Accountant,"33 Broadcommon Rd, Bristol, RI 02809, United States","MPWH+F3 Bristol, Rhode Island, USA",http://devineaccounting.com/,+1 401-254-0151,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipMSzmZeJ6KzXzFL5fzd2zSd276vpbQNORfAbaVA=w426-h240-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Bristol+Providence+RI/@41.6771101,-71.2662025,14z",2025-10-19T16:20:50.909Z,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,,,
https://www.google.com/maps/place/Bristol+County+Consultants/data=!4m7!3m6!1s0x89e45aa319b00001:0xe4f39b6dac0eff1!8m2!3d41.6936038!4d-71.2622525!16s%2Fg%2F11sh5x5gd3!19sChIJAQCwGaNa5IkR8e_A2rY5Tw4,Bristol County Consultants,5.0,1,Tax consultant,"576 Metacom Ave # 8A, Bristol, RI 02809, United States","MPVQ+C3 Bristol, Rhode Island, USA",https://bcctaxprep.com/contact/,+1 401-432-9903,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fr8LNjS4SKyHYf5l6LVz6w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=10.28246&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Bristol+Providence+RI/@41.6771101,-71.2662025,14z",2025-10-19T16:20:55.826Z,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,,,
https://www.google.com/maps/place/H%26R+Block/data=!4m7!3m6!1s0x89e4546f41ff5f3f:0x3a9b02c281ca76e1!8m2!3d41.6718119!4d-71.2710638!16s%2Fg%2F1tds7qjx!19sChIJP1__QW9U5IkR4XbKgcICmzo,H&R Block,4.4,14,Tax preparation service,"356 Wood St, Bristol, RI 02809, United States","MPCH+PH Bristol, Rhode Island, USA",https://www.hrblock.com/tax-office-near-me/rhode-island/bristol/38644/?otppartnerid=9308&campaignid=pw_mcm_9308_9762&utm_medium=local,+1 401-253-1249,,https://lh3.googleusercontent.com/p/AF1QipNE5jqz5jJOi74dhV-7dVBRWlDeDclnn3NbWCKH=w426-h240-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Bristol+Providence+RI/@41.6771101,-71.2662025,14z",2025-10-19T16:20:58.807Z,,,,,,,,,,
https://www.google.com/maps/place/H%26R+Block/data=!4m7!3m6!1s0x89e456a2344c9c9f:0x57d75f4ad74d1496!8m2!3d41.7050979!4d-71.2663562!16s%2Fg%2F1th6fw43!19sChIJn5xMNKJW5IkRlhRN10pf11c,H&R Block,4.7,69,Tax preparation service,"711 Metacom Ave, Bristol, RI 02809, United States","PP4M+2F Bristol, Rhode Island, USA",https://www.hrblock.com/tax-office-near-me/rhode-island/bristol/38631/?otppartnerid=9308&campaignid=pw_mcm_9308_9762&utm_medium=local,+1 401-253-1179,"Closed ⋅ Opens 9 am Mon

Updated by this business 4 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPb4EM_QOyMpb5fapk0xsf2tO0bO2E6D0f1H4vg=w426-h240-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Bristol+Providence+RI/@41.6771101,-71.2662025,14z",2025-10-19T16:21:03.778Z,Closed,9 am–3 pm,Closed,Closed,9 am–3 pm,Closed,9 am–3 pm,,,
https://www.google.com/maps/place/Jackson+Hewitt+Tax+Service/data=!4m7!3m6!1s0x89e45584e04fdad3:0x98d8d2aba5570db6!8m2!3d41.692148!4d-71.277661!16s%2Fg%2F11rrqppx3n!19sChIJ09pP4IRV5IkRtg1XpavS2Jg,Jackson Hewitt Tax Service,5.0,5,Tax preparation,"22 Gooding Ave, Bristol, RI 02809, United States","MPRC+VW Bristol, Rhode Island, USA",https://office.jacksonhewitt.com/tax-preparation-services-locations/en/ri/bristol/22-gooding-avenue/14492?utm_source=google&utm_medium=local&utm_campaign=local&utm_content=14492,+1 401-237-7589,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WsiASd5X-YhOVZETmQxQWw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=131.36707&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Bristol+Providence+RI/@41.6771101,-71.2662025,14z",2025-10-19T16:21:06.614Z,,,,,,,,,,
"https://www.google.com/maps/place/M.+Hughes,+CPA+%26+Company,+LLC/data=!4m7!3m6!1s0x89e456bdfde29b6b:0x311a8ba7081f3914!8m2!3d41.7148613!4d-71.267576!16s%2Fg%2F11bt_jp2f3!19sChIJa5vi_b1W5IkRFDkfCKeLGjE","M. Hughes, CPA & Company, LLC",4.4,7,Accounting firm,"654 Metacom Ave, Warren, RI 02885, United States","PP7J+WX Warren, Rhode Island, USA",https://mhughescpa.com/,+1 401-289-3888,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOe61DUu8tXzcP99iNlERNmSuEhVbXjucrWlYjD=w426-h240-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Bristol+Providence+RI/@41.6771101,-71.2662025,14z",2025-10-19T16:21:11.912Z,Closed,8 am–4:30 pm,8 am–4:30 pm,9 am–5 pm,9 am–5 pm,9 am–1 pm,Closed,,,
https://www.google.com/maps/place/WealthMax+Financial+Group/data=!4m7!3m6!1s0x89e457d70795762b:0x741fdbbd904f4795!8m2!3d41.7001283!4d-71.2663544!16s%2Fg%2F11l6j1vjg9!19sChIJK3aVB9dX5IkRlUdPkL3bH3Q,WealthMax Financial Group,5.0,9,Financial planner,"655 Metacom Ave Unit 102, Bristol, RI 02809, United States","PP2M+3F Bristol, Rhode Island, USA",https://www.wealthmaxfg.com/,+1 401-366-2525,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipOSg7Yo1wxgHlsSj6u9tOEoniBZutHlmfWVRL3T=w408-h544-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Bristol+Providence+RI/@41.6771101,-71.2662025,14z",2025-10-19T16:21:16.885Z,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–1 pm,,,
https://www.google.com/maps/place/Platinum+Tax+%26+Accounting+Services+LLC/data=!4m7!3m6!1s0x89e4459c845f5c15:0x218dbc9b015da092!8m2!3d41.8539176!4d-71.4306228!16s%2Fg%2F1262btzz7!19sChIJFVxfhJxF5IkRkqBdAZu8jSE,Platinum Tax & Accounting Services LLC,4.2,34,Accountant,"754 Branch Ave Suite 9, Providence, RI 02904, United States","VH39+HQ Providence, Rhode Island, USA",http://www.platinumtaxri.com/,+1 401-273-2100,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipPBeR_yixA08GK_3_WY3ytL52R4NZ-Z46vccWIC=w426-h240-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Bristol+Providence+RI/@41.6771101,-71.2662025,14z",2025-10-19T16:21:21.877Z,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,,,
"https://www.google.com/maps/place/J+Raymond+Pearson,+Jr.+CPA/data=!4m7!3m6!1s0x89e5b6a16e269655:0x9e653f20835021f5!8m2!3d41.5727854!4d-71.4854364!16s%2Fg%2F1hhj4184q!19sChIJVZYmbqG25YkR9SFQgyA_ZZ4","J Raymond Pearson, Jr. CPA",4.9,38,Certified public accountant,"650 Ten Rod Rd suite 129D, North Kingstown, RI 02852, United States","HGF7+4R North Kingstown, Rhode Island, USA",http://yourcpatoday.com/,+1 401-823-8100,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipNtQVpcicVAPTkDoKGznm_LsoPmSIoEazMgLOHc=w669-h240-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Bristol+Providence+RI/@41.6771101,-71.2662025,14z",2025-10-19T16:21:26.780Z,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,,,
