placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,info,attributes
https://www.google.com/maps/place/ABM+Electrical+Services/data=!4m7!3m6!1s0x4879313ecd93a3c9:0xa69627a194ec2d19!8m2!3d53.9346616!4d-1.1284738!16s%2Fg%2F1tf30xvn!19sChIJyaOTzT4xeUgRGS3slKEnlqY,ABM Electrical Services,4.9,92,Electrician,"2 Miterdale, Woodthorpe, York YO24 2SX, United Kingdom","WVMC+VJ York, UK",http://www.abmelectrical.co.uk/,+44 7703 382151,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPE3I-pxxorA3qpWD-jRSVN1IQx0EulYYbyInMF=w408-h543-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-01-10T23:01:52.006Z,,
https://www.google.com/maps/place/Dennis+King+Electrical+Ltd/data=!4m7!3m6!1s0x48793092f7ba8661:0x21083bf07e7d3f2b!8m2!3d53.9256424!4d-1.1054344!16s%2Fg%2F1tcz7vj0!19sChIJYYa695IweUgRKz99fvA7CCE,Dennis King Electrical Ltd,4.9,13,Electrician,"Unit 13, Middlethorpe Business Park, Sim Balk Ln, York YO23 2BD, United Kingdom","WVGV+7R York, UK",http://denniskingelectricalltd.co.uk/,+44 1904 700334,Closed · Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Kco93TiZCtUjUyvuUTmLUA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=217.30014&pitch=0&thumbfov=100,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-01-10T23:01:57.734Z,,
https://www.google.com/maps/place/MH+Electrical/data=!4m7!3m6!1s0x4879312b29ecb0cd:0xdfec817b001e1c3a!8m2!3d53.9516669!4d-1.138806!16s%2Fg%2F1260b37rv!19sChIJzbDsKSsxeUgROhweAHuB7N8,MH Electrical,4.2,5,Electrician,"8 Parker Ave, Acomb, York YO26 5DU, United Kingdom","XV26+MF York, UK",,+44 1904 791497,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=y6JQc_SASwXGLjYTyxkE2A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=164.02415&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-01-10T23:02:02.604Z,,
https://www.google.com/maps/place/HD+Electrical+Services+York/data=!4m7!3m6!1s0x4879315a69917df7:0xf91eb60b51b3c69e!8m2!3d53.935001!4d-1.1337665!16s%2Fg%2F11vslsg3bv!19sChIJ932RaVoxeUgRnsazUQu2Hvk,HD Electrical Services York,5.0,32,Electrician,"5 Dee Cl, Woodthorpe, York YO24 2XP, United Kingdom","WVP8+2F York, UK",https://hdelectricalservices.co.uk/,+44 7788 273649,"Open 24 hours

Confirmed by this business 9 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMtJdOHfO1GqxrA8ueOnJ9IVDFBwlB7Y_Ess8Z6=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-01-10T23:02:07.831Z,,
https://www.google.com/maps/place/FF+Electrical+Services+Ltd./data=!4m7!3m6!1s0x4879317cb35788a3:0xd835d950ebcc7ac7!8m2!3d53.9483737!4d-1.1319836!16s%2Fg%2F11mpmz260p!19sChIJo4hXs3wxeUgRx3rM61DZNdg,FF Electrical Services Ltd.,5.0,66,Electrician,"73 Cornlands Rd, York YO24 3DX, United Kingdom","WVX9+86 York, UK",https://ffelectrical.co.uk/,+44 7709 227993,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOhH4KsxUxyiAv7iBxxUglRIKxtKtRfK90Immv9=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-01-10T23:02:12.786Z,,
https://www.google.com/maps/place/Nfinnerty+Electrical+Ltd/data=!4m7!3m6!1s0x4879318430973e2b:0xfe9163d92769ea66!8m2!3d53.9781!4d-1.1339!16s%2Fg%2F11nxr7x_ms!19sChIJKz6XMIQxeUgRZuppJ9ljkf4,Nfinnerty Electrical Ltd,4.9,68,Electrician,"Westminster business center, 10 Great N Way, York YO26 6RB, United Kingdom","XVH8+6C York, UK",https://www.nfinnertyelectrical.com/,+44 7702 592479,"Open 24 hours

Confirmed by this business 6 days ago",https://lh3.googleusercontent.com/p/AF1QipOiU86tjdJsvQD7lLu4TZohm6vGbvmd9aAOPxoP=w408-h709-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-01-10T23:02:17.971Z,,
https://www.google.com/maps/place/Full+Circuit+Electrical/data=!4m7!3m6!1s0x48792f66ec0fcb87:0xc063ac4cdc10f696!8m2!3d53.9557782!4d-1.0611902!16s%2Fg%2F1hc1l8bbd!19sChIJh8sP7GYveUgRlvYQ3EysY8A,Full Circuit Electrical,4.7,212,Electrician,"24, Janus House, Olympian Ct, Lawrence St, York YO10 3UP, United Kingdom","XW4Q+8G York, UK",https://www.fullcircuitelectrical.co.uk/?utm_medium=organic&utm_source=google&utm_campaign=gbp,+44 1904 607418,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipOWOnJrEDoncyPz5BVTlxBLgQDWsV97VWfWGEZP=w408-h544-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-01-10T23:02:23.048Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Finney+Electrical+-+York/data=!4m7!3m6!1s0x4879610fdae5a941:0x704a17d9dfe8250f!8m2!3d53.9645286!4d-1.0888105!16s%2Fg%2F11f1948jyv!19sChIJQanl2g9heUgRDyXo39kXSnA,Finney Electrical - York,4.9,115,Electrician,"66 Bootham, York YO30 7BZ, United Kingdom","XW76+RF York, UK",http://www.finneyelectrical.co.uk/,+44 1904 373245,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzFW-voSq1rIvdxpBbLcbyVZ-mj5_AHOC3wACKNm9QnlcMo5wvhPpN7z6msZXnqM9-k9lMFgZBBk6Qhf-2pEgg8w-vP97Hig2XLXwT75wIe-60aT3somfnSkdoRuSn5TB3ZdGrL=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-01-10T23:02:28.006Z,,
https://www.google.com/maps/place/Yorkshire+Electricians+Ltd/data=!4m7!3m6!1s0x4879337cc5231ab5:0xe5359785d5ea4599!8m2!3d53.9890515!4d-1.0977862!16s%2Fg%2F11g1f9mhkd!19sChIJtRojxXwzeUgRmUXq1YWXNeU,Yorkshire Electricians Ltd,4.9,91,Electrician,"Office 21, Concept Business Centre, Kettlestring Ln, York YO30 4XF, United Kingdom","XWQ2+JV Rawcliffe, York, UK",http://www.yorkshire-electricians.co.uk/,+44 1904 373045,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipPawBJXpL1HOg0SHjUfqwX1ukQa1APqfFOWK12D=w408-h589-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-01-10T23:02:32.795Z,,
https://www.google.com/maps/place/Evolution+Electrical+York+Ltd/data=!4m7!3m6!1s0x487931d99c60cfeb:0xdfd23f7c4bd824b1!8m2!3d53.989118!4d-1.0977231!16s%2Fg%2F11kvw4ln1p!19sChIJ689gnNkxeUgRsSTYS3w_0t8,Evolution Electrical York Ltd,4.9,63,Electrician,"Concept Business Centre, Unit 15 Kettlestring Ln, York YO30 4XF, United Kingdom","XWQ2+JW Rawcliffe, York, UK",http://www.evolutionelectricalyork.com/,+44 7712 224043,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMwCY9AC4r0WiyodajYa7OQx7GNFZZQiPfmLC2r=w408-h270-k-no,true,Closed,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/generator+installation+services+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-01-10T23:02:37.883Z,,
