placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,info,isBlackOwned
https://www.google.com/maps/place/King+city+tire/data=!4m7!3m6!1s0x88626ba3dd33eb39:0x280cca2fe9bd4f77!8m2!3d34.7504806!4d-86.5987632!16s%2Fg%2F11y3wk7ndq!19sChIJOesz3aNrYogRd0-96S_KDCg,King city tire,5.0,116,Tire shop,"2005 Memorial Pkwy NW, Huntsville, AL 35810, United States","QC22+5F Huntsville, Alabama, USA",,+1 718-306-8577,Open · Closes 6:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwersIiPSBMbt7DNeX0wM0tjBGHFYfbOUDHuD_3eI9OfewSE8XOPHgGYGAgzmXsLBkPqBKt8di3PHOTUlqxq3dMZswnV7onvibh4tb48iPF92taV7OiLGbvNTd2-V_jM1qBQdthfmeQ=w408-h544-k-no,true,7:30 am–6:30 pm,7:30 am–6:30 pm,7:30 am–6:30 pm,7:30 am–6:30 pm,7:30 am–6:30 pm,7:30 am–6:30 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2026-03-23T16:32:26.523Z,,,
https://www.google.com/maps/place/Used+Tire+World/data=!4m7!3m6!1s0x88626c9b36aff7e3:0x947de7b28f11989f!8m2!3d34.7198232!4d-86.6103669!16s%2Fg%2F1tdn9dmk!19sChIJ4_evNptsYogRn5gRj7LnfZQ,Used Tire World,4.8,487,Used tire shop,"3217 Governors Dr SW, Huntsville, AL 35805, United States","P99Q+WV Huntsville, Alabama, USA",https://lomyu.me/used-tire-world-103935-us,+1 256-533-0194,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweohDIz5Oox6YCh2n7N9nv2D34q0kmdc-GhNdya0bN9HMnUwqTo18-1EnvVOKANHcuc4sdgGrKd0GBUhm-w9HNMB2t2bikppQlOlr995fUQHcYyF6swvzsVBIpNpbScTirUiX40T=w408-h306-k-no,false,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2026-03-23T16:32:33.194Z,,,
https://www.google.com/maps/place/Mavis+Tires+%26+Brakes/data=!4m7!3m6!1s0x88626ccc47f9a2cb:0x74988fa0adef6e68!8m2!3d34.7182088!4d-86.5914515!16s%2Fg%2F1tht2599!19sChIJy6L5R8xsYogRaG7vraCPmHQ,Mavis Tires & Brakes,4.8,1887,Tire shop,"2121 Memorial Pkwy SW, Huntsville, AL 35801, United States","PC95+7C Huntsville, Alabama, USA",https://www.mavis.com/locations/huntsville-memorial-pkwy-al?utm_source=yext&utm_medium=organic&utm_campaign=gmb&stnum=853,+1 256-500-4124,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweopTuK7laM9ytqdYqfGtXjW1w3b58Q3DI9sDq67sWjuf362R0_vFbmXzMP09D_rKL-9nFTYwpM8_OUuPTGzNMyixZagwUJKDWjGcVuAb647HLSfY-eaX4y-2yeM6KGqOXMWgrNsow=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–8:30 pm,8 am–6 pm,8 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2026-03-23T16:32:38.959Z,· In-store pick-up,LGBTQ+ friendly,
https://www.google.com/maps/place/Clem+Tire/data=!4m7!3m6!1s0x88626b68a212f611:0xe6c736c6beffd9a5!8m2!3d34.7390185!4d-86.6040429!16s%2Fg%2F1thx9bxf!19sChIJEfYSomhrYogRpdn_vsY2x-Y,Clem Tire,4.3,132,Tire shop,"2206 University Dr, Huntsville, AL 35816, United States","P9QW+J9 Huntsville, Alabama, USA",https://clemtire.com/,+1 256-533-9192,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoVlI0RYlzzH2GrHCpKSoo6O-SFXybI3Gtk_J5nLyIw9YHJ7oTsnyHE_R5kGRnCr4QAUtQfqJzrF_jejGM_fBWaFut11g5JU33RWRP6dBfrpZA_goV7txFj9frftusllI_d4Vw=w430-h240-k-no,true,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2026-03-23T16:32:43.906Z,,,
https://www.google.com/maps/place/Pep+Boys+Auto+Service+%26+Tires/data=!4m7!3m6!1s0x88626cc97e8ed329:0xa0d7c206853f337f!8m2!3d34.701326!4d-86.585687!16s%2Fg%2F1w0p6c78!19sChIJKdOOfslsYogRfzM_hQbC16A,Pep Boys Auto Service & Tires,4.3,483,Tire shop,"3305 S Memorial Pkwy, Huntsville, AL 35801, United States","PC27+GP Huntsville, Alabama, USA",https://www.pepboys.com/stores/al/huntsville/3305-s-memorial-pkwy?Cid=gbp_appt_AN:PB%7CPB:G%7CTT:GBP%7CCG:CONVERSION%7CCD:SERVICE,+1 256-701-8535,"Open · Closes 7 pm

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAwepuU306x4f11BY2Q7d_5e6Jsqot_agvvo9rbAxva4pmlc-pfzL9XbB9FnN9yBKqMNe3v-myjvr2P78SedhFiJdkwkMrP-SZPp2KvJ-mYwnKSiL5ekrHposdEibNwt_UUN8G44coTfrHzdra=w531-h240-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2026-03-23T16:32:49.659Z,· In-store shopping · In-store pick-up,,
https://www.google.com/maps/place/Firestone+Complete+Auto+Care/data=!4m7!3m6!1s0x88626b6a0b0c513b:0x1657c8c9b1431445!8m2!3d34.7451881!4d-86.6013647!16s%2Fg%2F1tx1txx5!19sChIJO1EMC2prYogRRRRDscnIVxY,Firestone Complete Auto Care,4.0,423,Tire shop,"1301 Memorial Pkwy NW, Huntsville, AL 35801, United States","P9WX+3F Huntsville, Alabama, USA",https://www.firestonecompleteautocare.com/alabama/huntsville/1301-memorial-pkwy-nw/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,+1 256-666-4358,"Open · Closes 7 pm

Confirmed by this business 7 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweq1dkG7zdSGaS_7sNPqjMpNtae0V309LddvuQjwumU61y7laNIrGxE-hLqLEpxO6LNm6gqj-bspSRahwW3PRpmGJ1hJvwxZ7YCAJ9wXXELsYrLc6ip2TlzvuBrQTFk1fxRTgBR1ZQ=w426-h240-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–6 pm,8 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2026-03-23T16:32:54.925Z,· In-store shopping · Kerbside pickup,LGBTQ+ friendly,
https://www.google.com/maps/place/Discount+Tire/data=!4m7!3m6!1s0x886213078fbbb3d5:0x2dc1ec244dc25629!8m2!3d34.7037762!4d-86.5884068!16s%2Fg%2F11sm7v8j_t!19sChIJ1bO7jwcTYogRKVbCTSTswS0,Discount Tire,4.7,345,Tire shop,"3008 Memorial Pkwy SW, Huntsville, AL 35801, United States","PC36+GJ Huntsville, Alabama, USA",https://www.discounttire.com/store/al/huntsville/s/2268,+1 938-666-7955,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwergWRmr8y6QC2Cr3rQqm2bg4G71X64xkVMbsWTwSneRg98f8wnMsqzkCtidEKU-KcdGRRLomo2JTbPxlQuqn95EkaY-nDp1FJoK3jG2GJo19qBxv23WaZ57_VK-G9mMJDRvj9PubNFSMGVc=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2026-03-23T16:32:59.846Z,· In-store pick-up · Delivery,,
"https://www.google.com/maps/place/Bush+Tire+Company,+Inc/data=!4m7!3m6!1s0x88626b5d35c34ddb:0xdf47037fce12fab2!8m2!3d34.7385958!4d-86.6002891!16s%2Fg%2F1tsyqhy7!19sChIJ203DNV1rYogRsvoSzn8DR98","Bush Tire Company, Inc",4.7,117,Tire shop,"823 Memorial Pkwy NW, Huntsville, AL 35801, United States","P9QX+CV Huntsville, Alabama, USA",https://bushtireco.com/,+1 256-536-6668,Open · Closes 3:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqa20vS1OFrnXdi-lNOsnkksfELko7b4ASoFp85VFI9mSSbSkB_1UUvJhA9OvHIxgLaTCTb1OgH1bNFjTwsWoa3O8Vsy4LKjFMQIwkWHugdlU-4JuTjaNcU-0i47Tn6P2fKqtTp=w426-h240-k-no,true,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2026-03-23T16:33:04.767Z,,,
https://www.google.com/maps/place/Tom+Sharp+Tire+Services/data=!4m7!3m6!1s0x88626c9913f53bed:0x26d14b34c9da530c!8m2!3d34.7195608!4d-86.6041749!16s%2Fg%2F1tg9tdzs!19sChIJ7Tv1E5lsYogRDFPayTRL0SY,Tom Sharp Tire Services,4.7,55,Tire shop,"2817 Governors Dr SW, Huntsville, AL 35805, United States","P99W+R8 Huntsville, Alabama, USA",,+1 256-539-3482,Open · Closes 4:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepdVvcpuQyvz7LGPqG-TanU5gOkSeHROa5xG1nB67w8NYyn79SiykxL0EdPdZBg_XFHmw_nWNx8sQAfn-YWgq5Q0GEYKwiMkF9ck-Cmx_mTJElm0t4-RJvPVo1wJ6ompsFPLsCM=w426-h240-k-no,false,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2026-03-23T16:33:09.674Z,,,
https://www.google.com/maps/place/A+%26+T+Automotive+Services/data=!4m7!3m6!1s0x88626da8f05b2ec9:0xcb60701fcb9c0431!8m2!3d34.7209342!4d-86.6106712!16s%2Fg%2F11gr3cpxyy!19sChIJyS5b8KhtYogRMQScyx9wYMs,A & T Automotive Services,4.9,691,Car repair and maintenance service,"109 8th St NW, Huntsville, AL 35805, United States","P9CQ+9P Huntsville, Alabama, USA",http://atautomotive.services/,+1 256-533-0101,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep22YM03rW4hDzK-TsNj3nkg5WjlDfnKtQneUI2-uEiRmW23C5zwGMsTK_GhOXCEEk4cO8pW0QK1HFPc96o_OEykzzcZ55wrGxHg-kVfj-yS4UVV7uqemKMBgWuHDlX3ZvQPnNvpA=w426-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–5:30 pm,8 am–6 pm,8 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2026-03-23T16:33:14.663Z,,,
