placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,info,attributes
https://www.google.com/maps/place/Gro+Residential+Management/data=!4m7!3m6!1s0x48793144d6c0f15f:0x8cabfadba120668f!8m2!3d53.9570262!4d-1.0852139!16s%2Fg%2F11xkpvc01g!19sChIJX_HA1kQxeUgRj2Ygodv6q4w,Gro Residential Management,5.0,3,Property management company,"Queens House, Micklegate, York YO1 6JH, United Kingdom","XW47+RW York, UK",https://www.gro-residential.co.uk/,+44 1904 237881,Closed ⋅ Opens 8:30 am Fri,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=woLqMgI-VkVEbwGSwnDfUQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=321.27698&pitch=0&thumbfov=100,true,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-25T18:15:27.718Z,,
https://www.google.com/maps/place/Mulberry+PM/data=!4m7!3m6!1s0x487931ae548b8293:0x348d5afed84b5dd4!8m2!3d53.9624646!4d-1.0848081!16s%2Fg%2F1tg5bmjd!19sChIJk4KLVK4xeUgR1F1L2P5ajTQ,Mulberry PM,3.9,33,Property management company,"5 High Petergate, York YO1 7EN, United Kingdom","XW68+X3 York, UK",http://www.mulberrypm.co.uk/,+44 1904 655200,Closed ⋅ Opens 9 am Fri,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ArXXveZ29x__BO3Cn3xiYw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=197.10655&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-25T18:15:34.747Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Littlefairs+Property+Company+Limited/data=!4m7!3m6!1s0x487949fa0c55b195:0x7b63aca4a7bcd6b7!8m2!3d53.9552746!4d-1.1068025!16s%2Fg%2F11gyysd4n2!19sChIJlbFVDPpJeUgRt9a8p6SsY3s,Littlefairs Property Company Limited,4.9,289,Property management company,"169A Holgate Rd, Holgate, York YO24 4DF, United Kingdom","XV4V+47 York, UK",http://www.littlefairspropertycompany.co.uk/,+44 1904 393989,Closed ⋅ Opens 9 am Fri,https://lh3.googleusercontent.com/p/AF1QipNvHyggu1E-MpEHrj7JEbfnAlv0_MDUvYHfof3L=w408-h272-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-25T18:15:39.878Z,,
https://www.google.com/maps/place/York+Property+Group/data=!4m7!3m6!1s0x4879316a9aaccbf9:0x96540557f7e87e28!8m2!3d53.9645286!4d-1.0888105!16s%2Fg%2F11x5l0wbhs!19sChIJ-cusmmoxeUgRKH7o91cFVJY,York Property Group,5.0,1,Property maintenance,"66 Bootham, York YO30 7BZ, United Kingdom","XW76+RF York, UK",https://www.yorkpropertygroup.co.uk/,+44 1904 530669,Closed ⋅ Opens 8 am Fri,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mKjP-k-JbY_DYwZd5DCJ1A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=226.36223&pitch=0&thumbfov=100,true,8 am–5:30 pm,8 am–5:30 pm,Closed,Closed,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-25T18:15:45.279Z,,
https://www.google.com/maps/place/Pure+Block+Management/data=!4m7!3m6!1s0x4879315de810e031:0xd7a64f56165b61d1!8m2!3d53.957014!4d-1.0852021!16s%2Fg%2F11xgy873tr!19sChIJMeAQ6F0xeUgR0WFbFlZPptc,Pure Block Management,,,Property management company,"Queens House, Micklegate, York YO1 6JH, United Kingdom","XW47+RW York, UK",https://www.pureblockmanagement.co.uk/,+44 1904 237882,Closed ⋅ Opens 8:30 am Fri,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=woLqMgI-VkVEbwGSwnDfUQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=319.16058&pitch=0&thumbfov=100,true,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-25T18:15:49.977Z,,
https://www.google.com/maps/place/YPP+Lettings+-+York+Office/data=!4m7!3m6!1s0x487931ae69b98ab9:0x41414793006abfb4!8m2!3d53.956006!4d-1.076621!16s%2Fg%2F11c6r9j9lv!19sChIJuYq5aa4xeUgRtL9qAJNHQUE,YPP Lettings - York Office,4.4,74,Property management company,"Piccadilly Residence, Piccadilly, York YO1 9ST, United Kingdom","XW4F+C9 York, UK",http://www.ypp.co.uk/,+44 1904 627065,Closed ⋅ Opens 9 am Fri,https://lh3.googleusercontent.com/p/AF1QipNPQP3Gh4WC7mpm_UTa8zhoiRtTRNQEEULwJPWS=w408-h259-k-no,true,9 am–5:30 pm,9 am–5:30 pm,Closed,Closed,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-25T18:15:55.339Z,,
https://www.google.com/maps/place/Mudd+%26+Co+Block+Management/data=!4m7!3m6!1s0x26e1573bb3d60a9f:0xc7fae0228571ee1d!8m2!3d53.9557319!4d-1.0818096!16s%2Fg%2F11y1rl6zst!19sChIJnwrWsztX4SYRHe5xhSLg-sc,Mudd & Co Block Management,5.0,6,Property management company,"Peckitt St, York YO1 9SF, United Kingdom","XW49+77 York, UK",https://www.tjmudd.com/,+44 7811 154321,Closed ⋅ Opens 9 am Fri,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZbK_C_TN09tuqo3JB-Gcrg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=111.06102&pitch=0&thumbfov=100,true,9 am–5:30 pm,9 am–5:30 pm,Closed,Closed,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-25T18:16:00.560Z,,
https://www.google.com/maps/place/MT+Property+Consultancy/data=!4m7!3m6!1s0x4879313142698bc9:0x8b37f9cc5d8594da!8m2!3d53.9615849!4d-1.0830639!16s%2Fg%2F11h3vgbccd!19sChIJyYtpQjExeUgR2pSFXcz5N4s,MT Property Consultancy,5.0,88,Real estate consultant,"York YO1 7HP, United Kingdom","XW68+JQ York, UK",http://www.mtpcyork.com/,+44 1904 208106,Closed ⋅ Opens 9 am Fri,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xKgVLpjeh17Wji0VYX5o3Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=208.83763&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-25T18:16:05.678Z,,
https://www.google.com/maps/place/Easilets+Limited/data=!4m7!3m6!1s0x487931209fa31cd9:0x60f25e245e7a9060!8m2!3d53.9558539!4d-1.0408635!16s%2Fg%2F11xkxbmfl8!19sChIJ2RyjnyAxeUgRYJB6XiRe8mA,Easilets Limited,,,Property management company,"30 Broughton Way, York YO10 3BG, United Kingdom","XX45+8M York, UK",https://rentals.easilets.co.uk/,+44 1904 954979,Closed ⋅ Opens 9 am Fri,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8bwFFT7l7Lm5x8yT7yQZcA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=253.90768&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-25T18:16:10.540Z,,
https://www.google.com/maps/place/Hanford+Homes+Ltd/data=!4m7!3m6!1s0x48742d56dc3eff85:0x2f229e0290674f1c!8m2!3d53.9584354!4d-1.0815565!16s%2Fg%2F11lk163nqj!19sChIJhf8-3FYtdEgRHE9nkAKeIi8,Hanford Homes Ltd,4.6,10,Property management company,"York Hub Popes Head Court Offices, Peter Ln, York YO1 8SU, United Kingdom","XW59+99 York, UK",https://hanfordhomes.co.uk/,+44 7510 594792,Closed ⋅ Opens 9 am Fri,https://lh3.googleusercontent.com/p/AF1QipPvliLfsAR8SHzHb0pyZCAP18TPLq900zKnHSTu=w408-h272-k-no,true,9 am–5:30 pm,9 am–5:30 pm,Closed,Closed,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-25T18:16:15.695Z,,
