placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,sunday,monday,tuesday,wednesday,thursday,friday,saturday,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/Hendrick+Cancer+Center/data=!4m7!3m6!1s0x86568e2c49188c9b:0x784e4b6742d603!8m2!3d32.4727937!4d-99.7323009!16s%2Fg%2F1vyxjv39!19sChIJm4wYSSyOVoYRA9ZCZ0tOeAA,Hendrick Cancer Center,3.5,13,Cancer treatment center,"2000 Pine St, Abilene, TX 79601, United States","F7F9+43 Abilene, Texas, USA",https://www.hendrickhealth.org/services/cancer-care/,+1 325-670-6340,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npYYnFBQcUCPmM6E1e6EFKXpLjvUxmjE0_d1JGMkpmAac47Dk4UIiULE4Sp0duXslXmGwKFBFBOHcLz6CnVN-ZWAFUWsUy52w6rfcg3qW3ixWomhVEIFZthanCYlu2wiSMAuDxj=w408-h544-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Sweetwater+Abilene+TX/@32.4534878,-99.7312829,14z",2025-09-28T23:00:51.404Z,,,,,,,,,,,
https://www.google.com/maps/place/Texas+Oncology-Abilene+North/data=!4m7!3m6!1s0x86568e2dc134d7e1:0xd984376c9efb5e0f!8m2!3d32.471884!4d-99.7325863!16s%2Fg%2F1tgnmh90!19sChIJ4dc0wS2OVoYRD177nmw3hNk,Texas Oncology-Abilene North,4.3,7,Cancer treatment center,"1904 Pine St #1a, Abilene, TX 79601, United States","F7C8+QX Abilene, Texas, USA",https://www.texasoncology.com/cancer-centers/abilene/abilene-north/medical-oncology,+1 325-672-4368,Closed ⋅ Opens 8:30 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZZS-j6OcEh3oHM3eumADaA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=11.92914&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Infusion+centers+in+Sweetwater+Abilene+TX/@32.4534878,-99.7312829,14z",2025-09-28T23:00:56.154Z,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,,,,
https://www.google.com/maps/place/Be+Well+Again/data=!4m7!3m6!1s0x86568e0e2068902f:0x6341648e29b43dbf!8m2!3d32.4356263!4d-99.7047628!16s%2Fg%2F12ml2yxbm!19sChIJL5BoIA6OVoYRvz20KY5kQWM,Be Well Again,5.0,21,Wellness center,"1150 Estates Dr suite c, Abilene, TX 79602, United States","C7PW+73 Abilene, Texas, USA",https://be-well-again.com/,+1 325-676-9227,Closed ⋅ Opens 10 am Mon,https://lh3.googleusercontent.com/p/AF1QipP36qpgU81CZHT2vhgoFPuy2cBjXh6yN-44A-1y=w408-h544-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Sweetwater+Abilene+TX/@32.4534878,-99.7312829,14z",2025-09-28T23:01:00.576Z,Closed,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,Closed,Identifies as women-owned,,,
https://www.google.com/maps/place/Serenity+House/data=!4m7!3m6!1s0x86568e1659b39ad9:0x6a69918938fab06d!8m2!3d32.451233!4d-99.7399379!16s%2Fg%2F1v_ncy4z!19sChIJ2ZqzWRaOVoYRbbD6OImRaWo,Serenity House,4.5,170,Halfway house,"1546 N 2nd St, Abilene, TX 79601, United States","F726+F2 Abilene, Texas, USA",http://serenitytexas.com/,+1 325-673-6489,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipP-TfKZSGjJELjJ0aJFWCFe62EBTADC9qawavxY=w408-h301-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Sweetwater+Abilene+TX/@32.4534878,-99.7312829,14z",2025-09-28T23:01:05.454Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/REEH+by+ReVive/data=!4m7!3m6!1s0x865691f5c8cfffff:0x1731057ca1c2e075!8m2!3d32.4500713!4d-99.7586395!16s%2Fg%2F11ghr0v0v5!19sChIJ___PyPWRVoYRdeDCoXwFMRc,REEH by ReVive,4.9,162,Massage spa,"2901 S 1st St, Abilene, TX 79605, United States","F62R+2G Abilene, Texas, USA",,+1 325-660-6926,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipNJKLAMvpgRGakNB0rVQpqmrMTRUnGQCgMYwnZG=w408-h306-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Sweetwater+Abilene+TX/@32.4534878,-99.7312829,14z",2025-09-28T23:01:09.804Z,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,,,,
https://www.google.com/maps/place/Beautiful+Souls+Wellness+Spa/data=!4m7!3m6!1s0x86568e6e62615c8d:0xb6915906acf8478!8m2!3d32.4342865!4d-99.7651533!16s%2Fg%2F1vyn48ff!19sChIJjVxhYm6OVoYReITPapAVaQs,Beautiful Souls Wellness Spa,4.5,204,Day spa,"1290 S Willis St Suite 124, Abilene, TX 79605, United States","C6MM+PW Abilene, Texas, USA",https://usabizpoint.top/details/beautiful-souls-wellness-spa-ChIJjVx,+1 325-673-6600,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipP9KT6FywU1URwP9ioTjro078RzOWA7ZptHRTjv=w408-h407-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Sweetwater+Abilene+TX/@32.4534878,-99.7312829,14z",2025-09-28T23:01:14.195Z,12–6 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–5:30 pm,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Anahata+Wellness+Center/data=!4m7!3m6!1s0x86568fa68d004581:0xf8e4def96a946287!8m2!3d32.456248!4d-99.736464!16s%2Fg%2F11t27n2rkl!19sChIJgUUAjaaPVoYRh2KUavne5Pg,Anahata Wellness Center,5.0,6,Medical clinic,"702 Hickory St # D, Abilene, TX 79601, United States","F747+FC Abilene, Texas, USA",http://anahatahormones.com/,+1 325-338-1270,Closed ⋅ Opens 10 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npAN_DAAvQCkbOkWUq6n5PJdmzhMzxNJaU_zq8feGrKA8TjoGzDmSlB4rnIixKTMZpr-UW0mrC9nLJGZCNS4lKTa3c010Eo5WFFGyi74yXVb4d0ZlezUCFYN7hFZ46mdXj58ewbUFQIH0Oi=w408-h544-k-no,false,"https://www.google.com/maps/search/Infusion+centers+in+Sweetwater+Abilene+TX/@32.4534878,-99.7312829,14z",2025-09-28T23:01:18.665Z,Closed,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,Closed,,,,
https://www.google.com/maps/place/West+Texas+Rehabilitation+Center/data=!4m7!3m6!1s0x86568e9c771da28b:0xbef9f449f072912b!8m2!3d32.4327285!4d-99.7831765!16s%2Fg%2F11dfgw6wnw!19sChIJi6Idd5yOVoYRK5Fy8En0-b4,West Texas Rehabilitation Center,4.6,143,Rehabilitation center,"4601 Hartford St, Abilene, TX 79605, United States","C6M8+3P Abilene, Texas, USA",https://westtexasrehab.org/,+1 325-793-3400,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrF-mbY72W2M-biqVUpJDk3mwQZ984wLVV6MHFL-VxG2aXJRSue_lhzkYvVWVaMsUwZVttHkjhHYhbk5M6Ls9ZLNONWrrp6KA-DjRs9obELLftK6i0D1XFeDFSxPBUHZxzw0vdG4w=w408-h544-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Sweetwater+Abilene+TX/@32.4534878,-99.7312829,14z",2025-09-28T23:01:23.160Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/WTCR+Methadone+Clinic+of+Abilene/data=!4m7!3m6!1s0x86568e8b20fef351:0x69a4faea360dbcb7!8m2!3d32.4496077!4d-99.7707732!16s%2Fg%2F11c1pcl0jc!19sChIJUfP-IIuOVoYRt7wNNur6pGk,WTCR Methadone Clinic of Abilene,4.4,9,Addiction treatment center,"212 S Leggett Dr, Abilene, TX 79605, United States","C6XH+RM Abilene, Texas, USA",https://www.wtcr.net/,+1 325-670-9339,Closed ⋅ Opens 6 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HHHWkA7Kwd53TXDn1_xdFQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=249.68504&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Infusion+centers+in+Sweetwater+Abilene+TX/@32.4534878,-99.7312829,14z",2025-09-28T23:01:27.753Z,Closed,6–9:30 am,6–9:30 am,6–9:30 am,6–9:30 am,6–9:30 am,7–8 am,,,,
https://www.google.com/maps/place/Phoenix+Bodi/data=!4m7!3m6!1s0x86568db5dfd00001:0x710e5f6a5a074396!8m2!3d32.4344353!4d-99.7657014!16s%2Fg%2F11fmb0qtnj!19sChIJAQDQ37WNVoYRlkMHWmpfDnE,Phoenix Bodi,5.0,19,Medical spa,"1290 S Willis St Suite 107, Abilene, TX 79605, United States","C6MM+QP Abilene, Texas, USA",https://phoenixbodi.com/,+1 325-232-8293,Closed ⋅ Opens 9 am Tue,https://lh3.googleusercontent.com/p/AF1QipOkN7K_9anVML1R3CTb15sryyXbMAlxWcdA8aNK=w426-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Sweetwater+Abilene+TX/@32.4534878,-99.7312829,14z",2025-09-28T23:01:32.290Z,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,11 am–4 pm,LGBTQ+ friendly,true,,
