placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,sunday,monday,tuesday,wednesday,thursday,friday,saturday,info,error,isBlackOwned
https://www.google.com/maps/place/Chad+Bielen+CPA/data=!4m7!3m6!1s0x87f7432a63c3cb91:0xc0c9af205b54c825!8m2!3d44.0353047!4d-92.6257879!16s%2Fg%2F11twpd1h_0!19sChIJkcvDYypD94cRJchUWyCvycA,Chad Bielen CPA,5.0,1,Tax preparation service,"1153 Tompkins Dr NE, Byron, MN 55920, United States","29PF+4M Byron, Minnesota, USA",,+1 507-775-2114,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mFCAmPOq41oIY43YrCwmYA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=278.02463&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/certified+public+accountant+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-19T16:12:52.478Z,,,,,,,,,,
"https://www.google.com/maps/place/Jeffrey+D+Reimer,+CPA,+PLLC/data=!4m7!3m6!1s0x87f9de1555555555:0x443c3df03484dac5!8m2!3d44.0404099!4d-92.4359905!16s%2Fg%2F1tf5l6b3!19sChIJVVVVVRXe-YcRxdqENPA9PEQ","Jeffrey D Reimer, CPA, PLLC",4.9,31,Certified public accountant,"2025 17th St NE, Rochester, MN 55906, United States","2HR7+5J Rochester, Minnesota, USA",http://www.jreimercpa.com/,+1 507-252-9222,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HLu7bTeUjsjYi-59MP1P7Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=27.102978&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-19T16:12:58.935Z,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,,,
https://www.google.com/maps/place/Nina+Webbles+CPA+PLLC/data=!4m7!3m6!1s0x87f9e13d119f2e51:0x19fa8c8b7315c9ef!8m2!3d46.4419165!4d-93.3614534!16s%2Fg%2F11jn5991qd!19sChIJUS6fET3h-YcR78kVc4uM-hk,Nina Webbles CPA PLLC,5.0,15,Accountant,,,https://ninawebbles.com/,+1 507-646-9586,,https://lh3.googleusercontent.com/p/AF1QipO7eVNGVfWTbhb4-9ikbsznTbcUuKWTWM-eC1FN=w408-h408-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-19T16:13:01.765Z,,,,,,,,,,
https://www.google.com/maps/place/Kelly+Brenno+Carpenter+Accounting+%26+Tax+Service/data=!4m7!3m6!1s0x87f75f7ebbdaff1f:0x3251962c163838e8!8m2!3d44.0438348!4d-92.4687008!16s%2Fg%2F1vn9pnf5!19sChIJH__au35f94cR6Dg4FiyWUTI,Kelly Brenno Carpenter Accounting & Tax Service,4.9,13,Tax preparation service,"318 Elton Hills Dr NW, Rochester, MN 55901, United States","2GVJ+GG Rochester, Minnesota, USA",https://kbctax.com/,+1 507-288-2200,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5nsMdSd0inzEX8-BtYW8dw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=237.9529&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/certified+public+accountant+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-19T16:13:06.888Z,Closed,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,Closed,,,
https://www.google.com/maps/place/Oertli+%26+Pleschourt+LLP+Accountants/data=!4m7!3m6!1s0x87f75fce7f2bc3d5:0xce5d40c3d44d373c!8m2!3d44.0763952!4d-92.5073615!16s%2Fg%2F1tj5lqjw!19sChIJ1cMrf85f94cRPDdN1MNAXc4,Oertli & Pleschourt LLP Accountants,4.4,31,Accountant,"5105 US-52, Rochester, MN 55901, United States","3FGV+H3 Rochester, Minnesota, USA",http://www.oertliandpleschourt.com/,+1 507-288-6650,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipM5D6W0FlXNSg4_EJjsXmgqR5b_Z_zeMdqafffg=w498-h240-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-19T16:13:12.003Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,,,
https://www.google.com/maps/place/Shurson+Group/data=!4m7!3m6!1s0x87f75e103c399137:0x32074b1b27348527!8m2!3d44.0472048!4d-92.4891317!16s%2Fg%2F1td0nl7q!19sChIJN5E5PBBe94cRJ4U0JxtLBzI,Shurson Group,4.9,72,Tax preparation service,"2222 18th Ave NW #100, Rochester, MN 55901, United States","2GW6+V8 Rochester, Minnesota, USA",https://shursongroup.com/,+1 507-206-0677,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipOzxHivpzJsV4LU4el8FWHXSiRi901-NGyBfp1r=w408-h271-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-19T16:13:16.962Z,Closed,"9 am–12 pm, 12:30–5 pm","9 am–12 pm, 12:30–5 pm","9 am–12 pm, 12:30–5 pm","9 am–12 pm, 12:30–5 pm",Closed,Closed,LGBTQ+ friendly,,
"https://www.google.com/maps/place/Grant+Kirgis+%26+Associates+Ltd:+Mahoney+Joseph+CPA/@44.0487522,-92.5223884,17z/data=!3m1!4b1!4m6!3m5!1s0x87f75e1498fa14a9:0x7f82845803759b69!8m2!3d44.0487522!4d-92.5223884!16s%2Fg%2F1tg8k8tl",Grant Kirgis & Associates Ltd: Mahoney Joseph CPA,5.0,1,Accountant,"2434 Superior Dr NW # 101, Rochester, MN 55901, United States","2FXH+G2 Rochester, Minnesota, USA",,+1 507-288-8598,,,false,"https://www.google.com/maps/search/certified+public+accountant+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-19T16:13:21.974Z,,,,,,,,,,
https://www.google.com/maps/place/Nietz+Tax+%26+Accounting+LLC/data=!4m7!3m6!1s0x87f75f2e29527a89:0x65e278cff476d7ab!8m2!3d44.0212079!4d-92.4949268!16s%2Fg%2F11fmypgw40!19sChIJiXpSKS5f94cRq9d29M944mU,Nietz Tax & Accounting LLC,5.0,4,Accountant,"2020 2nd St SW, Rochester, MN 55902, United States","2GC4+F2 Rochester, Minnesota, USA",http://www.nietztax.com/,+1 507-285-0398,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rDqU1YD3qSfc4eQrlSKa-g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=73.19983&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-19T16:13:26.857Z,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,,,
https://www.google.com/maps/place/Sand+Trever+CPA/data=!4m7!3m6!1s0x87f75f877d450291:0x5c852b740c8ebb0!8m2!3d43.9996104!4d-92.4623073!16s%2Fg%2F1tcty37d!19sChIJkQJFfYdf94cRsOvIQLdSyAU,Sand Trever CPA,5.0,2,Accountant,"40 16th St SE ste b, Rochester, MN 55904, United States","XGXQ+R3 Rochester, Minnesota, USA",http://www.tacsoffice.com/,+1 507-289-4545,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cpJPYCBFXXgOqhLeevxzqg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=285.74677&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/certified+public+accountant+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-19T16:13:31.681Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,,,
https://www.google.com/maps/place/Smith+Schafer/data=!4m7!3m6!1s0x87f75f62dde2addf:0x2b9fb31f7e716574!8m2!3d44.0506719!4d-92.5211007!16s%2Fg%2F1tjkgc1h!19sChIJ363i3WJf94cRdGVxfh-znys,Smith Schafer,4.7,13,Accountant,"2575 Commerce Dr NW STE 200, Rochester, MN 55901, United States","3F2H+7H Rochester, Minnesota, USA",http://www.smithschafer.com/,+1 507-288-3277,"Closed ⋅ Opens 8 am Mon

Updated by this business 6 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOQfp5AUInsh1Dg8FREpBP7Ynpk-yYyXpISPVXY=w408-h281-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-19T16:13:36.765Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,,,
"https://www.google.com/maps/place/Haworth+%26+Company,+Ltd./data=!4m7!3m6!1s0x87f75f54d98151f5:0x7a8a7c0bd5706298!8m2!3d44.0536489!4d-92.5239293!16s%2Fg%2F1th7ng9p!19sChIJ9VGB2VRf94cRmGJw1Qt8ino","Haworth & Company, Ltd.",4.7,14,Accountant,"4041 28th St NW #200, Rochester, MN 55901, United States","3F3G+FC Rochester, Minnesota, USA",https://haworthco.com/location/small-business-cpa-accounting-services-rochester-mn/,+1 507-288-0090,"Closed ⋅ Opens 8 am Mon

Updated by this business 5 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNhb1Bv_PuLaRmSfaATsoyvyI4bob4x4-CFvyC_=w426-h240-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-19T16:13:41.638Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,,,
https://www.google.com/maps/place/Krogh+Tax+Services/data=!4m7!3m6!1s0x87f75fa062382117:0x748fa603fc5712!8m2!3d44.0313161!4d-92.4820233!16s%2Fg%2F1vcjmtjq!19sChIJFyE4YqBf94cRElf8A6aPdAA,Krogh Tax Services,4.6,32,Tax preparation service,"1312 7th St NW #108, Rochester, MN 55901, United States","2GJ9+G5 Rochester, Minnesota, USA",,+1 507-289-2132,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no1omQgUZf3RZLVogoRCwNUGxFNrW_JSMs9mXN6Xu3uGwR6_azwoiliBncdZ6vtKCkqjE5NylpumtZeRvWnRa-IBhXKgY8mtEbFJsDjRVwSujvSs9ZakNGz1A-F3kWlqokuP_DO=w408-h544-k-no,false,"https://www.google.com/maps/search/certified+public+accountant+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-19T16:13:46.802Z,Closed,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–4 pm,,,
"https://www.google.com/maps/place/Hawkins+Ash+CPAs,+LLP/data=!4m7!3m6!1s0x87f75e5c23fab3f9:0x60a9f57ffa175aff!8m2!3d44.0756797!4d-92.5206832!16s%2Fg%2F11cn0xl90_!19sChIJ-bP6I1xe94cR_1oX-n_1qWA","Hawkins Ash CPAs, LLP",3.7,3,Certified public accountant,"3720 Nottingham Dr NW Suite 100, Rochester, MN 55901, United States","3FGH+7P Rochester, Minnesota, USA",https://www.hawkinsash.cpa/,+1 507-424-1233,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPTHThosIe07nQO8oylLl-FADE-lOLH076buk2Y=w408-h272-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-19T16:13:51.895Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,,,
https://www.google.com/maps/place/Alan+C+Anderson+Chartered+CPA/data=!4m7!3m6!1s0x87f75f8758d00d67:0xc2b45e7d9bd3ae2b!8m2!3d44.0371735!4d-92.4605309!16s%2Fg%2F11f08g07pz!19sChIJZw3QWIdf94cRK67Tm31etMI,Alan C Anderson Chartered CPA,5.0,2,Accounting firm,"121 14th St NE B, Rochester, MN 55906, United States","2GPQ+VQ Rochester, Minnesota, USA",https://www.alananderson.cpa/,+1 507-288-3947,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tAYthNXnjQRT3kYb8NEwbg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=29.75168&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-19T16:13:56.816Z,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,,,
https://www.google.com/maps/place/Joseph+M.+Mahoney+CPA/data=!4m7!3m6!1s0x87f75e443304d3ef:0x9a418ad1cae0e0b4!8m2!3d44.0446978!4d-92.5117925!16s%2Fg%2F11bwqbp3c7!19sChIJ79MEM0Re94cRtODgytGKQZo,Joseph M. Mahoney CPA,4.0,4,Certified public accountant,"3265 19th St NW #380, Rochester, MN 55901, United States","2FVQ+V7 Rochester, Minnesota, USA",,+1 507-242-1920,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=D34Xo9jZlv96HWBVi4Xymg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=349.10013&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-19T16:14:01.743Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,,,
https://www.google.com/maps/place/Athey+Income+Tax/data=!4m7!3m6!1s0x87f9e1e0de7eaaab:0xfd33b1163aa3b926!8m2!3d44.0105296!4d-92.4566093!16s%2Fg%2F11vhf_j5v0!19sChIJq6p-3uDh-YcRJrmjOhaxM_0,Athey Income Tax,5.0,1,Accountant,"420 10th St SE, Rochester, MN 55904, United States","2G6V+69 Rochester, Minnesota, USA",https://atheyincometaxes.com/contact/,+1 507-226-8058,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=A7JmCgcU2K2OAeCDVs8I8g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=184.5607&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/certified+public+accountant+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-19T16:14:04.591Z,,,,,,,,,,
https://www.google.com/maps/place/All+Around+Accounting/data=!4m7!3m6!1s0x87f75f04bbc8ffd3:0x68ddecb4e1c1b9af!8m2!3d44.0220348!4d-92.4941244!16s%2Fg%2F1trtvwpw!19sChIJ0__IuwRf94cRr7nB4bTs3Wg,All Around Accounting,4.5,17,Tax preparation service,"2001 2nd St SW #100, Rochester, MN 55902, United States","2GC4+R9 Rochester, Minnesota, USA",https://www.allaroundacct.com/,+1 507-288-5332,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=g2o922kdWxgdYnN7xcIX4Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=34.273148&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-19T16:14:09.629Z,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,,,
https://www.google.com/maps/place/Jackson+Hewitt+Tax+Service/data=!4m7!3m6!1s0x87f75f9c5ec5a59d:0x4dcb0710a3987ecb!8m2!3d44.0297063!4d-92.4795924!16s%2Fg%2F11gxtgnkgf!19sChIJnaXFXpxf94cRy36YoxAHy00,Jackson Hewitt Tax Service,4.7,116,Tax preparation,"1125 6th St NW Suite 113, Rochester, MN 55901, United States","2GHC+V5 Rochester, Minnesota, USA",https://office.jacksonhewitt.com/tax-preparation-services-locations/en/mn/rochester/1125-6th-st-nw/14224?utm_source=google&utm_medium=local&utm_campaign=local&utm_content=14224,+1 507-200-2335,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noIL2ODnkVPzF1NkCGJH6bF4pW90Q22gq52kqn_YHXpVvAQrxmoAI3hHgMQLZZdNbdtox_yBgJPy4-RRvdxOlbFxarj2ABnG4GIk7nXTHkPk_-iJv7UVFzdlvfKIahXttImdoMxJg=w426-h240-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-19T16:14:12.449Z,,,,,,,,,,
"https://www.google.com/maps/place/Aaron+Stegner+CPA,+Ltd./data=!4m7!3m6!1s0x52b6dbaca73a27db:0xb097d30e747af6da!8m2!3d46.6015146!4d-94.1470341!16s%2Fg%2F11lgkynyp3!19sChIJ2yc6p6zbtlIR2vZ6dA7Tl7A","Aaron Stegner CPA, Ltd.",4.9,41,Certified public accountant,"12259 Lakeview Ln, Merrifield, MN 56465, United States","JV23+J5 Merrifield, Minnesota, USA",http://stegnercpa.com/,+1 218-249-1249,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipOBznK-7Iepy82DZrse-1PRj-YADo1yArFudnnE=w426-h240-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-19T16:14:17.447Z,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,,,
https://www.google.com/maps/place/Jamie+J+Standinger+CPA+PC/data=!4m7!3m6!1s0x87f7566f3371c7cb:0x1ffe19d59f62138c!8m2!3d43.8544591!4d-92.4883885!16s%2Fg%2F1tlvq2kw!19sChIJy8dxM29W94cRjBNin9UZ_h8,Jamie J Standinger CPA PC,5.0,3,Tax preparation service,"200 S Main St #3, Stewartville, MN 55976, United States","VG36+QJ Stewartville, Minnesota, USA",,+1 507-533-8433,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=evlHu0PSrF2SfNezcUp_eQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=151.1536&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/certified+public+accountant+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-19T16:14:20.247Z,,,,,,,,,,
https://www.google.com/maps/place/A.+Spaeth+CPA+LLC/data=!4m7!3m6!1s0x87f74059882a168f:0xb6f2f7ff9c7a0696!8m2!3d44.0244795!4d-92.7474064!16s%2Fg%2F1thmfz6s!19sChIJjxYqiFlA94cRlgZ6nP_38rY,A. Spaeth CPA LLC,4.5,13,Tax preparation service,"504 Mantorville Ave S, Kasson, MN 55944, United States","27F3+Q2 Kasson, Minnesota, USA",https://kassontax.com/,+1 507-634-7606,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipM2hhcSOD6j70mLQO50H1HSKvmhum6THlxo4Es1=w408-h240-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-10-19T16:14:25.299Z,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,,,
