placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,isBlackOwned,error,attributes
https://www.google.com/maps/place/Riedel-Hogan+CPA/data=!4m7!3m6!1s0x8869177610bbfb73:0xd8724e1415af2ced!8m2!3d38.2569114!4d-85.7515456!16s%2Fg%2F11f61fy183!19sChIJc_u7EHYXaYgR7SyvFRROctg,Riedel-Hogan CPA,5.0,10,Certified public accountant,"111 W Washington St Suite 100, Louisville, KY 40202, United States","764X+Q9 Louisville, Kentucky, USA",https://www.riedelhogancpa.com/,+1 502-708-1118,Closed ⋅ Opens 9 am Mon,Identifies as women-owned,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=blDhbULA9agbWXpDKPp39Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=338.36694&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2025-10-19T17:23:01.872Z,,,
https://www.google.com/maps/place/Professional+Accounting+And+Tax+Services+Inc/data=!4m7!3m6!1s0x88696d4471ecc2e3:0xb2b5e8431fdea1ee!8m2!3d38.2561863!4d-85.78042!16s%2Fg%2F1tdvkx_p!19sChIJ48LscURtaYgR7qHeH0PotbI,Professional Accounting And Tax Services Inc,4.6,26,Bookkeeping service,"1800 W Jefferson St, Louisville, KY 40203, United States","7649+FR Louisville, Kentucky, USA",,+1 502-583-2451,Closed ⋅ Opens 9 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TqwAhgH8jkN-ScIbHWZ5Xw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=229.70195&pitch=0&thumbfov=100,true,Closed,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–4 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2025-10-19T17:23:08.329Z,,,
"https://www.google.com/maps/place/Asamoa+%26+Associates,+CPA/data=!4m7!3m6!1s0x88697322fe327183:0x1dbd101e4a2ec815!8m2!3d38.2569316!4d-85.7177894!16s%2Fg%2F1tdylyzz!19sChIJg3Ey_iJzaYgRFcguSh4QvR0","Asamoa & Associates, CPA",4.9,54,Accountant,"1740 Frankfort Ave, Louisville, KY 40206, United States","774J+QV Louisville, Kentucky, USA",https://asamoacpa.com/,+1 502-895-9272,Closed ⋅ Opens 9 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FWTGc7TJq0s5BQhA_phAFA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=201.19023&pitch=0&thumbfov=100,true,Closed,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2025-10-19T17:23:13.115Z,,,
https://www.google.com/maps/place/Precision+Tax+Planners/data=!4m7!3m6!1s0xd3779c65498727:0xf7406890e0fdbd6d!8m2!3d38.199971!4d-85.6760015!16s%2Fg%2F11y8dlk9lx!19sChIJJ4dJZZx30wARbb394JBoQPc,Precision Tax Planners,5.0,16,Certified public accountant,,,http://www.precisiontaxplanners.com/,+1 502-509-3144,Closed ⋅ Opens 8 am Mon,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMpKNCmeQ_2oMwkLoXSNWMZlA8w9sYTZ1e6DBwT=w408-h725-k-no,true,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2025-10-19T17:23:18.059Z,,,
https://www.google.com/maps/place/Zenger+%26+Young+Tax+Service/data=!4m7!3m6!1s0x8869733fe6aca47b:0x83ce41d1a2e0074f!8m2!3d38.2589791!4d-85.7060883!16s%2Fg%2F11f00k3tq5!19sChIJe6Ss5j9zaYgRTwfgotFBzoM,Zenger & Young Tax Service,4.9,63,Tax preparation,"2024 Brownsboro Rd, Louisville, KY 40206, United States","775V+HH Louisville, Kentucky, USA",https://ztaxservice.com/,+1 502-632-2786,Closed ⋅ Opens 9 am Mon,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOcKKbP4A07ABQHV4mFqOEng5lAL8hEAktZ_iZ-=w427-h240-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2025-10-19T17:23:23.007Z,,,
https://www.google.com/maps/place/LBMC+Louisville+%28formerly+Strothman+and+Company%29/data=!4m7!3m6!1s0x886972bcb91137f1:0xe77a2ade0fcce503!8m2!3d38.2569027!4d-85.7555951!16s%2Fg%2F1vc82k6p!19sChIJ8TcRubxyaYgRA-XMD94qeuc,LBMC Louisville (formerly Strothman and Company),4.2,5,Certified public accountant,"325 W Main St #1600, Louisville, KY 40202, United States","764V+QQ Louisville, Kentucky, USA",https://www.lbmc.com/locations/louisville/,+1 502-585-1600,"Closed ⋅ Opens 8 am Mon

Confirmed by phone call 7 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipOMagyM-pcBDsx31ttVxeo_SD-1lPrgQZA4EXTk=w408-h306-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2025-10-19T17:23:28.049Z,,,
"https://www.google.com/maps/place/Harding,+Shymanski+%26+Company,+P.S.C./data=!4m7!3m6!1s0x886972b07f830109:0x7fc5e28e69fcc0cb!8m2!3d38.2561932!4d-85.7579383!16s%2Fg%2F1thx9c74!19sChIJCQGDf7ByaYgRy8D8aY7ixX8","Harding, Shymanski & Company, P.S.C.",5.0,5,Certified public accountant,"101 S 5th St Suite 1700, Louisville, KY 40202, United States","764R+FR Louisville, Kentucky, USA",https://hsccpa.com/louisville-kentucky-office/?utm_source=gmb&utm_medium=organic,+1 502-584-4142,Closed ⋅ Opens 8 am Mon,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMLim_Kl2rgKY6g08hoV446Fw_nRHv4v-wJ7nDv=w408-h260-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2025-10-19T17:23:33.051Z,,,
https://www.google.com/maps/place/Gladden+Andrew+C+CPA/data=!4m7!3m6!1s0x886972a4541cc475:0x60393362f47d2202!8m2!3d38.2537578!4d-85.7592147!16s%2Fg%2F1w0p6cjr!19sChIJdcQcVKRyaYgRAiJ99GIzOWA,Gladden Andrew C CPA,5.0,1,Accountant,"PNC Plaza, 500 W Jefferson St # 1510, Louisville, KY 40202, United States","763R+G8 Louisville, Kentucky, USA",,+1 502-568-6533,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qkqmMynPIYFZHt4CNMFqTQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=181.988&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2025-10-19T17:23:35.773Z,,,
https://www.google.com/maps/place/Welenken+CPAs/data=!4m7!3m6!1s0x886972a6ced04beb:0xe2809e0d381454d6!8m2!3d38.2556695!4d-85.7631801!16s%2Fg%2F1tjbsxq1!19sChIJ60vQzqZyaYgR1lQUOA2egOI,Welenken CPAs,4.4,7,Accounting firm,"730 W Market St, Louisville, KY 40202, United States","764P+7P Louisville, Kentucky, USA",http://www.welenken.com/,+1 502-585-3251,Closed ⋅ Opens 8:30 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=svcgY_m2cWfsty88VAO_mw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=212.17566&pitch=0&thumbfov=100,true,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2025-10-19T17:23:40.841Z,,,
https://www.google.com/maps/place/Amick+%26+Company/data=!4m7!3m6!1s0x886972afaf855dd3:0xcc529710265446ce!8m2!3d38.2480065!4d-85.7580552!16s%2Fg%2F1tftlyzv!19sChIJ012Fr69yaYgRzkZUJhCXUsw,Amick & Company,5.0,6,Certified public accountant,"610 S 4th St Suite 701, Louisville, KY 40202, United States","66XR+6Q Louisville, Kentucky, USA",http://www.amickonline.com/,+1 502-583-5381,"Closed ⋅ Opens 8 am Mon

Confirmed by this business 12 weeks ago",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=B_jQxG9jvkMxQ7nuGwZ4Rg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=175.64601&pitch=0&thumbfov=100,true,Closed,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2025-10-19T17:23:46.144Z,,,
