placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,sunday,monday,tuesday,wednesday,thursday,friday,saturday,info,attributes,error
https://www.google.com/maps/place/Salt+Lake+Clinic+Infusion+Services/data=!4m7!3m6!1s0x8752f57ba2a853b7:0x71a20807cd1e6bf7!8m2!3d40.7611848!4d-111.8647614!16s%2Fg%2F11gjp7bhx3!19sChIJt1Ooonv1UocR92sezQcIonE,Salt Lake Clinic Infusion Services,3.7,3,Cancer treatment center,"389 S 900 E, Salt Lake City, UT 84102, United States","Q46P+F3 Salt Lake City, Utah, USA",https://intermountainhealthcare.org/locations/location-details/salt-lake-clinic/salt-lake-clinic-infusion-services/?utm_campaign=gmb&utm_medium=organic&utm_source=local,+1 385-282-2750,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3UIcHkKFje1kpOZkEtYHFQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=221.65283&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Infusion+centers+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-09-28T23:28:24.853Z,,,,,,,,,,
https://www.google.com/maps/place/Rocky+Mountain+Infusion+Center/data=!4m7!3m6!1s0x8752f5d4fa0d38d3:0xb532ce8ee5ff6760!8m2!3d40.7787254!4d-111.8787575!16s%2Fg%2F11xd15j3qv!19sChIJ0zgN-tT1UocRYGf_5Y7OMrU,Rocky Mountain Infusion Center,,,Medical clinic,"359 E 8th Ave STE 205, Salt Lake City, UT 84103, United States","Q4HC+FF Salt Lake City, Utah, USA",https://www.rockymountainmsclinic.com/locations/salt-lake-city-infusion-center,+1 801-408-5700,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=j12aubdhWM07JDmaKYozQw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=92.07365&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Infusion+centers+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-09-28T23:28:30.524Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,,,
https://www.google.com/maps/place/LDS+Hospital+Infusion+Therapy/data=!4m7!3m6!1s0x8752f59a62ae6499:0xe4e0460e714dd108!8m2!3d40.7785631!4d-111.8805469!16s%2Fg%2F11f734nd8b!19sChIJmWSuYpr1UocRCNFNcQ5G4OQ,LDS Hospital Infusion Therapy,3.0,2,Cancer treatment center,"8th Ave &, C St E, Salt Lake City, UT 84143, United States","Q4H9+CQ Salt Lake City, Utah, USA",https://intermountainhealthcare.org/locations/location-details/lds-hospital/lds-hospital/lds-hospital-infusion-therapy/?utm_campaign=gmb&utm_medium=organic&utm_source=local,+1 801-408-3540,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ENwzmYGvNgdYkfDgu8uHFQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=336.2364&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Infusion+centers+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-09-28T23:28:35.216Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,,,
https://www.google.com/maps/place/Salt+and+Stone+Wellness+%7C+Ketamine+Clinic+in+Salt+Lake+City/data=!4m7!3m6!1s0x8752f52d5d522cff:0x682acc2dcbe1d446!8m2!3d40.765554!4d-111.8780282!16s%2Fg%2F11x1nd21zf!19sChIJ_yxSXS31UocRRtThyy3MKmg,Salt and Stone Wellness | Ketamine Clinic in Salt Lake City,5.0,12,Health spa,"445 E 200 S #140, Salt Lake City, UT 84111, United States","Q48C+6Q Salt Lake City, Utah, USA",http://saltandstonewellnessslc.com/,+1 801-893-2463,Closed ⋅ Opens 10 am Mon,https://lh3.googleusercontent.com/p/AF1QipMS_qyR7pXsCR19Vudhhp4p9QjdrKpbj_qwkiU0=w408-h390-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-09-28T23:28:41.054Z,Closed,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,Closed,Identifies as women-owned,,
https://www.google.com/maps/place/Loveland+Clinic+for+Blood+Cancer+Therapy/data=!4m7!3m6!1s0x8752f51e97d6026d:0xd957ef528e0230f1!8m2!3d40.7783957!4d-111.8805486!16s%2Fg%2F11gjp83c6l!19sChIJbQLWlx71UocR8TACjlLvV9k,Loveland Clinic for Blood Cancer Therapy,3.7,7,Cancer treatment center,"8th Ave &, C St E, Salt Lake City, UT 84143, United States","Q4H9+9Q Salt Lake City, Utah, USA",https://intermountainhealthcare.org/locations/location-details/lds-hospital/lds-hospital/loveland-clinic-for-blood-cancer-therapy/?utm_campaign=gmb&utm_medium=organic&utm_source=local,+1 801-408-1262,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cbszD8dG_DfYfyeRF2xHPQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=60.19532&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Infusion+centers+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-09-28T23:28:46.005Z,8 am–12 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,,,
"https://www.google.com/maps/place/Prime+IV+Hydration+%26+Wellness+-+West+Valley+City,+UT/data=!4m7!3m6!1s0x87528d46dddf3f6d:0xb4d45b7e35017664!8m2!3d40.7069911!4d-112.0240698!16s%2Fg%2F11vf9k4k1l!19sChIJbT_f3UaNUocRZHYBNX5b1LQ","Prime IV Hydration & Wellness - West Valley City, UT",5.0,136,IV therapy service,"2927 S 5600 W Ste B, West Valley City, UT 84120, United States","PX4G+Q9 West Valley City, Utah, USA",https://primeivhydration.com/locations/utah/west-valley-city-84120/,+1 385-481-5071,Closed ⋅ Opens 10 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrqS9JJq-KNu6J6QGL1kUr8xfiGpDjyI0otWZWpikjqLhQIK0oYr27MasnQSu4auEJP01M2AUsADk8yfj4jYycsw2GIv6hljC_fW2EhMeRW81r_4hmxFy_UJ18WY3EElr-HcaWD=w408-h306-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+West+Valley+City+Salt+Lake+City+UT/@40.6916132,-112.0010501,14z",2025-09-28T23:29:07.695Z,11 am–3 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–4 pm,,,
https://www.google.com/maps/place/Option+Care+Health/data=!4m7!3m6!1s0x8752f3312e26719d:0xc5ddd4adac2a9fe6!8m2!3d40.7225392!4d-111.9825239!16s%2Fg%2F11f_0vqpxc!19sChIJnXEmLjHzUocR5p8qrK3U3cU,Option Care Health,4.0,4,Specialized clinic,"2233 S Presidents Dr Suite B, Salt Lake City, UT 84120, United States","P2F8+2X Salt Lake City, Utah, USA",https://optioncarehealth.com/locations/salt-lake-city-ut-2233-s-presidents-drive-2,+1 801-978-9600,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NN99TFx4djXBgTb3u1B0Sg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=275.8771&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Infusion+centers+in+West+Valley+City+Salt+Lake+City+UT/@40.6916132,-112.0010501,14z",2025-09-28T23:29:12.712Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Wasatch+Infusion/data=!4m7!3m6!1s0x87528a3e217597d1:0xa8fea483d3c85340!8m2!3d40.6731857!4d-111.881283!16s%2Fg%2F1td592h_!19sChIJ0Zd1IT6KUocRQFPI04Ok_qg,Wasatch Infusion,3.8,60,Medical clinic,"348 E 4500 S #220, Murray, UT 84107, United States","M4F9+7F Murray, Utah, USA",http://www.wasatchinfusion.com/,+1 801-577-7055,Open ⋅ Closes 7:30 pm,https://lh3.googleusercontent.com/p/AF1QipOkxk1k4ArbuldqMDGAcjDA_Z7iRa9KZ01VQeyA=w408-h271-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+West+Valley+City+Salt+Lake+City+UT/@40.6916132,-112.0010501,14z",2025-09-28T23:29:17.637Z,8 am–7:30 pm,8 am–7:30 pm,8 am–7:30 pm,8 am–7:30 pm,8 am–7:30 pm,8 am–7:30 pm,8 am–7:30 pm,,,
https://www.google.com/maps/place/Intermountain+Medical+Center+IV+Therapy/data=!4m7!3m6!1s0x87528b6aa5fa0bf9:0xeea4e0f5b3a2a4c8!8m2!3d40.6590981!4d-111.8942647!16s%2Fg%2F11f733zvlf!19sChIJ-Qv6pWqLUocRyKSis_XgpO4,Intermountain Medical Center IV Therapy,3.0,6,Cancer treatment center,"5131 S Cottonwood St #300, Murray, UT 84107, United States","M454+J7 Murray, Utah, USA",https://intermountainhealthcare.org/locations/location-details/intermountain-medical-center/bldg-3-jon-karen-huntsman-cancer-building/intermountain-medical-center-iv-therapy/?utm_campaign=gmb&utm_medium=organic&utm_source=local,+1 801-507-3980,Open ⋅ Closes 7 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0AndGDZdkyZa2_Fm4hj2fQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=93.29428&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Infusion+centers+in+West+Valley+City+Salt+Lake+City+UT/@40.6916132,-112.0010501,14z",2025-09-28T23:29:22.853Z,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,,,
https://www.google.com/maps/place/Mindful+Infusions+%26+Ketamine+Treatment+in+Salt+Lake+City/data=!4m7!3m6!1s0x87528b16dda70207:0x645ec91ca702d2c4!8m2!3d40.6737958!4d-111.8514029!16s%2Fg%2F11h61xsw5g!19sChIJBwKn3RaLUocRxNICpxzJXmQ,Mindful Infusions & Ketamine Treatment in Salt Lake City,4.7,21,Mental health clinic,"1414 E 4500 S UNIT 3, Salt Lake City, UT 84117, United States","M4FX+GC Salt Lake City, Utah, USA",https://mindfulinfusions.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_website_link,+1 385-299-0473,Open ⋅ Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipOXsGy5Lon6LZHZGjBDb4JEy_9JHtP_mXcrfDUM=w408-h306-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+West+Valley+City+Salt+Lake+City+UT/@40.6916132,-112.0010501,14z",2025-09-28T23:29:28.230Z,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–6 pm,LGBTQ+ friendly,,
