placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,attributes,error,isBlackOwned
https://www.google.com/maps/place/ASP+-+America%27s+Swimming+Pool+Company+of+Chattanooga/data=!4m7!3m6!1s0x88605e5897d57fe1:0x6e6ae70fcf780584!8m2!3d35.2195956!4d-85.1283295!16s%2Fg%2F1260wzy0w!19sChIJ4X_Vl1heYIgRhAV4zw_nam4,ASP - America's Swimming Pool Company of Chattanooga,4.2,93,Swimming pool contractor,,,https://www.asppoolco.com/chattanooga/?utm_source=GMB&utm_medium=organic&utm_campaign=chattanooga,+1 423-454-2917,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNAIO-i-iKUvZtCBSw7OrJnUjc5FPZ3wrC5G49S=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-10-27T17:38:59.344Z,,,,
https://www.google.com/maps/place/Pinnacle+Pools+%26+Spas/data=!4m7!3m6!1s0x88605e7c096c0933:0x490ca45afce512fd!8m2!3d35.0526859!4d-85.1823219!16s%2Fg%2F11d_771cbh!19sChIJMwlsCXxeYIgR_RLl_FqkDEk,Pinnacle Pools & Spas,4.5,32,Swimming pool contractor,"6102 Shallowford Rd Ste 105, Chattanooga, TN 37421, United States","3R39+33 Chattanooga, Tennessee, USA",https://pinnaclepoolsandspas.com/locations/chattanooga,+1 423-358-1178,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPgtFb19zIP619-RFOYOrXX3tqtYNb6HJKGl0fv=w426-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-10-27T17:39:05.735Z,,,,
https://www.google.com/maps/place/Tri-State+Pools+%26+Spas/data=!4m7!3m6!1s0x88606400cfbd3803:0x4adacab33dadde28!8m2!3d35.028832!4d-85.18408!16s%2Fg%2F1tjfb_72!19sChIJAzi9zwBkYIgRKN6tPbPK2ko,Tri-State Pools & Spas,4.5,265,Swimming pool contractor,"6220 Perimeter Dr, Chattanooga, TN 37421, United States","2RH8+G9 Chattanooga, Tennessee, USA",http://tristatepoolschatt.com/,+1 423-899-5677,"Open ⋅ Closes 5 pm

Confirmed by this business 2 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNCepKFNCktGpd4StJkkdybp9yxTPslT65D0MlE=w408-h306-k-no,true,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–6 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-10-27T17:39:10.822Z,,,,
https://www.google.com/maps/place/PoolServiceCo/data=!4m7!3m6!1s0x886067080263bed1:0x752c7c1d9d825b02!8m2!3d35.0142589!4d-85.2326876!16s%2Fg%2F11vyhh9b27!19sChIJ0b5jAghnYIgRAluCnR18LHU,PoolServiceCo,5.0,13,Pool cleaning service,"4548 Brainerd Rd # 200, Chattanooga, TN 37411, United States","2Q78+PW Chattanooga, Tennessee, USA",https://www.poolserviceco.com/?utm_campaign=gmb,+1 423-874-6405,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipM0NnMGrICt4z5QXQou_OU5mq1g8gRPd-oG0vqk=w408-h303-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-10-27T17:39:15.885Z,,,,
https://www.google.com/maps/place/HB+Pool+Care/data=!4m7!3m6!1s0x2fb2121fdcee08ff:0xef1b61168b45b63d!8m2!3d35.1127401!4d-85.1283295!16s%2Fg%2F11lcql0x2r!19sChIJ_wju3B8Ssi8RPbZFixZhG-8,HB Pool Care,5.0,71,Pool cleaning service,,,https://www.hbpoolcare.com/,+1 423-836-6565,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx7fkGw5FQEn1gjdJnEGdbAvVZRgPnKSJt5GK_i3QNo8B0VmKr94aNIvwpxaPocJ9JSWoM4MKG9-1Pwsj_ubAg_5J5xwA91TfHe4UuA-5ZZogIDxY2_TdK0QHP3jRS5Qhw49C9F=w408-h544-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–1 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-10-27T17:39:20.670Z,,,,
https://www.google.com/maps/place/Ultra+Pool+Care+Squad+of+East+Chattanooga/data=!4m7!3m6!1s0x88606742eae98d3f:0xbeb56de20c130ae2!8m2!3d35.0248807!4d-85.1976358!16s%2Fg%2F11khzp1qqp!19sChIJP43p6kJnYIgR4goTDOJttb4,Ultra Pool Care Squad of East Chattanooga,4.2,5,Pool cleaning service,"513K Airport Rd, Chattanooga, TN 37421, United States","2RF2+XW Chattanooga, Tennessee, USA",https://ultrapoolcaresquad.com/eastchattanooga-22005/,+1 423-313-4393,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipPPdG1xo6UedomPEzo9JVHD9E8Y6uHJnv0tEGkS=w408-h306-k-no,true,8:30 am–4 pm,8:30 am–4 pm,8:30 am–4 pm,8:30 am–4 pm,8:30 am–4 pm,9 am–4 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-10-27T17:39:25.701Z,Identifies as veteran-owned,,,
https://www.google.com/maps/place/Pool+Scouts+of+Chattanooga/data=!4m7!3m6!1s0x3dfdfb9bc6d3fe5:0x798783a9bac67a45!8m2!3d35.1237084!4d-84.8123455!16s%2Fg%2F11l_2_w_28!19sChIJ5T9tvLnf3wMRRXrGuqmDh3k,Pool Scouts of Chattanooga,4.8,22,Pool cleaning service,,,https://poolscouts.com/chattanooga/,+1 423-275-6864,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMr2pMxFdBXRCUNKLwSMl_JOaV8h4cnod9j25gv=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pool+services+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-10-27T17:39:30.816Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/StoneWorx+Outdoor+Living/data=!4m7!3m6!1s0x88606532004c9307:0xc9cd24b89ba369a9!8m2!3d35.1077027!4d-85.149402!16s%2Fg%2F11nt68dh2k!19sChIJB5NMADJlYIgRqWmjm7gkzck,StoneWorx Outdoor Living,4.7,37,Swimming pool contractor,"5509 TN-58, Harrison, TN 37341, United States","4V52+36 Harrison, Tennessee, USA",http://www.stoneworxoutdoorliving.com/,+1 423-591-9679,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOXi_r-P3jACfQ3rcz7g4gvNgbVeEdFNTmT18Ns=w408-h291-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-10-27T17:39:35.950Z,,,,
"https://www.google.com/maps/place/Cover+Care,+LLC/data=!4m7!3m6!1s0x88605f1899295d25:0xa6358f8bc93ee77b!8m2!3d35.0452988!4d-85.3114188!16s%2Fg%2F11jk2pvjk8!19sChIJJV0pmRhfYIgRe-c-yYuPNaY","Cover Care, LLC",5.0,1,Swimming pool repair service,"200 W M.L.K. Blvd, Chattanooga, TN 37402, United States","2MWQ+4C Chattanooga, Tennessee, USA",https://covercare.com/,+1 423-414-2998,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNTQ9_8FRF_5JXyBS2d4WbmlfvFM9XvYCZCoX9d=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-10-27T17:39:40.904Z,,,,
https://www.google.com/maps/place/Pool+Service+Plus/data=!4m7!3m6!1s0x88606772414f523d:0x5fea91c633593767!8m2!3d35.0986115!4d-85.2597765!16s%2Fg%2F11dxnzbqzl!19sChIJPVJPQXJnYIgRZzdZM8aR6l8,Pool Service Plus,4.0,55,Swimming pool repair service,,,,+1 423-645-9983,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipMYFybHOxFUwlFUQ8T_LowB44B0qproB7J1cPrG=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-10-27T17:39:45.947Z,,,,
