placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,isBlackOwned,error
https://www.google.com/maps/place/Critical+Power+Solutions/data=!4m7!3m6!1s0x8640e7198871af61:0x69c2ecaeeee0a6e!8m2!3d29.6225971!4d-95.6077819!16s%2Fg%2F11t6_3hsf0!19sChIJYa9xiBnnQIYRbgru7sounAY,Critical Power Solutions,4.9,177,Electric generator shop,· In-store pick-up · Delivery,"77 Sugar Creek Center Blvd, Sugar Land, TX 77478, United States","J9FR+2V Sugar Land, Texas, USA",http://www.criticalpowerhtx.com/,+1 281-771-8850,Open 24 hours,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipOWxgG45FQuPLJED3bDRSCzuSjBttvgPTQjCD8c=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Sugar+Land+HOU+TX/@29.5984434,-95.6225521,14z",2026-01-10T22:11:13.808Z,,
https://www.google.com/maps/place/Gallegos+Generator/data=!4m7!3m6!1s0x8640e796802ba3af:0xd5c22c5d95167c9e!8m2!3d29.618576!4d-95.6379142!16s%2Fg%2F11c2kh881j!19sChIJr6MrgJbnQIYRnnwWlV0swtU,Gallegos Generator,4.8,120,Electric generator shop,· Delivery,"7838 Hwy 90 Alt suite c, Sugar Land, TX 77478, United States","J996+CR Sugar Land, Texas, USA",http://www.gallegosgenerator.com/,+1 713-377-2837,"Open 24 hours

Updated by this business 5 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipMuaKf_hsFAGw7o6f6JhvDUPwBFTlxmfWsWKBv7=w408-h433-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Sugar+Land+HOU+TX/@29.5984434,-95.6225521,14z",2026-01-10T22:11:19.092Z,,
https://www.google.com/maps/place/Generac+Generator+Installation+in+Sugar+Land/data=!4m7!3m6!1s0x8640e6f8cf0d977f:0x8e3c7a47244328a5!8m2!3d29.6692027!4d-95.6434623!16s%2Fg%2F1tdvkkmj!19sChIJf5cNz_jmQIYRpShDJEd6PI4,Generac Generator Installation in Sugar Land,5.0,2,Electrician,,"10026 S Texas 6, Sugar Land, TX 77498, United States","M994+MJ Sugar Land, Texas, USA",,+1 281-340-2087,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yScJBJgGSdNEOMEmJ3vWEw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=264.52673&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Sugar+Land+HOU+TX/@29.5984434,-95.6225521,14z",2026-01-10T22:11:22.426Z,,
https://www.google.com/maps/place/Premier+Generator+Solutions/data=!4m7!3m6!1s0x8640e75e0d30445f:0x2dfb895561bb42f7!8m2!3d29.6279934!4d-95.5635357!16s%2Fg%2F11x60yp3nj!19sChIJX0QwDV7nQIYR90K7YVWJ-y0,Premier Generator Solutions,5.0,8,Electric generator shop,,"13407 Murphy Rd, Stafford, TX 77477, United States","JCHP+5H Stafford, Texas, USA",https://premiergeneratorshtx.com/,+1 281-888-8569,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipNg8BkXsFheTa6LWXTuKpFs3QfTvknfvLgv8yPW=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Sugar+Land+HOU+TX/@29.5984434,-95.6225521,14z",2026-01-10T22:11:27.297Z,,
https://www.google.com/maps/place/Chams+Electrical+Services/data=!4m7!3m6!1s0x8640e0a412ebffff:0x8d5019ddf56f9c9d!8m2!3d29.6171002!4d-95.6361837!16s%2Fg%2F11fll6gv00!19sChIJ___rEqTgQIYRnZxv9d0ZUI0,Chams Electrical Services,4.9,278,Electrician,,"225 Matlage Way, Sugar Land, TX 77478, United States","J987+RG Sugar Land, Texas, USA",https://chamselectricalservices.com/,+1 832-659-3442,Closes soon · 5 pm · Opens 9 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwdXbeqxTZsEHiHKK-Z4SHr4sa9J5_hqTNguPh3sZfM_l8Q8f0cN0LxWbl54JeHI_XVkcK02vr5pNnkPdudc4HOCOupkmpigV9WkO058tfOjhhYmMuU-nKTMb_pvHQwSvKwhQIcINC3vCI=w408-h544-k-no,true,9 am–5 pm,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Sugar+Land+HOU+TX/@29.5984434,-95.6225521,14z",2026-01-10T22:11:32.104Z,,
https://www.google.com/maps/place/A2Z+Generator+Solutions/data=!4m7!3m6!1s0x68002fa48a06494d:0x40221549d73fbef1!8m2!3d29.6166724!4d-95.2291365!16s%2Fg%2F11s4x7kjs6!19sChIJTUkGiqQvAGgR8b4_10kVIkA,A2Z Generator Solutions,5.0,1,Electric generator shop,· Delivery,,,https://www.a2zgeneratorsolutions.com/,+1 346-443-4436,Open · Closes 7 pm,,https://lh3.googleusercontent.com/p/AF1QipOi7mYLTh_-7nIj3lUzi1oWLbQPRYGGjeL5zlEu=w408-h543-k-no,true,8 am–7 pm,Closed,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/generator+installation+services+in+Sugar+Land+HOU+TX/@29.5984434,-95.6225521,14z",2026-01-10T22:11:36.858Z,,
https://www.google.com/maps/place/Texas+Direct+Generators+LLC/data=!4m7!3m6!1s0x245579ceb577759:0xd5f5229172efa55c!8m2!3d34.3718814!4d-95.097744!16s%2Fg%2F11y58mq4rh!19sChIJWXdX65xXRQIRXKXvcpEi9dU,Texas Direct Generators LLC,4.9,47,Electric generator shop,· Delivery,,,http://www.texasdirectgenerators.com/,+1 832-643-8022,Closes soon · 5 pm · Opens 9 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwV9vo_gMJvZRhFC_5urHt5VwuQ1iHoxKUhEi5xTBIPQY0xesuBk9qAh9paIfRTptzlXiGWovZGJV7toqr7FQYchDEFdVXzPVkGvT6XbYEZsjjMejwvS0vDL5VNwHMTnJutXkHaoQ=w408-h306-k-no,true,9 am–5 pm,Closed,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,"https://www.google.com/maps/search/generator+installation+services+in+Sugar+Land+HOU+TX/@29.5984434,-95.6225521,14z",2026-01-10T22:11:41.776Z,,
"https://www.google.com/maps/place/Allsource+Electrical+Technologies,+LLC/data=!4m7!3m6!1s0x8640e85b09bf845d:0xc54aabd3facc982b!8m2!3d29.6362277!4d-95.5338211!16s%2Fg%2F1hc47k8bv!19sChIJXYS_CVvoQIYRK5jM-tOrSsU","Allsource Electrical Technologies, LLC",4.7,209,Electrician,,"12807 Christina Ct, Missouri City, TX 77489, United States","JFP8+FF Missouri City, Texas, USA",https://www.allsourcelectrical.com/,+1 281-451-4245,Open · Closes 7 pm,,https://lh3.googleusercontent.com/p/AF1QipPrnWqVbPERX8iC5-b9qiazTS9OcMcYv4RtW8vY=w426-h240-k-no,true,8 am–7 pm,9 am–7 pm,7 am–7 pm,Open 24 hours,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/generator+installation+services+in+Sugar+Land+HOU+TX/@29.5984434,-95.6225521,14z",2026-01-10T22:11:46.886Z,,
https://www.google.com/maps/place/Mr.+Electric+of+Sugar+Land/data=!4m7!3m6!1s0x8640e6967e8a8279:0x3f44467ddd414ad2!8m2!3d29.6225971!4d-95.6077819!16s%2Fg%2F11dxl7217m!19sChIJeYKKfpbmQIYR0kpB3X1GRD8,Mr. Electric of Sugar Land,4.9,42,Electrician,,"77 Sugar Creek Center Blvd Suite 696-M, Sugar Land, TX 77478, United States","J9FR+2V Sugar Land, Texas, USA",https://mrelectric.com/sugar-land?cid=LSTL_MRE000196&utm_source=gmb&utm_campaign=local&utm_medium=organic,+1 281-990-3883,Closed · Opens 8 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iGzs-6n_KVCNE7yq2_FprQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=339.69928&pitch=0&thumbfov=100,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Sugar+Land+HOU+TX/@29.5984434,-95.6225521,14z",2026-01-10T22:11:51.816Z,,
https://www.google.com/maps/place/Generators+TX+LLC/data=!4m7!3m6!1s0x8640c3ada863deab:0x6f98b0b68d9fa958!8m2!3d29.9135686!4d-95.6651478!16s%2Fg%2F11t5lrrlgc!19sChIJq95jqK3DQIYRWKmfjbawmG8,Generators TX LLC,4.9,236,Electric generator shop,,"16714 Dellwood Springs, Houston, TX 77095, United States","W87M+CW Canyon Lakes At Stonegate, Texas, USA",https://generatorstx.com/,+1 346-704-7132,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipP9f3-hM7i38SCY3mmslw4OougZNmWDnFDvN3os=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Sugar+Land+HOU+TX/@29.5984434,-95.6225521,14z",2026-01-10T22:11:56.618Z,,
