placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,error,isBlackOwned
"https://www.google.com/maps/place/All+Seasons+Nursery+%26+Landscaping,+Inc/data=!4m7!3m6!1s0x86249c46e363f251:0x94b517ba78465687!8m2!3d30.204972!4d-92.044347!16s%2Fg%2F1vzg2lrq!19sChIJUfJj40acJIYRh1ZGeLoXtZQ","All Seasons Nursery & Landscaping, Inc",4.7,162,Landscaper,"Landscaping services business with a nursery selling plants, gardening supplies & outdoor furniture.","2974 Johnston St, Lafayette, LA 70503, United States","6X34+X7 Lafayette, Louisiana, USA",http://www.buyallseasons.com/,+1 337-264-1418,"Closed · Opens 8 am

Updated by this business 9 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFZiys9N8RTps5EyU7BijuoUASkOyN-saq4lOG-IWVv2f-ep2sWZyJ3iIOIr1UibnzVv0WRzfQbfyojaI8ua3tqSaZggxE7h_XisUVFvN20WgNgnOcgvlVo4SGOnj_52nNZKGbHTQ=w408-h315-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,9 am–5 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Scott+Lafeyette+LA/@30.2357569,-92.0945672,14z",2026-04-29T06:13:21.631Z,,,
https://www.google.com/maps/place/Arbor+Care+of+Acadiana/data=!4m7!3m6!1s0x86249f41b01c4421:0x371a9ee0a73a35d!8m2!3d30.2133162!4d-92.1282271!16s%2Fg%2F1tfwdv_j!19sChIJIUQcsEGfJIYRXaNzCu6pcQM,Arbor Care of Acadiana,5.0,7,Tree service,,"178 Anderson Cir, Scott, LA 70583, United States","6V7C+8P Scott, Louisiana, USA",,+1 337-849-8622,Closed · Opens 7 am,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LEEvi3o0EuDPkMSpmJbrGQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=256.38126&pitch=0&thumbfov=100,true,7 am–10 pm,7 am–10 pm,7 am–10 pm,8 am–10 pm,7 am–9 pm,7 am–10 pm,7 am–10 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Scott+Lafeyette+LA/@30.2357569,-92.0945672,14z",2026-04-29T06:13:27.453Z,,,
https://www.google.com/maps/place/Bob%27s+Tree+Preservation/data=!4m7!3m6!1s0x86249ed331b8ba3d:0x1aaa1dfb01dce429!8m2!3d30.2339173!4d-92.0991135!16s%2Fg%2F1tcvpmqp!19sChIJPbq4MdOeJIYRKeTcAfsdqho,Bob's Tree Preservation,3.9,18,Tree service,,"6004 Cameron St, Scott, LA 70583, United States","6WM2+H9 Scott, Louisiana, USA",http://www.bobstree.com/,+1 337-232-8733,Closed · Opens 8 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGm3YRNS4xPmTWlR3GGSEEOz4qCowIRHwenhn7cdRsWowHBFxyPy7DUdl1MYUqHsfYDKIcF9B0l3oQO09i6aBfEoIF1aA_kVEJ-D2OmA3W-lLgRQidDNICQFoWftNB_lKsAUrM=w408-h306-k-no,true,8 am–4 pm,8 am–4 pm,8 am–12 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Scott+Lafeyette+LA/@30.2357569,-92.0945672,14z",2026-04-29T06:13:32.876Z,,,
https://www.google.com/maps/place/Hollands+Tree+Care/data=!4m7!3m6!1s0x6579d625a3bc3ee3:0x103d1c8850a807de!8m2!3d30.1807785!4d-92.0634455!16s%2Fg%2F11qbmkcwvr!19sChIJ4z68oyXWeWUR3geoUIgcPRA,Hollands Tree Care,5.0,277,Tree service,,"318 Genevieve Dr, Lafayette, LA 70503, United States","5WJP+8J Lafayette, Louisiana, USA",https://hollandstreecare.com/,+1 337-412-3057,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHJcUZAXR6k3jUChKuUBsgClCOR1EoM1MO_axD6S0JsiWM4tRIbN3qQ5JS5MKpN0cT7_xNBFZWxuUn_HcKAF8ctwXqfUAdqD-Y7JQvi4jtNqGSxrldYntU4JgriC0mkjjadCdQ=w408-h414-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Scott+Lafeyette+LA/@30.2357569,-92.0945672,14z",2026-04-29T06:13:37.737Z,,,
https://www.google.com/maps/place/Apex+Tree+Care/data=!4m7!3m6!1s0x4b2f0a11ebb107eb:0x10607255e67fe010!8m2!3d30.2827279!4d-92.0091423!16s%2Fg%2F11w3n3cycs!19sChIJ6wex6xEKL0sREOB_5lVyYBA,Apex Tree Care,5.0,244,Tree service,,"200 Vancouver Dr, Lafayette, LA 70507, United States","7XMR+38 Lafayette, Louisiana, USA",https://apextree.net/,+1 337-568-2739,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-vArNC0X_zJ7LfCG8kgTBqbVx6HsEZk9Bbk4Hont5kdixm9bkTCiFqV8KgbbJJODRLV_8hHSOL6ep_yiFOLAhAW_CoG7XISO7-jg8k7r3gpuW6o0dbfNLnG2KAHCPy0o3l8aVZRuh7rW5=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Scott+Lafeyette+LA/@30.2357569,-92.0945672,14z",2026-04-29T06:13:42.580Z,Identifies as Latino-owned,,
https://www.google.com/maps/place/Hub+City+Tree+%26+Preservation/data=!4m7!3m6!1s0x86249d01cc45dc83:0x6d963bfcd99cb03!8m2!3d30.1766257!4d-92.0113452!16s%2Fg%2F11g0ht2nln!19sChIJg9xFzAGdJIYRA8uZzb9j2QY,Hub City Tree & Preservation,4.9,288,Tree service,,"114 Kings Harbour Dr, Lafayette, LA 70508, United States","5XGQ+MF Lafayette, Louisiana, USA",https://hubcitytree.com/?utm_campaign=gmb,+1 337-717-1771,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFDQl0hAmEsjoJun4f4zNlNTtolxCppQ8r_Q6zWxcjIOZDCP2iUKK4N9jGTgfZAk84wwxufczWBBKfkSIkjDxq2cMhPojDaerat_DvLV1l5rOEG6JE3oBv2N7oot-hIwtDapEU=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Scott+Lafeyette+LA/@30.2357569,-92.0945672,14z",2026-04-29T06:13:47.675Z,,,
https://www.google.com/maps/place/A+Cajun+Tree+Cutters/data=!4m7!3m6!1s0x86249c9c090e37c9:0x93b30477cd44393!8m2!3d30.2280862!4d-92.0119416!16s%2Fg%2F12606lzv2!19sChIJyTcOCZycJIYRk0PUfEcwOwk,A Cajun Tree Cutters,4.9,48,Tree service,,"117 SW Evangeline Thruway, Lafayette, LA 70501, United States","6XHQ+66 Lafayette, Louisiana, USA",http://acajuntreecutters.com/?utm_campaign=gmb,+1 337-282-9305,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEwNIn2qUPzaQrpq83-D1Zh0oSiIOf4EdGcjdr6R4MlZxMMObc4-VQhIxGLQxfIP8a7n0bxSywcPo8wO0QehrFmAI2JPxUUxtsuW5-T97p--JQfQlTSXwZT0qamH7uE9IOHQog=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Scott+Lafeyette+LA/@30.2357569,-92.0945672,14z",2026-04-29T06:13:52.568Z,,,
https://www.google.com/maps/place/Tree+Down+Lafayette/data=!4m7!3m6!1s0x91be0415dc4e631:0x541ccdcc36070747!8m2!3d30.1489702!4d-92.0160856!16s%2Fg%2F11ldhx5ctm!19sChIJMebEXUHgGwkRRwcHNszNHFQ,Tree Down Lafayette,5.0,35,Tree service,,"431 Failla Rd apt c, Lafayette, LA 70508, United States","4XXM+HH Lafayette, Louisiana, USA",https://treedownlafayette.net/,+1 337-345-9181,Closed · Opens 6 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH17u6XYbiBRHiuYhCN8DWLAkDs2iReMVi41tUloCMkPCpa9re63AOxD2z5EsX7k2pSXXfLE2_i_dLTFS21_l_tChrd9YDuUlkP2MmU2nnAs_gO6lmkzadaEzMLwf8V5J3DD4vVjI9bX98=w408-h434-k-no,true,6 am–5 pm,6 am–5 pm,6 am–5 pm,6 am–5 pm,Closed,6 am–5 pm,6 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Scott+Lafeyette+LA/@30.2357569,-92.0945672,14z",2026-04-29T06:13:57.720Z,,,
https://www.google.com/maps/place/TruGreen+of+Acadiana/data=!4m7!3m6!1s0x86249c5bbba7faeb:0xaa9491f30cebd9e8!8m2!3d30.2446216!4d-92.1010978!16s%2Fg%2F1v2jd8fc!19sChIJ6_qnu1ucJIYR6NnrDPORlKo,TruGreen of Acadiana,4.9,418,Lawn care service,,"201B Park W Dr, Scott, LA 70583, United States","6VVX+RH Scott, Louisiana, USA",https://trugreensouth.com/,+1 337-264-7336,"Closed · Opens 8 am

Updated by this business 8 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/APNQkAF5q_n-OxSlnvhOFNpV3vE6s-LGVsazYlugyJL9N5mItBn44xZwHdc5YeDGKurPOgSA-jNTkjUY_qQVceH0AJeC8wcrzmJBQgsPSo4XJfCm3ZHr7oDWcPEA2d4c2D7DW__R3KfM3h0lvAcu=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–4 pm,8 am–12 pm,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Scott+Lafeyette+LA/@30.2357569,-92.0945672,14z",2026-04-29T06:14:02.547Z,Identifies as veteran-owned,,
https://www.google.com/maps/place/Green+Leaf+Tree+Service/data=!4m7!3m6!1s0x86239c63acde0dc3:0xfeae64088764804e!8m2!3d30.1704007!4d-91.9716112!16s%2Fg%2F1tt8cmn2!19sChIJww3erGOcI4YRToBkhwhkrv4,Green Leaf Tree Service,5.0,187,Tree service,,"619 Garber Rd, Broussard, LA 70518, United States","52CH+59 Broussard, Louisiana, USA",https://www.greenleaftreeexperts.com/,+1 337-541-1404,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGrhg8Z95a1D2rmg8fMsbb_aZ1PpxfZTAOtNeb8HzD_vjz6M8TdoVkIXRE44voCRr3OXD-TxiChIyJaAgpQJXSWT_4yGGIFh27R2S1lr-htzsjkALrL7hXRWQ1Y_cut9bCgRDxr0x8n_eFJ=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Scott+Lafeyette+LA/@30.2357569,-92.0945672,14z",2026-04-29T06:14:07.441Z,,,
