placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,tuesday,wednesday,thursday,friday,saturday,sunday,monday,info,attributes
https://www.google.com/maps/place/VA+Valet/data=!4m7!3m6!1s0x89babddd318f1859:0xa2a2c3afb7573118!8m2!3d36.8559414!4d-76.1487266!16s%2Fg%2F1trxfln6!19sChIJWRiPMd29uokRGDFXt6_DoqI,VA Valet,2.6,18,Valet parking service,"600 N Witchduck Rd Ste 107, Virginia Beach, VA 23462, United States","VV42+9G Virginia Beach, Virginia, USA",http://www.vavalet.com/,+1 757-685-7101,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxzFRlcr_tmwKR82y0aA9dpDT2AfNEVKAulHIeVgK4rA042_hbR4Clj2KnlLMvZbwN3AK-IzmoGLqgNSBCKk9CkEqdNTO65ygZLFc9IODBFjNfpAWB691mrwbUPh3XGEjBuFYbjt6z0wU2r=w408-h616-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Virginia+Beach+VA/@36.8366822,-76.1576679,14z",2025-10-28T19:14:01.346Z,,,,,,,,,
https://www.google.com/maps/place/Parking+Management+Co./data=!4m7!3m6!1s0x89bae971dd5e18eb:0xdf854642ca1424d!8m2!3d36.8558975!4d-75.9768202!16s%2Fg%2F11fylqklmq!19sChIJ6xhe3XHpuokRTUKhLGRU-A0,Parking Management Co.,3.7,3,Valet parking service,"2705 Atlantic Ave, Virginia Beach, VA 23450, United States","V24F+97 Virginia Beach, Virginia, USA",http://www.parkingmgt.com/,+1 757-593-8077,Temporarily closed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7ExTZF9ihB62V6GsNrRlUQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=82.83526&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Virginia+Beach+VA/@36.8366822,-76.1576679,14z",2025-10-28T19:14:06.832Z,,,,,,,,,
https://www.google.com/maps/place/Express+Valet/data=!4m7!3m6!1s0x89ba957e4c1a55c5:0xa6f90d8dae9579fb!8m2!3d36.849603!4d-76.0910409!16s%2Fg%2F11qbym7dd5!19sChIJxVUaTH6VuokR-3mVro0N-aY,Express Valet,,,Valet parking service,"536 Prince of Wales Dr, Virginia Beach, VA 23452, United States","RWX5+RH Virginia Beach, Virginia, USA",http://www.expressvalet.net/,+1 757-718-1706,Open ⋅ Closes 9 pm,https://lh3.googleusercontent.com/p/AF1QipPjmn5b_2VFeLNMUHJBJzKkCl-4k-DC_WqlfNXB=w408-h408-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Virginia+Beach+VA/@36.8366822,-76.1576679,14z",2025-10-28T19:14:11.590Z,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–5 pm,Closed,9 am–9 pm,,
https://www.google.com/maps/place/Norfolk+Parking+Customer+Service+Center/data=!4m7!3m6!1s0x89ba980b8749eec7:0x8a25581302a81700!8m2!3d36.8461078!4d-76.2909664!16s%2Fg%2F11fxdzs2w_!19sChIJx-5JhwuYuokRABeoAhNYJYo,Norfolk Parking Customer Service Center,2.5,13,Government office,"222 E Main St, Norfolk, VA 23510, United States","RPW5+CJ Norfolk, Virginia, USA",https://www.norfolk.gov/442/Parking,+1 757-664-6222,Open ⋅ Closes 4:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2_hGVZ5uw5KuoQKKpBaAhA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=204.6162&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Norfolk+VA/@36.8507689,-76.2858726,14z",2025-10-28T19:14:26.952Z,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,Closed,8:30 am–4:30 pm,,
https://www.google.com/maps/place/Parking+Norfolk/data=!4m7!3m6!1s0x89ba980d9bc453a9:0xe6adbfe2edb2a0cd!8m2!3d36.8505195!4d-76.2908693!16s%2Fg%2F11c1q689s9!19sChIJqVPEmw2YuokRzaCy7eK_reY,Parking Norfolk,5.0,2,Parking lot,"324 Madison Mews, Norfolk, VA 23510, United States","VP25+6M Norfolk, Virginia, USA",https://www.norfolk.gov/442/Parking,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NYhT6v4P9ogueXtnOkTWqg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=166.7518&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Norfolk+VA/@36.8507689,-76.2858726,14z",2025-10-28T19:14:29.740Z,,,,,,,,,
https://www.google.com/maps/place/999+Waterside+Drive+-+Dominion+Tower+Parking/data=!4m7!3m6!1s0x89ba98090cdfaed5:0x500fbfcfc018427f!8m2!3d36.8434421!4d-76.2868403!16s%2Fg%2F1tdbxnmn!19sChIJ1a7fDAmYuokRf0IYwM-_D1A,999 Waterside Drive - Dominion Tower Parking,3.3,27,Parking garage,"999 Waterside Dr, Norfolk, VA 23510, United States","RPV7+97 Norfolk, Virginia, USA",,+1 757-937-5580,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzmNxugyqwMcWRSw64cUtiWiOHI2BqYL-jZiuiKp7troa7Ziz1k3dWdCQD1xo7u5gbN7UechxmeAUs-s2ELCotcac3xUlqkpGYwSvt-wgWLc5eHjCVTOVosIYY8ZOjX-H2TG3bHoQ=w408-h305-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Norfolk+VA/@36.8507689,-76.2858726,14z",2025-10-28T19:14:35.044Z,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–5 pm,9 am–5 pm,9 am–6 pm,,
https://www.google.com/maps/place/ODU+Transportation+and+Parking+Services/data=!4m7!3m6!1s0x89ba985295b9d605:0xf41ea923178589c2!8m2!3d36.8834057!4d-76.3069032!16s%2Fg%2F11bw1zgpz6!19sChIJBda5lVKYuokRwomFFyOpHvQ,ODU Transportation and Parking Services,1.6,38,University,"4310 Elkhorn Ave, Norfolk, VA 23508, United States","VMMV+96 Norfolk, Virginia, USA",https://www.odu.edu/parking,+1 757-683-4004,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMiBAFEVFvUMa09Lmxgs-dX913gRYZYrY7MgAs=w431-h240-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Norfolk+VA/@36.8507689,-76.2858726,14z",2025-10-28T19:14:39.995Z,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–4 pm,Closed,Closed,7:30 am–5 pm,,
https://www.google.com/maps/place/Waterside+Garage/data=!4m7!3m6!1s0x89ba980b9c105d23:0x6c1e71937aae8ddf!8m2!3d36.8452286!4d-76.2905002!16s%2Fg%2F11b8v5_rpg!19sChIJI10QnAuYuokR342uepNxHmw,Waterside Garage,4.3,75,Parking garage,"Enter on Atlantic St, 50 Martins Ln, Norfolk, VA 23510, United States","RPW5+3Q Norfolk, Virginia, USA",http://www.norfolk.gov/,+1 757-664-6222,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSximoQABpbU-suw0wZLoYOkWr-w64jwqllBj7Iu7TP9ho2FHGh8Y9Z_1WfSSI2vdHmK8n04LSCQAUirZGApXU8S3RX7kkyywI7ns3kG6-jOo9selUi11WQbWdKCZ_ISmwHaqR4=w408-h725-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Norfolk+VA/@36.8507689,-76.2858726,14z",2025-10-28T19:14:43.124Z,,,,,,,,,
https://www.google.com/maps/place/MacArthur+Center+Parking+Garage/data=!4m7!3m6!1s0x89ba9912f854e4d5:0xc1c64dd9ea1abbb4!8m2!3d36.8477925!4d-76.2873804!16s%2Fg%2F11f62mh5cv!19sChIJ1eRU-BKZuokRtLsa6tlNxsE,MacArthur Center Parking Garage,4.2,126,Parking garage,"500 E City Hall Ave, Norfolk, VA 23510, United States","RPX7+42 Norfolk, Virginia, USA",https://www.norfolk.gov/facilities/facility/details/Macarthur-Center-North-Garage-8,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxrCCW6CO_ygbfyfrmbm77FMzYO6w5q9u7M-Gg0lGuinbO5VAUOCvzUt0KdMXxHpK3sF-a-DYtAbO5Hd5oElvI0ogaciw8GvgBpI4kRN8QMNcnUjPu-1Gh7d46OARQ1lt--eENuShKPbGYC=w408-h306-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Norfolk+VA/@36.8507689,-76.2858726,14z",2025-10-28T19:14:46.482Z,,,,,,,,,
https://www.google.com/maps/place/West+Plume+Street+Garage/data=!4m7!3m6!1s0x89ba980c9585868b:0xb6c01fe875d5a2fa!8m2!3d36.8474593!4d-76.293007!16s%2Fg%2F11cs4k74hk!19sChIJi4aFlQyYuokR-qLVdegfwLY,West Plume Street Garage,3.9,49,Parking garage,"135 W Plume St, Norfolk, VA 23510, United States","RPW4+XQ Norfolk, Virginia, USA",http://norfolk.gov/parking,+1 757-664-6222,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx183BX86Tv8HPdMZJrLjHyS7jVyx2esJuyEUunfOL3kwFAj63smK05QH0t1jnN4SwWPTwV17bqT2CHVoCRhAqF_l-Iaz-QCWah_jEfQV6nvL_FLl7mjk_q1VN2bVpJK32XtXS2xg=w408-h544-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Norfolk+VA/@36.8507689,-76.2858726,14z",2025-10-28T19:14:51.597Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
