placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,attributes,info,isBlackOwned
https://www.google.com/maps/place/Blue+Kangaroo+Packoutz+of+NW+Arkansas/data=!4m7!3m6!1s0x87c969e2d2865679:0x2e00c421ad6c3d0f!8m2!3d36.048859!4d-94.1512965!16s%2Fg%2F11vxh9p6c_!19sChIJeVaG0uJpyYcRDz1srSHEAC4,Blue Kangaroo Packoutz of NW Arkansas,5.0,29,Water damage restoration service,"636 E 15th St suite a, Fayetteville, AR 72701, United States","2RXX+GF Fayetteville, Arkansas, USA",https://www.bluekangaroopackoutz.com/nw-arkansas/,+1 479-879-9696,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep8O44hlCV1AeOM9Fsm21JTqMVPQuf-CBcYBdzZZ2OHy5KiyEXXiLwGLkjGDPlYxIw43ESCpxf_GsLt5KMNjDNOwfKypOalzK4cOFLudbX5KuDR9P68v0XKc6NR-Tlxq6zfExVD=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Fayetteville+AR/@36.0618652,-94.1579484,14z",2026-03-23T03:32:19.717Z,,,
https://www.google.com/maps/place/H2O+Specialists/data=!4m7!3m6!1s0x87c96f3418afeb5f:0xe20f3aa5ffed1679!8m2!3d36.0641685!4d-94.1592828!16s%2Fg%2F11pkly543l!19sChIJX-uvGDRvyYcReRbt_6U6D-I,H2O Specialists,,,Water damage restoration service,"114 N East Ave, Fayetteville, AR 72701, United States","3R7R+M7 Fayetteville, Arkansas, USA",http://h2odamagerestored.com/water-restoration-specialists-in-fayetteville/,+1 479-777-0985,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqMCP9yQ_IvUY0EatBcZeIQdvG0iswysMrLdOMUTvH5hK02nHVSVIlNB4ZDN5Au87BQyIf2MxQh0BKTxhXtcq5c8XdsV-HTfPd8wbAjUJJPGwySo3cK-tZlmb5bO8Rku33SnKjb=w579-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Fayetteville+AR/@36.0618652,-94.1579484,14z",2026-03-23T03:32:25.038Z,,,
https://www.google.com/maps/place/Natural+State+Environmental/data=!4m7!3m6!1s0x87c96f5f476b9399:0x19af6a4b807787f3!8m2!3d36.0632267!4d-94.1575479!16s%2Fg%2F11mn7x7f67!19sChIJmZNrR19vyYcR84d3gEtqrxk,Natural State Environmental,,,Water damage restoration service,"70 N College Ave #14, Fayetteville, AR 72701, United States","3R7R+7X Fayetteville, Arkansas, USA",,+1 479-337-7815,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7lLIXxSgW6B1pMvpIasZ1A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=121.91846&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Fayetteville+AR/@36.0618652,-94.1579484,14z",2026-03-23T03:32:30.143Z,,,
https://www.google.com/maps/place/24+Hour+Flood+Pros+of+Fayetteville/data=!4m7!3m6!1s0x87855bb0792a7093:0xcf355da2a7198be8!8m2!3d36.2141158!4d-94.1764675!16s%2Fg%2F11xtj906zw!19sChIJk3AqebBbhYcR6IsZp6JdNc8,24 Hour Flood Pros of Fayetteville,5.0,52,Water damage restoration service,,,https://24hourfloodpros.com/fayetteville,+1 479-304-3217,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer4JV0PH-olIlKJktQZ_TK66d3augRKrNTeN1EG4u-9PFZY-pl43CPuLrDxeqfrsVRD3JbL25_cZQtIvblKJLYSEu8Va6jHtXaSO1cN-wPow9dAVoftdbkI-dbTPNRzeKy6s6XeaNzyTqc6=w408-h326-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Fayetteville+AR/@36.0618652,-94.1579484,14z",2026-03-23T03:32:34.708Z,,,
https://www.google.com/maps/place/A1+Restoration/data=!4m7!3m6!1s0x83dcb2392ff432e3:0xa6e9fb5c72f36738!8m2!3d36.1091094!4d-94.2980025!16s%2Fg%2F11x5r8b4h4!19sChIJ4zL0Lzmy3IMROGfzclz76aY,A1 Restoration,5.0,59,Water damage restoration service,,,http://a1restorationteam.com/bentonville,+1 479-552-5625,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepgODwhif0AgA1b3a5JapJ0PsuNc9p9708x0hiPR8D4KeM87LY-Xr6geEMOZqo01yVN1Gv_gVQG5ycmdJ1bYREXBhV5wNkN7u4z3PgkkgA1JQ6ubnVfBDtn7w_oEa1-janDq_Muu95J8uYF=w408-h305-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Fayetteville+AR/@36.0618652,-94.1579484,14z",2026-03-23T03:32:39.313Z,,,
https://www.google.com/maps/place/CertaPro+Painters+of+Northwest+Arkansas/data=!4m7!3m6!1s0x87c96eade975b11d:0xd5df365fbe1497d2!8m2!3d36.0888646!4d-94.1546975!16s%2Fg%2F1tfdzcx9!19sChIJHbF16a1uyYcR0pcUvl8239U,CertaPro Painters of Northwest Arkansas,4.9,439,Painter,"1985 N College Ave Ste. C, Fayetteville, AR 72703, United States","3RQW+G4 Fayetteville, Arkansas, USA",https://certapro.com/fayetteville/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+1 479-587-1250,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerUoUUdPevH-VlnVmpETxYKzQOvQ4Ocf0LwYPRGryP5SHTfM25Zck7sQ3E1NM81rQjpC2tL-qmcaTRpvTAgiMyyCBw60gEwPfNbqo4O94nQQqq8s7fBCTMBmqsvdu82IMHjgzdP33EMMlso=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Fayetteville+AR/@36.0618652,-94.1579484,14z",2026-03-23T03:32:44.234Z,,,
https://www.google.com/maps/place/911+Restoration+of+Northwest+Arkansas/data=!4m7!3m6!1s0x87c969724d64a5cd:0x7a75cb1b5ff9b9a1!8m2!3d36.1761613!4d-94.17082!16s%2Fg%2F11k01k8s_q!19sChIJzaVkTXJpyYcRobn5XxvLdXo,911 Restoration of Northwest Arkansas,4.8,68,Water damage restoration service,"1106 Shaver St, Springdale, AR 72762, United States","5RGH+FM Springdale, Arkansas, USA",https://911restorationofnorthwestarkansas.com/,+1 479-223-5148,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweohLANtcoa3fhYPQbjndA4F2zELnKeSNNdWPKEzkxwOEszT7AqDVU3bNfbtKZe1ubLlUjmlFjSSK3JaZqFiSeIbwNXIJOgteiNh3U-gorRhPslYaXDQJaMpXuTxNMCnMdRsNRUU=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Fayetteville+AR/@36.0618652,-94.1579484,14z",2026-03-23T03:32:49.014Z,,,
https://www.google.com/maps/place/CRDN/data=!4m7!3m6!1s0x87c96ed8220c882b:0x6e704be41b6c0bcd!8m2!3d36.062197!4d-94.1620903!16s%2Fg%2F1w112qg3!19sChIJK4gMIthuyYcRzQtsG-RLcG4,CRDN,1.0,2,Dry cleaner,"81 S Church Ave, Fayetteville, AR 72701, United States","3R6Q+V5 Fayetteville, Arkansas, USA",https://www.crdn.com/,+1 479-409-4386,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqVcXyO-EfPkQyu5igFjAHsDF5SCw0YVn_ze5TLgv1TlIq5v2xZ_HOnL0Yhp2n2xZG8UMXbC6NrEQAGL36723QSEdB3RH4QJDYTH3oqfEN873l_DNEMM5MA8oU0oUIdamMDmRZV=w408-h280-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Fayetteville+AR/@36.0618652,-94.1579484,14z",2026-03-23T03:32:53.894Z,,,
"https://www.google.com/maps/place/SERVPRO+of+Fayetteville,+Springdale+South,+North+Washington+County/data=!4m7!3m6!1s0x87c96cc944e1555d:0x3764983f28e38d13!8m2!3d36.1675887!4d-94.1324012!16s%2Fg%2F1w0h80wy!19sChIJXVXhRMlsyYcRE43jKD-YZDc","SERVPRO of Fayetteville, Springdale South, North Washington County",4.7,196,Water damage restoration service,"228 E Robinson Ave, Springdale, AR 72764, United States","5V99+22 Springdale, Arkansas, USA",https://www.servpro.com/locations/ar/servpro-of-fayetteville-springdale-south-north-washington-county?utm_medium=organic&utm_source=gbp,+1 479-485-7693,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweov0cIMpRGHqoRrdVOZXwi-uu_chai5Q4-IJLTPijmshBbk5Eu7onghSZS4WFS1X__IlMbzDQtoMcqLDChfHXAaDTRDN95v3kIYLcoAQybstLLERuTbLKcYITcewlNLqyLbLTuLiw=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Fayetteville+AR/@36.0618652,-94.1579484,14z",2026-03-23T03:32:58.691Z,,,
"https://www.google.com/maps/place/Surface+Renew,+Inc./data=!4m7!3m6!1s0x87c96fe33e725899:0xbb192e882793ad79!8m2!3d35.562692!4d-94.112612!16s%2Fg%2F11h_6xsqfs!19sChIJmVhyPuNvyYcRea2TJ4guGbs","Surface Renew, Inc.",4.9,168,Bathroom remodeler,,,http://www.surface-renew.com/,+1 479-226-0703,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqNmyKfeuHoLdNIF7tpGMqwIBSHZ7Lun-IknG32rrreKRnSGl5kXzXyhE1qFcKqYxj0cTSagizs-5koV2afW1HPZ6q5J7g7sKxo3pTO31GZSiKkI2nx3I7Xi36pe6gKVs5izpMO=w408-h309-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Fayetteville+AR/@36.0618652,-94.1579484,14z",2026-03-23T03:33:03.360Z,· Delivery,,
https://www.google.com/maps/place/Voda+Cleaning+%26+Restoration+of+NW+Arkansas/data=!4m7!3m6!1s0x4aae6deeb1cb05e3:0x4d29a1c57bf5e3cd!8m2!3d36.2896665!4d-94.1264155!16s%2Fg%2F11wxd1r980!19sChIJ4wXLse5trkoRzeP1e8WhKU0,Voda Cleaning & Restoration of NW Arkansas,5.0,28,Water damage restoration service,,,https://myvoda.com/nw-arkansas/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+1 479-370-5434,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoXgdolA4H3Y2F3Y7lvzgGUMyiKxDSRDtWIY7IU_zZsmZ1sbFqJ0g0X6UBkNMFCE0II_VJswJ2HP9a8EajGHEfkvMlDGs5ByQG8NMy8kSRR9DvMriNsqJHAOwfeKHsuYwdXPvLKKYbfsHIc=w408-h305-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Fayetteville+AR/@36.0618652,-94.1579484,14z",2026-03-23T03:33:07.925Z,,,
