placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,error,attributes,isBlackOwned
"https://www.google.com/maps/place/Dr.+Gabe+Ariciu,+DC+-+Functional+Medicine+and+Applied+Kinesiology/data=!4m7!3m6!1s0x87c96b8bc713a655:0x77153f3d4cfb4a0a!8m2!3d37.1806538!4d-93.2632095!16s%2Fg%2F11htrvs4dq!19sChIJVaYTx4tryYcRCkr7TD0_FXc","Dr. Gabe Ariciu, DC - Functional Medicine and Applied Kinesiology",5.0,81,Alternative medicine practitioner,"1736 E Sunshine St Suite 703, Springfield, MO 65804, United States","5PJP+7P Springfield, Missouri, USA",http://drariciu.com/,+1 479-310-6745,Open · Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipPrTIMGoSYxonlCQaH9vjWpPyQxF5XdOFwCcYVa=w408-h541-k-no,true,10 am–4 pm,10 am–4 pm,10 am–4 pm,10 am–4 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2026-02-23T18:14:04.375Z,,,,
https://www.google.com/maps/place/Real+Holistic+Doc/data=!4m7!3m6!1s0x87c59ad03bef201d:0xcda47a22bc41b805!8m2!3d37.2096334!4d-93.2368913!16s%2Fg%2F11bymx4tw9!19sChIJHSDvO9CaxYcRBbhBvCJ6pM0,Real Holistic Doc,4.7,23,Holistic medicine practitioner,"2840 E Chestnut Expressway, Springfield, MO 65802, United States","6Q57+V6 Springfield, Missouri, USA",http://realholisticdoc.com/locations/springfield-missouri/,+1 417-351-5221,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/p/AF1QipPLKxUuZE8DC8RPf5ZhaZ68BPWli5l_lqjtmBhJ=w426-h240-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2026-02-23T18:14:09.014Z,,,,
https://www.google.com/maps/place/417+Integrative+Medicine/data=!4m7!3m6!1s0x87cf7b1af1d202f7:0x5bc56a4a8278c7e0!8m2!3d37.1387896!4d-93.2737575!16s%2Fg%2F11js2d_09d!19sChIJ9wLS8Rp7z4cR4Md4gkpqxVs,417 Integrative Medicine,5.0,371,Medical clinic,"1335 E Republic Rd D, Springfield, MO 65804, United States","4PQG+GF Springfield, Missouri, USA",https://www.417integrativemedicine.com/,+1 417-363-3900,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipN4nivIpQYCxAYOIZ7oN0-ouuV8poO6lVxxrNBr=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2026-02-23T18:14:13.363Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Alternative+Medicine+Center/data=!4m7!3m6!1s0x87cf635273c7b541:0x98ebe1cf349d4ed2!8m2!3d37.1851265!4d-93.2606088!16s%2Fg%2F11gtcy401l!19sChIJQbXHc1Jjz4cR0k6dNM_h65g,Alternative Medicine Center,5.0,2,Holistic medicine practitioner,"1722-RR1, S Glenstone Ave, Springfield, MO 65804, United States","5PPQ+3Q Springfield, Missouri, USA",http://www.amedicinecenter.com/,+1 417-860-1706,Open · Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipNjl3Gm5kjwf1W93_MBCZ8TNPrX6n12sLkGd-U=w408-h286-k-no,true,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–4:30 pm,9 am–2 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2026-02-23T18:14:17.858Z,,,,
"https://www.google.com/maps/place/Ozark+Mountain+Natural+Health,+LLC/data=!4m7!3m6!1s0x87cff32fc0e679bd:0x28fa0679e1327088!8m2!3d37.1844944!4d-93.2606585!16s%2Fg%2F11fz7nxzkm!19sChIJvXnmwC_zz4cRiHAy4XkG-ig","Ozark Mountain Natural Health, LLC",4.6,11,Alternative medicine practitioner,"1722 S Glenstone Ave Suite W108, Springfield, MO 65804, United States","5PMQ+QP Springfield, Missouri, USA",http://omnh.as.me/,,Open · Closes 7:30 pm,https://lh3.googleusercontent.com/p/AF1QipMCQ4g4PVT9N2HmEu-bP-JBzvW31EsQptPyI0Hf=w408-h544-k-no,true,10 am–7:30 pm,10 am–7:30 pm,10 am–7:30 pm,10 am–7:30 pm,10 am–7:30 pm,10 am–5 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2026-02-23T18:14:22.164Z,,,,
https://www.google.com/maps/place/Kare+Health+And+Wellness/data=!4m7!3m6!1s0x87cf64ce67629d4f:0x76ddd28aa583f40!8m2!3d37.1467012!4d-93.2706105!16s%2Fg%2F1pp2xbr6t!19sChIJT51iZ85kz4cRQD9YqijdbQc,Kare Health And Wellness,4.7,223,Medical clinic,"1435 E Bradford Pkwy, Springfield, MO 65804, United States","4PWH+MQ Springfield, Missouri, USA",https://integrativehealthcarespringfieldmo.com/,+1 417-881-4994,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/p/AF1QipO-tafgBYJKx_7U-pAVCh4QZJmkoDsaDRk3tlew=w408-h612-k-no,true,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2026-02-23T18:14:26.489Z,Identifies as women-owned,,,
https://www.google.com/maps/place/International+Institute+of+Holistic+Medicine/data=!4m7!3m6!1s0x87cf7ce03ac93207:0xe24547d5814321d!8m2!3d37.2096574!4d-93.2367358!16s%2Fg%2F11csqy56fm!19sChIJBzLJOuB8z4cRHTIUWH1UJA4,International Institute of Holistic Medicine,5.0,3,Holistic medicine practitioner,"2840 E Chestnut Expressway b, Springfield, MO 65802, United States","6Q57+V8 Springfield, Missouri, USA",https://realholisticdoc.com/international-institute-of-holistic-medicine/,+1 417-351-5221,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jbJqagO63jMvAMluod1eVA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=178.74738&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2026-02-23T18:14:30.737Z,,,,
https://www.google.com/maps/place/Zeal+Integrated+Health/data=!4m7!3m6!1s0x87cf627d55f875e1:0x4b67a6f05f521164!8m2!3d37.2409475!4d-93.2988377!16s%2Fg%2F1tghq3dq!19sChIJ4XX4VX1iz4cRZBFSX_CmZ0s,Zeal Integrated Health,4.6,147,Chiropractor,"733 W Kearney St, Springfield, MO 65803, United States","6PR2+9F Springfield, Missouri, USA",http://zealintegratedhealth.com/?utm_source=gmb&utm_medium=organic,+1 417-893-0099,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipNLLfLjsZpLJq1jI1bQsBr2oWFPjd2_nkI23hNa=w408-h272-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9–11 am,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2026-02-23T18:14:35.250Z,,,,
https://www.google.com/maps/place/180+Health+Medical+%26+Wellness+Center/data=!4m7!3m6!1s0x87cf63c44a6b5bcd:0xcf70a8447d270e12!8m2!3d37.1786601!4d-93.2616423!16s%2Fg%2F11fn4n3thr!19sChIJzVtrSsRjz4cREg4nfUSocM8,180 Health Medical & Wellness Center,4.9,27,Medical clinic,"1936 S Glenstone Ave, Springfield, MO 65804, United States","5PHQ+F8 Springfield, Missouri, USA",,+1 417-882-9222,Closes soon · 12:30 pm · Reopens 1:30 pm,https://lh3.googleusercontent.com/p/AF1QipN2IeyoQRrcA-AhzYhQFj9Yc6IQ_B0II_eRTOvC=w486-h240-k-no,true,"8 am–12:30 pm, 1:30–5 pm","8 am–12:30 pm, 1:30–5 pm","8 am–12:30 pm, 1:30–5 pm","8 am–12:30 pm, 1:30–5 pm","8 am–12:30 pm, 1:30–5 pm",Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2026-02-23T18:14:39.655Z,,,,
https://www.google.com/maps/place/Total+Health+and+Wellness/data=!4m7!3m6!1s0x87cf64a343e55555:0x5f62a23c9356b533!8m2!3d37.1569331!4d-93.2756512!16s%2Fg%2F11h5q89jqy!19sChIJVVXlQ6Nkz4cRM7VWkzyiYl8,Total Health and Wellness,4.9,124,Medical clinic,"1200 E Woodhurst Dr H-400, Springfield, MO 65804, United States","5P4F+QP Springfield, Missouri, USA",https://totalhealthandwellness.com/,+1 417-771-5277,Open · Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipMAa_JC5b49A2ViZ0fPP-VbvZIgw5CB51dhis80=w408-h612-k-no,true,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2026-02-23T18:14:43.966Z,Identifies as veteran-owned,,,
