placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,query,timestamp,sunday,monday,tuesday,wednesday,thursday,friday,saturday,isBlackOwned,attributes,error
https://www.google.com/maps/place/Re-vIVe+Hydration+and+Wellness/data=!4m7!3m6!1s0x87135be94cdd78f5:0x70c90231c4e66339!8m2!3d38.8416887!4d-104.8540413!16s%2Fg%2F11ssng8qs4!19sChIJ9XjdTOlbE4cROWPmxDECyXA,Re-vIVe Hydration and Wellness,5.0,54,Medical clinic,"1819 W Colorado Ave, Colorado Springs, CO 80904, United States","R4RW+M9 Colorado Springs, Colorado, USA",https://www.revivehydrationandwellnesscos.com/,+1 719-508-1616,,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOgpNlygQlltgE_ozQl6hvGA4PGRQ-SUlciChei=w408-h544-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-09-28T23:02:24.833Z,,,,,,,,,,
https://www.google.com/maps/place/Rocky+Mountain+Energy+Infusion/data=!4m7!3m6!1s0x87134586a9dbb6af:0x55ed1e4c1292c2b8!8m2!3d38.8419661!4d-104.8243886!16s%2Fg%2F11vwsx_44y!19sChIJr7bbqYZFE4cRuMKSEkwe7VU,Rocky Mountain Energy Infusion,4.6,7,Wellness center,"525 N Cascade Ave, Colorado Springs, CO 80903, United States","R5RG+Q6 Colorado Springs, Colorado, USA",https://rockymountainenergyinfusion.com/,+1 719-641-0006,Closed ⋅ Opens 10 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FIDj81QWywhaDEcNIeRv7Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=279.5859&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Infusion+centers+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-09-28T23:02:31.030Z,1–3 pm,10 am–6 pm,Closed,Closed,9 am–5 pm,10 am–4 pm,10 am–4 pm,,,
https://www.google.com/maps/place/SunWater+Spa/data=!4m7!3m6!1s0x8713509ebe4b5f0f:0x8d482d8360ef3f56!8m2!3d38.8585726!4d-104.910981!16s%2Fg%2F11bbx0hj9v!19sChIJD19Lvp5QE4cRVj_vYIMtSI0,SunWater Spa,3.9,646,Spa,"514 El Paso Blvd, Manitou Springs, CO 80829, United States","V35Q+CJ Manitou Springs, Colorado, USA",http://www.sunwaterspa.com/,+1 719-695-7007,Open ⋅ Closes 10 pm,,https://lh3.googleusercontent.com/p/AF1QipPgZ6XMaa-QbXpCng1pN7EGGF9FOYteYuxtiQgP=w408-h509-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-09-28T23:02:36.084Z,8 am–10 pm,Closed,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,,,
https://www.google.com/maps/place/SkinbyMal/data=!4m7!3m6!1s0x871351fc189ac78f:0x3b43779496eea83f!8m2!3d38.8566335!4d-104.9011677!16s%2Fg%2F11sd6p3lqf!19sChIJj8eaGPxRE4cRP6julpR3Qzs,SkinbyMal,5.0,11,Skin care clinic,"329 Manitou Ave, Manitou Springs, CO 80829, United States","V34X+MG Manitou Springs, Colorado, USA",http://skinbymal.square.site/,+1 719-360-0350,Closed ⋅ Opens 9 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nonwH0jjI-64huuO8ElGlxaAaxwiSb6lf7j5_GJz3oYHZ6JyaSxGmKA5-b3CbcM8-J8-qSSJOk7LIYPlR1SqJ5gFHAywwQQmRkM4Gk-RDXtfWwUzAR4K-KxHrrmvfKGAlf03Nw9M31yNhhH=w408-h612-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-09-28T23:02:41.066Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,,,
https://www.google.com/maps/place/Rocky+Mountain+Cancer+Centers+-+Colorado+Springs+-+Penrose+Pavilion/data=!4m7!3m6!1s0x87134f8aa8f9547d:0x647ad56ba44ba505!8m2!3d38.8659899!4d-104.8205425!16s%2Fg%2F1v_nczd7!19sChIJfVT5qIpPE4cRBaVLpGvVemQ,Rocky Mountain Cancer Centers - Colorado Springs - Penrose Pavilion,4.4,396,Cancer treatment center,"2312 N Nevada Ave #400, Colorado Springs, CO 80907, United States","V58H+9Q Colorado Springs, Colorado, USA",https://www.rockymountaincancercenters.com/locations/colorado-springs-penrose?utm_source=local-listings&utm_medium=google-bing&utm_campaign=pg,+1 719-577-2555,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipMcGTV3dC665LBT38rMhx8WJFmrFKTSaUs8TLIh=w426-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-09-28T23:02:46.040Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,,,
https://www.google.com/maps/place/Achieve+Whole+Recovery/data=!4m7!3m6!1s0x87134f97e5a41245:0xdcccfef561e5542!8m2!3d38.8983951!4d-104.8451883!16s%2Fg%2F11g20gbnft!19sChIJRRKk5ZdPE4cRQlUeVu_PzA0,Achieve Whole Recovery,4.5,386,Addiction treatment center,"1115 Elkton Dr # 300, Colorado Springs, CO 80907, United States","V5X3+9W Colorado Springs, Colorado, USA",https://www.achievewholerecovery.com/,+1 719-373-9703,"Closed ⋅ Opens 8 am Mon

Updated by this business 6 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipN6iDAAJObJNMZR8iDXuUZAnS1NFez0QAxORJqN=w408-h272-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-09-28T23:02:51.082Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,,,
https://www.google.com/maps/place/EDENOLOGY+Holistic+Wellness/data=!4m7!3m6!1s0x87135b3f8cf55cf5:0xf5facdad2d0d3141!8m2!3d38.848307!4d-104.8648847!16s%2Fg%2F11kj92tghd!19sChIJ9Vz1jD9bE4cRQTENLa3N-vU,EDENOLOGY Holistic Wellness,4.7,38,Wellness center,"2611 W Colorado Ave Studio B, Colorado Springs, CO 80904, United States","R4XP+82 Colorado Springs, Colorado, USA",https://www.edenologyco.com/,+1 719-662-3336,Closed ⋅ Opens 10 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOYQ4puJ7Sdhsnj93zaQWAOgIxqmpXYUTvUipKO=w408-h405-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-09-28T23:02:56.169Z,Closed,Closed,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,,,
https://www.google.com/maps/place/Pure+Infusion+Suites+of+Colorado+Springs/data=!4m7!3m6!1s0x8713459f5eef6bbb:0xfc3c33ffee1bfdfb!8m2!3d38.8607268!4d-104.8170652!16s%2Fg%2F11ft4hskyp!19sChIJu2vvXp9FE4cR-_0b7v8zPPw,Pure Infusion Suites of Colorado Springs,4.9,133,Medical clinic,"320 E Fontanero St # 103, Colorado Springs, CO 80907, United States","V56M+75 Colorado Springs, Colorado, USA",https://pureinfusionsuites.com/locations/colorado-springs/,+1 719-300-4068,Closed ⋅ Opens 8:30 am Mon,,https://lh3.googleusercontent.com/p/AF1QipNriDayIEL_mDsHgyJs9eDVhV5Cs9u8M7VX9ral=w408-h272-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-09-28T23:03:01.202Z,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,,,
https://www.google.com/maps/place/UCHealth+Outpatient+Infusion+Clinic+-+Memorial+Hospital+Central/data=!4m7!3m6!1s0x871345327afa0399:0x6f3535aaa4b2e573!8m2!3d38.8397642!4d-104.7994092!16s%2Fg%2F11fht_9_wl!19sChIJmQP6ejJFE4cRc-WypKo1NW8,UCHealth Outpatient Infusion Clinic - Memorial Hospital Central,4.7,91,Medical clinic,"1400 E Boulder St Suite 1370, Colorado Springs, CO 80909, United States","R6Q2+W6 Colorado Springs, Colorado, USA",https://www.uchealth.org/locations/uchealth-outpatient-infusion-clinic-memorial-hospital-central/?utm_source=GMBSocialClimb&utm_medium=UCHealthOutpatientInfusionClinic-MemorialHospitalCentral,+1 719-365-5650,Closed ⋅ Opens 7 am Mon,,https://lh3.googleusercontent.com/p/AF1QipO3Rpz6pxgUcBEf_jq13RWLCAAXB2mQL07QWTN5=w408-h272-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-09-28T23:03:06.162Z,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,Closed,,,
https://www.google.com/maps/place/UCHealth+Cancer+Outpatient+Infusion+Clinic+-+Memorial+Hospital+Central/data=!4m7!3m6!1s0x8713450819f38d37:0xece5d2c8b3dc096e!8m2!3d38.8397642!4d-104.7994092!16s%2Fg%2F11cs122z90!19sChIJN43zGQhFE4cRbgncs8jS5ew,UCHealth Cancer Outpatient Infusion Clinic - Memorial Hospital Central,4.8,45,Cancer treatment center,"1400 E Boulder St Suite 1150, Colorado Springs, CO 80909, United States","R6Q2+W6 Colorado Springs, Colorado, USA",https://www.uchealth.org/locations/uchealth-outpatient-oncology-infusion-memorial-hospital-central/?utm_source=GMBSocialClimb&utm_medium=UCHealthCancerOutpatientInfusionClinic-MemorialHospitalCentral,+1 719-365-5572,Closed ⋅ Opens 8 am Mon,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOVL20X9JW7HM8CaLZB-gYKg-SvLfKu4hIi2W_g=w408-h272-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-09-28T23:03:11.048Z,Closed,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,Closed,,,
