placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,info,isBlackOwned
https://www.google.com/maps/place/Lonnie%27s+Tire+Services/data=!4m7!3m6!1s0x87c0fd7ccab50613:0x3c8eb0da30e0b995!8m2!3d39.1026554!4d-94.401487!16s%2Fg%2F1v2kxz4g!19sChIJEwa1ynz9wIcRlbngMNqwjjw,Lonnie's Tire Services,4.7,1214,Auto repair shop,"1008 E US Hwy 24, Independence, MO 64050, United States","4H3X+3C Independence, Missouri, USA",https://www.facebook.com/LonniesTireService,+1 816-254-2477,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqJDfnMI2IPE8SyeoatjSX3H38ykXvuof0ZDUCQSn8LtQcNT8N2ZQ8q-lVqv8krQJ2WK8B_KNxJmNJJCyFOEGApIB3KV6h6y5XsMCI8atT0VLm0c2q63s7dw9M-DTdThmgtNUQoDDIYtB2r=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–4 pm,9 am–3 pm,"https://www.google.com/maps/search/tire+service+in+Independence+MO/@39.0911161,-94.4155068,14z",2026-03-23T16:34:01.933Z,,,
https://www.google.com/maps/place/Greg%27s+Tire+Center/data=!4m7!3m6!1s0x87c0e2b49a159fcf:0x1804b0c9f8409f2b!8m2!3d39.06944!4d-94.413823!16s%2Fg%2F1tm8l2xv!19sChIJz58VmrTiwIcRK59A-MmwBBg,Greg's Tire Center,4.5,368,Tire shop,"1837 S Noland Rd, Independence, MO 64055, United States","3H9P+QF Independence, Missouri, USA",http://www.gregstire.com/,+1 816-254-3388,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerXjvXsOaFNzwWKcr0MXmr5A_wQQUNlX3AzL7vF-QAi_2td0i9e5Lwzc5IA_5zGw554frJ07Tl9Ue7cQWJ_oy9b41jm4ZP6qwJwljuVDMTR3sMZ1bw43NeGpp9dmijWJrqJ6caS=w426-h240-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–2 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Independence+MO/@39.0911161,-94.4155068,14z",2026-03-23T16:34:08.615Z,· In-store shopping · In-store pick-up,,
https://www.google.com/maps/place/Toro%E2%80%99s+Tire+Shop/data=!4m7!3m6!1s0x87c0fd909157f70d:0x3e4afe3dd22add51!8m2!3d39.080477!4d-94.4564631!16s%2Fg%2F11t3y68gpr!19sChIJDfdXkZD9wIcRUd0q0j3-Sj4,Toro’s Tire Shop,4.8,121,Tire shop,"10205 East 23rd St S, Independence, MO 64052, United States","3GJV+5C Independence, Missouri, USA",https://www.facebook.com/torostireshop,+1 816-517-4111,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepxJDqgnBmhvuArOX9_tU4oeQVIj6tz7fxM6m3nybbBzSim8LZsA8SjkOats1DvQqxuntiZwhMtkLQBrXq4_irUIFVmJjKqnsQxbVM-P5kYFkrq3jTor7CBLe9yLRUg6SxM1Pvw=w408-h306-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,10 am–6 pm,10 am–3 pm,"https://www.google.com/maps/search/tire+service+in+Independence+MO/@39.0911161,-94.4155068,14z",2026-03-23T16:34:15.012Z,· In-store shopping,LGBTQ+ friendly,
https://www.google.com/maps/place/Telle+Tire+%26+Auto+Centers+Independence/data=!4m7!3m6!1s0x87c0fd48d18bfcaf:0x907863d8dc49cb6b!8m2!3d39.0795439!4d-94.4135037!16s%2Fg%2F1tcv6vgg!19sChIJr_yL0Uj9wIcRa8tJ3NhjeJA,Telle Tire & Auto Centers Independence,4.6,1230,Tire shop,"200 East 23rd St S, Independence, MO 64055, United States","3HHP+RH Independence, Missouri, USA",https://www.telletire.com/locations/kansas-city/independence/,+1 816-252-2222,"Open · Closes 5:30 pm

Confirmed by this business 12 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAwerHXU7OEOMNh2kxHpUZ-fHvpgBGnIu2pD5db_p2LO9Uc53QAMpzz-EbqrB8E7VypQg7U6Pjsy_SmdM_yZCiLek3KSjTv1eJh5tI_PxuMrs4KAu4pnBQIh3wUzjLPSyK2IJgb2kO=w408-h725-k-no,false,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Independence+MO/@39.0911161,-94.4155068,14z",2026-03-23T16:34:20.230Z,· In-store pick-up,LGBTQ+ friendly,
https://www.google.com/maps/place/Boss+Juanito+Tire+Shop+and+Services/data=!4m7!3m6!1s0x87c103be4b02fe09:0xdc200610798b24c3!8m2!3d39.1019596!4d-94.4346453!16s%2Fg%2F11kbvyvrf7!19sChIJCf4CS74DwYcRwySLeRAGINw,Boss Juanito Tire Shop and Services,4.7,184,Tire repair shop,"1515 W US Hwy 24, Independence, MO 64050, United States","4H28+Q4 Independence, Missouri, USA",,+1 913-602-2664,Open · Closes 8 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo1R_1gb1tOshUszzsQ-FeF2DXaqIvuDbL2LvD92ANneOWaxwrVbWVA5lWYKBWRHaBy0mwS6wJ0PvydhobUovywsyAHDNmul3vHvK1SdPkp44G0maNfnieABOY7LwpXW5bsEaocYg=w408-h544-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,9 am–6 pm,"https://www.google.com/maps/search/tire+service+in+Independence+MO/@39.0911161,-94.4155068,14z",2026-03-23T16:34:25.569Z,,,
https://www.google.com/maps/place/Tire+City/data=!4m7!3m6!1s0x87c0fd51d4f177f5:0x9de2d5ee133149a9!8m2!3d39.079216!4d-94.4072952!16s%2Fg%2F1tx1tq8h!19sChIJ9Xfx1FH9wIcRqUkxE-7V4p0,Tire City,4.1,232,Tire shop,"630 East 23rd St S, Independence, MO 64055, United States","3HHV+M3 Independence, Missouri, USA",https://www.tiretown.com/,+1 816-836-8484,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoeABk1ZqEwanF2iNbFsLkchn_-7POiIY8PWHy9przyZrc4WWx0bBRZWMXbigITWyGcedkMqa_YrTP7CriPeNTCxlng64dnvkzQ3eWL32msKtSumWJhFfhQdvXt6Tvbl5iq1fF8=w408-h244-k-no,false,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Independence+MO/@39.0911161,-94.4155068,14z",2026-03-23T16:34:30.866Z,· In-store pick-up,,
https://www.google.com/maps/place/Discount+Tire/data=!4m7!3m6!1s0x87c102a977bb4853:0xd7177862156055c1!8m2!3d39.0780089!4d-94.3950545!16s%2Fg%2F11bx89x7pb!19sChIJU0i7d6kCwYcRwVVgFWJ4F9c,Discount Tire,4.4,1300,Tire shop,"1511 East 23rd St S, Independence, MO 64055, United States","3JH3+6X Independence, Missouri, USA",https://www.discounttire.com/store/mo/independence/s/2020,+1 816-859-7301,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweprd37dmtjoaZZO-0JjT2n1pwPUp8aMmQsw-93Kq-DyvY5VjK5varu_gkpcW3S_4nvGQx0Rw6C-nejMiAnVHoTstGFcBk7UBfCukqf2Tg0qhlrIdijZh4VfA-ZY4DIfKWEzc4Hi=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Independence+MO/@39.0911161,-94.4155068,14z",2026-03-23T16:34:36.123Z,· In-store shopping · Kerbside pickup,,
https://www.google.com/maps/place/Richline+Motorsports/data=!4m7!3m6!1s0x87c0fd034f50e781:0x6a9268f03491ac3!8m2!3d39.0783158!4d-94.3819991!16s%2Fg%2F12hnmh61n!19sChIJgedQTwP9wIcRwxpJA48mqQY,Richline Motorsports,4.4,1027,Tire shop,"16500 East 23rd St S, Independence, MO 64055, United States","3JH9+86 Independence, Missouri, USA",http://www.richlinemotorsports.com/,+1 816-461-0498,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepW-vggixewu4mutD2NdTeYsTkjiOYeNvFHGCZcvLhJK8LbcyezBALkjf9wEyxT3TljMl0aKverA4_SmTb2EPkKCYvajvBUC6rY7htALImHha04nwXwKrJCvJRkSSVKYMgFUBVG-IeS81DQ=w408-h306-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,10 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Independence+MO/@39.0911161,-94.4155068,14z",2026-03-23T16:34:41.210Z,· In-store shopping · Kerbside pickup,,
https://www.google.com/maps/place/Lube+Cube/data=!4m7!3m6!1s0x87c0fd4177b255cf:0x8278e15208e598c!8m2!3d39.0890916!4d-94.4137712!16s%2Fg%2F1hc1nvsy7!19sChIJz1Wyd0H9wIcRjFmOIBWOJwg,Lube Cube,4.9,504,Oil change service,"346 S Noland Rd, Independence, MO 64050, United States","3HQP+JF Independence, Missouri, USA",https://www.lubecubenoland.mechanicnet.com/,+1 816-886-2190,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq5tv-AfvgGCvFcYWGRymAUlisaZRm7CkzDI0z64_ieW0j1WX705Y2Ehdnv2diPPURp9yzzy598HHzBj0COIwglGOqBtKmzJEYA0vWVfm2gPTW7uRJet_rvtqBU6DcSgxXq1efn=w408-h307-k-no,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Independence+MO/@39.0911161,-94.4155068,14z",2026-03-23T16:34:46.363Z,,,
https://www.google.com/maps/place/Ryan%27s+Automotive+-+a+Main+Street+Auto+shop/data=!4m7!3m6!1s0x87c0fd30ebad6717:0x6e4adca8fc5717a1!8m2!3d39.0946089!4d-94.4435788!16s%2Fg%2F1tdmql17!19sChIJF2et6zD9wIcRoRdX_KjcSm4,Ryan's Automotive - a Main Street Auto shop,4.7,768,Auto repair shop,"11323 E Truman Rd, Independence, MO 64050, United States","3HV4+RH Independence, Missouri, USA",https://mainstreetauto.com/location/ryans-automotive/,+1 816-265-2175,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkViLnYtv95a3elKSB1C7fRLAb1mQl7g3hdF-Z6JbS7PEYf9T9HTm7G214TPpd1jLhj2kF-IuHgAoT1hKjY2tZq-W-3WkpXXKthi2tiDm05PVJeMZoV9BS5JHQLAREvfnNcL223O93QH4=w408-h268-k-no,true,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Independence+MO/@39.0911161,-94.4155068,14z",2026-03-23T16:34:51.763Z,,LGBTQ+ friendly,
