placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,info,error
https://www.google.com/maps/place/Sharks+Pools+of+Grand+Rapids/data=!4m7!3m6!1s0x2a7b9b436efefa0d:0xb801606c0b60da5b!8m2!3d42.9874729!4d-85.6939686!16s%2Fg%2F11t_j4v067!19sChIJDfr-bkObeyoRW9pgC2xgAbg,Sharks Pools of Grand Rapids,4.9,31,Swimming pool contractor,"1021 Crosby St NW, Grand Rapids, MI 49504, United States","X8P4+XC Grand Rapids, Michigan, USA",https://sharkspools.com/,+1 616-512-2420,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipO6DG-8_7j3j3OhzuZuX-b1v4ZfJwn-s-2hzZbG=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pool+services+businesses+in+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2025-10-27T19:40:56.725Z,,,
https://www.google.com/maps/place/Zagers+Pool+%26+Spa/data=!4m7!3m6!1s0x8819acf7415c83a5:0x86772ccc91e314a4!8m2!3d42.9860339!4d-85.6393265!16s%2Fg%2F1td0z283!19sChIJpYNcQfesGYgRpBTjkcwsd4Y,Zagers Pool & Spa,4.3,69,Swimming pool supply store,"1250 Fuller Ave NE, Grand Rapids, MI 49505, United States","X9P6+C7 Grand Rapids, Michigan, USA",https://zagerspoolspa.com/?utm_source=GMB&utm_medium=Organic&utm_campaign=Fuller,+1 616-458-6655,"Open ⋅ Closes 7 pm

Updated by this business 3 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMXZCgK46_QzCfBQC2Uaq_vkKk6UiZagtcJ3u0S=w408-h272-k-no,true,10 am–7 pm,10 am–5:30 pm,10 am–5:30 pm,10 am–5:30 pm,10 am–5:30 pm,10 am–3 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2025-10-27T19:41:03.286Z,· In-store shopping · In-store pick-up · Delivery,,
https://www.google.com/maps/place/Poseidon+Pool+Service/data=!4m7!3m6!1s0x8819a9589c87cfb3:0xb4e6f4f3cf546ae9!8m2!3d43.0031242!4d-85.6888821!16s%2Fg%2F11f_p31f85!19sChIJs8-HnFipGYgR6WpUz_P05rQ,Poseidon Pool Service,4.7,177,Swimming pool repair service,"2169 Alpine Ave NW, Walker, MI 49544, United States","2836+6C Walker, Michigan, USA",http://www.poseidongr.com/,+1 616-541-9111,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMIKVhfoTK1r4b6NkDawSczFPZxBygpkrXl2-cH=w426-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–12 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2025-10-27T19:41:09.487Z,,,
https://www.google.com/maps/place/Cove+Pools/data=!4m7!3m6!1s0x8818534808e24b6d:0x329bb49f9ff8fa6f!8m2!3d43.0430871!4d-85.6065021!16s%2Fg%2F1tf7srb8!19sChIJbUviCEhTGIgRb_r4n5-0mzI,Cove Pools,3.3,11,Swimming pool contractor,"4414 Plainfield Ave NE, Grand Rapids, MI 49525, United States","29VV+69 Grand Rapids, Michigan, USA",https://www.covepools.com/,+1 616-757-0127,Closes soon ⋅ 4 pm ⋅ Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipMF3Xbmf91ZwncA9mcEMvGdAudUwDOLxrBb30Mn=w426-h240-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2025-10-27T19:41:14.477Z,,,
https://www.google.com/maps/place/Jake+the+Pool+Man/data=!4m7!3m6!1s0x8819ae9b2dcc4d43:0xc011e948bcd99e2f!8m2!3d43.115515!4d-85.9714869!16s%2Fg%2F11clshkp85!19sChIJQ03MLZuuGYgRL57ZvEjpEcA,Jake the Pool Man,4.3,32,Swimming pool repair service,,,http://www.jakethepoolman.com/,+1 269-808-5275,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipP5MKasnE84B1PJ3qp2Maob8CQhYrvL7OudV6QX=w426-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2025-10-27T19:41:19.443Z,,,
"https://www.google.com/maps/place/Blue+Water+Pools+Of+Grand+Rapids,+Inc,/data=!4m7!3m6!1s0x8819a5634f29e8b7:0x2af660aba86b3bf9!8m2!3d42.9721801!4d-85.8245703!16s%2Fg%2F11fmd7mvqq!19sChIJt-gpT2OlGYgR-TtrqKtg9io","Blue Water Pools Of Grand Rapids, Inc,",4.5,40,Swimming pool contractor,"1600 Lake Michigan Dr NW, Grand Rapids, MI 49534, United States","X5CG+V5 Grand Rapids, Michigan, USA",http://bluewaterpoolsgr.com/,+1 616-735-5514,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNxF_LSdo0l5SZooSEI8p566tMhapcxVz_uIVQw=w439-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2025-10-27T19:41:24.496Z,,,
https://www.google.com/maps/place/Polynesian+Pool+%26+Spa/data=!4m7!3m6!1s0x8819ab6fd3009bf1:0x508cfd962efc34a3!8m2!3d43.0251493!4d-85.6309038!16s%2Fg%2F1tf16h68!19sChIJ8ZsA02-rGYgRozT8Lpb9jFA,Polynesian Pool & Spa,4.4,88,Swimming pool contractor,"3440 Plainfield Ave NE, Grand Rapids, MI 49525, United States","29G9+3J Grand Rapids, Michigan, USA",https://polynesianpoolandspa.com/,+1 616-363-4161,Open ⋅ Closes 7:30 pm,https://lh3.googleusercontent.com/p/AF1QipNVz3XOaWxQHgam-bkX2eh3Xw_iK2qg-6PgsbW9=w408-h306-k-no,true,9 am–7:30 pm,9 am–7:30 pm,9 am–7:30 pm,9 am–7:30 pm,9 am–7:30 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2025-10-27T19:41:29.719Z,,,
"https://www.google.com/maps/place/Acme+Pool+Construction,+Inc./data=!4m7!3m6!1s0x8819a5df118d79f9:0x6786d524befff283!8m2!3d43.0180208!4d-85.790891!16s%2Fg%2F11f0wlw3vj!19sChIJ-XmNEd-lGYgRg_L_viTVhmc","Acme Pool Construction, Inc.",4.9,33,Swimming pool contractor,"O, 13749 Ironwood Dr NW, Grand Rapids, MI 49534, United States","2695+6J Grand Rapids, Michigan, USA",http://www.acmepoolgr.com/,+1 616-677-7665,Closes soon ⋅ 4 pm ⋅ Opens 9 am Tue,https://lh3.googleusercontent.com/p/AF1QipNmLcmi7U9IbNKxRoDVjv5txEmyfiHIEMRJBH8m=w408-h272-k-no,true,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2025-10-27T19:41:34.905Z,,,
https://www.google.com/maps/place/Abstract+Pool+Services/data=!4m7!3m6!1s0x692f387afb0c9331:0x6f5a52adf62bba94!8m2!3d43.0002935!4d-98.0932546!16s%2Fg%2F11vbzrfyg2!19sChIJMZMM-3o4L2kRlLor9q1SWm8,Abstract Pool Services,5.0,15,Pool cleaning service,,,http://www.abstractpoolservice.com/,+1 269-290-1179,Open ⋅ Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipP6MF9AAy2MaC66FaZV8o8TFtJcBeYV4PTWTAWb=w408-h306-k-no,true,10 am–8 pm,10 am–8 pm,10 am–8 pm,10 am–8 pm,10 am–8 pm,10 am–8 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2025-10-27T19:41:39.958Z,,,
https://www.google.com/maps/place/Maverick+Pools/data=!4m7!3m6!1s0x8819ab42c1834d47:0xfc57532212af4cd7!8m2!3d43.0563817!4d-85.5811707!16s%2Fg%2F11tsq50j7s!19sChIJR02DwUKrGYgR10yvEiJTV_w,Maverick Pools,4.7,12,Swimming pool contractor,"5167 Northland Dr NE, Grand Rapids, MI 49525, United States","3C49+HG Grand Rapids, Michigan, USA",https://www.maverickpoolsmi.com/,+1 616-747-5055,"Open ⋅ Closes 5 pm

Confirmed by this business 1 week ago",https://lh3.googleusercontent.com/p/AF1QipMzdalu49bQuezjsBOrWfgHYDpjhrk7sPz8yNRb=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2025-10-27T19:41:44.971Z,,,
