placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/Cockerell+%26+McIntosh+Pediatrics+-+an+affiliate+of+Children%27s+Mercy/data=!4m7!3m6!1s0x87c0fcdc4afbc52b:0x22da5f1c209378fc!8m2!3d39.0878432!4d-94.445615!16s%2Fg%2F1v3dsn9t!19sChIJK8X7Stz8wIcR_HiTIBxf2iI,Cockerell & McIntosh Pediatrics - an affiliate of Children's Mercy,3.6,107,Pediatrician,"11200 E Winner Rd, Independence, MO 64052, United States","3HQ3+4Q Independence, Missouri, USA",http://www.cmpeds.com/,+1 816-228-4770,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoi1VjUwaSNEspcydZsl77ny5sDmtJwHPB6pzS-Gcnb5kZuIsy_XZRuo1c8tnKxNqOlLBkUexUAz-q7EYKPqorUHsVkchNChEtU7jjMQjuOknKPH7DmEUkNTQ9IJzoyqVDaP_s=w426-h240-k-no,true,8 am–5 pm,8 am–7:30 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–7:30 pm,"https://www.google.com/maps/search/pediatrician+in+Independence+MO/@39.0911161,-94.4155068,14z",2026-02-10T23:03:02.170Z,,,,
https://www.google.com/maps/place/Independence+Pediatrics+%2F+Lee%E2%80%99s+summit+pediatrics+%28Independence+office+of+Independence+pediatrics%29/data=!4m7!3m6!1s0x87c11d07424cef33:0x7c5b206d717f84e9!8m2!3d39.0322896!4d-94.3625299!16s%2Fg%2F1tfcj8jb!19sChIJM-9MQgcdwYcR6YR_cW0gW3w,Independence Pediatrics / Lee’s summit pediatrics (Independence office of Independence pediatrics),3.4,214,Medical clinic,"S Cochise Dr Suite 100, Independence, MO 64055, United States","2JJP+WX Independence, Missouri, USA",http://www.lspeds.com/,+1 816-373-1111,Closes soon · 6 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipNIRXMYEEX5W4_kcGDwEELAI6xKRkUQJDtlQEvJ=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,8:30 am–1:30 pm,Closed,8 am–6 pm,"https://www.google.com/maps/search/pediatrician+in+Independence+MO/@39.0911161,-94.4155068,14z",2026-02-10T23:03:07.721Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Independence+Pediatrics:+Steffen+James+MD/data=!4m7!3m6!1s0x87c11d07424cef33:0x3930b0ad26a95ffe!8m2!3d39.032275!4d-94.3627392!16s%2Fg%2F1vv2srw9!19sChIJM-9MQgcdwYcR_l-pJq2wMDk,Independence Pediatrics: Steffen James MD,3.8,13,Pediatrician,"4731 S Cochise Dr # 100, Independence, MO 64055, United States","2JJP+WW Independence, Missouri, USA",https://www.lspeds.com/,+1 816-373-1111,Closed · Opens 8 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pNhTMIA9C82VUR0uR_1XZg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=93.44914&pitch=0&thumbfov=100,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Independence+MO/@39.0911161,-94.4155068,14z",2026-02-10T23:03:12.960Z,,,,
https://www.google.com/maps/place/Sweet+Tooth+Pediatric+Dentistry+%26+Orthodontics/data=!4m7!3m6!1s0x87c0fd32a00ae79b:0xd5061ccad8f4d950!8m2!3d39.0871593!4d-94.4140682!16s%2Fg%2F11w7d2xxml!19sChIJm-cKoDL9wIcRUNn02MocBtU,Sweet Tooth Pediatric Dentistry & Orthodontics,4.9,177,Pediatric dentist,"514 S Noland Rd STE 130, Independence, MO 64050, United States","3HPP+V9 Independence, Missouri, USA",https://www.sweettoothpdo.com/locations/independence,+1 816-205-4046,Closed · Opens 7:30 am Wed,https://lh3.googleusercontent.com/p/AF1QipNhwvZnOwashey5G8kWq7QnpUISR6egnJXFWHhj=w457-h240-k-no,true,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–12:30 pm,Closed,Closed,7:30 am–4:30 pm,"https://www.google.com/maps/search/pediatrician+in+Independence+MO/@39.0911161,-94.4155068,14z",2026-02-10T23:03:17.822Z,,,,
https://www.google.com/maps/place/Beck+Annette+MD/data=!4m7!3m6!1s0x87c0fcdc4afbc52b:0x830129c8935e5c32!8m2!3d39.0878529!4d-94.4456694!16s%2Fg%2F1tx4pwsw!19sChIJK8X7Stz8wIcRMlxek8gpAYM,Beck Annette MD,5.0,1,Pediatrician,"11200 E Winner Rd, Independence, MO 64052, United States","3HQ3+4P Independence, Missouri, USA",,+1 816-228-4770,Closed · Opens 8 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QApLKJ74U-mzwjNOjrPVhQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=10.882353&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–7:30 pm,"https://www.google.com/maps/search/pediatrician+in+Independence+MO/@39.0911161,-94.4155068,14z",2026-02-10T23:03:22.523Z,,,,
"https://www.google.com/maps/place/Dr.+Thomas+A.+Seck,+DO/data=!4m7!3m6!1s0x87c11ce69ccbf081:0x1757cf29e958b1b8!8m2!3d39.0477051!4d-94.3494657!16s%2Fg%2F1hc5d54hb!19sChIJgfDLnOYcwYcRuLFY6SnPVxc","Dr. Thomas A. Seck, DO",5.0,2,Pediatrician,"19600 East 39th St S, Independence, MO 64057, United States",,,+1 816-698-7000,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=skjWxNkR7f2gXGUgozQVyQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=202.68504&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Independence+MO/@39.0911161,-94.4155068,14z",2026-02-10T23:03:25.294Z,,,,
https://www.google.com/maps/place/Sheela+Ananth/data=!4m7!3m6!1s0x87c11d07424cef33:0x6d2d2754febdad7f!8m2!3d39.032275!4d-94.3627392!16s%2Fg%2F1v7tlxgd!19sChIJM-9MQgcdwYcRf629_lQnLW0,Sheela Ananth,4.3,21,Pediatrician,"Cliffside professional building, 4731 S Cochise Dr Suite 200, Independence, MO 64055, United States","2JJP+WW Independence, Missouri, USA",https://www.hcamidwest.com/physicians/profile/Dr-Sheela-Ananth-MD,+1 816-373-1111,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pNhTMIA9C82VUR0uR_1XZg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=93.44914&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Independence+MO/@39.0911161,-94.4155068,14z",2026-02-10T23:03:27.819Z,,,,
"https://www.google.com/maps/place/Dr.+James+K.+Mcentire,+DO/data=!4m7!3m6!1s0x87c11ce69ccbf081:0x7bce6546b1bd78c6!8m2!3d39.0494374!4d-94.3488139!16s%2Fg%2F1hc6th0y8!19sChIJgfDLnOYcwYcRxni9sUZlzns","Dr. James K. Mcentire, DO",5.0,2,Pediatrician,"19600 East 39th St S, Independence, MO 64057, United States","2MX2+QF Independence, Missouri, USA",,+1 816-698-7000,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerJU7dvBoZOc85JbcvRKBpUtPs0RC2wl2RGgcLLe-shBqrB4tlmonDULx3yEkZEJUSraxVfTkMZ7P2U5Eohn7K_509eUiCv95U0vXCIe-Ro5dIpHQClNRJobFjS6myIX0kMDfgQ9A=w408-h243-k-no,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Independence+MO/@39.0911161,-94.4155068,14z",2026-02-10T23:03:30.371Z,,,,
https://www.google.com/maps/place/Children%27s+Mercy+East/data=!4m7!3m6!1s0x87c11cf44486c1d5:0x7438f82110dfad69!8m2!3d39.0358879!4d-94.3391008!16s%2Fg%2F11xk8x0r2!19sChIJ1cGGRPQcwYcRaa3fECH4OHQ,Children's Mercy East,3.9,213,Urgent care center,"20300 E Valley View Pkwy, Independence, MO 64057, United States","2MP6+99 Independence, Missouri, USA",https://www.childrensmercy.org/locations/childrens-mercy-east/,+1 816-478-5200,Open · Closes 9 pm,https://lh3.googleusercontent.com/p/AF1QipPehMqQVdUixr1tftQg6wquZpi9L5Sj7tn8JnzU=w408-h272-k-no,true,11 am–9 pm,11 am–9 pm,11 am–9 pm,11 am–9 pm,11 am–9 pm,11 am–9 pm,11 am–9 pm,"https://www.google.com/maps/search/pediatrician+in+Independence+MO/@39.0911161,-94.4155068,14z",2026-02-10T23:03:35.482Z,,,,
https://www.google.com/maps/place/Dr.+Brook+Campbell/data=!4m7!3m6!1s0x87c0fcdc4c500001:0x6c2b6f3f09c788ec!8m2!3d39.0878529!4d-94.4456694!16s%2Fg%2F11rwxfk203!19sChIJAQBQTNz8wIcR7IjHCT9vK2w,Dr. Brook Campbell,,,Pediatrician,"11200 E Winner Rd, Independence, MO 64052, United States","3HQ3+4P Independence, Missouri, USA",http://www.cmpeds.com/,+1 816-228-1156,Closed · Opens 8 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QApLKJ74U-mzwjNOjrPVhQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=10.882353&pitch=0&thumbfov=100,false,8 am–4:30 pm,8 am–8 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–7:30 pm,"https://www.google.com/maps/search/pediatrician+in+Independence+MO/@39.0911161,-94.4155068,14z",2026-02-10T23:03:40.184Z,,,,
