placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,isBlackOwned,info,error,attributes
https://www.google.com/maps/place/ServiceMaster+DSI+-+Springfield/data=!4m7!3m6!1s0x887530f3d4ee6c9b:0x3f8d7fd3c3df42cd!8m2!3d39.8424964!4d-89.595342!16s%2Fg%2F12603qw2d!19sChIJm2zu1PMwdYgRzULfw9N_jT8,ServiceMaster DSI - Springfield,4.8,80,Water damage restoration service,"2831 Farmers Market Rd, Springfield, IL 62707, United States","RCR3+XV Springfield, Illinois, USA",http://www.servicemasterrestore.com/servicemaster-restoration-by-dsi-springfield-illinois,+1 217-286-1483,"Open 24 hours

Confirmed by this business 12 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweppfUI4chg-LCNvx56o8HMvZEH72v22BnFGCKI_wTKNJY-bN14NoE1htizBMqX8YwowxG36fCFHvEcG7_QP4NhBpmCNU9oDcUb0scGKtwLbK4BRackWsYVkvUo08CX7SKHKT-sx=w630-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T05:39:38.989Z,,,,
"https://www.google.com/maps/place/SERVPRO+of+Springfield+and+Sangamon,+Morgan,+Cass,+Macoupin,+Montgomery+Counties/data=!4m7!3m6!1s0x8875306755a8d229:0x1edb548fa708a3a4!8m2!3d39.8347171!4d-89.5818349!16s%2Fg%2F1tcv_51p!19sChIJKdKoVWcwdYgRpKMIp49U2x4","SERVPRO of Springfield and Sangamon, Morgan, Cass, Macoupin, Montgomery Counties",4.7,134,Water damage restoration service,"2450 Colt Rd, Springfield, IL 62707, United States","RCM9+V7 Springfield, Illinois, USA",https://www.servpro.com/locations/il/servpro-of-springfield-and-sangamon-morgan-cass-macoupin-montgomery-counties?utm_medium=organic&utm_source=gbp,+1 217-528-7775,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq-d2lufQ7w6mhZKTP0D5nmsOLieZtgJD0mhURwSekzPD12pvnL74e3x7bo6oyP3gGpdR1Sbj9b3hLCIP2eTH_qF8PNlrvSeDuKkjDezxUVOE_95WRQUpFwXKn4FoR2zeofv59VEnzWpjVq=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T05:39:44.503Z,,,,
"https://www.google.com/maps/place/Black+Mold+Removal+Professionals+of+Springfield,+IL/data=!4m7!3m6!1s0x88753f9aa4d1e217:0x3284306ff2a2087a!8m2!3d39.8171678!4d-89.6484467!16s%2Fg%2F11fb0_4l1g!19sChIJF-LRpJo_dYgRegii8m8whDI","Black Mold Removal Professionals of Springfield, IL",4.3,18,Water damage restoration service,"516 E McClernand Ave, Springfield, IL 62702, United States","R982+VJ Springfield, Illinois, USA",,+1 217-825-9471,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqsdwVKL4JpVcrnU1tGzocbQlPretofFXKFskeFnegp_eWt1MX65jJiyCs_7WyuLUFnyWubJqqJnK25XPXod4V2mDU6DL1CPmrFqX0Uc_yq3FOUCxMyH9l40nABqkujbDUl5Up8MAypaVrp=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T05:39:49.669Z,,,,
https://www.google.com/maps/place/Vital+Restoration/data=!4m7!3m6!1s0x8875474f35f22687:0x56fa3c1337a100dc!8m2!3d39.7435554!4d-89.7143452!16s%2Fg%2F1hc46th2c!19sChIJhybyNU9HdYgR3AChNxM8-lY,Vital Restoration,5.0,26,Water damage restoration service,"3151 Greenhead Dr B, Springfield, IL 62711, United States","P7VP+C7 Springfield, Illinois, USA",https://www.vitalrestoration.com/locations/springfield-il/,+1 217-679-0254,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepHsFZfS0inzzxrXOVVSurPE5tPbzw3z9L0dRexVL_UfdrhiJ0_p4r2v-Dz0LnY2SZy2Y-dhA6-wTD23g2B-nWM32W9CxHWzVcnYKpVKTtz-UohmbUeehR5TZj_lziAmF0yjcW0sw=w408-h270-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T05:39:54.488Z,,,,
https://www.google.com/maps/place/Peerless+Cleaning+%26+Restoration+Services/data=!4m7!3m6!1s0x887539b04ea4747f:0x1f0dc60c5e623c89!8m2!3d39.7867041!4d-89.655804!16s%2Fg%2F1ptx3kyhv!19sChIJf3SkTrA5dYgRiTxiXgzGDR8,Peerless Cleaning & Restoration Services,5.0,42,Water damage restoration service,"128 S Grand Ave W, Springfield, IL 62704, United States","Q8PV+MM Springfield, Illinois, USA",http://www.peerlessrestoration.com/,+1 217-787-0725,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq46MdSzj1OYRT7S3rRECdybUZANQ_KEscQiW3-L44HhfIiwSkFMLVkGXuFSTw3rj5WCu4dqQyuwphMAVYSuwJ5a2S8ODh7183dj3HSuUim8-rUhhOJ_r_UzRmz1eR__JCqPt8P=w474-h240-k-no,true,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T05:39:59.357Z,,,,
https://www.google.com/maps/place/Pro+Bid+LLC/data=!4m7!3m6!1s0x88753934490efb2b:0xb165dcbb659c71ae!8m2!3d39.8038231!4d-89.6686143!16s%2Fg%2F11sk7vhx55!19sChIJK_sOSTQ5dYgRrnGcZbvcZbE,Pro Bid LLC,4.9,67,Roofing contractor,"223 N MacArthur Blvd, Springfield, IL 62702, United States","R83J+GH Springfield, Illinois, USA",https://www.probidconstruction.com/,+1 217-971-7555,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepeBsU15D25uv2nGieZFlWpPOOEC4KgBmW98_vVxKqFAeWwgIzAM4svSSAIp_kg2U4ORCh6yVVw6Ml4Nz5MyEC5f3Arjx2r5L4YUNu43p9LM8slBaHXCAG3naXPe0gCj-1No6o6=w425-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T05:40:04.223Z,,,,
https://www.google.com/maps/place/BrightRoot+Repair/data=!4m7!3m6!1s0x887547ae29244021:0x1640a2d7c1b8b072!8m2!3d39.7560744!4d-89.7134693!16s%2Fg%2F11m_7rhqz3!19sChIJIUAkKa5HdYgRcrC4wdeiQBY,BrightRoot Repair,,,Water damage restoration service,"3301 Robbins Rd, Springfield, IL 62704, United States","Q74P+CJ Springfield, Illinois, USA",https://brightrootrepair.shop/,+1 773-340-7001,"Open 24 hours

Confirmed by this business 7 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JUKTL88O48McVKAP7hVxkg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=155.98187&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T05:40:08.755Z,,,,
https://www.google.com/maps/place/Stanley+Steemer/data=!4m7!3m6!1s0x88753a3dcfc3241b:0x1944ac0ab4ee994f!8m2!3d39.7940243!4d-89.6116073!16s%2Fg%2F1tfx5n94!19sChIJGyTDzz06dYgRT5nutAqsRBk,Stanley Steemer,4.8,954,Carpet cleaning service,"2837 Singer Ave, Springfield, IL 62703, United States","Q9VQ+J9 Springfield, Illinois, USA",https://www.stanleysteemer.com/locations/IL/Springfield/499,+1 217-788-6680,Closed · Opens 8 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq37MTh0oZDD-BpLkI6LreXGn5oOVO9E45P6JIBsHFDMDJ-zUgI13NnByxYuzVcPtYQ3kRlpgZmxYtNDVKnHj5TecBM2U_E9N2opRRZLKRgiEiAf_2iD6cT37YOI277JOs7b5Sx=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T05:40:13.821Z,,,,
"https://www.google.com/maps/place/Stabilize,+Inc./data=!4m7!3m6!1s0x8875382d465e9905:0x484c3a14512f4605!8m2!3d39.7646806!4d-89.6208041!16s%2Fg%2F1tfd34jy!19sChIJBZleRi04dYgRBUYvURQ6TEg","Stabilize, Inc.",3.3,7,Water damage restoration service,"2901 Stanton St, Springfield, IL 62703, United States","Q97H+VM Springfield, Illinois, USA",,+1 217-525-6653,Closed · Opens 7 am,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=g2OBw0-SdaGPeCX7338V2g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=273.31696&pitch=0&thumbfov=100,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,8 am–12 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T05:40:18.697Z,,,,
https://www.google.com/maps/place/Greentree+Waterproofing/data=!4m7!3m6!1s0x887539f0e515c005:0x4bafcf895a989925!8m2!3d39.8042337!4d-89.6312108!16s%2Fg%2F1tx8tzb8!19sChIJBcAV5fA5dYgRJZmYWonPr0s,Greentree Waterproofing,4.6,32,Waterproofing service,"300 N 17th St, Springfield, IL 62702, United States","R939+MG Springfield, Illinois, USA",http://greentreewaterproofing.com/,+1 217-525-2224,Closed · Opens 8 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoaUBaoPaKfnFSBt1-uPXC0TYV7UpaZ_gTa_hAMyL5h698ygWfVlsdW-ohEA-H_f1a7bMYwkDNqkWT29j5vMlmGELXUQn6qwmppy3rTCoencKcjTcQaNASqqY-Dpp8ODoUUdHTkOhwDAueL=w408-h304-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T05:40:23.480Z,true,,,
https://www.google.com/maps/place/All-Pro+Floor+Care/data=!4m7!3m6!1s0x88753a407cf42aa7:0xd5ef28cce4dfd5b8!8m2!3d39.7935259!4d-89.6080573!16s%2Fg%2F113hfcjgm!19sChIJpyr0fEA6dYgRuNXf5Mwo79U,All-Pro Floor Care,4.9,65,Carpet cleaning service,"824 Commercial St, Springfield, IL 62703, United States","Q9VR+CQ Springfield, Illinois, USA",https://allprofloorcare.com/,+1 217-528-4318,Closed · Opens 8 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoF6ucPRqI09FIuFtcOlVGB1wVIYabhvi1S0OjD1bsmwgXpWvZ2m9MPweCWdVvm7DXeC5y31WHvyGWYZTxT8qxD5CazIcADB3pY0qAdjKjwJskl6St0UAHwbNQjBPtU_e1z_d8=w408-h270-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T05:40:28.287Z,,,,
"https://www.google.com/maps/place/Repair+Masters'+Construction/@39.828136,-89.5547018,17z/data=!3m1!4b1!4m6!3m5!1s0x8875384dc0c889b9:0xeef0c85c28a1beba!8m2!3d39.828136!4d-89.5547018!16s%2Fg%2F11bbrp63yt",Repair Masters' Construction,3.8,18,General contractor,"5150 Old Rte 36, Springfield, IL 62707, United States","RCHW+74 Springfield, Illinois, USA",http://www.repairmastersconstruction.com/,+1 217-753-4482,Closed · Opens 8 am,,false,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T05:40:35.081Z,,,,
https://www.google.com/maps/place/Parkland+Environmental+Group+Inc/data=!4m7!3m6!1s0x88753a024469ed9d:0xbb446f3b21ebd09b!8m2!3d39.8184701!4d-89.6257699!16s%2Fg%2F1tg4m3vs!19sChIJne1pRAI6dYgRm9DrITtvRLs,Parkland Environmental Group Inc,5.0,6,Asbestos testing service,"1333 N Wheeler Ave, Springfield, IL 62702, United States","R99F+9M Springfield, Illinois, USA",https://www.parklandenvgroup.com/,+1 217-525-2935,Closed · Opens 8 am,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qH48FtuCKs8eqxD6ScBOGg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=150.47357&pitch=0&thumbfov=100,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T05:40:39.997Z,,,,
https://www.google.com/maps/place/Foundation+Recovery+Systems/data=!4m7!3m6!1s0x887547aea5fc70db:0x77a6b5612d4e7683!8m2!3d39.7919623!4d-89.7054506!16s%2Fg%2F11y8t4plkb!19sChIJ23D8pa5HdYgRg3ZOLWG1pnc,Foundation Recovery Systems,4.6,48,Waterproofing service,"917 Clocktower Dr Suite 220, Springfield, IL 62704, United States","Q7RV+QR Springfield, Illinois, USA",https://www.foundationrecoverysystems.com/meet-the-team/springfield-il-sat/?utm_source=google&utm_medium=organic&utm_campaign=gmb_frs-spi,+1 417-922-4488,Closed · Opens 6 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerMyPjGmvCd44-dL8sVu6aFl2FYjeamSuqobFofuXmBC9Pp1vdFKBuK3HTwbLva-jsjT9nFqCjo1hzF7zEreZhtg-BJbNorporTDTnWd-_ZHHSEQXj90ygrnPTbEOJpFAey3RT4pA=w546-h240-k-no,true,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,7 am–10 pm,9 am–10 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T05:40:44.937Z,,,,
https://www.google.com/maps/place/Precision+All+Out+Customs+and+Restorations/data=!4m7!3m6!1s0x887539ba9b935c6f:0xc6cf75a676a492e5!8m2!3d39.7866755!4d-89.6524962!16s%2Fg%2F1q6jbvv0z!19sChIJb1yTm7o5dYgR5ZKkdqZ1z8Y,Precision All Out Customs and Restorations,4.9,299,Auto restoration service,"230 S Grand Ave E, Springfield, IL 62704, United States","Q8PX+M2 Springfield, Illinois, USA",https://precisiondetailing1.com/,+1 217-503-9500,Closed · Opens 8 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep50pKNvc-EsHMkNww0qKvdD8Ngtalw3HVJ92iwlaDmmoY8-9TnqAumdUXGWXd062OjsT6EAn-Smg99AQI-J31X6jDojdo2JtKziFiJlC6NUBGGBsaXnHNudjtcS8DfTHklrrEqiw=w408-h324-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T05:40:49.836Z,,,,
https://www.google.com/maps/place/Chris+Woods+Drywall+%26+Painting/data=!4m7!3m6!1s0xa020e570283a8db:0x10646aa4d1dab7c6!8m2!3d39.6783405!4d-89.8137415!16s%2Fg%2F11rx4mgnrq!19sChIJ26iDAlcOAgoRxrfa0aRqZBA,Chris Woods Drywall & Painting,4.9,7,Dry wall contractor,,,https://chriswoodsdrywall.com/,+1 217-306-0127,Closed · Opens 7 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqAVrtx0hpaMFGjGxY3jmM7BpCEEnJvbSUdXxILWI0b8qKIuqZdqG5xZG1hupfqDJ9zE0kIh6w133y0U2A8DIm5IqyzqpPkH49NCeIUhPkaq-CXgmgsSf2sLNpn2MZDz9lpZ2X5Sg=w476-h240-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-03-23T05:40:54.725Z,,,,
