placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,info,tuesday,wednesday,thursday,friday,saturday,sunday,monday,isBlackOwned,error
https://www.google.com/maps/place/UTMB+Division+of+Vascular+Surgery+and+Endovascular+Therapy/data=!4m7!3m6!1s0x863f9e37bf0bc0f1:0xfb1d7ea934a70289!8m2!3d29.3109299!4d-94.7759142!16s%2Fg%2F12lsmxy05!19sChIJ8cALvzeeP4YRiQKnNKl-Hfs,UTMB Division of Vascular Surgery and Endovascular Therapy,5.0,1,Surgical center,"301 University Blvd, Galveston, TX 77555, United States","866F+9J Galveston, Texas, USA",,+1 409-772-6366,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=awGskzWxpraq-gW0lWGvBg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=168.71846&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/vein+clinics+in+Galveston+Galveston+TX/@29.3012309,-94.7950151,14z",2025-12-16T22:18:40.365Z,,,,,,,,,,
https://www.google.com/maps/place/So+Vein+Therapies/data=!4m7!3m6!1s0x863f9d7c79d4bf27:0x640cc9ab09351347!8m2!3d29.2741647!4d-94.8201903!16s%2Fg%2F11sd1kmbz_!19sChIJJ7_UeXydP4YRRxM1CavJDGQ,So Vein Therapies,4.9,77,Spa and health club,"2910 53rd St, Galveston, TX 77551, United States","75FH+MW Galveston, Texas, USA",https://www.sovein.vip/,+1 409-216-0358,,https://lh3.googleusercontent.com/p/AF1QipPi9m1dz38J-YKpp_fEzTWRMAFLvqa9z-Qwhs6y=w408-h306-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Galveston+Galveston+TX/@29.3012309,-94.7950151,14z",2025-12-16T22:18:45.650Z,Identifies as women-owned,,,,,,,,,
"https://www.google.com/maps/place/UTMB+Health+Vascular+Surgery,+UHC+Galveston/data=!4m7!3m6!1s0x863f9e3793d97f51:0x15d5944eb974872c!8m2!3d29.311451!4d-94.7784626!16s%2Fg%2F11bbrmx__n!19sChIJUX_ZkzeeP4YRLId0uU6U1RU","UTMB Health Vascular Surgery, UHC Galveston",,,Vascular surgeon,"1005 Harborside Dr 5th Floor, Galveston, TX 77555, United States","866C+HJ Galveston, Texas, USA",https://www.utmbhealth.com/services/vascular-surgery,+1 409-772-6787,Closes soon · 5 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipPEpVRG-hT1BMa8k810uX8j6ynWE-ljeT8b-Ds=w408-h306-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Galveston+Galveston+TX/@29.3012309,-94.7950151,14z",2025-12-16T22:18:50.351Z,,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,,
https://www.google.com/maps/place/Serenity+Dermatology/data=!4m7!3m6!1s0x863f9dce61b1c981:0xc62cdd321ddb7894!8m2!3d29.300783!4d-94.7879086!16s%2Fg%2F11c3kdf3br!19sChIJgcmxYc6dP4YRlHjbHTLdLMY,Serenity Dermatology,4.6,77,Dermatologist,"1917 Broadway Avenue J, Galveston, TX 77550, United States","8626+8R Galveston, Texas, USA",http://www.serenitydermatology.com/,+1 409-996-9159,Closes soon · 5 pm · Opens 9 am Wed,https://lh3.googleusercontent.com/p/AF1QipP5NhVkoahUHdUVXsKoQ_NaxWrCIjqEXw5kdToZ=w408-h272-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Galveston+Galveston+TX/@29.3012309,-94.7950151,14z",2025-12-16T22:18:55.600Z,,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,,
"https://www.google.com/maps/place/Dr.+Michael+B.+Silva+Jr,+MD/data=!4m7!3m6!1s0x863f9e37bf0bc0f1:0x4c81806c90a7fe44!8m2!3d29.3107498!4d-94.7758738!16s%2Fg%2F1vfn70jc!19sChIJ8cALvzeeP4YRRP6nkGyAgUw","Dr. Michael B. Silva Jr, MD",5.0,1,Surgeon,"301 University Blvd, Galveston, TX 77555, United States","866F+7M Galveston, Texas, USA",,+1 409-772-1011,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=awGskzWxpraq-gW0lWGvBg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=168.82217&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/vein+clinics+in+Galveston+Galveston+TX/@29.3012309,-94.7950151,14z",2025-12-16T22:18:58.341Z,,,,,,,,,,
"https://www.google.com/maps/place/Dr.+Charlie+C.+Cheng,+MD/data=!4m7!3m6!1s0x863f9e37bf0bc0f1:0x9f7af4012bd5289!8m2!3d29.3107498!4d-94.7758738!16s%2Fg%2F1tdblcgm!19sChIJ8cALvzeeP4YRiVK9EkCv9wk","Dr. Charlie C. Cheng, MD",,,Vascular surgeon,"301 University Blvd, Galveston, TX 77555, United States","866F+7M Galveston, Texas, USA",http://www.utmb.edu/,+1 409-772-1011,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=awGskzWxpraq-gW0lWGvBg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=168.82217&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/vein+clinics+in+Galveston+Galveston+TX/@29.3012309,-94.7950151,14z",2025-12-16T22:19:00.859Z,,,,,,,,,,
"https://www.google.com/maps/place/UTMB+Health+Family+Medicine,+PCP+Galveston/data=!4m7!3m6!1s0x863f9e36a8d29f81:0xa391834b925d7de7!8m2!3d29.314823!4d-94.774655!16s%2Fg%2F1vwlphz_!19sChIJgZ_SqDaeP4YR531dkkuDkaM","UTMB Health Family Medicine, PCP Galveston",4.7,11,Medical clinic,"400 Harborside Dr Suite 104, Entrance A, Galveston, TX 77555, United States","867G+W4 Galveston, Texas, USA",https://www.utmbhealth.com/servicelines/primarycare/family-medicine-galveston-island-east,+1 409-772-2166,Closes soon · 5 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipO50_VySRkoAxz4d1D0IAZNMZnx1DRlOgoSio92=w408-h271-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Galveston+Galveston+TX/@29.3012309,-94.7950151,14z",2025-12-16T22:19:05.933Z,,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,,
https://www.google.com/maps/place/UTMB+Health+Primary+Care+Pavilion/data=!4m7!3m6!1s0x863f9e36a8d29f81:0x456cead85dde341e!8m2!3d29.314823!4d-94.774655!16s%2Fg%2F1hc0t794v!19sChIJgZ_SqDaeP4YRHjTeXdjqbEU,UTMB Health Primary Care Pavilion,3.7,24,Medical clinic,"400 Harborside Dr, Galveston, TX 77550, United States","867G+W4 Galveston, Texas, USA",http://www.utmbhealth.com/pavilion,+1 800-917-8906,Closes soon · 5 pm · Opens 7:30 am Wed,https://lh3.googleusercontent.com/p/AF1QipM35U4kfpJGL4CXKd5BtmBRNqeRDug7b5Bnde8S=w408-h271-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Galveston+Galveston+TX/@29.3012309,-94.7950151,14z",2025-12-16T22:19:11.022Z,,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,7:30 am–5 pm,,
"https://www.google.com/maps/place/UTMB+Health+Family+Medicine,+Galveston/data=!4m7!3m6!1s0x863f9c4f668016f3:0xef3820031c714e7c!8m2!3d29.273106!4d-94.838126!16s%2Fg%2F1q62kc5td!19sChIJ8xaAZk-cP4YRfE5xHAMgOO8","UTMB Health Family Medicine, Galveston",3.3,27,Medical clinic,"6710 Stewart Rd #100, Galveston, TX 77551, United States","75F6+6P Galveston, Texas, USA",https://www.utmbhealth.com/servicelines/primarycare/family-medicine-galveston-island-west,+1 409-744-4030,Closes soon · 5 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipPRHE_bC3ws48EddBcp-RhEwnZA0xhT5dTMXKZk=w408-h283-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Galveston+Galveston+TX/@29.3012309,-94.7950151,14z",2025-12-16T22:19:16.076Z,,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,,
https://www.google.com/maps/place/Amici+Aesthetics+Galveston/data=!4m7!3m6!1s0x863f9fc58b13983f:0x50d7afe452d8a1f!8m2!3d29.3010203!4d-94.7918384!16s%2Fg%2F11l6_5j532!19sChIJP5gTi8WfP4YRH4otRf56DQU,Amici Aesthetics Galveston,5.0,108,Medical spa,"2219 Sealy Ave, Galveston, TX 77550, United States","8625+C7 Galveston, Texas, USA",https://www.amicilaser.com/,+1 832-206-4418,Closed · Opens 9 am Wed,https://lh3.googleusercontent.com/p/AF1QipP__GYJrPXUmAqPHCUiUl-Xa_Rf1a4TKjM0u8o-=w408-h544-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Galveston+Galveston+TX/@29.3012309,-94.7950151,14z",2025-12-16T22:19:20.985Z,LGBTQ+ friendly,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,Closed,9 am–4 pm,,
