placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,isBlackOwned,attributes
https://www.google.com/maps/place/Pro+Garage+Doors+LLC/data=!4m7!3m6!1s0x88f50dc3b5381189:0x85d819212f07304b!8m2!3d33.9201354!4d-84.3781484!16s%2Fg%2F11h_z7jxw2!19sChIJiRE4tcMN9YgRSzAHLyEZ2IU,Pro Garage Doors LLC,4.9,352,Garage door supplier,"6065 Roswell Rd #450, Sandy Springs, GA 30328, United States","WJCC+3P Sandy Springs, Georgia, USA",https://progaragedoorsllc.com/,+1 404-655-3373,Open ⋅ Closes 8 pm,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipOGuPJgtGoSCWQyYDNMetCF1IrVvMU0yVqD7Any=w408-h306-k-no,true,7 am–8 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,"https://www.google.com/maps/search/garage+door+services+in+Sandy+Springs+ATL+GA/@33.9304352,-84.3733147,14z",2025-11-07T22:44:29.633Z,,
https://www.google.com/maps/place/Prime+Atlanta+Garage+Door+Repair/data=!4m7!3m6!1s0x88f50978ede0c737:0x8fce8d0bc059b141!8m2!3d33.9296913!4d-84.3383057!16s%2Fg%2F11twp1j0bk!19sChIJN8fg7XgJ9YgRQbFZwAuNzo8,Prime Atlanta Garage Door Repair,4.6,25,Garage door supplier,"400 Perimeter Center Terrace Suite 497, Atlanta, GA 30346, United States","WMH6+VM Atlanta, Georgia, USA",https://atlantagaragedoors.city/,+1 404-800-3439,Open ⋅ Closes 10 pm,,https://lh3.googleusercontent.com/p/AF1QipNmR1s6mfZQ5s5jOGFc3WRHobtTWWezDB3nwEDP=w426-h240-k-no,true,5 am–10 pm,5 am–10 pm,5 am–10 pm,5 am–10 pm,5 am–10 pm,5 am–10 pm,5 am–10 pm,"https://www.google.com/maps/search/garage+door+services+in+Sandy+Springs+ATL+GA/@33.9304352,-84.3733147,14z",2025-11-07T22:44:36.257Z,,
https://www.google.com/maps/place/Hero+Garage+Door/data=!4m7!3m6!1s0x88f5090df5996df1:0x66fb3b4b4ee521a7!8m2!3d33.9552908!4d-84.2875599!16s%2Fg%2F11fk1b_btf!19sChIJ8W2Z9Q0J9YgRpyHlTks7-2Y,Hero Garage Door,4.9,1286,Garage door supplier,"4627 Brunning Ct, Dunwoody, GA 30338, United States","XP46+4X Dunwoody, Georgia, USA",https://herogaragedoor.com/,+1 470-386-9442,Closed ⋅ Opens 6 am Sun,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOLyP36V4tBRju17AcqDellSCVdELLL1nttMW15=w426-h240-k-no,true,6 am–5 pm,Closed,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,"https://www.google.com/maps/search/garage+door+services+in+Sandy+Springs+ATL+GA/@33.9304352,-84.3733147,14z",2025-11-07T22:44:41.317Z,,
https://www.google.com/maps/place/Versatile+Garage+Doors+Repair+%26+Service/data=!4m7!3m6!1s0x2edbcf544f562e1b:0x18b21b3627004501!8m2!3d34.0060786!4d-84.337387!16s%2Fg%2F11kqt9jmt0!19sChIJGy5WT1TP2y4RAUUAJzYbshg,Versatile Garage Doors Repair & Service,5.0,152,Garage door supplier,"1102 Wedgewood Way, Atlanta, GA 30350, United States","2M47+C2 Atlanta, Georgia, USA",http://versatilegaragedoors.com/,+1 404-610-8987,Open ⋅ Closes 8 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipNp7fhB7J6wOqsSEm7utWGuOeR2tWRYivcZ8HR6=w408-h284-k-no,true,8 am–8 pm,Closed,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/garage+door+services+in+Sandy+Springs+ATL+GA/@33.9304352,-84.3733147,14z",2025-11-07T22:44:46.386Z,,
https://www.google.com/maps/place/Atlanta+Garage+Doors/data=!4m7!3m6!1s0x88f50d7dc4c9891b:0xbca23e415f2d8c24!8m2!3d33.8951665!4d-84.3009986!16s%2Fg%2F11h3pd_z9k!19sChIJG4nJxH0N9YgRJIwtX0E-orw,Atlanta Garage Doors,5.0,442,Garage door supplier,,,https://www.atlantagaragedoorsinc.com/,+1 470-637-1819,Closed ⋅ Opens 8 am Sun,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPJljcWbUoBFOISU4bxnHEzWLe8UTIDHVGji_18=w408-h306-k-no,true,8 am–5:30 pm,Closed,8 am–11 pm,8 am–11 pm,8 am–11 pm,8 am–11 pm,8 am–11 pm,"https://www.google.com/maps/search/garage+door+services+in+Sandy+Springs+ATL+GA/@33.9304352,-84.3733147,14z",2025-11-07T22:44:51.572Z,,
https://www.google.com/maps/place/Precision+Garage+Door+Service/data=!4m7!3m6!1s0x88f514084145f475:0x4f8e975c0daef772!8m2!3d33.9553055!4d-84.5238558!16s%2Fg%2F12hn_cs13!19sChIJdfRFQQgU9YgRcveuDVyXjk8,Precision Garage Door Service,4.9,1615,Door supplier,"189 Cobb Pkwy N A-3, Marietta, GA 30062, United States","XF4G+4F Marietta, Georgia, USA",https://precisiondooratlanta.com/?utm_source=gmb&utm_medium=location_marietta&utm_campaign=website,+1 678-250-4044,Open 24 hours,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipP7FD6oZNi4AVEdcTXcUtM-ZTJGNcL_kMQjnd_M=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Sandy+Springs+ATL+GA/@33.9304352,-84.3733147,14z",2025-11-07T22:44:56.779Z,,
https://www.google.com/maps/place/Aaron+Overhead+Doors+Buckhead/data=!4m7!3m6!1s0x88f50574c25e6ec1:0xeb77449ec83c686c!8m2!3d33.8445298!4d-84.3790147!16s%2Fg%2F11tg7xhc_l!19sChIJwW5ewnQF9YgRbGg8yJ5Ed-s,Aaron Overhead Doors Buckhead,4.8,135,Garage door supplier,"3273 Roswell Rd, Atlanta, GA 30305, United States","RJVC+R9 Atlanta, Georgia, USA",https://aaronoverheaddoors.com/buckhead-ga-garage-door-repair/?utm_source=google&utm_medium=organic&utm_campaign=gbp-buckhead&utm_content=listing,+1 678-509-6573,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipPUaxlqjBykrZujBMFrQwZfSBKE7Fj_FgAXMbGl=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Sandy+Springs+ATL+GA/@33.9304352,-84.3733147,14z",2025-11-07T22:45:01.801Z,,
https://www.google.com/maps/place/5+Star+Garage+Door+Repair/data=!4m7!3m6!1s0x88f509b6c529cd07:0x44333b62bf4d0b1f!8m2!3d33.9167622!4d-84.3098038!16s%2Fg%2F11y4lj1ndp!19sChIJB80pxbYJ9YgRHwtNv2I7M0Q,5 Star Garage Door Repair,4.9,26,Garage door supplier,"1998 Gainsborough Dr, Atlanta, GA 30341, United States","WM8R+P3 Atlanta, Georgia, USA",https://5stargaragedoorepair.com/,+1 678-599-6347,Closed ⋅ Opens 5 am Sun,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwyO_eWCBkyrTVs5YjAC6qccDKy_1P9jHOWDqQL_IEQZAKJr5BJwHAkeMVdIlCt2UTP6AW7o3dgg1UwhMiD4MLMSHhx9ZCwdzcntUGIfDWbDKzFs1xaCrXIt8vMfyY8XtOxDRU=w408-h544-k-no,false,5 am–3 pm,Closed,5 am–9 pm,5 am–9 pm,5 am–9 pm,5 am–9 pm,5 am–9 pm,"https://www.google.com/maps/search/garage+door+services+in+Sandy+Springs+ATL+GA/@33.9304352,-84.3733147,14z",2025-11-07T22:45:06.904Z,,
https://www.google.com/maps/place/Jason%27s+Garage+Doors/data=!4m7!3m6!1s0x88f50f38c9df8fdf:0x73dbffdb7ed163ae!8m2!3d33.9037903!4d-84.4307729!16s%2Fg%2F11kj31htr4!19sChIJ34_fyTgP9YgRrmPRftv_23M,Jason's Garage Doors,4.7,33,Garage door supplier,"6400 Powers Ferry Rd NW Suite 204, Atlanta, GA 30339, United States","WH39+GM Atlanta, Georgia, USA",https://garagedoorsatlanta.best/,+1 404-800-3635,Open ⋅ Closes 10 pm,,https://lh3.googleusercontent.com/p/AF1QipOmmWua9qqtXxCMbsQeqMldzo1hnK7_MiJphnel=w647-h240-k-no,true,5 am–10 pm,5 am–10 pm,5 am–10 pm,5 am–10 pm,5 am–10 pm,5 am–10 pm,5 am–10 pm,"https://www.google.com/maps/search/garage+door+services+in+Sandy+Springs+ATL+GA/@33.9304352,-84.3733147,14z",2025-11-07T22:45:11.803Z,,
https://www.google.com/maps/place/Master+Overhead+Garage+Door+%26+Service/data=!4m7!3m6!1s0x8e5e393e4089ec4b:0x73d797cdbb5e57ff!8m2!3d33.994337!4d-84.238779!16s%2Fg%2F11q865tflz!19sChIJS-yJQD45Xo4R_1deu82X13M,Master Overhead Garage Door & Service,5.0,96,Garage door supplier,,,,+1 678-243-0361,,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipO780-3SCwkKQuYNBglL8cs-bDoSkhuUCG0_Vu_=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Sandy+Springs+ATL+GA/@33.9304352,-84.3733147,14z",2025-11-07T22:45:17.048Z,,
https://www.google.com/maps/place/Dunwoody+Garage+Door+Repair+LLC/data=!4m7!3m6!1s0x690aab5e886d7be1:0x8486b79efd9cc324!8m2!3d33.943572!4d-84.3180803!16s%2Fg%2F11t9jy8wk5!19sChIJ4XttiF6rCmkRJMOc_Z63hoQ,Dunwoody Garage Door Repair LLC,4.7,32,Garage door supplier,,,https://www.dunwoodygaragedoorrepair.net/,+1 678-671-5026,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipMWwjkUofpow3vIgp2QE-tcK_9cl9gD4VScEVbQ=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Sandy+Springs+ATL+GA/@33.9304352,-84.3733147,14z",2025-11-07T22:45:21.905Z,,
https://www.google.com/maps/place/Neighborhood+Garage+Door+Service+Atlanta/data=!4m7!3m6!1s0x88f5a180a135ca2b:0x93f1d794b9039aa0!8m2!3d33.953049!4d-84.2023569!16s%2Fg%2F11n0rypx1v!19sChIJK8o1oYCh9YgRoJoDuZTX8ZM,Neighborhood Garage Door Service Atlanta,4.4,620,Garage builder,"2909 Langford Rd NW STE B900, Norcross, GA 30071, United States","XQ3X+63 Norcross, Georgia, USA",https://neighborhoodgaragedooratlanta.com/,+1 678-671-5223,Open ⋅ Closes 11 pm,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipMbEevxu_mjuW0qZe-zIjVGy_VCWYHUJM-dju06=w408-h306-k-no,true,5 am–11 pm,5 am–11 pm,6 am–10 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,"https://www.google.com/maps/search/garage+door+services+in+Sandy+Springs+ATL+GA/@33.9304352,-84.3733147,14z",2025-11-07T22:45:26.893Z,,
https://www.google.com/maps/place/Precision+Garage+Door+Service/data=!4m7!3m6!1s0x88f509fa4906ccf3:0x3d4f2a3a949db6fb!8m2!3d33.9036534!4d-84.2195721!16s%2Fg%2F11c3sqb_2g!19sChIJ88wGSfoJ9YgR-7adlDoqTz0,Precision Garage Door Service,4.8,1963,Garage door supplier,"6550 McDonough Dr NW, Norcross, GA 30093, United States","WQ3J+F5 Norcross, Georgia, USA",https://precisiondooratlanta.com/?utm_source=gmb&utm_medium=location_norcross&utm_campaign=website,+1 678-813-3131,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipOcD4G5ysiHa6INjzJqYPcQfi-4GEW4c2wEYO-n=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Sandy+Springs+ATL+GA/@33.9304352,-84.3733147,14z",2025-11-07T22:45:32.231Z,,
"https://www.google.com/maps/place/Garage-Door-+Sandy+Springs+GA/@33.9014746,-84.3754984,17z/data=!3m1!4b1!4m6!3m5!1s0x8814da4bba8ffc71:0x386427e615be174a!8m2!3d33.9014746!4d-84.3754984!16s%2Fg%2F1tdkmv56",Garage-Door- Sandy Springs GA,4.0,1,Home builder,"67 Willow Glen NE, Sandy Springs, GA 30342, United States","WJ2F+HR Sandy Springs, Georgia, USA",,+1 404-654-3643,Open ⋅ Closes 8 pm,,,false,8 am–8 pm,9 am–9 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/garage+door+services+in+Sandy+Springs+ATL+GA/@33.9304352,-84.3733147,14z",2025-11-07T22:45:39.568Z,,
https://www.google.com/maps/place/Garage+Door+Services+27+Llc/data=!4m7!3m6!1s0x88f507be4dbde9f5:0x790be74c529832c!8m2!3d33.8079964!4d-84.3394844!16s%2Fg%2F11wmfhvr3b!19sChIJ9em9Tb4H9YgRLIMpxXS-kAc,Garage Door Services 27 Llc,5.0,24,Garage door supplier,"1000 Shepherds Ln NE, Atlanta, GA 30324, United States","RM56+56 Atlanta, Georgia, USA",https://garagedoorservices27llc.com/,+1 404-689-1173,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipPvlTX5VSNDdgw6PRIX1KbLBr-vl4Yr4LOgw3W0=w408-h290-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Sandy+Springs+ATL+GA/@33.9304352,-84.3733147,14z",2025-11-07T22:45:44.559Z,,
