placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,attributes,isBlackOwned,error
https://www.google.com/maps/place/OGD+Overhead+Garage+Door/data=!4m7!3m6!1s0x86312d33697cd6c7:0xb290baffce893528!8m2!3d32.4793852!4d-93.7058629!16s%2Fg%2F11jykfm612!19sChIJx9Z8aTMtMYYRKDWJzv-6kLI,OGD Overhead Garage Door,4.7,443,Garage door supplier,"3020 Knight St Ste 235, Shreveport, LA 71105, United States","F7HV+QM Shreveport, Louisiana, USA",https://ogd.com/la/shreveport/?utm_source=gmb&utm_medium=organic&utm_campaign=ogd-shv-01&ogd_src=ogd-shv-01-google_business_profile,+1 318-488-4800,Open 24 hours,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipNJUuVTZglwcsvmelNQkwv5zDYqY4nO_c2P2-8Q=w425-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2025-11-07T23:16:08.624Z,,,
https://www.google.com/maps/place/Specialty+Garage+Door/data=!4m7!3m6!1s0x8631339fd764fde7:0xdace2bb5712d5c5!8m2!3d32.5250279!4d-93.6963696!16s%2Fg%2F11vpdmpy2x!19sChIJ5_1k158zMYYRxdUSV7virA0,Specialty Garage Door,5.0,48,Garage door supplier,"3050 Knolin Dr # 3, Bossier City, LA 71112, United States","G8G3+2F Bossier City, Louisiana, USA",http://specialtygarage.net/,+1 318-427-2437,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipODmvHiE_bUy1Bc-vDBLQZF9pn3q2VMgjilCmqu=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2025-11-07T23:16:14.804Z,,,
"https://www.google.com/maps/place/Marrios+Garage+Doors,+LLC/data=!4m7!3m6!1s0x2bd9e3250c46ab8f:0x4bf2d7393ef2e13c!8m2!3d31.1689103!4d-98.1433216!16s%2Fg%2F11wngtcj92!19sChIJj6tGDCXj2SsRPOHyPjnX8ks","Marrios Garage Doors, LLC",5.0,35,Garage door supplier,,,https://www.marriosgaragedoorsllc.com/,+1 318-658-0282,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipO4-UWA3w-QwSAj_Z5oS7Lo9y5ZWoV5YqBKKiyQ=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2025-11-07T23:16:19.656Z,,,
https://www.google.com/maps/place/CMI+DOORS/data=!4m7!3m6!1s0x8631351fafe7dd39:0x6a61c3a617421a2!8m2!3d32.6616257!4d-93.7278355!16s%2Fg%2F1tj6v5w3!19sChIJOd3nrx81MYYRoiF0YTocpgY,CMI DOORS,4.7,35,Garage door supplier,"107 Pebble Beach Dr, Benton, LA 71006, United States","M76C+MV Benton, Louisiana, USA",,+1 318-834-4770,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzAg9rQWawO6E1rAaAL4y8ig3BR-qxRdv4cd6Fs_gaL7qHSISD6YiyVwkJNOf4VZ4YtRz2VSrZjVfihJ7dDnzYUB_Tnf2T48n-a_aMECrgnwC0uMq-ReiH0krUl-41ejWp5K79k=w426-h240-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2025-11-07T23:16:24.892Z,,,
https://www.google.com/maps/place/Overhead+Door+Company+of+Shreveport/data=!4m7!3m6!1s0x8636d34d02186b39:0x34a3a4d4d6c5ca0d!8m2!3d32.4126028!4d-93.7490103!16s%2Fg%2F1tmpwbwl!19sChIJOWsYAk3TNoYRDcrF1tSkozQ,Overhead Door Company of Shreveport,4.0,51,Garage door supplier,"9421 St Vincent Ave, Shreveport, LA 71106, United States","C772+29 Shreveport, Louisiana, USA",https://www.overheaddoorshreveport.com/,+1 318-865-7666,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy_N03zdl6able1UNBqtYcss_unvIvEmSzsUqTHM3cq4yFCHF9t5aIf5t0cDscv4T-UXX1JwaNgeM1P7eblljW9QHN-WJ5JPlKt2U_tm_oJJtsNFPYfpgDydf2f2_OUjm7drMfVcOK0vNG4=w408-h906-k-no,true,8 am–12:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2025-11-07T23:16:29.920Z,,,
https://www.google.com/maps/place/Avallone+Door+Co+LLC/data=!4m7!3m6!1s0x86312c633e7ada8d:0xc38a53086d47a45b!8m2!3d32.4061419!4d-93.7008804!16s%2Fg%2F1tdhm5s6!19sChIJjdp6PmMsMYYRW6RHbQhTisM,Avallone Door Co LLC,4.7,52,Garage door supplier,"849 King Pl, Shreveport, LA 71115, United States","C74X+FJ Shreveport, Louisiana, USA",http://www.avallonedoor.com/,+1 318-798-6736,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipNC214HInDZrQIolOhqicAJ7wJs48xeUFzJtEKf=w408-h306-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2025-11-07T23:16:35.361Z,,,
https://www.google.com/maps/place/Ark-La-Tex+Garage+Doors/data=!4m7!3m6!1s0x8631339621380503:0xb4154e52f207cf11!8m2!3d32.5425612!4d-93.6052636!16s%2Fg%2F11bx89cwms!19sChIJAwU4IZYzMYYREc8H8lJOFbQ,Ark-La-Tex Garage Doors,4.1,50,Garage door supplier,"771 Bodcau Station Rd, Haughton, LA 71037, United States","G9VV+2V Haughton, Louisiana, USA",https://arklatexgaragedoors.com/,+1 318-549-3605,Closed ⋅ Opens 7:30 am Mon,,https://lh3.googleusercontent.com/p/AF1QipOrnMf9yBwfzRRQyl4_08XrZKmR9FhbCU0_qLyc=w426-h240-k-no,true,7:30 am–4:30 pm,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2025-11-07T23:16:41.108Z,,,
https://www.google.com/maps/place/AAA+Door+Repair/data=!4m7!3m6!1s0x8636da08c99946db:0x479383541a7346d6!8m2!3d32.3339715!4d-93.659095!16s%2Fg%2F1vqth4mk!19sChIJ20aZyQjaNoYR1kZzGlSDk0c,AAA Door Repair,5.0,278,Garage door supplier,,,,+1 318-453-7640,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyYlBf_TTH6w55xYSOGiKnvF0tXLGfKnglzEdlNBA5Gsh8DS3vIVa1ZsBauczIU7EJZ8zMWHe8jPS4lOhncqoG2TAlPGrsphFLhbGE4Lg5t3MF1ebTaUf7acnLmja5uTPrdeEEgJA=w408-h544-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2025-11-07T23:16:46.039Z,,,
https://www.google.com/maps/place/American+Door+Installers/data=!4m7!3m6!1s0x8636d39673edeb59:0xde564c060cc23e31!8m2!3d32.4105858!4d-93.799243!16s%2Fg%2F1tgyx292!19sChIJWevtc5bTNoYRMT7CDAZMVt4,American Door Installers,4.6,11,Garage door supplier,"2715 Mackey Pl # 110, Shreveport, LA 71118, United States","C662+68 Shreveport, Louisiana, USA",,+1 318-603-9231,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oVv32Lt2-nBp5uCM3sifgg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=12.711485&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/garage+door+services+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2025-11-07T23:16:48.754Z,,,
https://www.google.com/maps/place/L.A.+Rain+Pros/data=!4m7!3m6!1s0x8636d3e852a84b9b:0x8c902f6f5f752c28!8m2!3d32.4126114!4d-93.7684339!16s%2Fg%2F11gv_9z2p6!19sChIJm0uoUujTNoYRKCx1X28vkIw,L.A. Rain Pros,4.9,225,Garage door supplier,"603 Mt Zion Rd, Shreveport, LA 71106, United States","C67J+2J Shreveport, Louisiana, USA",https://www.larainpros.com/,+1 318-386-3800,Closed ⋅ Opens 8:30 am Mon,,https://lh3.googleusercontent.com/p/AF1QipNwlgJvSIlBgdFDSeu63mbD2rl1WV6N3HaOBCg6=w408-h408-k-no,true,8:30 am–4:30 pm,Closed,Closed,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2025-11-07T23:16:53.722Z,,,
