placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,query,timestamp,wednesday,thursday,friday,saturday,sunday,monday,info,attributes,isBlackOwned,error
"https://www.google.com/maps/place/Boulder+Vein+Center/@40.0671063,-105.2901076,14z/data=!4m6!3m5!1s0x876bedef2df9fae3:0xc904fa44620fee58!8m2!3d40.0159576!4d-105.2374823!16s%2Fg%2F12lklscyy",Boulder Vein Center,4.7,,Vascular surgeon,"4743 Arapahoe Ave STE 102, Boulder, CO 80303, United States","2Q87+92 Boulder, Colorado, USA",https://www.boulderveins.com/,+1 303-449-8346,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPxgnTVss82fhGJJrKi6W5_huI_2-KGbVBp6jdh=w408-h272-k-no,true,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Boulder+CO/@40.0671063,-105.2901076,14z",2025-12-16T21:58:03.194Z,,,,,,,,,,
https://www.google.com/maps/place/Vein+Care+Institute/data=!4m7!3m6!1s0x876b8127531db233:0x5131712ed280e436!8m2!3d39.7105943!4d-105.0794716!16s%2Fg%2F1tfl0psn!19sChIJM7IdUyeBa4cRNuSA0i5xMVE,Vein Care Institute,4.9,354,Medical clinic,"7390 W Alameda Ave, Lakewood, CO 80226, United States","PW6C+66 Lakewood, Colorado, USA",http://www.veincareinstitute.com/,+1 303-798-3467,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxfoks3R-EhAJa-VrCC29ZSjNB3Ga21o44rlrlv3rBTtfG1o6aJTQAbmFmCd0umVGmXQ75bQxlKhO30vYHlyXaMUpDxfQyNc5aUcuvgZmKQk750awm-g9tDZ8RMICoNbaZVwXzw=w408-h544-k-no,true,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Lakewood+CO/@39.7047095,-105.0813734,14z",2025-12-16T21:58:15.095Z,8 am–5 pm,8 am–5 pm,8 am–4:30 pm,Closed,Closed,8 am–5 pm,,,,
https://www.google.com/maps/place/American+Vein+%26+Vascular+Institute/data=!4m7!3m6!1s0x876b8374b9ab9673:0x4b1b4a3f467958ff!8m2!3d39.7124401!4d-105.1300071!16s%2Fg%2F11kpncjgq4!19sChIJc5aruXSDa4cR_1h5Rj9KG0s,American Vein & Vascular Institute,4.8,31,Medical clinic,"255 S Routt St STE 265, Lakewood, CO 80228, United States","PV69+XX Lakewood, Colorado, USA",http://americanvein.com/,+1 303-731-0576,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/p/AF1QipO5wQ0z5QY8R-jjjhW1c1HP11V1T1uwusWG8udO=w408-h544-k-no,true,7 am–5:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Lakewood+CO/@39.7047095,-105.0813734,14z",2025-12-16T21:58:20.069Z,7 am–5:30 pm,7 am–5:30 pm,Closed,Closed,Closed,7 am–5:30 pm,,,,
https://www.google.com/maps/place/Brian+Ridge+MD/data=!4m7!3m6!1s0x876b865411608a77:0x2b1ae49189a273f!8m2!3d39.7105898!4d-105.0795338!16s%2Fg%2F1tf43fvq!19sChIJd4pgEVSGa4cRPyeaGEmusQI,Brian Ridge MD,3.0,2,Surgeon,"7390 W Alameda Ave, Lakewood, CO 80226, United States","PW6C+65 Lakewood, Colorado, USA",http://freeyourlegs.com/,+1 303-798-3467,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ivYyvKllriPbb7OnKi-JaQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=110.090256&pitch=0&thumbfov=100,true,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Lakewood+CO/@39.7047095,-105.0813734,14z",2025-12-16T21:58:24.615Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,,,,
https://www.google.com/maps/place/Laser+Nail+Therapy/data=!4m7!3m6!1s0x876c75d492ed1e8b:0xb25c519929f54252!8m2!3d39.958394!4d-105.027689!16s%2Fg%2F11pcs9s49q!19sChIJix7tktR1bIcRUkL1KZlRXLI,Laser Nail Therapy,5.0,1,Medical clinic,"3303 W 144th Ave #207, Broomfield, CO 80023, United States","XX5C+9W Broomfield, Colorado, USA",https://lasernailtherapy.com/,+1 720-882-0388,Open · Closes 9 pm,https://lh3.googleusercontent.com/p/AF1QipMuMxcWeUF7hbbAIcicDtI5NLIlunAUN5XGH9ao=w408-h251-k-no,true,9 am–9 pm,"https://www.google.com/maps/search/vein+clinics+in+Thornton+CO/@39.8680412,-104.9719243,14z",2025-12-16T21:58:36.628Z,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,LGBTQ+ friendly,,,
https://www.google.com/maps/place/United+Vein+%26+Vascular+Centers/data=!4m7!3m6!1s0x876c77001d46f245:0x62c7e683b1e6dbe0!8m2!3d39.8641092!4d-104.986266!16s%2Fg%2F11y3v6bydr!19sChIJRfJGHQB3bIcR4NvmsYPmx2I,United Vein & Vascular Centers,4.5,36,Medical clinic,"9195 Grant St STE 300, Thornton, CO 80229, United States","V277+JF Thornton, Colorado, USA",https://unitedveincenters.com/find-a-clinic/colorado/thornton/?utm_campaign=directory,+1 866-374-7035,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipPK-QE8c8qoR1oa2wOLYQG2ive0ugS3121ak0p3=w408-h408-k-no,true,9 am–6 pm,"https://www.google.com/maps/search/vein+clinics+in+Thornton+CO/@39.8680412,-104.9719243,14z",2025-12-16T21:58:41.112Z,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,Closed,9 am–6 pm,,,,
https://www.google.com/maps/place/Denver+Vein+Doc+-+Thornton/data=!4m7!3m6!1s0x876c7775218ab2b1:0xb0228088d0dc4f16!8m2!3d39.8666733!4d-104.9860691!16s%2Fg%2F11v1354rgb!19sChIJsbKKIXV3bIcRFk_c0IiAIrA,Denver Vein Doc - Thornton,4.9,35,Medical clinic,"9351 Grant St # 100, Denver, CO 80229, United States","V287+MH Denver, Colorado, USA",https://denverveindoc.com/locations/thornton/?utm_campaign=gmb,+1 720-818-9970,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Cx6xDmlFLezMC6iN5rJh-A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=307.5669&pitch=0&thumbfov=100,true,9 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Thornton+CO/@39.8680412,-104.9719243,14z",2025-12-16T21:58:45.719Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,,,,
https://www.google.com/maps/place/Advanced+Heart+and+Vein+Center+-+Thornton/data=!4m7!3m6!1s0x876c754c275f152d:0x26da765a00a42de7!8m2!3d39.9585018!4d-104.9764116!16s%2Fg%2F11flbq8qyw!19sChIJLRVfJ0x1bIcR5y2kAFp22iY,Advanced Heart and Vein Center - Thornton,4.2,146,Medical clinic,"805 E 144th Ave Suite 100, Thornton, CO 80023, United States","X25F+CC Thornton, Colorado, USA",https://www.advancedheartandvein.com/,+1 720-772-8040,Open · Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipMfleGNvJBBGhT5QFVOPuvjMII4hc2cYDwiVerG=w426-h240-k-no,true,8 am–4:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Thornton+CO/@39.8680412,-104.9719243,14z",2025-12-16T21:58:50.069Z,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,,,,
https://www.google.com/maps/place/Artemis+Vein+%26+Aesthetic+Center/data=!4m7!3m6!1s0x876b8a2a9c926335:0xaf6f2acfc2983e52!8m2!3d39.8868008!4d-105.0752326!16s%2Fg%2F1pwfbkp37!19sChIJNWOSnCqKa4cRUj6Yws8qb68,Artemis Vein & Aesthetic Center,4.9,279,Vascular surgeon,"10431 Town Center Dr #400, Westminster, CO 80021, United States","VWPF+PW Westminster, Colorado, USA",https://artemis-colorado.com/,+1 720-764-9924,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPo0OF9A77av5Rqf1wfNZYfKykE7zmInrJxzrc6=w408-h612-k-no,true,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Arvada+CO/@39.8027644,-105.0874842,14z",2025-12-16T21:59:06.635Z,8 am–5 pm,8 am–5 pm,Closed,Closed,Closed,8 am–5 pm,,,,
https://www.google.com/maps/place/ViveWell+Health/data=!4m7!3m6!1s0x876b87b5f0fae0cf:0x95ff1d9248669a3d!8m2!3d39.8117055!4d-105.132453!16s%2Fg%2F11t6ykkzqq!19sChIJz-D68LWHa4cRPZpmSJId_5U,ViveWell Health,4.7,47,Medical clinic,"12001 W 63rd Pl STE 201, Arvada, CO 80004, United States","RV69+M2 Arvada, Colorado, USA",https://vivewell.health/,+1 303-565-8483,"Open · Closes 5 pm

Updated by phone call 7 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPvohpyHKhTkSIB4VGhzti8U5a8VoXQLJwjHwrZ=w408-h306-k-no,true,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Arvada+CO/@39.8027644,-105.0874842,14z",2025-12-16T21:59:11.253Z,8 am–4 pm,8 am–5 pm,8 am–4 pm,Closed,Closed,8 am–4 pm,LGBTQ+ friendly,,,
