placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,error,attributes,isBlackOwned
https://www.google.com/maps/place/Long+Term+Parking+%28Meadows+Field+Airport+Parking%29/data=!4m7!3m6!1s0x80ea42aeaf97044d:0xf748b27585480fb!8m2!3d35.4388878!4d-119.0532047!16s%2Fg%2F1tfdz4xq!19sChIJTQSXr65C6oAR-4BUWCeLdA8,Long Term Parking (Meadows Field Airport Parking),4.1,17,Parking lot,"Terminal, 3701 Wings Way #235, Bakersfield, CA 93308, United States","CWQW+HP Bakersfield, California, USA",https://www.meadowsfield.com/parking/,+1 661-387-1355,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxrOypnWJApEV8rg-1wGlkEVx2hWoPg87iZEocjNaWf94h07fY_5XJYXo9w7S8XTozYdgV8hi5yJGpUQAjZjlbU7NAGergRKruDO8Gag_uKfmHXbEqmTzu17DAmrmZq2XI01-DP=w513-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-10-28T18:31:07.053Z,,,,
https://www.google.com/maps/place/MANN+TRANSPORT/data=!4m7!3m6!1s0x80ea6a4d3bb90499:0x3ae39252d1d7ee1d!8m2!3d35.3483065!4d-119.0004616!16s%2Fg%2F11ddyj00rn!19sChIJmQS5O01q6oARHe7X0VKS4zo,MANN TRANSPORT,2.6,5,Trucking company,"313 Daniels Ln, Bakersfield, CA 93307, United States","8XXX+8R Bakersfield, California, USA",,+1 661-398-6244,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eKHWZAIIdjICWY6fTgDkOQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=209.0767&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-10-28T18:31:10.940Z,,,,
https://www.google.com/maps/place/Kern+County+Code+Compliance/data=!4m7!3m6!1s0x80ea6991db4e8857:0xd15e82a4a697df1!8m2!3d35.3835765!4d-119.0145887!16s%2Fg%2F1tfq4zhz!19sChIJV4hO25Fp6oAR8X1pSiroFQ0,Kern County Code Compliance,1.6,17,County government office,"2700 M St #350, Bakersfield, CA 93301, United States","9XMP+C5 Bakersfield, California, USA",https://www.kernpublicworks.com/services/development/code-compliance,+1 661-862-8603,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ARBHI3QQljnveD9q1CStpg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=68.382545&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-10-28T18:31:14.735Z,,,,
https://www.google.com/maps/place/Bakersfield+Police+Department+Property+Room/data=!4m7!3m6!1s0x80ea6947f7ae167f:0xb9178c609af7fba6!8m2!3d35.3727963!4d-119.0424526!16s%2Fg%2F11nmcqzsl6!19sChIJfxau90dp6oARpvv3mmCMF7k,Bakersfield Police Department Property Room,3.0,2,City government office,"3425 Truxtun Ave, Bakersfield, CA 93301, United States","9XF5+42 Bakersfield, California, USA",https://www.bakersfieldcity.us/545/Property-Room,+1 661-326-3802,Open ⋅ Closes 4:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=I-oudfhiOnRtUe5uD5QFgw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=67.11114&pitch=0&thumbfov=100,false,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,Closed,Closed,Closed,7:30 am–4:30 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-10-28T18:31:19.932Z,,,,
"https://www.google.com/maps/place/Bakersfield+Valet+Parking+Services/@35.4516124,-118.7897558,11z/data=!3m1!4b1!4m6!3m5!1s0x80ea714000000001:0xa621c264cf8e8a6e!8m2!3d35.4516124!4d-118.7897558!16s%2Fg%2F1tf81xsb",Bakersfield Valet Parking Services,,,,"Bakersfield, CA 93306, United States",,,+1 661-319-9251,Permanently closed,,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-10-28T18:31:26.923Z,,,,
https://www.google.com/maps/place/Dlo/data=!4m7!3m6!1s0x80eae57b34948ddb:0x39a62bb834e213dc!8m2!3d35.7445624!4d-119.2396241!16s%2Fg%2F11sb4v30d4!19sChIJ242UNHvl6oAR3BPiNLgrpjk,Dlo,,,Parking lot,"1225 Airport Dr, Delano, CA 93215, United States","PQV6+R5 Delano, California, USA",,+1 916-654-2852,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Xkcu9wgHnhpJgTBINRNxHw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=239.56296&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Delano+Bakersfield+CA/@35.773398,-119.2709888,14z",2025-10-28T18:31:39.620Z,,,,
https://www.google.com/maps/place/Parking+Company+of+America/data=!4m7!3m6!1s0x80dcd7000e7875bf:0xa990e9dafbf7d704!8m2!3d33.7937307!4d-117.8855379!16s%2Fg%2F11xm5drf2v!19sChIJv3V4DgDX3IARBNf3-9rpkKk,Parking Company of America,,,Parking lot,"2165 S Dupont Dr, Anaheim, CA 92806, United States","Q4V7+FQ Anaheim, California, USA",,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzt1g90rdDzGuqSA29Ep_6viAaWO33nADG3D42VRRV2VhJbC-PW7OttK9AwFNTp5l_Jnq5HeDzEAJ9dvUSsn9NDXwsfpi-FvbRLNs7C1GBx5vPotskEr7eu2c7EXisAICJK5yWLcpjg4pM=w408-h306-k-no,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Delano+Bakersfield+CA/@35.773398,-119.2709888,14z",2025-10-28T18:31:42.587Z,,,,
https://www.google.com/maps/place/VIP+Parking/data=!4m7!3m6!1s0x80c2c1a9bafac803:0x7dd0e065bc5886a3!8m2!3d34.1514008!4d-118.2447648!16s%2Fg%2F11wvp2zw_k!19sChIJA8j6uqnBwoARo4ZYvGXg0H0,VIP Parking,,,,"350 N Glendale Ave, Glendale, CA 91206, United States","5Q24+H3 Glendale, California, USA",https://vipparkinginc.com/contact/,+1 909-470-8422,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZQM8GUwB1ksQToGlyNOLRg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=105.836464&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Delano+Bakersfield+CA/@35.773398,-119.2709888,14z",2025-10-28T18:31:45.399Z,,,,
https://www.google.com/maps/place/Park+and+Ride+%28near+Delano+Transit+Center%29/data=!4m7!3m6!1s0x80eae59376eca6a1:0x4996b88a4d273f01!8m2!3d35.7697935!4d-119.2485173!16s%2Fg%2F11bzq2q5vq!19sChIJoabsdpPl6oARAT8nTYq4lkk,Park and Ride (near Delano Transit Center),4.3,3,Park & ride,"700-716 11th Ave, Delano, CA 93215, United States","QQ92+WH Delano, California, USA",http://commutekern.org/park-and-ride-lots/,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ApQjG6CcVzAF0XPIYLnyDA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=174.22546&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Delano+Bakersfield+CA/@35.773398,-119.2709888,14z",2025-10-28T18:31:48.508Z,,,,
https://www.google.com/maps/place/Delano+Personnel/data=!4m7!3m6!1s0x80eae592800fe363:0x4a36deb19277ccc7!8m2!3d35.7709343!4d-119.2435649!16s%2Fg%2F1tdxwbdc!19sChIJY-MPgJLl6oARx8x3krHeNko,Delano Personnel,,,City government office,"1015 11th Ave, Delano, CA 93215, United States","QQC4+9H Delano, California, USA",,+1 661-721-3305,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=K9BAl0VXmCuHN7ofvkdmpA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=30.509619&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Delano+Bakersfield+CA/@35.773398,-119.2709888,14z",2025-10-28T18:31:51.362Z,,,,
