placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,isBlackOwned
"https://www.google.com/maps/place/Megan+Comer,+Psychiatric+Clinician/data=!4m7!3m6!1s0x8856a7d0c7fa1ae9:0x7e96d3f057f474a6!8m2!3d35.2127523!4d-80.8188518!16s%2Fg%2F11pfbbzlj4!19sChIJ6Rr6x9CnVogRpnT0V_DTln4","Megan Comer, Psychiatric Clinician",4.9,57,Psychiatrist,"1942 E 7th St Suite 220, Charlotte, NC 28204, United States","657J+4F Charlotte, North Carolina, USA",https://lifestance.com/provider/psychiatry-clinician/nc/charlotte/megan-comer/?utm_source=gmb&utm_medium=organic&utm_campaign=providers,+1 980-766-1802,Open · Closes 5 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipP0g7qpuvo1-ZqfQje4o6BphlbGxXdIhhnLDB8N=w427-h240-k-no,true,9 am–5 pm,Closed,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/psychiatry+clinics+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2025-11-14T19:18:33.696Z,
"https://www.google.com/maps/place/Eastover+Psychological+%26+Psychiatric+Group,+P.A./data=!4m7!3m6!1s0x8854200c489a0815:0x15906bf5a67c04a9!8m2!3d35.1978391!4d-80.8024534!16s%2Fg%2F1tfcjgj4!19sChIJFQiaSAwgVIgRqQR8pvVrkBU","Eastover Psychological & Psychiatric Group, P.A.",4.4,296,Psychiatrist,"3303 Latrobe Dr, Charlotte, NC 28211, United States","55XX+42 Charlotte, North Carolina, USA",http://www.eastoverpsych.com/,+1 704-362-2663,Open · Closes 4 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uK5pw1dq31C1qjwI7ozWrg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=351.6923&pitch=0&thumbfov=100,false,8 am–4 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/psychiatry+clinics+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2025-11-14T19:18:39.429Z,
https://www.google.com/maps/place/LifeStance+Therapists+%26+Psychiatrists+Charlotte/data=!4m7!3m6!1s0x88569fcb991c07d5:0xfeaf23427bcb7c10!8m2!3d35.212689!4d-80.8188261!16s%2Fg%2F11kj52wp01!19sChIJ1QccmcufVogREHzLe0Ijr_4,LifeStance Therapists & Psychiatrists Charlotte,4.6,119,Mental health clinic,"1942 E 7th St Suite 220, Charlotte, NC 28204, United States","657J+3F Charlotte, North Carolina, USA",https://lifestance.com/location/charlotte-nc-1942-e-7th-st/?utm_source=gmb&utm_medium=organic&utm_campaign=locations,+1 980-766-1802,Open · Closes 5 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipNtKFWQd60694pPwRf_2rGRjza1f_4NWOXzfpc=w427-h240-k-no,true,9 am–5 pm,Closed,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/psychiatry+clinics+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2025-11-14T19:18:45.055Z,
"https://www.google.com/maps/place/Queen+City+Psychiatry+and+Mental+Health:+ADHD,+Anxiety,+and+Depression+Specialists/data=!4m7!3m6!1s0x8856a1003032dff9:0x2ce8c815915639d3!8m2!3d35.2268851!4d-80.8442379!16s%2Fg%2F11yk5xnxq4!19sChIJ-d8yMAChVogR0zlWkRXI6Cw","Queen City Psychiatry and Mental Health: ADHD, Anxiety, and Depression Specialists",5.0,8,Mental health clinic,"128 S Tryon St # 1900, Charlotte, NC 28202, United States","65G4+Q8 Charlotte, North Carolina, USA",https://toptierpsych.com/queencitymh/charlotte-nc/,+1 704-831-9992,"Open 24 hours

Confirmed by this business 8 weeks ago",Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipP4QTQj4s7-a0sQheyR3s7MNRKZsaTU8UVn75-1=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/psychiatry+clinics+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2025-11-14T19:18:50.047Z,
https://www.google.com/maps/place/Centers+of+Psychiatric+Excellence+-+Charlotte/data=!4m7!3m6!1s0x8854200c321aaaab:0xe6b20b5e56ede771!8m2!3d35.1986402!4d-80.8020899!16s%2Fg%2F11hd4z6vn8!19sChIJq6oaMgwgVIgRceftVl4LsuY,Centers of Psychiatric Excellence - Charlotte,4.6,9,Mental health clinic,"3101 Latrobe Dr, Charlotte, NC 28211, United States","55XX+F5 Charlotte, North Carolina, USA",https://www.copepsychiatry.com/,+1 833-267-3669,Open · Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipMlo6riAFiPjk2CsORmDgVA15IfbBPbNiSGyR7z=w408-h270-k-no,true,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/psychiatry+clinics+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2025-11-14T19:18:55.434Z,
https://www.google.com/maps/place/Atrium+Health+Behavioral+Health/data=!4m7!3m6!1s0x885420736fc43f5d:0x207c88abcad72f05!8m2!3d35.19211!4d-80.8041242!16s%2Fg%2F12603kc1q!19sChIJXT_Eb3MgVIgRBS_XyquIfCA,Atrium Health Behavioral Health,2.6,300,Mental health clinic,"501 Billingsley Rd, Charlotte, NC 28211, United States","55RW+R9 Charlotte, North Carolina, USA",https://atriumhealth.org/locations/detail/atrium-health-behavioral-health?utm_source=GMB&utm_medium=Organic&utm_campaign=GCR,+1 704-444-2400,Open · Closes 8 pm,,https://lh3.googleusercontent.com/p/AF1QipOD-CGNpFrrhQreqkLuJ1XLq0Ze6gUdez8xeLOJ=w426-h240-k-no,true,6:30 am–8 pm,1–8 pm,1–8 pm,6:30 am–8 pm,6:30 am–8 pm,6:30 am–8 pm,6:30 am–8 pm,"https://www.google.com/maps/search/psychiatry+clinics+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2025-11-14T19:19:00.368Z,
https://www.google.com/maps/place/PsychPlus+Charlotte+Clinic+-+Psychiatrist+and+Therapist/data=!4m7!3m6!1s0x88569f458d7a057f:0x49cdac2dde9fd027!8m2!3d35.1888833!4d-80.8095361!16s%2Fg%2F11lnw72x77!19sChIJfwV6jUWfVogRJ9Cf3i2szUk,PsychPlus Charlotte Clinic - Psychiatrist and Therapist,5.0,3,Psychiatrist,"3541 Randolph Rd STE 102, Charlotte, NC 28211, United States","55QR+H5 Charlotte, North Carolina, USA",https://psychplus.com/,+1 833-777-9247,Open · Closes 6 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GBy7elKkXUvGjsyNjkEJwA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=115.064384&pitch=0&thumbfov=100,true,9 am–6 pm,Closed,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/psychiatry+clinics+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2025-11-14T19:19:05.223Z,
https://www.google.com/maps/place/Mindpath+Health+Psychiatrists+%26+Therapists+-+Charlotte/data=!4m7!3m6!1s0x88569f4c95b7cb4d:0xd4c81ff43f904231!8m2!3d35.1483816!4d-80.8406275!16s%2Fg%2F11hf1y3s1b!19sChIJTcu3lUyfVogRMUKQP_QfyNQ,Mindpath Health Psychiatrists & Therapists - Charlotte,4.6,700,Mental health service,"6060 Piedmont Row Dr S UNIT 500, Charlotte, NC 28287, United States","45X5+9P Charlotte, North Carolina, USA",https://www.mindpath.com/locations/charlotte/?pk_source=gmb&pk_medium=organic,+1 980-326-3277,Open · Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipM6OoO8P3UI84tOtoz0jYZMQm6WAF71zq8DKPgb=w426-h240-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/psychiatry+clinics+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2025-11-14T19:19:10.189Z,
https://www.google.com/maps/place/Novant+Health+Psychiatric+Associates+-+Randolph/data=!4m7!3m6!1s0x88569ff1187683a5:0x8909773df861d52f!8m2!3d35.210315!4d-80.8245869!16s%2Fg%2F1jkwm2jp_!19sChIJpYN2GPGfVogRL9Vh-D13CYk,Novant Health Psychiatric Associates - Randolph,2.9,42,Mental health service,"1900 Randolph Rd #800, Charlotte, NC 28207, United States","656G+45 Charlotte, North Carolina, USA",https://www.novanthealth.org/locations/clinics/psychiatric-associates-randolph/?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=MG-305,+1 704-384-1246,Open · Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SqvKdAvKxfN4rC0PZRF7Eg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=235.3368&pitch=0&thumbfov=100,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/psychiatry+clinics+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2025-11-14T19:19:15.251Z,
https://www.google.com/maps/place/High+Focus+Centers+Charlotte+Outpatient+Treatment+Center/data=!4m7!3m6!1s0x885a1845f43831e3:0x7e7d5b6b9b5d0563!8m2!3d35.2105848!4d-80.8281338!16s%2Fg%2F11bc95_j_4!19sChIJ4zE49EUYWogRYwVdm2tbfX4,High Focus Centers Charlotte Outpatient Treatment Center,4.6,30,Mental health clinic,"200 Queens Rd #101, Charlotte, NC 28204, United States","656C+6P Charlotte, North Carolina, USA",https://www.highfocuscenters.com/locations/nc/charlotte/,+1 866-935-4333,Open · Closes 8 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPChy6GSSCiByPAIWCoxoJYjxuf5l5a1h7Ml9eC=w426-h240-k-no,true,7 am–8 pm,Closed,Closed,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/psychiatry+clinics+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2025-11-14T19:19:20.492Z,
