placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes,error
https://www.google.com/maps/place/Rewired+Iowa+Electrician+Des+Moines/data=!4m7!3m6!1s0x3d991e38bcd5db9:0xdc0ebea7fc799d3d!8m2!3d41.6191105!4d-93.5185031!16s%2Fg%2F11tjx189ln!19sChIJuV3Ni-OR2QMRPZ15_Ke-Dtw,Rewired Iowa Electrician Des Moines,4.9,497,Electrician,"2612 E 48th St, Des Moines, IA 50317, United States","JF9J+JH Des Moines, Iowa, USA",https://rewirediowa.com/,+1 515-619-5349,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMLTvEX6rSGilGJ2qua0jVCogDQUF3le7rCB9Bm=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2026-01-10T21:24:39.506Z,,
https://www.google.com/maps/place/Custom+Electrical+Services/data=!4m7!3m6!1s0x87ee99bc9bcba7d3:0x43465e982ef004b3!8m2!3d41.6108191!4d-93.743713!16s%2Fg%2F1vq9mvft!19sChIJ06fLm7yZ7ocRswTwLpheRkM,Custom Electrical Services,4.8,1339,Electrician,"1975 NW 92nd Ct #15, Clive, IA 50325, United States","J764+8G Clive, Iowa, USA",https://www.customelectricalia.com/,+1 515-669-3418,"Open 24 hours

Confirmed by this business 4 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipPw3MUpgFStdFXT7ZvoubEo2draCpPsPUjHXL9A=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2026-01-10T21:24:45.436Z,,
https://www.google.com/maps/place/Action+Electric/data=!4m7!3m6!1s0x87ee991b1e1c7d1b:0xbd35037023382794!8m2!3d41.6015744!4d-93.6407414!16s%2Fg%2F11frrzj1sr!19sChIJG30cHhuZ7ocRlCc4I3ADNb0,Action Electric,3.9,27,Electrician,"1717 Keosauqua Way, Des Moines, IA 50314, United States","J925+JP Des Moines, Iowa, USA",https://www.actionelectricdm.com/,+1 515-289-2929,Closed · Opens 7:30 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw1tIee-DeLWgsxaSOwl5C_uDrRg1-IHUVpp_Qu3sNeGIGaXZeM9MVM70U3g-g3lr0xDvBwYeQ0ipClBaEcLsCT_kIxr6AiTHmLaToVtRujtpc3IzacKIp-FypOOgh005gH7FEz=w479-h240-k-no,true,Closed,Closed,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2026-01-10T21:24:50.373Z,,
https://www.google.com/maps/place/B+%26+L+Electric+LLC/data=!4m7!3m6!1s0x431e8af7192afc2f:0xbc76b9a2d5d5de11!8m2!3d41.5982099!4d-93.5835917!16s%2Fg%2F11t5sf2wvm!19sChIJL_wqGfeKHkMREd7V1aK5drw,B & L Electric LLC,4.9,96,Electrician,"1954 Hubbell Ave, Des Moines, IA 50316, United States","HCX8+7H Des Moines, Iowa, USA",https://www.bandlelectriciowa.com/,+1 515-212-3277,"Closed · Opens 7 am Mon

Confirmed by this business 7 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipOvD2JkU5l7Sj_zzKGULxG_l0ESlEWv6ZAiDoiS=w408-h544-k-no,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2026-01-10T21:24:55.343Z,,
https://www.google.com/maps/place/Absolute+Generators/data=!4m7!3m6!1s0x87ee99f8f280e52d:0xc382e9290da1c211!8m2!3d41.5656032!4d-93.6388806!16s%2Fg%2F11sjgqtv8g!19sChIJLeWA8viZ7ocREcKhDSnpgsM,Absolute Generators,5.0,3,Wholesaler,"1901 Bell Ave, Des Moines, IA 50315, United States","H986+6C Des Moines, Iowa, USA",http://absolutegenerators.com/,+1 888-386-1640,Closed · Opens 8 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0N5sPSIxJZAf2RbwKHqqeg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=343.255&pitch=0&thumbfov=100,false,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2026-01-10T21:25:00.189Z,,
https://www.google.com/maps/place/Wired+Solutions/data=!4m7!3m6!1s0x354b09aa1884d4b:0xdffeb5c4256de995!8m2!3d41.6137175!4d-93.7626993!16s%2Fg%2F11t4w5lrkr!19sChIJS02IoZqwVAMRleltJcS1_t8,Wired Solutions,4.9,55,Electrician,"10500 Hickman Rd Suite E, Clive, IA 50325, United States","J67P+FW Clive, Iowa, USA",http://wiredsolutionsia.com/,+1 515-249-5574,Closes soon · 3:30 pm · Opens 8 am Sun,,https://lh3.googleusercontent.com/p/AF1QipPuhpROH6CJjz9B9e9MoBUonS77KQ9wUDFCwppU=w408-h576-k-no,true,8 am–3:30 pm,8 am–3:30 pm,7:30 am–8 pm,7:30 am–8 pm,7:30 am–8 pm,7:30 am–8 pm,7:30 am–8 pm,"https://www.google.com/maps/search/generator+installation+services+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2026-01-10T21:25:05.284Z,,
https://www.google.com/maps/place/Mr.+Electric+of+Central+Iowa/data=!4m7!3m6!1s0x87eef1b96f4a5259:0xb60d11f56fda3a61!8m2!3d41.6192525!4d-93.7342237!16s%2Fg%2F1thf9369!19sChIJWVJKb7nx7ocRYTrab_URDbY,Mr. Electric of Central Iowa,4.9,903,Electrician,"2759 86th St Ste 110, Urbandale, IA 50322, United States","J798+P8 Urbandale, Iowa, USA",https://mrelectric.com/central-iowa?utm_source=localfx&utm_medium=organic&utm_campaign=localfx,+1 515-650-9233,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipOPM6h8UVCBWAt9kxRejJZwUWx-pAJSRyDYX6uE=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2026-01-10T21:25:10.177Z,,
https://www.google.com/maps/place/Ark+Electrical+Services/data=!4m7!3m6!1s0x6b498589d2b5dbed:0xff16d8bd0f4dfeb5!8m2!3d41.6229874!4d-93.87435!16s%2Fg%2F11ty2zg1sz!19sChIJ7du10omFSWsRtf5ND73YFv8,Ark Electrical Services,5.0,54,Electrician,"132 NW Pike Cir, Waukee, IA 50263, United States","J4FG+57 Waukee, Iowa, USA",https://www.arkelectricalservices.com/,+1 515-803-2442,,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipOjnlXr7vA1jygb1-RTNCbw8FS-h437ySVBEDU=w408-h317-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2026-01-10T21:25:15.119Z,,
https://www.google.com/maps/place/Power+Guard/data=!4m7!3m6!1s0x87ec2763685171cb:0xff04171e4a256df5!8m2!3d40.2391674!4d-94.885649!16s%2Fg%2F11k6vfvznt!19sChIJy3FRaGMn7IcR9W0lSh4XBP8,Power Guard,,,Electric generator shop,,,https://www.powerguardllc.com/,+1 515-745-0410,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPApCY-Y2HmceUyveeD5Hdl2g_r_EWQN-d7SAa9=w428-h240-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2026-01-10T21:25:19.783Z,,
https://www.google.com/maps/place/Generac+Sales+in+Iowa/data=!4m7!3m6!1s0x87ee99150d398bf1:0xba0267a780a9876!8m2!3d41.6015928!4d-93.6407395!16s%2Fg%2F11c58vr8j9!19sChIJ8Ys5DRWZ7ocRdpgKeHomoAs,Generac Sales in Iowa,2.0,4,Contractor,"1717 Keosauqua Way, Des Moines, IA 50314, United States","J925+JP Des Moines, Iowa, USA",,+1 515-289-2929,Closed · Opens 7:30 am Mon,,https://lh3.googleusercontent.com/p/AF1QipMmz0Q38B6EUYaHJvT2TZQ8rRsG2EiRxttOosG9=w408-h306-k-no,true,Closed,Closed,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2026-01-10T21:25:24.625Z,,
