placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,info,attributes,error,isBlackOwned
https://www.google.com/maps/place/FOCUS+Property+Management/data=!4m7!3m6!1s0x4f29ac034640f55f:0x28f87604725b8a57!8m2!3d39.1673452!4d-86.5379092!16s%2Fg%2F11w7d2k105!19sChIJX_VARgOsKU8RV4pbcgR2-Cg,FOCUS Property Management,5.0,3,Property management company,"405 W 6th St Suite D2, Bloomington, IN 47404, United States","5F86+WR Bloomington, Indiana, USA",https://focushoamgt.com/,+1 812-200-6128,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9IpBy4JDqeRQlTvrqF22Hg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=179.73595&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–12 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,10 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2025-09-25T17:01:16.255Z,,,,
https://www.google.com/maps/place/Brawley+Property+Management/data=!4m7!3m6!1s0x886c66de771db5c3:0x255a25b3fb774210!8m2!3d39.1720745!4d-86.5280792!16s%2Fg%2F11c1vkyggk!19sChIJw7Udd95mbIgREEJ3-7MlWiU,Brawley Property Management,4.4,335,Property management company,"608 N Dunn St, Bloomington, IN 47401, United States","5FCC+RQ Bloomington, Indiana, USA",http://thebrawleygroup.com/,+1 844-254-7368,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipO2iXTEXV-XW2Wwbw73SaN8oNycSWweUSu3weAB=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2025-09-25T17:01:23.014Z,,,,
https://www.google.com/maps/place/Cream+%26+Crimson+Management/data=!4m7!3m6!1s0x886c63f6c8d04949:0x4e41f8794dde24f!8m2!3d39.179575!4d-86.5210819!16s%2Fg%2F11ghr1drj8!19sChIJSUnQyPZjbIgRT-LdlIcf5AQ,Cream & Crimson Management,4.3,54,Property management company,"Bloomington, IN 47408, United States","5FHH+RH Bloomington, Indiana, USA",https://www.creamandcrimsonproperties.com/,+1 812-822-1033,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipOcrCm4Gi58KF5OPRFx03TivYbYAsXwCxR0cnzE=w408-h342-k-no,true,8 am–6 pm,8 am–6 pm,Closed,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2025-09-25T17:01:28.320Z,,,,
"https://www.google.com/maps/place/Mackie+Properties,+LLC/data=!4m7!3m6!1s0x886c66e73d9034a5:0xc0a129c5205403a7!8m2!3d39.1796977!4d-86.5550215!16s%2Fg%2F12qg1tbn4!19sChIJpTSQPedmbIgRpwNUIMUpocA","Mackie Properties, LLC",4.2,77,Property management company,"1800 W 17th St, Bloomington, IN 47404, United States","5CHV+VX Bloomington, Indiana, USA",http://mackierentalproperties.com/,+1 812-287-8036,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipP5Pa8rQOj7nppHVPe6NO8FHYof-pI4nVen7hFa=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2025-09-25T17:01:33.725Z,Identifies as women-owned,,,
https://www.google.com/maps/place/Orion+Real+Estate+and+Property+Management/data=!4m7!3m6!1s0x886c66df02f66a8d:0x673334abfe010e4d!8m2!3d39.1688122!4d-86.5377767!16s%2Fg%2F1tw_n_lc!19sChIJjWr2At9mbIgRTQ4B_qs0M2c,Orion Real Estate and Property Management,3.3,74,Property management company,"Johnson's Creamery Business Center, 400 W 7th St Ste. 233, Bloomington, IN 47404, United States","5F96+GV Bloomington, Indiana, USA",http://orionmanagementbloomington.com/,+1 812-334-5964,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOj1Z4EnaIYW8XkLS1jUNvoJD1tb-04vjgrkB63=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2025-09-25T17:01:38.822Z,,,,
https://www.google.com/maps/place/Deer+Park+Management/data=!4m7!3m6!1s0x886c668cc64d4185:0x350193b90d181ac0!8m2!3d39.1519272!4d-86.5146196!16s%2Fg%2F1tfgkkm5!19sChIJhUFNxoxmbIgRwBoYDbmTATU,Deer Park Management,3.8,87,Property management company,"1501 E Hillside Dr, Bloomington, IN 47401, United States","5F2P+Q5 Bloomington, Indiana, USA",http://www.deerparkmgmt.com/,+1 812-333-9355,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMRID9r6AhIPVNYmwWNYPQrurlTcA67vcpjw4-X=w408-h272-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2025-09-25T17:01:43.893Z,,,,
https://www.google.com/maps/place/PMI+Meridian+Bloomington/data=!4m7!3m6!1s0x886c67940699c69d:0x39f4b3be3acbee92!8m2!3d39.1662878!4d-86.5341496!16s%2Fg%2F11vqmflfmb!19sChIJncaZBpRnbIgRku7LOr6z9Dk,PMI Meridian Bloomington,3.4,5,Property management company,"101 W Kirkwood Ave Suite #307, Bloomington, IN 47404, United States","5F88+G8 Bloomington, Indiana, USA",https://www.pmimeridian.com/,+1 812-336-2026,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Q5pXP5ESAuLXxUpnWL2o4w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=183.55157&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–4 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2025-09-25T17:01:48.786Z,,,,
"https://www.google.com/maps/place/Property+Stars,+LLC/data=!4m7!3m6!1s0x886c6767a34bf80f:0x48e445e5735d8864!8m2!3d39.1659782!4d-86.535098!16s%2Fg%2F11fm54y2m7!19sChIJD_hLo2dnbIgRZIhdc-VF5Eg","Property Stars, LLC",3.0,54,Property management company,"116 1/2 S College Ave Unit 14, Bloomington, IN 47404, United States","5F87+9X Bloomington, Indiana, USA",http://www.propertystarz.com/,+1 812-668-2815,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNLzg0hHyFKROgyvBvo8jzXpQzYwONAktYo5sFv=w408-h290-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2025-09-25T17:01:54.261Z,,,,
https://www.google.com/maps/place/Cedarview+Management/data=!4m7!3m6!1s0x886c66dbe10958cf:0x3d2255f8279f035e!8m2!3d39.1717794!4d-86.5352039!16s%2Fg%2F1tgtg77v!19sChIJz1gJ4dtmbIgRXgOfJ_hVIj0,Cedarview Management,4.7,317,Apartment rental agency,"601 N College Ave #1, Bloomington, IN 47404, United States","5FC7+PW Bloomington, Indiana, USA",http://www.tenthandcollege.com/,+1 812-339-8777,Open ⋅ Closes 5:30 pm,https://lh3.googleusercontent.com/p/AF1QipPFqmMOSb9UlfxUsO5jMe771x1EsJRcMi4gg0rE=w408-h304-k-no,true,8:30 am–5:30 pm,8:30 am–5:30 pm,Closed,Closed,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2025-09-25T17:01:59.531Z,,,,
https://www.google.com/maps/place/CS+Property+Management/data=!4m7!3m6!1s0x886c66dc56161f6d:0x293121f801b86675!8m2!3d39.1681839!4d-86.532562!16s%2Fg%2F1tdvf9t1!19sChIJbR8WVtxmbIgRdWa4AfghMSk,CS Property Management,2.6,34,Property management company,"225 N Washington St, Bloomington, IN 47408, United States","5F98+7X Bloomington, Indiana, USA",http://www.cspropertymanagement.com/,+1 812-330-1411,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=w9xnDgYvj9R8gowLh8DMiQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=264.81097&pitch=0&thumbfov=100,true,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2025-09-25T17:02:04.982Z,,,,
