placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,isBlackOwned,info,error
https://www.google.com/maps/place/MTS+Mobile+Tire+Service+LLC/data=!4m7!3m6!1s0x8834f3d575b2a3bd:0x1a0ff0560e9469fc!8m2!3d40.4452247!4d-79.9716262!16s%2Fg%2F11gvb6yvxx!19sChIJvaOyddXzNIgR_GmUDlbwDxo,MTS Mobile Tire Service LLC,4.7,209,Tire shop,· In-store pick-up,"2401 Reed St, Pittsburgh, PA 15219, United States","C2WH+38 Pittsburgh, Pennsylvania, USA",https://www.mtstireservice.com/,+1 888-246-8774,Open · Closes 9 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepRjGbwbeDn9Dgcx_8uUh7BnFCQsGJOH6ZVYlrv5S_cSArP9sAERPNHwrlkjKJsWOa4rg_xF0B6ANWeE9ag_afddtKy4CmpF-f8IwkzwSW-fv8QLl7335Vbt_RyA77zTA6M7-z2=w408-h544-k-no,true,10 am–9 pm,10 am–9 pm,10 am–9 pm,10 am–9 pm,10 am–9 pm,10 am–8 pm,11 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-03-23T16:02:48.768Z,,,
https://www.google.com/maps/place/Goodyear+Auto+Service/data=!4m7!3m6!1s0x8834f2714af983b3:0x358a8281d1bfd1e6!8m2!3d40.4643931!4d-79.9241688!16s%2Fg%2F1v_0kdd9!19sChIJs4P5SnHyNIgR5tG_0YGCijU,Goodyear Auto Service,4.6,568,Tire shop,· In-store shopping · In-store pick-up,"5913 Station St, Pittsburgh, PA 15206, United States","F37G+Q8 Pittsburgh, Pennsylvania, USA",https://www.goodyearautoservice.com/,+1 412-362-2660,"Open · Closes 6 pm

Confirmed by this business 6 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAwerhUXFD7j19H0Xe45fZtSutB0odOESIZE--f4Rh8HYZET2heNW3xNeqqzPPUInKazOTXDXnrTNxlN7leCa6oAAbaVoyx4qzGrCSyoMJuEZc2TThI_kynX0y8qIBIS0HcCnp-bOvDA=w408-h284-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-03-23T16:02:54.946Z,,,
https://www.google.com/maps/place/Busch+Brothers+Tire+Services+Inc./data=!4m7!3m6!1s0x8834ee6e8c2847b5:0xf766ed7d1c841fcd!8m2!3d40.421143!4d-79.889561!16s%2Fg%2F1tfsj1g1!19sChIJtUcojG7uNIgRzR-EHH3tZvc,Busch Brothers Tire Services Inc.,4.8,98,Tire shop,,"1931 Monongahela Ave, Pittsburgh, PA 15218, United States","C4C6+F5 Pittsburgh, Pennsylvania, USA",,+1 412-351-5342,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepCK9vJ-AEqxPbp-sMhJOHVjKSJXXnvfCehWE7jEd5D3OMXpLtq_Jp8BXIZ3JSI1GUMVJQrY9X3p4AiT2QB-20e9k3wYrHue808WqeVj0yetgw57M7fSu1jAGxjgkfMHI_quEmK=w408-h306-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-03-23T16:02:59.869Z,,,
https://www.google.com/maps/place/Al%27s+Motor+Works+%26+Tire+Center/data=!4m7!3m6!1s0x8834f235da184ebf:0xfb544592f2d860c3!8m2!3d40.4590784!4d-79.9587878!16s%2Fg%2F113fm_65b!19sChIJv04Y2jXyNIgRw2DY8pJFVPs,Al's Motor Works & Tire Center,4.8,101,Auto repair shop,,"3556 Bethoven St, Pittsburgh, PA 15213, United States","F25R+JF Pittsburgh, Pennsylvania, USA",,+1 412-621-1774,Open · Closes 3 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerPT7btDXmH2DzxVcwn3JrP8Z6IcPQe5t8AICgrRjtPrtE-ktnENAMWtVoKIfDMPILSRoZqXoWgUOmaOcz4XhRVXdusyxETdR-G6wvRQoxW9J0QMivORbV_G70oiC5KIf-NoT_y=w408-h306-k-no,true,7 am–3 pm,7 am–3 pm,7 am–3 pm,7 am–3 pm,7 am–3 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-03-23T16:03:04.962Z,,,
https://www.google.com/maps/place/Lifetime+Automotive+Center/data=!4m7!3m6!1s0x8834f1fc9fd14271:0xc7143a00cacd6214!8m2!3d40.4292331!4d-79.9249684!16s%2Fg%2F1trqhwhf!19sChIJcULRn_zxNIgRFGLNygA6FMc,Lifetime Automotive Center,3.3,99,Auto repair shop,,"5711 Forward Ave, Pittsburgh, PA 15217, United States","C3HG+M2 Pittsburgh, Pennsylvania, USA",,+1 412-421-7555,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqo1bUkTOqNtzNl8JXUmzeNsdgEThHSK6GlRU1mk1A-tM_Z6sGENbSxDU4e6lKOQ5v26J3VqsJyN6C2bZuzmu4PuNtZr70ZnoEkHOqLxshMQGTs8kdK1iGErINdlP8ugCzLTvU=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-03-23T16:03:09.787Z,,,
https://www.google.com/maps/place/Auto+Tire+Services/data=!4m7!3m6!1s0x8834ed78708fa98f:0x7e6103bd70098161!8m2!3d40.4452578!4d-79.874243!16s%2Fg%2F11j7dnmv17!19sChIJj6mPcHjtNIgRYYEJcL0DYX4,Auto Tire Services,4.4,53,Tire shop,,"1435 Montier St, Pittsburgh, PA 15221, United States","C4WG+48 Pittsburgh, Pennsylvania, USA",http://autotireservices.com/,+1 412-301-1790,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqo6oEs1xf5GjrsdbrYQLaElw58slOgNP5t30GXktrbLCF2bu-5pc2LEmClqOtFSftwhwGXi1Gxaefgkuqwr3Vz2Lv0-JoCIv-lNlB7inOfT2kiKadCSpWaG0qzMCZFuHjJuIRm=w426-h240-k-no,true,9:30 am–6 pm,9:30 am–6 pm,9:30 am–6 pm,9:30 am–6 pm,9:30 am–6 pm,9:30 am–6 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-03-23T16:03:14.787Z,true,,
"https://www.google.com/maps/place/Magic+Towing+and+Tires,+LLC/data=!4m7!3m6!1s0x8834edbc239ce921:0xc431ead0a3d92832!8m2!3d40.4502482!4d-79.8878432!16s%2Fg%2F11hss7kc6k!19sChIJIemcI7ztNIgRMijZo9DqMcQ","Magic Towing and Tires, LLC",4.5,22,Auto repair shop,,"7800 Tioga St, Pittsburgh, PA 15208, United States","F426+3V Pittsburgh, Pennsylvania, USA",,+1 412-409-4079,Open · Closes 6 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4FI28D-ee-eYTwM1H4StAg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=203.25984&pitch=0&thumbfov=100,true,10:30 am–6 pm,10:30 am–6 pm,10:30 am–6 pm,10:30 am–6 pm,10:30 am–6 pm,10:30 am–3 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-03-23T16:03:20.053Z,,,
https://www.google.com/maps/place/Pep+Boys+Auto+Service+%26+Tires/data=!4m7!3m6!1s0x8834f23bfaabd08f:0x197fc1614ee14ee9!8m2!3d40.453516!4d-79.948168!16s%2Fg%2F1tm0ttnc!19sChIJj9Cr-jvyNIgR6U7hTmHBfxk,Pep Boys Auto Service & Tires,3.8,1775,Tire shop,· In-store shopping · In-store pick-up,"936 S Millvale Ave, Pittsburgh, PA 15213, United States","F332+CP Pittsburgh, Pennsylvania, USA",https://www.pepboys.com/stores/pa/pittsburgh/936-south-millvale-ave?Cid=gbp_appt_AN:PB%7CPB:G%7CTT:GBP%7CCG:CONVERSION%7CCD:SERVICE,+1 412-504-9208,"Open · Closes 7 pm

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqJF-WG0IVgQ0OMLEZZXrVBno_s7yZdicV1j6hVPGVcQkx-cNsmOFfLC49exae9EbOKFj-atwnwHFZk24-ysU1K9tRRh7AiIH1mbjeFCaLxRNmp5E6wpDs1CLG0wKZC8-t39Xb7ijK8CFeT=w531-h240-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,9 am–6 pm,"https://www.google.com/maps/search/tire+service+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-03-23T16:03:25.113Z,,,
https://www.google.com/maps/place/Autoworx+East+End/data=!4m7!3m6!1s0x8834f27259828d95:0xc00407acfbd99b70!8m2!3d40.4608449!4d-79.928758!16s%2Fg%2F1wrtdhyl!19sChIJlY2CWXLyNIgRcJvZ-6wHBMA,Autoworx East End,4.6,411,Auto repair shop,,"201 S Euclid Ave, Pittsburgh, PA 15206, United States","F36C+8F Pittsburgh, Pennsylvania, USA",http://autoworxeastend.com/,+1 412-661-0100,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerMtpekys8lAQPQq_jTqQ1Z1CHjBAJJVIaB8aeAIgc2Q4SIHMfDdYSxZulje7GLrgmQAWfoBD709Rog4ixpRun95CU2yZZpFl-ck4BllswT6oGzMTmhrmqrNb1DNDLpvR_xGYQ=w408-h281-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-03-23T16:03:30.163Z,,,
https://www.google.com/maps/place/Duke%27s+Tire+Service/data=!4m7!3m6!1s0x8834f16a1fb0b3f3:0xc0960c30f20b742f!8m2!3d40.427853!4d-79.9851713!16s%2Fg%2F1tfpkgn8!19sChIJ87OwH2rxNIgRL3QL8jAMlsA,Duke's Tire Service,4.7,385,Tire shop,· In-store pick-up,"1301 Sarah St, Pittsburgh, PA 15203, United States","C2H7+4W Pittsburgh, Pennsylvania, USA",,+1 412-481-1235,Open · Closes 4 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoxYxPGWOVnom9MoS5tJZfncTrnOeWzaCeUY0AX5KYJE7T6Qqige6H6mnt4GJxlSfAnYbq-3F-0oBqUeBVo43ifxTSGBuGHQO7PSlnosxQp7YtSJf9790lZY1EmvobQBKeOXFay=w408-h306-k-no,true,8:30 am–4 pm,8:30 am–4 pm,8:30 am–4 pm,8:30 am–4 pm,8:30 am–4 pm,8:30 am–12 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-03-23T16:03:35.342Z,,,
