placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,error
https://www.google.com/maps/place/University+of+Illinois+Parking+Department/data=!4m7!3m6!1s0x880cd7debb908f73:0xe6e1da53566415cc!8m2!3d40.1158597!4d-88.2248908!16s%2Fg%2F11fk424lk3!19sChIJc4-Qu97XDIgRzBVkVlPa4eY,University of Illinois Parking Department,1.7,57,Parking lot,"1201 W University Ave, Urbana, IL 61801, United States","4Q8G+82 Urbana, Illinois, USA",https://parking.illinois.edu/,+1 217-333-3530,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxQd-nBQK4p81ruS0Xeu-cO03w1BRH0dwEyAMsCKV1S_obOQsQG-hoybn19j1lYMfy5nJq3N8YOvkkSIDYLZexiG2psgBYhx5CwOO3xJQqrJVMGcG1Nvxle5-a9GL9H4sdShuTyYQ=w426-h240-k-no,false,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Champaign+Champaign+IL/@40.1162884,-88.2435155,14z",2025-10-28T18:31:45.404Z,
https://www.google.com/maps/place/Public+Parking/data=!4m7!3m6!1s0x880cd74edc2a2abf:0x7602299ad059da52!8m2!3d40.1176783!4d-88.2391298!16s%2Fg%2F1ptw0tkjv!19sChIJvyoq3E7XDIgRUtpZ0JopAnY,Public Parking,5.0,1,Parking lot,"Parking lot, 203 N 1st St, Champaign, IL 61820, United States","4Q96+38 Champaign, Illinois, USA",http://www.ci.champaign.il.us/parking,+1 217-403-4700,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xwkQWJGiFOyveR5JSh692g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=261.50394&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Champaign+Champaign+IL/@40.1162884,-88.2435155,14z",2025-10-28T18:31:50.041Z,
https://www.google.com/maps/place/Lot+C7+-+6th+St.+and+John+St.+Parking+Garage/data=!4m7!3m6!1s0x880cd73ed80a85d3:0xaffb651d21e12e84!8m2!3d40.1086913!4d-88.2308282!16s%2Fg%2F1hd_zqymc!19sChIJ04UK2D7XDIgRhC7hIR1l-68,Lot C7 - 6th St. and John St. Parking Garage,4.2,10,Parking garage,"Parking Structure C-7, 812 S 5th St, Champaign, IL 61820, United States","4Q59+FM Champaign, Illinois, USA",http://union.illinois.edu/visit/parking-and-directions,,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxsY7Bf0VbY1lLJEJWgxpfIGeZWU0P0lch1933hmL6utNqhsUocZnWy23vh3_xgi48omJPm9Vi5lw_gtAQWvAzeaulsTeP4B3rr7OX0IlLCy4xuiIdnkn8iZTaqrHbvLrv0bsM=w408-h544-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Champaign+Champaign+IL/@40.1162884,-88.2435155,14z",2025-10-28T18:31:56.709Z,
https://www.google.com/maps/place/1701+S+Oak+St+Parking/data=!4m7!3m6!1s0x880cd72c7478027b:0x4699beb2d88dda46!8m2!3d40.0964659!4d-88.2426575!16s%2Fg%2F11sb4tg855!19sChIJewJ4dCzXDIgRRtqN2LK-mUY,1701 S Oak St Parking,5.0,1,Parking lot,"1701 S Oak St, Champaign, IL 61820, United States","3QW4+HW Champaign, Illinois, USA",,,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyntrvpVMMew1E8yKtCzof6otpcDfEQNb2_giog-ZXZGaWZ148Ezf6Xze6LlU4wryVftsxGhSa9zGcIdNGHsabdL6wN_kiIiX4gFcb5uxo9Wv3DVFbH4B4S1I8ogTXGoyMjFcltCg=w408-h306-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Champaign+Champaign+IL/@40.1162884,-88.2435155,14z",2025-10-28T18:32:02.816Z,
https://www.google.com/maps/place/Parking+Lot+L/data=!4m7!3m6!1s0x880cd0f06eb4e8e1:0xde221996c29643a9!8m2!3d40.1021202!4d-88.2770029!16s%2Fg%2F1pp2x9h21!19sChIJ4ei0bvDQDIgRqUOWwpYZIt4,Parking Lot L,,,Parking lot,"1301 S Mattis Ave, Champaign, IL 61821, United States","4P2F+R5 Champaign, Illinois, USA",,,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ygKFZS0t847SxSFGll_7fg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=138.89122&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Champaign+Champaign+IL/@40.1162884,-88.2435155,14z",2025-10-28T18:32:08.677Z,
https://www.google.com/maps/place/AirGarage/data=!4m7!3m6!1s0x880cd7d59396208d:0x8db481ddd7f3c1de!8m2!3d40.1087407!4d-88.2315686!16s%2Fg%2F11rg6qqnsk!19sChIJjSCWk9XXDIgR3sHz192BtI0,AirGarage,,,Parking lot,"503 E John St, Champaign, IL 61820, United States","4Q59+F9 Champaign, Illinois, USA",,+1 415-417-0975,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=H4ft0U_iFuzZfBDwRquThQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=273.42682&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Champaign+Champaign+IL/@40.1162884,-88.2435155,14z",2025-10-28T18:32:14.208Z,
https://www.google.com/maps/place/Lot+C3/data=!4m7!3m6!1s0x880cd73ee2e2b33f:0xa022c690219fa851!8m2!3d40.1085991!4d-88.2298008!16s%2Fg%2F11tjbvx_x0!19sChIJP7Pi4j7XDIgRUaifIZDGIqA,Lot C3,,,Parking lot,"808 S 6th St, Champaign, IL 61820, United States","4Q5C+C3 Champaign, Illinois, USA",,+1 217-333-3530,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YoLsOcxDM88ilSAPZlturA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=86.33626&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Champaign+Champaign+IL/@40.1162884,-88.2435155,14z",2025-10-28T18:32:20.057Z,
https://www.google.com/maps/place/Campus+Center+Public+Parking+Deck/data=!4m7!3m6!1s0x880cd740a7e4a0ff:0xfdda8ab72b1e1da4!8m2!3d40.1113784!4d-88.2311801!16s%2Fg%2F11bw66brrt!19sChIJ_6Dkp0DXDIgRpB0eK7eK2v0,Campus Center Public Parking Deck,4.6,20,Parking garage,"509 E Healey St, Champaign, IL 61820, United States","4Q69+HG Champaign, Illinois, USA",https://jsmliving.com/parkingdeck,+1 217-239-4304,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNBJy3iTclSAfBYALNVLLF6Xk3MyO2eQfnBTNr4=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Champaign+Champaign+IL/@40.1162884,-88.2435155,14z",2025-10-28T18:32:26.108Z,
https://www.google.com/maps/place/Hill+Street+Parking+Deck/data=!4m7!3m6!1s0x880cd74ce110b275:0x1f50f3bacf39bbf8!8m2!3d40.1189355!4d-88.2444894!16s%2Fg%2F12ml2vldn!19sChIJdbIQ4UzXDIgR-Ls5z7rzUB8,Hill Street Parking Deck,4.4,40,Parking garage,"123 W Hill St, Champaign, IL 61820, United States","4Q94+H6 Champaign, Illinois, USA",http://champaignil.gov/public-works/parking/,+1 217-403-4700,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NwhspKMfkdrZBVOHoqUAfw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=211.86311&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Champaign+Champaign+IL/@40.1162884,-88.2435155,14z",2025-10-28T18:32:30.128Z,
https://www.google.com/maps/place/Carle+Foundation+Hospital+Orchard+Parking+Garage/data=!4m7!3m6!1s0x880cd771719559e1:0x1478385d2c2def0a!8m2!3d40.1170747!4d-88.2139368!16s%2Fg%2F11gg58vl0m!19sChIJ4VmVcXHXDIgRCu8tLF04eBQ,Carle Foundation Hospital Orchard Parking Garage,4.2,65,Parking garage,"611 W Park St, Urbana, IL 61801, United States","4Q8P+RC Urbana, Illinois, USA",https://carle.org/patients-visitors/parking-more,,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwYMbGVSWNlmFupTgOmleShiqMH_cO4s5xp_BmRyDXR9_0-b7BnUdGhV0-4q0BfoV7kYS3ELYXUlHAUiC_aatjD_1u0vJTb5DX33hghnobSZFIuVm5ARCvMxRdsfA9r3X_vZV3x=w493-h240-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Champaign+Champaign+IL/@40.1162884,-88.2435155,14z",2025-10-28T18:32:36.495Z,
