placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,info,isBlackOwned,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp
https://www.google.com/maps/place/12th+Street+Tires/data=!4m7!3m6!1s0x549055e74c9f33bd:0x3630be760af95cce!8m2!3d47.2503583!4d-122.4633693!16s%2Fg%2F11qplpdnq3!19sChIJvTOfTOdVkFQRzlz5Cna-MDY,12th Street Tires,4.8,320,Used tire shop,· In-store shopping · Kerbside pickup,"2001 S 12th St, Tacoma, WA 98405, United States","7G2P+4M Tacoma, Washington, USA",http://12thstreettires.com/,+1 253-300-7743,Open · Closes 6 pm,LGBTQ+ friendly,true,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq3GhJYkxtt_HsZaLfwWxt-_ZP0Hjt0nQvl8k_SJpq2nDRRLNI3r2a1teSgTjEshIgzuM0sYRq-1kpCaPkTbFQnv1R3-rJKZtrPjrVjAiwySh8nMj5Wy8gzpbwhepfDU91wHphuaEHe1WTH=w408-h306-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-03-23T17:31:42.796Z
https://www.google.com/maps/place/Industrial+Tire+Service/data=!4m7!3m6!1s0x54905578e134e753:0x71ccb558b2198319!8m2!3d47.2411408!4d-122.4283819!16s%2Fg%2F1thq4_b1!19sChIJU-c04XhVkFQRGYMZsli1zHE,Industrial Tire Service,4.6,39,Auto repair shop,,"423 Puyallup Ave, Tacoma, WA 98421, United States","6HRC+FJ Tacoma, Washington, USA",http://www.industrialtire.com/,+1 253-383-1645,Open · Closes 5 pm,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqCoj8emwPUP-zScBVHhb-PIHWkSML1vt6ENb1noweXUk6SZUVqg8SJpROVLotDNTsnGA5S-Cvqf7_idHrkRqDE4AQc-qDJH43dlA8wA9PstpWOQKgwPt0bgUcFQ93RHIiClhmd=w408-h280-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-03-23T17:31:48.833Z
https://www.google.com/maps/place/GCR+Tires+%26+Service/data=!4m7!3m6!1s0x549055931a4ef42b:0xcea649d0f9be4430!8m2!3d47.2549393!4d-122.40766!16s%2Fg%2F11_qqm_mr!19sChIJK_ROGpNVkFQRMES--dBJps4,GCR Tires & Service,4.3,78,Truck repair shop,,"1671 Lincoln Ave, Tacoma, WA 98421, United States","7H3R+XW Tacoma, Washington, USA",https://www.gcrtires.com/,+1 253-272-9886,Open · Closes 5 pm,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDhCx2hEYVqUx-990VuKPDH3aDc7k9fLeOEwZkhJpt-9zVxNXJRSY7KTWp-vA_0zAqFKlTY4MpKzIL2S4FdA5YVM7nFGTKvbwxwlvCf3w-uf4kJXqBIAxd6dORms6-hKq9O4WFKA=w408-h306-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-03-23T17:31:54.940Z
https://www.google.com/maps/place/T-Town+Tires/data=!4m7!3m6!1s0x5490556aeb9015fd:0xdded65af03792083!8m2!3d47.2511128!4d-122.4526173!16s%2Fg%2F11krfr26mn!19sChIJ_RWQ62pVkFQRgyB5A69l7d0,T-Town Tires,4.4,39,Tire shop,,"1115 Earnest S Brazill St, Tacoma, WA 98405, United States","7G2W+CX Tacoma, Washington, USA",http://t-towntires.com/,+1 253-905-2380,Open · Closes 6 pm,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepLRyWdizRarCtetimDz_1WgObRoO814fl52DtK_-XFc4HYbq3-No4tWmaMM2_I0fDWelncQsrAz80ahU_A4ScM23WyR2ELmHkTHFweMJC_zG8IHhUT4X1C5vZU0JRLNAlnSsf_tw=w408-h544-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/tire+service+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-03-23T17:32:01.138Z
https://www.google.com/maps/place/Eagle+Tire+%26+Automotive/data=!4m7!3m6!1s0x5490557b71c63d45:0xeeb91c9d969bd028!8m2!3d47.2398379!4d-122.4338159!16s%2Fg%2F1tkqzzjh!19sChIJRT3GcXtVkFQRKNCblp0cue4,Eagle Tire & Automotive,4.4,140,Auto repair shop,,"102 Puyallup Ave, Tacoma, WA 98421, United States","6HQ8+WF Tacoma, Washington, USA",https://eagletire.com/tacoma/,+1 253-645-0650,Open · Closes 5:30 pm,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweptotFjZjJeirYlqTjNg7bRDqeBcx0RMAJX4k51rVXFMiqne2H8AU0VzcKaDeNBH0Ov6t7OnVNNoD94k109rGIsx3rKx4hZMHcSy6aNdSaX2sDvQMIoe2DQ_XajChTDtfHSYKHLVw=w426-h240-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–4:30 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-03-23T17:32:07.309Z
https://www.google.com/maps/place/KINGS+TIRE+TRUCK+%26+TRAILER+REPAIR/data=!4m7!3m6!1s0x5490559bff38743d:0xf126fa5c0c36a4f3!8m2!3d47.2459815!4d-122.4223933!16s%2Fg%2F11g69987g8!19sChIJPXQ4_5tVkFQR86Q2DFz6JvE,KINGS TIRE TRUCK & TRAILER REPAIR,4.7,191,Truck repair shop,,"490 E 19th St, Tacoma, WA 98421, United States","6HWH+92 Tacoma, Washington, USA",http://kingstirellc.com/,+1 206-407-8301,Open · Closes 5 pm,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq3Wxjig1g-NL-upGCQR7D3EG2CEq_hPnBJ9kWvSIhKGhfan_f0w26OmqIHFwObIQCWtOreDYuDx10Ng5zeHvU1pYk-aikFHEz8QbQj_vZlPFlxwN_8wYLlPuIniVcZ1Th_7FPIKg=w513-h240-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-03-23T17:32:12.945Z
https://www.google.com/maps/place/Titus-Will+Service+%26+Tire/data=!4m7!3m6!1s0x549055a9aefaebd5:0x89eb9e2fc7586a63!8m2!3d47.2582225!4d-122.4418993!16s%2Fg%2F1td1v45b!19sChIJ1ev6rqlVkFQRY2pYxy-e64k,Titus-Will Service & Tire,4.3,343,Auto repair shop,,"616 Broadway, Tacoma, WA 98402, United States","7H55+76 Tacoma, Washington, USA",https://www.tituswillserviceandtire.com/,+1 253-627-3111,Open · Closes 5:30 pm,LGBTQ+ friendly,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq49rgo7HcJNbJ7Apwagq4JInS37nh5e5_1pesQuGRZsR1E_xMrbBWI_cdUxfZupQ01qtvYW1H3dSA_P2Pd_4Ojzkk092pXZFqERDWvR9tmV2vOzjBVfwrcgMd0myItmKAmVN_y8w=w408-h306-k-no,true,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-03-23T17:32:18.978Z
https://www.google.com/maps/place/Long+Road+Repair/data=!4m7!3m6!1s0x5490553899a57f5b:0xd2c66a38037bb7a0!8m2!3d47.2404543!4d-122.4098897!16s%2Fg%2F11lp0blwvl!19sChIJW3-lmThVkFQRoLd7AzhqxtI,Long Road Repair,4.7,51,Tire repair shop,,"2603 Portland Ave E, Tacoma, WA 98421, United States","6HRR+52 Tacoma, Washington, USA",https://longroadrepair.com/services/semi-truck-tire-repair-in-tacoma-wa/,+1 425-900-6212,Open · Closes 12 am,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer2NJdFTbDA7Elhz3yA5-eCCQeYIMkjeXYwujYzrxWaDq_gVIyVJn73-id1mz0289qevkFG1BM4hbwPm9BNpLz0lrKDWrUJI3J-hJTG9NbTY5Cq-bqd4HmPvigrDfnr6YnzQw0w=w408-h544-k-no,true,5 am–12 am,5 am–12 am,5 am–12 am,5 am–12 am,5 am–12 am,5 am–12 am,Closed,"https://www.google.com/maps/search/tire+service+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-03-23T17:32:23.847Z
https://www.google.com/maps/place/56+Street+Tires/data=!4m7!3m6!1s0x5491000cdf5850ef:0x6406b225e3e841ff!8m2!3d47.2060372!4d-122.4909943!16s%2Fg%2F1w4vjmw4!19sChIJ71BY3wwAkVQR_0Ho4yWyBmQ,56 Street Tires,4.7,2015,Tire shop,· In-store shopping · Kerbside pickup,"4002 S 56th St, Tacoma, WA 98409, United States","6G45+CJ Tacoma, Washington, USA",http://www.56streettires.com/,+1 253-301-3843,Open · Closes 5 pm,LGBTQ+ friendly,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepUh6mbgR-VThZIXkLW22WqHoMDF1rY8V9tPNqKrJJwnPU4Bdl4d34UTDUusZMFcrdQ79JmmIEi-SsHQzez2hiPOKVq134e6f3L2za3OVQKOakvdfhhF8ow3puc7PMzBGo8JUox=w426-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-03-23T17:32:29.023Z
https://www.google.com/maps/place/Pomp%27s+Tire+Service/data=!4m7!3m6!1s0x5490554955a871af:0x231cfcdc3d6d2924!8m2!3d47.254906!4d-122.4075997!16s%2Fg%2F11tj5_n039!19sChIJr3GoVUlVkFQRJCltPdz8HCM,Pomp's Tire Service,4.0,6,Tire shop,· In-store shopping · Kerbside pickup · Delivery,"1671 Lincoln Ave, Tacoma, WA 98421, United States","7H3R+XX Tacoma, Washington, USA",https://locations.pompstire.com/wa/tacoma/1671-lincoln-avenue?utm_source=Google&utm_medium=Yext,+1 253-272-9886,Open · Closes 5 pm,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqEGl4_HrEPNhK3uyOGgquFafxECCqawaAmJ5kPDxNLocHM8nQhrYnfLUIe9U7JEnEHSddUtgbiAhEd381QkwxjzvWLssRg7vcJtcIj4mRAAePJhHQFmalzUJuYaGqFzm3Z_2U1IQ=w408-h408-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-03-23T17:32:33.848Z
