placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,monday,tuesday,wednesday,thursday,friday,saturday,sunday,attributes,info,error
https://www.google.com/maps/place/Advance+Pool+Services/data=!4m7!3m6!1s0x89c4393a24a1ce15:0xb369bd4294ba4248!8m2!3d40.6213078!4d-75.4478178!16s%2Fg%2F1tjz8x31!19sChIJFc6hJDo5xIkRSEK6lEK9abM,Advance Pool Services,4.1,11,Swimming pool repair service,"650 E Cedar St, Allentown, PA 18109, United States","JHC2+GV Allentown, Pennsylvania, USA",https://www.aquaticsconnect.com/allentown/services-vendors/advance-pool-services,+1 610-439-2311,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwQBwRly56qkoLGUUctFZRdb9w8xxk1U59tTmXhsFqPBMHIT8x8KBClEgfbJ4f-ftllsHavNY_hbHmr4WzFX1i5hfSmXYNwT940oGGlH9PrdOU4wCQ40-mUXVUbliTlt1u_SJ-Y=w513-h240-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2025-10-27T17:37:47.860Z,,,,,,,,,,
https://www.google.com/maps/place/Thompson+Pool+Services/data=!4m7!3m6!1s0x89c4392e43c165ed:0x1c3c705d23ac0f73!8m2!3d40.6270056!4d-75.4414827!16s%2Fg%2F1tj6vs4t!19sChIJ7WXBQy45xIkRcw-sI11wPBw,Thompson Pool Services,,,Swimming pool contractor,"1001 E Highland St, Allentown, PA 18109, United States","JHG5+RC Allentown, Pennsylvania, USA",,+1 610-432-2000,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NxAD8IBL8DyOHPvRSDa9Pw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=354.55316&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/pool+services+businesses+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2025-10-27T17:37:51.815Z,,,,,,,,,,
https://www.google.com/maps/place/Lehigh+Valley+Aqua+Pools/data=!4m7!3m6!1s0x89c46c3b89607a71:0x8f6ee846eac639b9!8m2!3d40.7156091!4d-75.4933585!16s%2Fg%2F1vp74qpc!19sChIJcXpgiTtsxIkRuTnG6kbobo8,Lehigh Valley Aqua Pools,4.6,47,Swimming pool contractor,"3742 Kreidersville Rd Suite A, Northampton, PA 18067, United States","PG84+6M Northampton, Pennsylvania, USA",http://aquapoolslv.com/,+1 610-253-4892,Open ⋅ Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipPNCS3rbFBbC7IUifFVcLqWMMftokb8fQ7OtLrL=w408-h304-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2025-10-27T17:37:56.810Z,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,Closed,,,
https://www.google.com/maps/place/ABE+POOLS/data=!4m7!3m6!1s0x89c43fde62fd357d:0x74a6fb21754b2823!8m2!3d40.677695!4d-75.4335423!16s%2Fg%2F11clw3q7y9!19sChIJfTX9Yt4_xIkRIyhLdSH7pnQ,ABE POOLS,4.9,139,Swimming pool contractor,"5545 Montauk Ln, Bethlehem, PA 18017, United States","MHH8+3H Bethlehem, Pennsylvania, USA",https://www.abepools.com/,+1 610-597-7201,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipOiZcc1JQT2Bf9QYHs86K9U3op8xhLCDgt9-Evm=w408-h408-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2025-10-27T17:38:02.717Z,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,,,
https://www.google.com/maps/place/Arrow+Master+Pools/data=!4m7!3m6!1s0x89c43c928be43c95:0x93c81ce9f5e55d1c!8m2!3d40.5407622!4d-75.4140448!16s%2Fg%2F1tdm988r!19sChIJlTzki5I8xIkRHF3l9ekcyJM,Arrow Master Pools,4.6,64,Swimming pool contractor,"4839 PA-309, Center Valley, PA 18034, United States","GHRP+89 Center Valley, Upper Saucon Township, PA, USA",http://www.arrowmasterpools.com/,+1 610-797-0180,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNrQVcup8mQIItv_OPI-8v1hdeSrT22YvvDVjRJ=w408-h272-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2025-10-27T17:38:07.694Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,,,
https://www.google.com/maps/place/American+Pools+%26+Spas/data=!4m7!3m6!1s0x89c4383dee1c1c0b:0x2af2b6cf4c5f1856!8m2!3d40.6635381!4d-75.5112178!16s%2Fg%2F1tf03f5m!19sChIJCxwc7j04xIkRVhhfTM-28io,American Pools & Spas,4.1,293,Swimming pool contractor,"3610 MacArthur Rd, Whitehall Township, PA 18052, United States","MF7Q+CG Stiles, Pennsylvania, USA",http://www.americanpoolslehighvalley.com/,+1 610-262-9464,"Open ⋅ Closes 6 pm

Updated by others 5 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOYy4xBd7nRxmwm6edltxA4hlPIObkpI75FHEVk=w408-h271-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2025-10-27T17:38:12.636Z,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–5 pm,11 am–4 pm,,,
https://www.google.com/maps/place/MPS+Custom+Pools/data=!4m7!3m6!1s0x89c4310a6f595c15:0x92f56b6b0c76faef!8m2!3d40.5374432!4d-75.4883701!16s%2Fg%2F11b6pzd39p!19sChIJFVxZbwoxxIkR7_p2DGtr9ZI,MPS Custom Pools,3.4,38,Swimming pool contractor,"188 Main St, Emmaus, PA 18049, United States","GGP6+XM Emmaus, Pennsylvania, USA",https://www.mpscustompools.com/,+1 484-866-0561,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipO0TSghlfb3hDq4zl9TuTIYUENo2k0jL4N4OpbV=w408-h306-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2025-10-27T17:38:17.596Z,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,,,
https://www.google.com/maps/place/JL+Pool+And+Spa+Services+LLC/data=!4m7!3m6!1s0xc19e44f97b3a341:0x3e4d6af7d4f30411!8m2!3d40.593028!4d-75.483838!16s%2Fg%2F11vjxdx74w!19sChIJQaOzl0_kGQwREQTz1PdqTT4,JL Pool And Spa Services LLC,3.7,3,Swimming pool repair service,,,https://usametrox.top/details/jl-pool-and-spa-services-llc-ChIJQaO,+1 610-972-3676,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOueM06n4qVuWZ7Eay0ioQSrfGL97y2fshA_V_x=w408-h306-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2025-10-27T17:38:22.574Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,,,
https://www.google.com/maps/place/Blueway+Pools/data=!4m7!3m6!1s0x89c43fc4297acb67:0x744edb0e3587f16d!8m2!3d40.6374188!4d-75.3587755!16s%2Fg%2F124yqy4kk!19sChIJZ8t6KcQ_xIkRbfGHNQ7bTnQ,Blueway Pools,4.4,81,Swimming pool contractor,"1845 Watkins St, Bethlehem, PA 18018, United States","JJPR+XF Bethlehem, Pennsylvania, USA",http://www.bluewaypools.com/,+1 484-629-3691,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipO00ui8ixeCGdOY0k_K2cPDi5o1EDlNrR0Uj9kx=w408-h306-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+Bethlehem+Allentown+PA/@40.6022939,-75.4714098,14z",2025-10-27T17:38:46.012Z,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,9 am–5 pm,10 am–5 pm,,,
https://www.google.com/maps/place/Dream+Maker+Pools/data=!4m7!3m6!1s0x529664e54fddeb1:0xa0fa7888496bdf0!8m2!3d40.6115686!4d-75.3787983!16s%2Fg%2F11lt9x1qtw!19sChIJsd79VE5mKQUR8L2WhIinDwo,Dream Maker Pools,5.0,13,Swimming pool contractor,"306 S New St, Bethlehem, PA 18017, United States","JJ6C+JF Bethlehem, Pennsylvania, USA",https://www.dreammaker-pools.com/,+1 570-350-8343,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOC1K7jrZ9izXRmT-qpy9iANe_ctqvz5I4g4lOx=w408-h544-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+Bethlehem+Allentown+PA/@40.6022939,-75.4714098,14z",2025-10-27T17:38:51.281Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,,,
