placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,isBlackOwned,error,attributes
https://www.google.com/maps/place/Garage+Door+Repair+Austin+By+A-American+Overhead+Doors/data=!4m7!3m6!1s0x865b4b99d883a9ef:0x600453b74e822368!8m2!3d30.3402382!4d-97.7272882!16s%2Fg%2F1hm483k53!19sChIJ76mD2JlLW4YRaCOCTrdTBGA,Garage Door Repair Austin By A-American Overhead Doors,5.0,293,Garage door supplier,,,https://www.garagedoorrepairaustinbyaaohd.com/,+1 512-947-3294,Open ⋅ Closes 8 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPC4YtE3Xqzvsc3BmE06aGtildqVUS7kR9n4AQA=w408-h271-k-no,true,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/garage+door+services+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-11-07T22:44:24.607Z,,,
https://www.google.com/maps/place/OGD+Overhead+Garage+Door/data=!4m7!3m6!1s0x8644b5f7836d1823:0x18a1688fe7dfb056!8m2!3d30.2646644!4d-97.7334635!16s%2Fg%2F11vk81dqy6!19sChIJIxhtg_e1RIYRVrDf549ooRg,OGD Overhead Garage Door,4.6,195,Garage door supplier,"906 E 5th St. #101b, Austin, TX 78702, United States","7778+VJ Austin, Texas, USA",https://ogd.com/tx/austin/?utm_source=gmb&utm_medium=organic&utm_campaign=ogd-aus-01&ogd_src=ogd-aus-01-google_business_profile,+1 512-982-6518,Open 24 hours,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipOH-FOgNwAlUGDCWwu8HHZ3aRafLcjI-NiMZbdx=w425-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-11-07T22:44:29.641Z,,,
https://www.google.com/maps/place/Precision+Garage+Door+of+Austin/data=!4m7!3m6!1s0x865b469f5efdf971:0xdd2c586784e49fee!8m2!3d30.328429!4d-97.6610305!16s%2Fg%2F1td2v9vx!19sChIJcfn9Xp9GW4YR7p_khGdYLN0,Precision Garage Door of Austin,4.9,1698,Garage door supplier,,,https://www.precisiondooraustin.com/,+1 512-333-1140,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipOPtd1u1jP9SSoxPu8n1H2ihZnUNjBjXEYg1fjH=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-11-07T22:44:34.518Z,,,
https://www.google.com/maps/place/Spritzer+Garage+Doors+Co./data=!4m7!3m6!1s0x8644b58f433c40ef:0x573dd1bd190770c3!8m2!3d30.2647573!4d-97.7464871!16s%2Fg%2F11rzjgjmyv!19sChIJ70A8Q4-1RIYRw3AHGb3RPVc,Spritzer Garage Doors Co.,5.0,22,Contractor,"249 W 2nd St, Austin, TX 78701, United States","7773+WC Austin, Texas, USA",https://www.spritzergaragedoorsco.com/,+1 512-883-0377,Open ⋅ Closes 10 pm,,https://lh3.googleusercontent.com/p/AF1QipNnN_UIOB-lqvG3W0SgQ2AEjj24zed9jcsYoXVq=w426-h240-k-no,true,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,"https://www.google.com/maps/search/garage+door+services+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-11-07T22:44:38.975Z,,,
https://www.google.com/maps/place/Tommy%27s+Garages/data=!4m7!3m6!1s0x8644b5428d14a155:0x8bf734ec8c9df255!8m2!3d30.2624339!4d-97.7427177!16s%2Fg%2F11srfh24dl!19sChIJVaEUjUK1RIYRVfKdjOw094s,Tommy's Garages,4.7,46,Garage door supplier,"98 San Jacinto Blvd Suite 206, Austin, TX 78701, United States","7764+XW Austin, Texas, USA",https://austindoorsandgates.com/,+1 512-643-7111,Open ⋅ Closes 10 pm,,https://lh3.googleusercontent.com/p/AF1QipNvXh2nm2yvdEKZ3qyJzxUa-uSehDGY5enVIgpD=w647-h240-k-no,true,5 am–10 pm,5 am–10 pm,5 am–10 pm,5 am–10 pm,5 am–10 pm,5 am–10 pm,5 am–10 pm,"https://www.google.com/maps/search/garage+door+services+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-11-07T22:44:43.589Z,,,
https://www.google.com/maps/place/The+Up+and+Up+Garage+Doors+-+Garage+Door+Service+in+Austin+Texas/data=!4m7!3m6!1s0x865b334e17fac5cb:0xf08d764f6d3d2626!8m2!3d30.399156!4d-97.851646!16s%2Fg%2F11gm92vx77!19sChIJy8X6F04zW4YRJiY9bU92jfA,The Up and Up Garage Doors - Garage Door Service in Austin Texas,4.9,73,Garage door supplier,"11203 Ranch to Market Rd 2222, Austin, TX 78730, United States","94XX+M8 Austin, Texas, USA",https://theupandupdoors.com/,+1 512-707-9494,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipNQC7Pp-XLntVKIpmpnJzGZvqMSWN0zvP9LkTWy=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-11-07T22:44:48.763Z,,,
https://www.google.com/maps/place/Reliable+Garage+Door+Repair+of+Austin/data=!4m7!3m6!1s0x80deabdf88c9d4b7:0xb5b65987a52d83ec!8m2!3d30.2364632!4d-97.7406396!16s%2Fg%2F11vkrg_b2y!19sChIJt9TJiN-r3oAR7IMtpYdZtrU,Reliable Garage Door Repair of Austin,5.0,17,Garage door supplier,"2100 S I-35 Frontage Rd #200, Austin, TX 78704, United States","67P5+HP Austin, Texas, USA",http://reliablegaragedooraustin.com/,+1 512-737-3387,Open ⋅ Closes 8 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzZc1aw8mErEqQRblyKGN8U5Z9gz3bv-ko2KkQ1cTPnUjiq_Oy5rWilQe1sCkBNuetVG5-YmNeQMnWp7SVu2rkjurE3wgdAzFdL1AlFZ5i7XLkxCrB3kMTHkL18IezT5vcsqzqrskXtE1Rc=w408-h543-k-no,false,6 am–8 pm,6 am–8 pm,6 am–8 pm,6 am–8 pm,6 am–8 pm,6 am–8 pm,6 am–8 pm,"https://www.google.com/maps/search/garage+door+services+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-11-07T22:44:53.234Z,true,,
https://www.google.com/maps/place/Ultimate+Garage+Door+Repair+-+Austin/data=!4m7!3m6!1s0x865b4bc2cbddda83:0xb7135a201cc61a3d!8m2!3d30.2714254!4d-97.8169529!16s%2Fg%2F11xp4g0vf8!19sChIJg9rdy8JLW4YRPRrGHCBaE7c,Ultimate Garage Door Repair - Austin,5.0,23,Garage door supplier,"1715 S Capital of Texas Hwy, Austin, TX 78746, United States","75CM+H6 Austin, Texas, USA",https://ultimategaragedoorrepairtx.com/,+1 512-582-2226,Open ⋅ Closes 11 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipN9IV0V2vMRe9cpT9jd2avf52RWq-Qza3N8ldL-=w408-h306-k-no,true,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,"https://www.google.com/maps/search/garage+door+services+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-11-07T22:44:57.898Z,,,
https://www.google.com/maps/place/Garage+Door+Masters+Austin/data=!4m7!3m6!1s0x8644b542b24fca2d:0x6809cfaac6682d0!8m2!3d30.2301768!4d-97.784855!16s%2Fg%2F11x0yvq0np!19sChIJLcpPskK1RIYR0IJmrPqcgAY,Garage Door Masters Austin,5.0,24,Garage door supplier,"1714 Fort View Rd STE 106A, Austin, TX 78704, United States","66J8+33 Austin, Texas, USA",https://austingaragedoormasters.com/,+1 512-768-5262,Open ⋅ Closes 7 pm,,https://lh3.googleusercontent.com/p/AF1QipPxUCsguZAd91yKERWvBKKijjA1O5j8HDWmk8h1=w408-h306-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,"https://www.google.com/maps/search/garage+door+services+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-11-07T22:45:02.454Z,,,
https://www.google.com/maps/place/Cedar+Park+Overhead+Doors+-+Austin/data=!4m7!3m6!1s0x8644b56ddf1ab99b:0xde016306e38d3a96!8m2!3d30.2220107!4d-97.7577717!16s%2Fg%2F11y6mdz46l!19sChIJm7ka3221RIYRljqN4wZjAd4,Cedar Park Overhead Doors - Austin,5.0,248,Garage door supplier,"3910-A Warehouse Row, Austin, TX 78704, United States","66CR+RV Austin, Texas, USA",https://www.cedarparkgaragedoors.com/,+1 512-222-1858,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipPLK_DtY6f4AtF7L_SJbO3GPraM3cVN-UAFK4k=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-11-07T22:45:06.905Z,,,
