placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,error,attributes,info
https://www.google.com/maps/place/Springfield+Clinic+Parking+Garage/data=!4m7!3m6!1s0x887539d75174e0f7:0x968b9434ed2b426e!8m2!3d39.8112756!4d-89.6542528!16s%2Fg%2F11clyqp2vy!19sChIJ9-B0Udc5dYgRbkIr7TSUi5Y,Springfield Clinic Parking Garage,4.7,3,Parking garage,"N 2nd St, Springfield, IL 62702, United States","R86W+G7 Springfield, Illinois, USA",https://www.springfieldclinic.com/our-community/news/valet-service-available-at-springfield-clinic-1st-800-building,+1 800-444-7541,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx3cUbMlwsClOwZLvCo8J3dcqAFoyI2NI6axGr5uogGqDVW3Ta62GmaSmh9BxAzhpIdtWzgSBU6JRLo1PTg3ichkpm2qrHR3I6nrhuKq4XRNGBerI4qYBsTYGJ1YRs6KFeTYAM=w408-h306-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-10-28T19:13:54.664Z,,,
https://www.google.com/maps/place/Memorial+Medical+Center+Visitor+Parking/data=!4m7!3m6!1s0x887539d140cb91ab:0xbf7d777ab65e0d97!8m2!3d39.8094778!4d-89.6575541!16s%2Fg%2F11c52rv6rv!19sChIJq5HLQNE5dYgRlw1etnp3fb8,Memorial Medical Center Visitor Parking,4.3,50,Parking garage,"751 N Rutledge St, Springfield, IL 62781, United States","R85R+QX Springfield, Illinois, USA",,+1 217-788-3000,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxjrkQknUErVj9-PiTmbuHfXXQko3ON7qLE3AeXVYdC1W1mV9-RD_UsWgJ2UX_x_BCIR8J21BE8E2dCnyqHDZv3c5IydlT6oeU41N5Hpn4W7coCgmkFzwoMFcbagAt2OAZzULO0=w408-h544-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-10-28T19:14:00.499Z,,,
https://www.google.com/maps/place/Municipal+Parking+Garage/data=!4m7!3m6!1s0x887539c10ad965ab:0xe7b81448a607b3ab!8m2!3d39.7997219!4d-89.6456772!16s%2Fg%2F1thtdwyz!19sChIJq2XZCsE5dYgRq7MHpkgUuOc,Municipal Parking Garage,4.0,6,Parking garage,"S 7th St, Springfield, IL 62701, United States","Q9X3+VP Springfield, Illinois, USA",,+1 217-544-1670,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyBznmCUpHe3oZ4w-cqb_B1cnHhvB2DjSNTbexb5zuEmYEJO8bPS2xMIRUML5iIU8lzZZ067w_q8Df7wNhgr1JzZ03yeyVo_6xO6D2kVCdVoxedWVSgIf1FtKp2k0IHIv30GbN_kw=w426-h240-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-10-28T19:14:05.918Z,,,
"https://www.google.com/maps/place/Springfield+Clinic+Parking+Garage/@39.6732774,-89.6647197,14z/data=!4m6!3m5!1s0x887539d75174e0f7:0x968b9434ed2b426e!8m2!3d39.8112756!4d-89.6542528!16s%2Fg%2F11clyqp2vy",Springfield Clinic Parking Garage,4.7,3,Parking garage,"N 2nd St, Springfield, IL 62702, United States","R86W+G7 Springfield, Illinois, USA",https://www.springfieldclinic.com/our-community/news/valet-service-available-at-springfield-clinic-1st-800-building,+1 800-444-7541,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx3cUbMlwsClOwZLvCo8J3dcqAFoyI2NI6axGr5uogGqDVW3Ta62GmaSmh9BxAzhpIdtWzgSBU6JRLo1PTg3ichkpm2qrHR3I6nrhuKq4XRNGBerI4qYBsTYGJ1YRs6KFeTYAM=w408-h306-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Chatham+Springfield+IL/@39.6732774,-89.6647197,14z",2025-10-28T19:14:15.627Z,Already found,,
https://www.google.com/maps/place/Memorial+Physician+Parking+Garage/data=!4m7!3m6!1s0x887539931586c30f:0xe9a4914e1110f6a4!8m2!3d39.809448!4d-89.6573092!16s%2Fg%2F11mvwrmd81!19sChIJD8OGFZM5dYgRpPYQEU6RpOk,Memorial Physician Parking Garage,5.0,1,Parking garage,"701 N 1st St, Springfield, IL 62781, United States","R85V+Q3 Springfield, Illinois, USA",,,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=srjwAIo_suigXNdV7ds_8Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=70.83847&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Sherman+Springfield+IL/@39.8936608,-89.6048231,14z",2025-10-28T19:14:29.039Z,,,
https://www.google.com/maps/place/Central+Management+Services+Department-State+Garage/data=!4m7!3m6!1s0x887539a8a0c91c2f:0x43da39f870c6e0a9!8m2!3d39.7790101!4d-89.652901!16s%2Fg%2F1tf03728!19sChIJLxzJoKg5dYgRqeDGcPg52kM,Central Management Services Department-State Garage,5.0,1,County government office,"200 E Ash St, Springfield, IL 62704, United States","Q8HW+JR Springfield, Illinois, USA",,+1 217-782-2536,Open ⋅ Closes 4:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AELG-bDySOmk89fik-xmmg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=97.56437&pitch=0&thumbfov=100,false,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,Closed,Closed,7 am–4:30 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Sherman+Springfield+IL/@39.8936608,-89.6048231,14z",2025-10-28T19:14:33.982Z,,,
https://www.google.com/maps/place/Parking+Management+Company/data=!4m7!3m6!1s0x8864610032ca3e45:0xa11254366995dfcc!8m2!3d36.1523597!4d-86.8293096!16s%2Fg%2F11xrmrfvjk!19sChIJRT7KMgBhZIgRzN-VaTZUEqE,Parking Management Company,1.0,4,Park,"3713 Charlotte Ave, Nashville, TN 37209, United States","552C+W7 Nashville, Tennessee, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QhkfOpO6U1k9xPGXPtQiGQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=178.28635&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Sherman+Springfield+IL/@39.8936608,-89.6048231,14z",2025-10-28T19:14:36.865Z,,,
https://www.google.com/maps/place/Sherman+Police+Department+%26+Sherman+Emergency+Management+Agency/data=!4m7!3m6!1s0x8875315cdf2f2d49:0x6c084b6708015859!8m2!3d39.8964261!4d-89.6044312!16s%2Fg%2F1tslkgvn!19sChIJSS0v31wxdYgRWVgBCGdLCGw,Sherman Police Department & Sherman Emergency Management Agency,4.2,5,Local government office,"2629 E Andrew Rd, Sherman, IL 62684, United States","V9WW+H6 Sherman, Illinois, USA",http://www.shermanil.org/,+1 217-496-3256,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=twaBlJXi-jobUvVuoMWEsA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=353.39478&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Sherman+Springfield+IL/@39.8936608,-89.6048231,14z",2025-10-28T19:14:41.624Z,,,
https://www.google.com/maps/place/Elite+Parking+Services+Of+America/data=!4m7!3m6!1s0x88e5b71739edfd6d:0x253247cd77aad13b!8m2!3d30.3259125!4d-81.6599096!16s%2Fg%2F12lr50lc4!19sChIJbf3tORe35YgRO9Gqd81HMiU,Elite Parking Services Of America,2.2,34,Corporate campus,"76 S Laura St #1702, Jacksonville, FL 32202, United States","88GR+92 Downtown, Jacksonville, FL, USA",https://eliteparkingofamerica.com/,+1 904-297-4437,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0ZX0OfjPprZaBQKiZ5lt-Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=294.32877&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Jacksonville+Springfield+IL/@39.733936,-90.2290098,14z",2025-10-28T19:14:55.235Z,,,
https://www.google.com/maps/place/JCPenney/data=!4m7!3m6!1s0x87dfebdb545472df:0x18bf59860b9f9a8!8m2!3d39.7201563!4d-90.241806!16s%2Fg%2F1tsjf5ps!19sChIJ33JUVNvr34cRqPm5YJj1iwE,JCPenney,4.3,214,Department store,"901 W Morton Ave, Jacksonville, IL 62650, United States","PQC5+37 Jacksonville, Illinois, USA",https://www.jcpenney.com/locations/il/jacksonville/clothing-stores-jacksonville-il-0249.html,+1 217-245-9695,"Open ⋅ Closes 7 pm

Updated by this business 12 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzhTvCkv50h5JdLYoV0msSK_Qft8qt44HIp589vD5CKkM7UkvQrZJwKJFuIBR12E6fWZC30D2IhjoDfS189q21lT4z_fg5Sv7hwZ9k4qdCwdZ9us__ml-Xdi3MHVZMpMqfAqBMkfg=w426-h240-k-no,true,11 am–7 pm,11 am–7 pm,11 am–7 pm,11 am–7 pm,11 am–7 pm,12–6 pm,11 am–7 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Jacksonville+Springfield+IL/@39.733936,-90.2290098,14z",2025-10-28T19:15:00.436Z,,"Chain department store selling a wide selection of brand-name clothing, footwear, furniture & more. · In-store shopping · Kerbside pickup",
