placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,monday,tuesday,wednesday,thursday,friday,saturday,sunday,info,attributes,error,isBlackOwned
https://www.google.com/maps/place/Endocrine+Wellness+LLC/data=!4m7!3m6!1s0x887538e4dbe61add:0x3b9a36b84ec65d60!8m2!3d39.7643285!4d-89.6701685!16s%2Fg%2F11gdftxk8h!19sChIJ3Rrm2-Q4dYgRYF3GTrg2mjs,Endocrine Wellness LLC,5.0,4,Holistic medicine practitioner,"1035 Junction Cir, Springfield, IL 62704, United States","Q87H+PW Springfield, Illinois, USA",http://endocrinewellnessgroup.com/,+1 217-370-5060,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LjsRz8S7biDFcK495rCf0Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=26.18202&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/functional+medicine+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-02-23T18:14:04.238Z,,,,,,,,,,,
https://www.google.com/maps/place/Dr+Paul+Mach+Dn-Holistic/data=!4m7!3m6!1s0x887539bc6db8321d:0x69f9f6f703d4e359!8m2!3d39.7889803!4d-89.6479972!16s%2Fg%2F1hc1xn3_v!19sChIJHTK4bbw5dYgRWePUA_f2-Wk,Dr Paul Mach Dn-Holistic,5.0,1,Naturopathic practitioner,"1208 S 6th St, Springfield, IL 62703, United States","Q9Q2+HR Springfield, Illinois, USA",https://holistichealthcarealliance.com/,+1 217-638-4325,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6nf2tnPkzNmhKsgCyuLI5g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=78.83215&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/functional+medicine+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-02-23T18:14:06.708Z,,,,,,,,,,,
"https://www.google.com/maps/place/BEC+Integrative+Wellness,+PLLC/data=!4m7!3m6!1s0x88754774d7f7abbd:0x2a7cc9272255854e!8m2!3d39.794489!4d-89.7055!16s%2Fg%2F11lmq0hczg!19sChIJvav313RHdYgRToVVIifJfCo","BEC Integrative Wellness, PLLC",5.0,5,Nurse practitioner,"2700 W Lawrence Ave suite j-4, Springfield, IL 62704, United States","Q7VV+QQ Springfield, Illinois, USA",,+1 217-691-1842,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7PRsPw5tfIR4h6u4lI-SeA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=78.41635&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/functional+medicine+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-02-23T18:14:09.023Z,,,,,,,,,,,
https://www.google.com/maps/place/McCaffrey+Health/data=!4m7!3m6!1s0x887538fab34db0e5:0xb5043137512f8282!8m2!3d39.7636004!4d-89.7187835!16s%2Fg%2F1tj33wxk!19sChIJ5bBNs_o4dYgRgoIvUTcxBLU,McCaffrey Health,4.8,35,Chiropractor,"3330 Hedley Rd suite c, Springfield, IL 62711, United States","Q77J+CF Springfield, Illinois, USA",https://mccaffreyhealth.com/,+1 217-726-0151,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipNAA80KW6jYv4h57yr6tkGHmbPb1SowK5fMBQYA=w408-h262-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-02-23T18:14:13.955Z,11 am–6 pm,11 am–6 pm,10 am–12 pm,11 am–6 pm,Closed,Closed,Closed,,,,
https://www.google.com/maps/place/SIU+Medicine+Integrated+Wellness+Clinic/data=!4m7!3m6!1s0x887539554a11dfe1:0xc50a43924af908ea!8m2!3d39.8087261!4d-89.6445071!16s%2Fg%2F11t7_pbvty!19sChIJ4d8RSlU5dYgR6gj5SpJDCsU,SIU Medicine Integrated Wellness Clinic,5.0,1,Family practice physician,"710 N 8th St, Springfield, IL 62702, United States","R954+F5 Springfield, Illinois, USA",https://www.siumed.org/buildings/integrated-wellness-clinic/siu-integrated-wellness-clinic?utm_source=gmb&utm_medium=Yext,+1 217-525-1064,Open · Closes 4:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OECsrktSS3BszEQrtsyJKQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=105.39016&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/functional+medicine+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-02-23T18:14:18.320Z,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,,,,
https://www.google.com/maps/place/Holistic+Body+Transformation/data=!4m7!3m6!1s0x887539c3f9841a85:0xefbdc263338b2e28!8m2!3d51.2072!4d-121.9883!16s%2Fg%2F11tfngt6jj!19sChIJhRqE-cM5dYgRKC6LM2PCve8,Holistic Body Transformation,4.9,10,Holistic medicine practitioner,,,https://www.holisticbodytransform.com/,+1 217-415-0891,,https://lh3.googleusercontent.com/p/AF1QipNeQKR8UzWK8NFea2XsIK-5vBA1cnb017B2RpuG=w408-h408-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-02-23T18:14:20.760Z,,,,,,,,LGBTQ+ friendly,,,
"https://www.google.com/maps/place/Windie+C.+McKay,+DC/data=!4m7!3m6!1s0x887539d094d57691:0xcd5e1055bfec1c4!8m2!3d39.8079236!4d-89.6595708!16s%2Fg%2F1txc7sl5!19sChIJkXbVlNA5dYgRxMH-WwXh1Qw","Windie C. McKay, DC",4.9,112,Chiropractor,"355 W Carpenter St Suite A, Springfield, IL 62702, United States","R85R+55 Springfield, Illinois, USA",https://www.springfieldclinic.com/our-providers/windie-mckay,+1 217-546-5971,"Open · Closes 6 pm

Confirmed by this business 10 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOy7KEqhEGliUfCJ20ZBL9yqGtODVbX3ZcajZT6=w424-h240-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-02-23T18:14:25.315Z,6 am–6 pm,8 am–5 pm,6 am–6 pm,8 am–5 pm,6 am–5 pm,Closed,Closed,,,,
"https://www.google.com/maps/place/Chiropractic+%26+More,+LLC/data=!4m7!3m6!1s0x8875478326e4ef73:0x935ac5d14f3ccb62!8m2!3d39.7747542!4d-89.7102222!16s%2Fg%2F11fvh3m1cy!19sChIJc-_kJoNHdYgRYss8T9HFWpM","Chiropractic & More, LLC",5.0,9,Chiropractor,"2151 W White Oaks Dr Ste. D, Springfield, IL 62704, United States","Q7FQ+WW Springfield, Illinois, USA",http://www.restoredmyhealth.com/,+1 217-481-4823,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipM77EACV6BMnYwmONeSIe1PjEGRX9zIr-Qu0CQ0=w408-h408-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-02-23T18:14:29.689Z,9 am–5 pm,9 am–4 pm,9 am–5 pm,9 am–4 am,8 am–12 am,Closed,Closed,,,,
"https://www.google.com/maps/place/Holistic+Healthcare+Alliance/@39.792285,-89.7055482,17z/data=!3m1!4b1!4m6!3m5!1s0x8875478bf32ba9fd:0x67da39dc070a8a69!8m2!3d39.792285!4d-89.7055482!16s%2Fg%2F126158s9q",Holistic Healthcare Alliance,,,Medical clinic,"907 Clocktower Dr STE C, Springfield, IL 62704, United States","Q7RV+WQ Springfield, Illinois, USA",https://holistichealthcarealliance.com/,+1 217-638-4325,,,false,"https://www.google.com/maps/search/functional+medicine+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-02-23T18:14:33.911Z,,,,,,,,,,,
https://www.google.com/maps/place/Acupuncture+%26+Integrative+Wellness+Center/data=!4m7!3m6!1s0x887539b7f6305f35:0xc401fc4437585984!8m2!3d39.7944101!4d-89.6530737!16s%2Fg%2F1tg5_czc!19sChIJNV8w9rc5dYgRhFlYN0T8AcQ,Acupuncture & Integrative Wellness Center,4.6,9,Acupuncture clinic,"716 S 2nd St, Springfield, IL 62704, United States","Q8VW+QQ Springfield, Illinois, USA",http://www.acuintegrative.com/,+1 217-544-8118,Open · Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipPbjoa5JiJ4Ap_jV0XftS9nZhCr95KVSWNsnPKv=w408-h270-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-02-23T18:14:38.407Z,10 am–4 pm,11 am–5 pm,10 am–3:30 pm,11 am–5 pm,10 am–4 pm,9:30 am–1:30 pm,Closed,,,,
