placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,error,attributes,isBlackOwned
https://www.google.com/maps/place/Lone+Star+Flood+Restoration/data=!4m7!3m6!1s0xa0a9006ba5994265:0x21527bd1db7577c6!8m2!3d31.527715!4d-97.1704963!16s%2Fg%2F11vsrrf76h!19sChIJZUKZpWsAqaARxnd129F7UiE,Lone Star Flood Restoration,5.0,28,Water damage restoration service,"4300 W Waco Dr, Waco, TX 76710, United States","GRHH+3R Waco, Texas, USA",https://www.lsfr.net/,+1 254-600-9907,"Open 24 hours

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweoSOxbmSGuJO3EZQc2MTE5Es8WGPHusH8IBliA5oHLnbrQJmRhhvRtnfkaI7mHmS77nJMVW-tpuKcTHekK0R4ArDw-7wYZzBiGMSZCTdhnkWWMcZDAPsgESz-v94kRgMHYWZHR1yg=w408-h307-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2026-03-23T05:25:12.744Z,,,,
https://www.google.com/maps/place/Legion+LLC/data=!4m7!3m6!1s0x4d1b5b6676b27dab:0xdeab5cc3ab4da1ea!8m2!3d31.5435671!4d-97.1453028!16s%2Fg%2F11nsw0v3yt!19sChIJq32ydmZbG00R6qFNq8Ncq94,Legion LLC,3.8,12,Water damage restoration service,"2015 Franklin Ave, Waco, TX 76701, United States","GVV3+CV Waco, Texas, USA",http://www.legionrestoration.com/,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IjSGfWnGUWCPMZYDLm5_5g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=307.09576&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/water+damage+restoration+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2026-03-23T05:25:16.529Z,Identifies as Latino-owned,,,
https://www.google.com/maps/place/BELFOR+Property+Restoration+%28Waco%29/data=!4m7!3m6!1s0x864f9d56cbed3dd3:0xb734a3694fede168!8m2!3d31.6206758!4d-97.0976248!16s%2Fg%2F11g_h_pxq!19sChIJ0z3ty1adT4YRaOHtT2mjNLc,BELFOR Property Restoration (Waco),4.9,109,Fire damage restoration service,"4820 I 35 N Frontage Rd, Waco, TX 76705, United States","JWC2+7X Waco, Texas, USA",https://www.belfor.com/us/en/locations/,+1 254-799-8400,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepzN8n2-jyHF09I58Zt9ZoXncztg9R398fFmAcDvwfZBucfPhUMB-GTA3UEY0OaVc2UqhR7o2YDHX6FSuhGrYLYI47mrGPshwV4YyDeygMcmZ3qy6yw3Hs29iJkdgangvvTelw=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2026-03-23T05:25:21.572Z,,,,
https://www.google.com/maps/place/SERVPRO+of+Waco/data=!4m7!3m6!1s0x864f869215b163b5:0x44c519bb3bf70178!8m2!3d31.5020328!4d-97.2049361!16s%2Fg%2F11gd_sq6gp!19sChIJtWOxFZKGT4YReAH3O7sZxUQ,SERVPRO of Waco,5.0,36,Water damage restoration service,"7719 Central Park Dr B, Waco, TX 76712, United States","GQ2W+R2 Waco, Texas, USA",https://www.servpro.com/locations/tx/servpro-of-waco?utm_medium=organic&utm_source=gbp,+1 254-756-4300,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqWQSvh_mQ39Li8bVaBUhYPrtRfFwRZXiEEJl03TETu24mrPwaerA0SvJHXzPolVXpn3Zk0UuiwKpXIIR5JcoC4d-wnSs9OhNp8xhbOngKvk7waw2KxZCdOW-MjST6oB-p2aYdpoAF55tI=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2026-03-23T05:25:26.753Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/That+1+Painter+Waco/data=!4m7!3m6!1s0x8ab03a3eb7440a3f:0x73c1e41de12f34a9!8m2!3d31.5563357!4d-97.1321111!16s%2Fg%2F11s3mgbvrj!19sChIJPwpEtz46sIoRqTQv4R3kwXM,That 1 Painter Waco,5.0,194,Painter,"510 Austin Ave #25577, Waco, TX 76701, United States","HV49+G5 Waco, Texas, USA",https://that1painter.com/waco/,+1 254-227-6915,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqRNUL46UqgUyRGoo4tJDlJhpRGJ-DUhiji17tExuW0uKdUsdSu3semv75UUqzuNzor6LLVR8AWut0FJeqpRWjBRlcO8sKXb-0NFHUBNDo7tUzcLcTLZk1gUWikfZwc6I3rxzaf=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2026-03-23T05:25:31.600Z,Identifies as women-owned,,,
https://www.google.com/maps/place/All+Nation/data=!4m7!3m6!1s0x864f82bfa35ca231:0x8a2576c9601a28c!8m2!3d31.5921961!4d-97.1127109!16s%2Fg%2F11hcv0m4tl!19sChIJMaJco7-CT4YRjKIBlmxXogg,All Nation,5.0,2,Water damage restoration service,"2305 Montrose St, Waco, TX 76705, United States","HVRP+VW Waco, Texas, USA",http://www.allnationrestoration.com/,+1 512-934-8180,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwervm05hDDT0B7M-OS0EcM-drwgnGfo_itOQ4mpgLmRQWSqIpnx1JpXsde1qPKSFgAPbD96qDlFJ7HIq4y6-pftdAacJjQoCLZ6FTGZqpSQc2_snlRRb4A2casKiiDrMG6zl5L0=w433-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2026-03-23T05:25:36.373Z,,,,
https://www.google.com/maps/place/Specialty/data=!4m7!3m6!1s0x864f86a3b1a91655:0x89045fde2fd74226!8m2!3d31.509531!4d-97.197432!16s%2Fg%2F1tf65x0z!19sChIJVRapsaOGT4YRJkLXL95fBIk,Specialty,4.3,46,Building restoration service,"6906 Old McGregor Rd, Waco, TX 76712, United States","GR53+R2 Waco, Texas, USA",http://www.specialtyrestorationoftexas.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=waco,+1 888-553-2687,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep2_KvX0cAgox1H7tnxEN0FKgE7qHFVqKHdKkZx7i8JiNQcH9slyntxZsg8QX6sdCzIwcdLWpI5lY-wxk86apLyA8S1wpyvAAMbpRvueRBb29w4qVgJkpIzo6b2csUt5aUrzpg=w408-h260-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2026-03-23T05:25:41.289Z,,,,
https://www.google.com/maps/place/SERVPRO+of+Greater+Waco/data=!4m7!3m6!1s0x864f8750b15f2a01:0xee43ed59b9d69919!8m2!3d31.4759603!4d-97.1970433!16s%2Fg%2F11f61tr2qm!19sChIJASpfsVCHT4YRGZnWuVntQ-4,SERVPRO of Greater Waco,4.9,117,Water damage restoration service,"116 Ava Dr Suite A, Hewitt, TX 76643, United States","FRG3+95 Hewitt, Texas, USA",https://www.servpro.com/locations/tx/servpro-of-greater-waco?utm_medium=organic&utm_source=gbp,+1 254-224-5999,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep9RZ2ooTlJJeOaqt-WF0_CcoVKDKvuurnTt729P9Wlweal2dntcI9ZW74ufr4cfRu20xO2sYWi6KeonPBSiYhzeo4UXrrojgqlXZbk83W1LSw4mdCyS4SfHlUcUdp9-wvTrlcn=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2026-03-23T05:25:46.221Z,,,,
https://www.google.com/maps/place/Next+Level+Restoration/data=!4m7!3m6!1s0x84ef02f038e11219:0x62b715cc9d23faca!8m2!3d31.307219!4d-97.4342315!16s%2Fg%2F11v0c1gk7y!19sChIJGRLhOPAC74QRyvojncwVt2I,Next Level Restoration,5.0,6,Water damage restoration service,,,https://nlrtx.com/,+1 254-424-1472,Closed · Opens 8 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepK4IdK_86XIjMa3Xhdav6FrYVDKBqcHo0b7hyGe48L4oqtdV8GZM7n-dRx3rv8uR6EyOd3gtMJJA6C_M_V6oMy-yZc5rx37BqbMreWdpzWHJDAFQSvp038xfOA9zCk4Marumqcufl1Cig=w427-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2026-03-23T05:25:50.909Z,,,,
https://www.google.com/maps/place/G.L.+Hunt+Foundation+Repair/data=!4m7!3m6!1s0x864f830169ad7353:0x5d8ad59534505178!8m2!3d31.5532751!4d-97.1380883!16s%2Fg%2F11lw386gmd!19sChIJU3OtaQGDT4YReFFQNJXVil0,G.L. Hunt Foundation Repair,4.9,327,Contractor,"1019 Washington Ave Suite E, Waco, TX 76701, United States","HV36+8Q Waco, Texas, USA",https://glhunt.com/location/waco-tx/?utm_source=google&utm_medium=organic&utm_campaign=gbp,+1 254-323-5230,Closed · Opens 8 am,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OMAoZLjwXKGzvkscWgzBkA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=321.03198&pitch=0&thumbfov=100,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2026-03-23T05:25:55.627Z,,,,
