placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/PHP+Tree+Service/data=!4m7!3m6!1s0x887539ee70c1fcb1:0x4278cca747ba38ef!8m2!3d39.8156034!4d-89.6381648!16s%2Fg%2F11h3mtr_s_!19sChIJsfzBcO45dYgR7zi6R6fMeEI,PHP Tree Service,4.9,271,Tree service,"1208 N 13th St, Springfield, IL 62702, United States","R986+6P Springfield, Illinois, USA",,+1 217-503-5063,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG2iF9DmfMdVLMVTchkgAVQDgYZo5hEIjX6FexApsL4LCE1yWbXke8wpMu8m6iu8F6KvmG0CigcTCxhqLpG-uau_17RFn0xKNdqWKBwiVNap39OSeRaKkJJ6Dcgg7uj-Ndg8koPK3W7dcGH=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-04-29T05:45:40.831Z,,,,
https://www.google.com/maps/place/Springfield+IL+Tree+Service/data=!4m7!3m6!1s0x887538346948cb3f:0x1e537bfae340de5e!8m2!3d39.7999081!4d-89.6659291!16s%2Fg%2F11b6cjqp5x!19sChIJP8tIaTQ4dYgRXt5A4_p7Ux4,Springfield IL Tree Service,4.8,20,Tree service,"823 W Monroe St, Springfield, IL 62704, United States","Q8XM+XJ Springfield, Illinois, USA",https://springfieldiltreeservice.net/,+1 217-441-6252,Closed · Opens 7 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHNOsCx5rWnK_t1sMK8D1f3nBIHHLrlj2bR8DOy95_CC3h5BAEmg3mmKqQv9zEwQcOeLKVhmR0cHoLOafw_ZtYrzCh_NALVUjJQ5FakxQwv4YFdchSCBE9i8g87tO13JAsS0r082Q=w426-h240-k-no,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-04-29T05:45:46.415Z,,,,
https://www.google.com/maps/place/Zook-it+Improvements+Tree+Services/data=!4m7!3m6!1s0x2215d56f5df14c0f:0xb5be9462959a809b!8m2!3d40.924194!4d-89.231926!16s%2Fg%2F11w2by7dq5!19sChIJD0zxXW_VFSIRm4CalWKUvrU,Zook-it Improvements Tree Services,5.0,34,Tree service,,,https://zookitimprovements.com/,+1 630-785-7323,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEG2Ni2iHEmGYcw5NrBFhYM00kW8zG1UskjdISqAOmNfEz_j9EMvgUKXnY8vFDx2rMkOD6mXvot_P6m8Yr_p5EnxDA-ktt-ZPkOQEtBM2caYfa6VAbqU72WxBQuOZkhT7lytngTMw=w431-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-04-29T05:45:51.603Z,,,,
https://www.google.com/maps/place/Expert+Tree+Care+Co+Inc/data=!4m7!3m6!1s0x8875378dfdeaed1b:0x467a7a88f75229d4!8m2!3d39.8273807!4d-89.6780057!16s%2Fg%2F1tkp0jsg!19sChIJG-3q_Y03dYgR1ClS94h6ekY,Expert Tree Care Co Inc,4.4,25,Tree service,"1783 Camp Lincoln Rd, Springfield, IL 62707, United States","R8GC+XQ Springfield, Illinois, USA",http://www.experttreecareco.com/,+1 217-528-9458,"Open 24 hours

Confirmed by this business 2 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEnZ0G4JZyCBYiAnYhx-ma9sJqhzjRe_SFAdDfFbG_f8wUeh1FhiHrc_xdT6_wQ4Q4vikNUVtA9lZXslhyrHn2USRwr3Gkry6MnvtdGkLy3fEafYSHSyv9i909fOoD0g4YFUrQZ=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-04-29T05:45:56.405Z,,,,
https://www.google.com/maps/place/GROOT+Tree+Service/data=!4m7!3m6!1s0x88752f55074c2aab:0x4b30a74ef89c7ce!8m2!3d39.815412!4d-89.547273!16s%2Fg%2F11lghbdryp!19sChIJqypMB1UvdYgRzseJ73QKswQ,GROOT Tree Service,5.0,17,Tree service,,,https://groottreeservice.com/,+1 217-741-7957,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGeuhvgWo_-RB3d67WosXZ4_zyKwhng0B7tLio4qjXBZFZoqV8To9i0e6Vb9L6V3XANhlGR-Se_tN_KdcFz1owIGjfSMIMob2clX77enrRjwj_kG6xE-ANN_XMCNLW9pzWhSZu2=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-04-29T05:46:01.049Z,,,,
https://www.google.com/maps/place/American+Tree+Service+Unlimited/data=!4m7!3m6!1s0x8d39f98579519ecf:0xc37ab6b04c32dbb0!8m2!3d39.8136675!4d-89.6735482!16s%2Fg%2F11v5wlzzlm!19sChIJz55ReYX5OY0RsNsyTLC2esM,American Tree Service Unlimited,4.4,7,Tree service,"1049 N Lincoln Ave, Springfield, IL 62702, United States","R87G+FH Springfield, Illinois, USA",https://americantreeserviceunlimited.com/,+1 217-753-8225,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHvVgcOJ-kz9MrfNjZg2AB6MuZow7Y0XaCGCc-Z3X8qIt3tVVPsJsJDvl9VK1u0VEyzp4YiAT4BoaLvhLScmaFc329InrFWtsvVeM-LtQyh0CUmpL6NTzX79l6nwb7Nm1wBmaBF=w635-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-04-29T05:46:05.955Z,,,,
https://www.google.com/maps/place/Coughlin+Tree+Service/data=!4m7!3m6!1s0x887539bbed338fc1:0xbbc2ab43d3e8e364!8m2!3d39.7645212!4d-89.6771369!16s%2Fg%2F1trsys26!19sChIJwY8z7bs5dYgRZOPo00Orwrs,Coughlin Tree Service,4.4,37,Tree service,"1337 Wabash Ave, Springfield, IL 62704, United States","Q87F+R4 Springfield, Illinois, USA",http://treeservicespringfieldil.com/,+1 217-789-6000,Closed · Opens 7 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAElztSYDuS1J_v0b-nLXqU2h_cl6dGDSIJgxjf8P0ydbXgbPRX6mPQiXIsOdTWLXLfBVoYMxuvSg-ymZRpjXyjb0XYPYZFMG5YFl6CxrgTTyxymloxev7FQiiNB3rByWLbJJ_qNJg=w423-h240-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,10 am–3 pm,Closed,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-04-29T05:46:10.771Z,,,,
https://www.google.com/maps/place/Rechner%27s+Tree+Services/data=!4m7!3m6!1s0x88753a3d5b398dbd:0x9fc091c81039cb3c!8m2!3d39.759863!4d-89.625343!16s%2Fg%2F1tk6wnmp!19sChIJvY05Wz06dYgRPMs5EMiRwJ8,Rechner's Tree Services,4.2,5,Tree service,,,,+1 217-553-3785,Closed · Opens 7 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFNYN5H534dKK9P218-tcIBqGWxAolLh1WxTi8NBgrHMx26-k7Itjc7p69S1UWrVUX6qMUXyIqNVnykmbUh3G6lOQtSLXr-hl92MX-DOECoCew3hBAcey3JUVoUvUS7Ui1a1vWW=w640-h240-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,Closed,Closed,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-04-29T05:46:15.535Z,,,,
https://www.google.com/maps/place/National+Tree+Care+LLC/data=!4m7!3m6!1s0x88753ee2ed35d2f7:0x32a28d9f5244cdfa!8m2!3d39.7420983!4d-89.6341668!16s%2Fg%2F1tczr2_w!19sChIJ99I17eI-dYgR-s1EUp-NojI,National Tree Care LLC,4.8,22,Tree service,"4755 Industrial Dr Unit A, Springfield, IL 62703, United States","P9R8+R8 Springfield, Illinois, USA",https://nationaltreecare.com/,+1 217-585-1488,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEu9OAPcu2po72b7vCbx-s13vneRYp8I079nMDylrrrGLpRKIEP94x6FdXyZL1BwU6RBA9fRsaHPUZQwpKmPfS8nD75XOYjH2PwKWcVssCnIBlisPb3RLbYDAy66fOZMMYBAGvP=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-04-29T05:46:20.506Z,,,,
https://www.google.com/maps/place/Springfield+Tree+Removal+Services/data=!4m7!3m6!1s0x887539b2b0dd9115:0xd5b31982fe3d3c6c!8m2!3d39.8143565!4d-89.643658!16s%2Fg%2F11nnm1mfqv!19sChIJFZHdsLI5dYgRbDw9_oIZs9U,Springfield Tree Removal Services,,,Tree service,"1113 N 9th St, Springfield, IL 62702, United States","R974+PG Springfield, Illinois, USA",https://springfieldtreeremovalservice.com/,+1 217-694-8050,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGYnoi5ZGfL0o8k-VLiFrkbt49Zum7b_YpI1vkOrkw4_zyo4J5BG2bZts5O3A1bsC7I_Q1zk_zvz7avA7ctl2r2_VYqzdtM3xQ0soqC6i_D28rn2z926XUxmP577NHhRyriAuC2=w408-h349-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-04-29T05:46:25.178Z,,,,
https://www.google.com/maps/place/Reed+Louis+%26+Pierce/data=!4m7!3m6!1s0x4716b1858e727721:0x9243845797c0c18f!8m2!3d39.7494201!4d-89.6059754!16s%2Fg%2F11vclwb5c4!19sChIJIXdyjoWxFkcRj8HAl1eEQ5I,Reed Louis & Pierce,5.0,19,Tree service,,,,+1 217-606-1726,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAESzcLzHN7_05mvi1ww1F9Dhc6eNTNEwy5N7Gthir8DjuowIya9XIuzwpTcdCXBeLtCZP0jOEmbXEnBKmcfasKgovK_zD87eJ_n57wgBxtRhdppqK5f5wxVY7hy9vI7pmT9o4HUIp5lutls=w408-h398-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-04-29T05:46:29.904Z,,,,
https://www.google.com/maps/place/Economy+Springfield+Tree+Service/data=!4m7!3m6!1s0x88753908dde3d16f:0x98baea5901436486!8m2!3d39.7494201!4d-89.6059754!16s%2Fg%2F1tf_p1c5!19sChIJb9Hj3Qg5dYgRhmRDAVnqupg,Economy Springfield Tree Service,4.5,24,Tree service,,,https://treeserviceinspringfieldil.com/,+1 217-292-1195,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEuoNvTHAc3NrHFYPP-MPp1ikTwL_K3WLMLYAKX2ODwx5m7cvqxVlZ7JvtR8rLSiytB7pd3LaaBzpRaSBteITK7Z470cfHHJs0bzv8UN3K_q-98yW76jFcOTwSLJvNZPNkbXIFT2Q=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-04-29T05:46:34.637Z,,,,
https://www.google.com/maps/place/Jeremiah%E2%80%99s+Tree+Service/data=!4m7!3m6!1s0x88756ba022e477cd:0xa17b8fcd84764dce!8m2!3d39.7393894!4d-89.266507!16s%2Fg%2F11hcz_51mh!19sChIJzXfkIqBrdYgRzk12hM2Pe6E,Jeremiah’s Tree Service,4.5,17,Tree service,,,,+1 217-691-8770,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEJ6NLoKvJMOt_ZfkzPpE59CHFDtGnUH5lU_galqnwO3NocHcQvTGKS2wnl7-iNJVCKysxXLQJd_swqAy-LU7AxEGSuXXEgEhp7GSsN2Ex5KHcF-bI-vc5NOtmXybdgmI4V3w=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-04-29T05:46:39.559Z,,,,
